game,2015,14,20151213,201512130kan,sdg,"San Diego Chargers",3,kan,"Kansas City Chiefs",10
team,201512130kan,sdg,First Downs,15,,,,,,
team,201512130kan,kan,First Downs,18,,,,,,
team,201512130kan,sdg,Rush-Yds-TDs,18-44-0,,,,,,
team,201512130kan,kan,Rush-Yds-TDs,25-150-0,,,,,,
team,201512130kan,sdg,Cmp-Att-Yd-TD-INT,24-43-263-0-1,,,,,,
team,201512130kan,kan,Cmp-Att-Yd-TD-INT,15-23-191-1-1,,,,,,
team,201512130kan,sdg,Sacked-Yards,5-27,,,,,,
team,201512130kan,kan,Sacked-Yards,2-12,,,,,,
team,201512130kan,sdg,Net Pass Yards,236,,,,,,
team,201512130kan,kan,Net Pass Yards,179,,,,,,
team,201512130kan,sdg,Total Yards,280,,,,,,
team,201512130kan,kan,Total Yards,329,,,,,,
team,201512130kan,sdg,Fumbles-Lost,0-0,,,,,,
team,201512130kan,kan,Fumbles-Lost,2-1,,,,,,
team,201512130kan,sdg,Turnovers,1,,,,,,
team,201512130kan,kan,Turnovers,2,,,,,,
team,201512130kan,sdg,Penalties-Yards,7-48,,,,,,
team,201512130kan,kan,Penalties-Yards,8-53,,,,,,
team,201512130kan,sdg,Third Down Conv.,6-18,,,,,,
team,201512130kan,kan,Third Down Conv.,6-11,,,,,,
team,201512130kan,sdg,Fourth Down Conv.,3-3,,,,,,
team,201512130kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201512130kan,sdg,Time of Possession,31:08,,,,,,
team,201512130kan,kan,Time of Possession,28:52,,,,,,
player,201512130kan,sdg,RivePh00,pass_cmp,24,,,,,
player,201512130kan,sdg,RivePh00,pass_att,43,,,,,
player,201512130kan,sdg,RivePh00,pass_yds,263,,,,,
player,201512130kan,sdg,RivePh00,pass_td,0,,,,,
player,201512130kan,sdg,RivePh00,pass_int,1,,,,,
player,201512130kan,sdg,RivePh00,pass_sacked,5,,,,,
player,201512130kan,sdg,RivePh00,pass_sacked_yds,27,,,,,
player,201512130kan,sdg,RivePh00,pass_long,41,,,,,
player,201512130kan,sdg,RivePh00,pass_rating,64.4,,,,,
player,201512130kan,sdg,RivePh00,rush_att,1,,,,,
player,201512130kan,sdg,RivePh00,rush_yds,4,,,,,
player,201512130kan,sdg,RivePh00,rush_td,0,,,,,
player,201512130kan,sdg,RivePh00,rush_long,4,,,,,
player,201512130kan,sdg,RivePh00,targets,0,,,,,
player,201512130kan,sdg,RivePh00,rec,0,,,,,
player,201512130kan,sdg,RivePh00,rec_yds,0,,,,,
player,201512130kan,sdg,RivePh00,rec_td,0,,,,,
player,201512130kan,sdg,RivePh00,rec_long,0,,,,,
player,201512130kan,sdg,RivePh00,fumbles,0,,,,,
player,201512130kan,sdg,RivePh00,fumbles_lost,0,,,,,
player,201512130kan,sdg,GordMe00,pass_cmp,0,,,,,
player,201512130kan,sdg,GordMe00,pass_att,0,,,,,
player,201512130kan,sdg,GordMe00,pass_yds,0,,,,,
player,201512130kan,sdg,GordMe00,pass_td,0,,,,,
player,201512130kan,sdg,GordMe00,pass_int,0,,,,,
player,201512130kan,sdg,GordMe00,pass_sacked,0,,,,,
player,201512130kan,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201512130kan,sdg,GordMe00,pass_long,0,,,,,
player,201512130kan,sdg,GordMe00,pass_rating,,,,,,
player,201512130kan,sdg,GordMe00,rush_att,14,,,,,
player,201512130kan,sdg,GordMe00,rush_yds,35,,,,,
player,201512130kan,sdg,GordMe00,rush_td,0,,,,,
player,201512130kan,sdg,GordMe00,rush_long,10,,,,,
player,201512130kan,sdg,GordMe00,targets,4,,,,,
player,201512130kan,sdg,GordMe00,rec,4,,,,,
player,201512130kan,sdg,GordMe00,rec_yds,28,,,,,
player,201512130kan,sdg,GordMe00,rec_td,0,,,,,
player,201512130kan,sdg,GordMe00,rec_long,15,,,,,
player,201512130kan,sdg,GordMe00,fumbles,0,,,,,
player,201512130kan,sdg,GordMe00,fumbles_lost,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_cmp,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_att,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_yds,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_td,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_int,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_sacked,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_sacked_yds,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_long,0,,,,,
player,201512130kan,sdg,WoodDa02,pass_rating,,,,,,
player,201512130kan,sdg,WoodDa02,rush_att,3,,,,,
player,201512130kan,sdg,WoodDa02,rush_yds,5,,,,,
player,201512130kan,sdg,WoodDa02,rush_td,0,,,,,
player,201512130kan,sdg,WoodDa02,rush_long,3,,,,,
player,201512130kan,sdg,WoodDa02,targets,6,,,,,
player,201512130kan,sdg,WoodDa02,rec,3,,,,,
player,201512130kan,sdg,WoodDa02,rec_yds,8,,,,,
player,201512130kan,sdg,WoodDa02,rec_td,0,,,,,
player,201512130kan,sdg,WoodDa02,rec_long,5,,,,,
player,201512130kan,sdg,WoodDa02,fumbles,0,,,,,
player,201512130kan,sdg,WoodDa02,fumbles_lost,0,,,,,
player,201512130kan,sdg,GateAn00,pass_cmp,0,,,,,
player,201512130kan,sdg,GateAn00,pass_att,0,,,,,
player,201512130kan,sdg,GateAn00,pass_yds,0,,,,,
player,201512130kan,sdg,GateAn00,pass_td,0,,,,,
player,201512130kan,sdg,GateAn00,pass_int,0,,,,,
player,201512130kan,sdg,GateAn00,pass_sacked,0,,,,,
