game,2015,6,20151018,201510180oti,mia,"Miami Dolphins",38,oti,"Tennessee Titans",10
player,201510180oti,mia,MillLa01,rush_yds,113,,,,,
player,201510180oti,mia,MillLa01,rush_td,1,,,,,
player,201510180oti,mia,MillLa01,rush_long,22,,,,,
player,201510180oti,mia,MillLa01,targets,3,,,,,
player,201510180oti,mia,MillLa01,rec,2,,,,,
player,201510180oti,mia,MillLa01,rec_yds,5,,,,,
player,201510180oti,mia,MillLa01,rec_td,0,,,,,
player,201510180oti,mia,MillLa01,rec_long,4,,,,,
player,201510180oti,mia,MillLa01,fumbles,0,,,,,
player,201510180oti,mia,MillLa01,fumbles_lost,0,,,,,
player,201510180oti,mia,LandJa00,pass_cmp,0,,,,,
player,201510180oti,mia,LandJa00,pass_att,0,,,,,
player,201510180oti,mia,LandJa00,pass_yds,0,,,,,
player,201510180oti,mia,LandJa00,pass_td,0,,,,,
player,201510180oti,mia,LandJa00,pass_int,0,,,,,
player,201510180oti,mia,LandJa00,pass_sacked,0,,,,,
player,201510180oti,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201510180oti,mia,LandJa00,pass_long,0,,,,,
player,201510180oti,mia,LandJa00,pass_rating,,,,,,
player,201510180oti,mia,LandJa00,rush_att,2,,,,,
player,201510180oti,mia,LandJa00,rush_yds,24,,,,,
player,201510180oti,mia,LandJa00,rush_td,1,,,,,
player,201510180oti,mia,LandJa00,rush_long,22,,,,,
player,201510180oti,mia,LandJa00,targets,4,,,,,
player,201510180oti,mia,LandJa00,rec,3,,,,,
player,201510180oti,mia,LandJa00,rec_yds,42,,,,,
player,201510180oti,mia,LandJa00,rec_td,0,,,,,
player,201510180oti,mia,LandJa00,rec_long,19,,,,,
player,201510180oti,mia,LandJa00,fumbles,0,,,,,
player,201510180oti,mia,LandJa00,fumbles_lost,0,,,,,
player,201510180oti,mia,GrayJo00,pass_cmp,0,,,,,
player,201510180oti,mia,GrayJo00,pass_att,0,,,,,
player,201510180oti,mia,GrayJo00,pass_yds,0,,,,,
player,201510180oti,mia,GrayJo00,pass_td,0,,,,,
player,201510180oti,mia,GrayJo00,pass_int,0,,,,,
player,201510180oti,mia,GrayJo00,pass_sacked,0,,,,,
player,201510180oti,mia,GrayJo00,pass_sacked_yds,0,,,,,
player,201510180oti,mia,GrayJo00,pass_long,0,,,,,
player,201510180oti,mia,GrayJo00,pass_rating,,,,,,
player,201510180oti,mia,GrayJo00,rush_att,7,,,,,
player,201510180oti,mia,GrayJo00,rush_yds,24,,,,,
player,201510180oti,mia,GrayJo00,rush_td,0,,,,,
player,201510180oti,mia,GrayJo00,rush_long,7,,,,,
player,201510180oti,mia,GrayJo00,targets,1,,,,,
player,201510180oti,mia,GrayJo00,rec,1,,,,,
player,201510180oti,mia,GrayJo00,rec_yds,12,,,,,
player,201510180oti,mia,GrayJo00,rec_td,0,,,,,
player,201510180oti,mia,GrayJo00,rec_long,12,,,,,
player,201510180oti,mia,GrayJo00,fumbles,0,,,,,
player,201510180oti,mia,GrayJo00,fumbles_lost,0,,,,,
player,201510180oti,mia,WillDa05,pass_cmp,0,,,,,
player,201510180oti,mia,WillDa05,pass_att,0,,,,,
player,201510180oti,mia,WillDa05,pass_yds,0,,,,,
player,201510180oti,mia,WillDa05,pass_td,0,,,,,
player,201510180oti,mia,WillDa05,pass_int,0,,,,,
player,201510180oti,mia,WillDa05,pass_sacked,0,,,,,
player,201510180oti,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201510180oti,mia,WillDa05,pass_long,0,,,,,
player,201510180oti,mia,WillDa05,pass_rating,,,,,,
player,201510180oti,mia,WillDa05,rush_att,2,,,,,
player,201510180oti,mia,WillDa05,rush_yds,5,,,,,
player,201510180oti,mia,WillDa05,rush_td,0,,,,,
player,201510180oti,mia,WillDa05,rush_long,4,,,,,
player,201510180oti,mia,WillDa05,targets,0,,,,,
player,201510180oti,mia,WillDa05,rec,0,,,,,
player,201510180oti,mia,WillDa05,rec_yds,0,,,,,
player,201510180oti,mia,WillDa05,rec_td,0,,,,,
player,201510180oti,mia,WillDa05,rec_long,0,,,,,
player,201510180oti,mia,WillDa05,fumbles,0,,,,,
player,201510180oti,mia,WillDa05,fumbles_lost,0,,,,,
player,201510180oti,mia,MattRi00,pass_cmp,0,,,,,
player,201510180oti,mia,MattRi00,pass_att,0,,,,,
player,201510180oti,mia,MattRi00,pass_yds,0,,,,,
player,201510180oti,mia,MattRi00,pass_td,0,,,,,
player,201510180oti,mia,MattRi00,pass_int,0,,,,,
player,201510180oti,mia,MattRi00,pass_sacked,0,,,,,
player,201510180oti,mia,MattRi00,pass_sacked_yds,0,,,,,
player,201510180oti,mia,MattRi00,pass_long,0,,,,,
player,201510180oti,mia,MattRi00,pass_rating,,,,,,
player,201510180oti,mia,MattRi00,rush_att,0,,,,,
player,201510180oti,mia,MattRi00,rush_yds,0,,,,,
player,201510180oti,mia,MattRi00,rush_td,0,,,,,
player,201510180oti,mia,MattRi00,rush_long,0,,,,,
player,201510180oti,mia,MattRi00,targets,6,,,,,
player,201510180oti,mia,MattRi00,rec,6,,,,,
player,201510180oti,mia,MattRi00,rec_yds,85,,,,,
player,201510180oti,mia,MattRi00,rec_td,0,,,,,
player,201510180oti,mia,MattRi00,rec_long,24,,,,,
player,201510180oti,mia,MattRi00,fumbles,0,,,,,
player,201510180oti,mia,MattRi00,fumbles_lost,0,,,,,
player,201510180oti,mia,StilKe00,pass_cmp,0,,,,,
player,201510180oti,mia,StilKe00,pass_att,0,,,,,
player,201510180oti,mia,StilKe00,pass_yds,0,,,,,
player,201510180oti,mia,StilKe00,pass_td,0,,,,,
player,201510180oti,mia,StilKe00,pass_int,0,,,,,
player,201510180oti,mia,StilKe00,pass_sacked,0,,,,,
player,201510180oti,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201510180oti,mia,StilKe00,pass_long,0,,,,,
player,201510180oti,mia,StilKe00,pass_rating,,,,,,
player,201510180oti,mia,StilKe00,rush_att,0,,,,,
player,201510180oti,mia,StilKe00,rush_yds,0,,,,,
player,201510180oti,mia,StilKe00,rush_td,0,,,,,
player,201510180oti,mia,StilKe00,rush_long,0,,,,,
player,201510180oti,mia,StilKe00,targets,2,,,,,
player,201510180oti,mia,StilKe00,rec,2,,,,,
player,201510180oti,mia,StilKe00,rec_yds,46,,,,,
player,201510180oti,mia,StilKe00,rec_td,0,,,,,
player,201510180oti,mia,StilKe00,rec_long,38,,,,,
player,201510180oti,mia,StilKe00,fumbles,0,,,,,
player,201510180oti,mia,StilKe00,fumbles_lost,0,,,,,
player,201510180oti,mia,SimsDi00,pass_cmp,0,,,,,
player,201510180oti,mia,SimsDi00,pass_att,0,,,,,
player,201510180oti,mia,SimsDi00,pass_yds,0,,,,,
player,201510180oti,mia,SimsDi00,pass_td,0,,,,,
player,201510180oti,mia,SimsDi00,pass_int,0,,,,,
