game,2015,14,20151213,201512130chi,was,"Washington Redskins",24,chi,"Chicago Bears",21
team,201512130chi,was,First Downs,24,,,,,,
team,201512130chi,chi,First Downs,20,,,,,,
team,201512130chi,was,Rush-Yds-TDs,33-99-2,,,,,,
team,201512130chi,chi,Rush-Yds-TDs,22-87-1,,,,,,
team,201512130chi,was,Cmp-Att-Yd-TD-INT,24-31-300-1-1,,,,,,
team,201512130chi,chi,Cmp-Att-Yd-TD-INT,19-31-315-2-0,,,,,,
team,201512130chi,was,Sacked-Yards,3-25,,,,,,
team,201512130chi,chi,Sacked-Yards,3-25,,,,,,
team,201512130chi,was,Net Pass Yards,275,,,,,,
team,201512130chi,chi,Net Pass Yards,290,,,,,,
team,201512130chi,was,Total Yards,374,,,,,,
team,201512130chi,chi,Total Yards,377,,,,,,
team,201512130chi,was,Fumbles-Lost,1-0,,,,,,
team,201512130chi,chi,Fumbles-Lost,1-1,,,,,,
team,201512130chi,was,Turnovers,1,,,,,,
team,201512130chi,chi,Turnovers,1,,,,,,
team,201512130chi,was,Penalties-Yards,8-63,,,,,,
team,201512130chi,chi,Penalties-Yards,7-79,,,,,,
team,201512130chi,was,Third Down Conv.,7-12,,,,,,
team,201512130chi,chi,Third Down Conv.,5-11,,,,,,
team,201512130chi,was,Fourth Down Conv.,0-0,,,,,,
team,201512130chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201512130chi,was,Time of Possession,34:22,,,,,,
team,201512130chi,chi,Time of Possession,25:38,,,,,,
player,201512130chi,was,CousKi00,pass_cmp,24,,,,,
player,201512130chi,was,CousKi00,pass_att,31,,,,,
player,201512130chi,was,CousKi00,pass_yds,300,,,,,
player,201512130chi,was,CousKi00,pass_td,1,,,,,
player,201512130chi,was,CousKi00,pass_int,1,,,,,
player,201512130chi,was,CousKi00,pass_sacked,3,,,,,
player,201512130chi,was,CousKi00,pass_sacked_yds,25,,,,,
player,201512130chi,was,CousKi00,pass_long,32,,,,,
player,201512130chi,was,CousKi00,pass_rating,104.2,,,,,
player,201512130chi,was,CousKi00,rush_att,4,,,,,
player,201512130chi,was,CousKi00,rush_yds,13,,,,,
player,201512130chi,was,CousKi00,rush_td,1,,,,,
player,201512130chi,was,CousKi00,rush_long,9,,,,,
player,201512130chi,was,CousKi00,targets,0,,,,,
player,201512130chi,was,CousKi00,rec,0,,,,,
player,201512130chi,was,CousKi00,rec_yds,0,,,,,
player,201512130chi,was,CousKi00,rec_td,0,,,,,
player,201512130chi,was,CousKi00,rec_long,0,,,,,
player,201512130chi,was,CousKi00,fumbles,0,,,,,
player,201512130chi,was,CousKi00,fumbles_lost,0,,,,,
player,201512130chi,was,JoneMa04,pass_cmp,0,,,,,
player,201512130chi,was,JoneMa04,pass_att,0,,,,,
player,201512130chi,was,JoneMa04,pass_yds,0,,,,,
player,201512130chi,was,JoneMa04,pass_td,0,,,,,
player,201512130chi,was,JoneMa04,pass_int,0,,,,,
player,201512130chi,was,JoneMa04,pass_sacked,0,,,,,
player,201512130chi,was,JoneMa04,pass_sacked_yds,0,,,,,
player,201512130chi,was,JoneMa04,pass_long,0,,,,,
player,201512130chi,was,JoneMa04,pass_rating,,,,,,
player,201512130chi,was,JoneMa04,rush_att,18,,,,,
player,201512130chi,was,JoneMa04,rush_yds,62,,,,,
player,201512130chi,was,JoneMa04,rush_td,0,,,,,
player,201512130chi,was,JoneMa04,rush_long,11,,,,,
player,201512130chi,was,JoneMa04,targets,3,,,,,
player,201512130chi,was,JoneMa04,rec,2,,,,,
player,201512130chi,was,JoneMa04,rec_yds,24,,,,,
player,201512130chi,was,JoneMa04,rec_td,0,,,,,
player,201512130chi,was,JoneMa04,rec_long,18,,,,,
player,201512130chi,was,JoneMa04,fumbles,1,,,,,
player,201512130chi,was,JoneMa04,fumbles_lost,0,,,,,
player,201512130chi,was,MorrAl00,pass_cmp,0,,,,,
player,201512130chi,was,MorrAl00,pass_att,0,,,,,
player,201512130chi,was,MorrAl00,pass_yds,0,,,,,
player,201512130chi,was,MorrAl00,pass_td,0,,,,,
player,201512130chi,was,MorrAl00,pass_int,0,,,,,
player,201512130chi,was,MorrAl00,pass_sacked,0,,,,,
player,201512130chi,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201512130chi,was,MorrAl00,pass_long,0,,,,,
player,201512130chi,was,MorrAl00,pass_rating,,,,,,
player,201512130chi,was,MorrAl00,rush_att,11,,,,,
player,201512130chi,was,MorrAl00,rush_yds,24,,,,,
player,201512130chi,was,MorrAl00,rush_td,1,,,,,
player,201512130chi,was,MorrAl00,rush_long,5,,,,,
player,201512130chi,was,MorrAl00,targets,1,,,,,
player,201512130chi,was,MorrAl00,rec,0,,,,,
player,201512130chi,was,MorrAl00,rec_yds,0,,,,,
player,201512130chi,was,MorrAl00,rec_td,0,,,,,
player,201512130chi,was,MorrAl00,rec_long,0,,,,,
player,201512130chi,was,MorrAl00,fumbles,0,,,,,
player,201512130chi,was,MorrAl00,fumbles_lost,0,,,,,
player,201512130chi,was,ReedJo02,pass_cmp,0,,,,,
player,201512130chi,was,ReedJo02,pass_att,0,,,,,
player,201512130chi,was,ReedJo02,pass_yds,0,,,,,
player,201512130chi,was,ReedJo02,pass_td,0,,,,,
player,201512130chi,was,ReedJo02,pass_int,0,,,,,
player,201512130chi,was,ReedJo02,pass_sacked,0,,,,,
player,201512130chi,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201512130chi,was,ReedJo02,pass_long,0,,,,,
player,201512130chi,was,ReedJo02,pass_rating,,,,,,
player,201512130chi,was,ReedJo02,rush_att,0,,,,,
player,201512130chi,was,ReedJo02,rush_yds,0,,,,,
player,201512130chi,was,ReedJo02,rush_td,0,,,,,
player,201512130chi,was,ReedJo02,rush_long,0,,,,,
player,201512130chi,was,ReedJo02,targets,9,,,,,
player,201512130chi,was,ReedJo02,rec,9,,,,,
player,201512130chi,was,ReedJo02,rec_yds,120,,,,,
player,201512130chi,was,ReedJo02,rec_td,1,,,,,
player,201512130chi,was,ReedJo02,rec_long,32,,,,,
player,201512130chi,was,ReedJo02,fumbles,0,,,,,
player,201512130chi,was,ReedJo02,fumbles_lost,0,,,,,
player,201512130chi,was,GarcPi00,pass_cmp,0,,,,,
player,201512130chi,was,GarcPi00,pass_att,0,,,,,
player,201512130chi,was,GarcPi00,pass_yds,0,,,,,
player,201512130chi,was,GarcPi00,pass_td,0,,,,,
player,201512130chi,was,GarcPi00,pass_int,0,,,,,
player,201512130chi,was,GarcPi00,pass_sacked,0,,,,,
player,201512130chi,was,GarcPi00,pass_sacked_yds,0,,,,,
player,201512130chi,was,GarcPi00,pass_long,0,,,,,
player,201512130chi,was,GarcPi00,pass_rating,,,,,,
player,201512130chi,was,GarcPi00,rush_att,0,,,,,
player,201512130chi,was,GarcPi00,rush_yds,0,,,,,
player,201512130chi,was,GarcPi00,rush_td,0,,,,,
player,201512130chi,was,GarcPi00,rush_long,0,,,,,
player,201512130chi,was,GarcPi00,targets,7,,,,,
player,201512130chi,was,GarcPi00,rec,5,,,,,
player,201512130chi,was,GarcPi00,rec_yds,52,,,,,
player,201512130chi,was,GarcPi00,rec_td,0,,,,,
player,201512130chi,was,GarcPi00,rec_long,19,,,,,
player,201512130chi,was,GarcPi00,fumbles,0,,,,,
player,201512130chi,was,GarcPi00,fumbles_lost,0,,,,,
player,201512130chi,was,JackDe00,pass_cmp,0,,,,,
player,201512130chi,was,JackDe00,pass_att,0,,,,,
player,201512130chi,was,JackDe00,pass_yds,0,,,,,
