game,2015,2,20150920,201509200rai,rav,"Baltimore Ravens",33,rai,"Oakland Raiders",37
team,201509200rai,rav,First Downs,29,,,,,,
team,201509200rai,rai,First Downs,27,,,,,,
team,201509200rai,rav,Rush-Yds-TDs,25-109-1,,,,,,
team,201509200rai,rai,Rush-Yds-TDs,19-97-1,,,,,,
team,201509200rai,rav,Cmp-Att-Yd-TD-INT,32-45-384-2-1,,,,,,
team,201509200rai,rai,Cmp-Att-Yd-TD-INT,30-46-351-3-1,,,,,,
team,201509200rai,rav,Sacked-Yards,0-0,,,,,,
team,201509200rai,rai,Sacked-Yards,1-0,,,,,,
team,201509200rai,rav,Net Pass Yards,384,,,,,,
team,201509200rai,rai,Net Pass Yards,351,,,,,,
team,201509200rai,rav,Total Yards,493,,,,,,
team,201509200rai,rai,Total Yards,448,,,,,,
team,201509200rai,rav,Fumbles-Lost,1-1,,,,,,
team,201509200rai,rai,Fumbles-Lost,0-0,,,,,,
team,201509200rai,rav,Turnovers,2,,,,,,
team,201509200rai,rai,Turnovers,1,,,,,,
team,201509200rai,rav,Penalties-Yards,10-109,,,,,,
team,201509200rai,rai,Penalties-Yards,16-106,,,,,,
team,201509200rai,rav,Third Down Conv.,4-11,,,,,,
team,201509200rai,rai,Third Down Conv.,9-14,,,,,,
team,201509200rai,rav,Fourth Down Conv.,2-2,,,,,,
team,201509200rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201509200rai,rav,Time of Possession,30:27,,,,,,
team,201509200rai,rai,Time of Possession,29:33,,,,,,
player,201509200rai,rav,FlacJo00,pass_cmp,32,,,,,
player,201509200rai,rav,FlacJo00,pass_att,45,,,,,
player,201509200rai,rav,FlacJo00,pass_yds,384,,,,,
player,201509200rai,rav,FlacJo00,pass_td,2,,,,,
player,201509200rai,rav,FlacJo00,pass_int,1,,,,,
player,201509200rai,rav,FlacJo00,pass_sacked,0,,,,,
player,201509200rai,rav,FlacJo00,pass_sacked_yds,0,,,,,
player,201509200rai,rav,FlacJo00,pass_long,38,,,,,
player,201509200rai,rav,FlacJo00,pass_rating,102.5,,,,,
player,201509200rai,rav,FlacJo00,rush_att,2,,,,,
player,201509200rai,rav,FlacJo00,rush_yds,2,,,,,
player,201509200rai,rav,FlacJo00,rush_td,0,,,,,
player,201509200rai,rav,FlacJo00,rush_long,2,,,,,
player,201509200rai,rav,FlacJo00,targets,0,,,,,
player,201509200rai,rav,FlacJo00,rec,0,,,,,
player,201509200rai,rav,FlacJo00,rec_yds,0,,,,,
player,201509200rai,rav,FlacJo00,rec_td,0,,,,,
player,201509200rai,rav,FlacJo00,rec_long,0,,,,,
player,201509200rai,rav,FlacJo00,fumbles,0,,,,,
player,201509200rai,rav,FlacJo00,fumbles_lost,0,,,,,
player,201509200rai,rav,ForsJu00,pass_cmp,0,,,,,
player,201509200rai,rav,ForsJu00,pass_att,0,,,,,
player,201509200rai,rav,ForsJu00,pass_yds,0,,,,,
player,201509200rai,rav,ForsJu00,pass_td,0,,,,,
player,201509200rai,rav,ForsJu00,pass_int,0,,,,,
player,201509200rai,rav,ForsJu00,pass_sacked,0,,,,,
player,201509200rai,rav,ForsJu00,pass_sacked_yds,0,,,,,
player,201509200rai,rav,ForsJu00,pass_long,0,,,,,
player,201509200rai,rav,ForsJu00,pass_rating,,,,,,
player,201509200rai,rav,ForsJu00,rush_att,15,,,,,
player,201509200rai,rav,ForsJu00,rush_yds,68,,,,,
player,201509200rai,rav,ForsJu00,rush_td,0,,,,,
player,201509200rai,rav,ForsJu00,rush_long,16,,,,,
player,201509200rai,rav,ForsJu00,targets,4,,,,,
player,201509200rai,rav,ForsJu00,rec,4,,,,,
player,201509200rai,rav,ForsJu00,rec_yds,12,,,,,
player,201509200rai,rav,ForsJu00,rec_td,0,,,,,
player,201509200rai,rav,ForsJu00,rec_long,7,,,,,
player,201509200rai,rav,ForsJu00,fumbles,0,,,,,
player,201509200rai,rav,ForsJu00,fumbles_lost,0,,,,,
player,201509200rai,rav,TaliLo00,pass_cmp,0,,,,,
player,201509200rai,rav,TaliLo00,pass_att,0,,,,,
player,201509200rai,rav,TaliLo00,pass_yds,0,,,,,
player,201509200rai,rav,TaliLo00,pass_td,0,,,,,
player,201509200rai,rav,TaliLo00,pass_int,0,,,,,
player,201509200rai,rav,TaliLo00,pass_sacked,0,,,,,
player,201509200rai,rav,TaliLo00,pass_sacked_yds,0,,,,,
player,201509200rai,rav,TaliLo00,pass_long,0,,,,,
player,201509200rai,rav,TaliLo00,pass_rating,,,,,,
player,201509200rai,rav,TaliLo00,rush_att,7,,,,,
player,201509200rai,rav,TaliLo00,rush_yds,34,,,,,
player,201509200rai,rav,TaliLo00,rush_td,1,,,,,
player,201509200rai,rav,TaliLo00,rush_long,7,,,,,
player,201509200rai,rav,TaliLo00,targets,3,,,,,
player,201509200rai,rav,TaliLo00,rec,3,,,,,
player,201509200rai,rav,TaliLo00,rec_yds,12,,,,,
player,201509200rai,rav,TaliLo00,rec_td,0,,,,,
player,201509200rai,rav,TaliLo00,rec_long,6,,,,,
player,201509200rai,rav,TaliLo00,fumbles,0,,,,,
player,201509200rai,rav,TaliLo00,fumbles_lost,0,,,,,
player,201509200rai,rav,AlleJa01,pass_cmp,0,,,,,
player,201509200rai,rav,AlleJa01,pass_att,0,,,,,
player,201509200rai,rav,AlleJa01,pass_yds,0,,,,,
player,201509200rai,rav,AlleJa01,pass_td,0,,,,,
player,201509200rai,rav,AlleJa01,pass_int,0,,,,,
player,201509200rai,rav,AlleJa01,pass_sacked,0,,,,,
player,201509200rai,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201509200rai,rav,AlleJa01,pass_long,0,,,,,
player,201509200rai,rav,AlleJa01,pass_rating,,,,,,
player,201509200rai,rav,AlleJa01,rush_att,1,,,,,
