game,2015,3,20150927,201509270oti,clt,"Indianapolis Colts",35,oti,"Tennessee Titans",33
team,201509270oti,clt,First Downs,20,,,,,,
team,201509270oti,oti,First Downs,28,,,,,,
team,201509270oti,clt,Rush-Yds-TDs,23-133-2,,,,,,
team,201509270oti,oti,Rush-Yds-TDs,27-88-2,,,,,,
team,201509270oti,clt,Cmp-Att-Yd-TD-INT,18-30-260-2-2,,,,,,
team,201509270oti,oti,Cmp-Att-Yd-TD-INT,27-44-367-2-2,,,,,,
team,201509270oti,clt,Sacked-Yards,3-15,,,,,,
team,201509270oti,oti,Sacked-Yards,3-22,,,,,,
team,201509270oti,clt,Net Pass Yards,245,,,,,,
team,201509270oti,oti,Net Pass Yards,345,,,,,,
team,201509270oti,clt,Total Yards,378,,,,,,
team,201509270oti,oti,Total Yards,433,,,,,,
team,201509270oti,clt,Fumbles-Lost,1-0,,,,,,
team,201509270oti,oti,Fumbles-Lost,0-0,,,,,,
team,201509270oti,clt,Turnovers,2,,,,,,
team,201509270oti,oti,Turnovers,2,,,,,,
team,201509270oti,clt,Penalties-Yards,11-71,,,,,,
team,201509270oti,oti,Penalties-Yards,6-55,,,,,,
team,201509270oti,clt,Third Down Conv.,4-11,,,,,,
team,201509270oti,oti,Third Down Conv.,4-13,,,,,,
team,201509270oti,clt,Fourth Down Conv.,1-1,,,,,,
team,201509270oti,oti,Fourth Down Conv.,1-1,,,,,,
team,201509270oti,clt,Time of Possession,25:01,,,,,,
team,201509270oti,oti,Time of Possession,34:59,,,,,,
player,201509270oti,clt,LuckAn00,pass_cmp,18,,,,,
player,201509270oti,clt,LuckAn00,pass_att,30,,,,,
player,201509270oti,clt,LuckAn00,pass_yds,260,,,,,
player,201509270oti,clt,LuckAn00,pass_td,2,,,,,
player,201509270oti,clt,LuckAn00,pass_int,2,,,,,
player,201509270oti,clt,LuckAn00,pass_sacked,3,,,,,
player,201509270oti,clt,LuckAn00,pass_sacked_yds,15,,,,,
player,201509270oti,clt,LuckAn00,pass_long,48,,,,,
player,201509270oti,clt,LuckAn00,pass_rating,82.6,,,,,
player,201509270oti,clt,LuckAn00,rush_att,6,,,,,
player,201509270oti,clt,LuckAn00,rush_yds,21,,,,,
player,201509270oti,clt,LuckAn00,rush_td,0,,,,,
player,201509270oti,clt,LuckAn00,rush_long,15,,,,,
player,201509270oti,clt,LuckAn00,targets,0,,,,,
player,201509270oti,clt,LuckAn00,rec,0,,,,,
player,201509270oti,clt,LuckAn00,rec_yds,0,,,,,
player,201509270oti,clt,LuckAn00,rec_td,0,,,,,
player,201509270oti,clt,LuckAn00,rec_long,0,,,,,
player,201509270oti,clt,LuckAn00,fumbles,1,,,,,
player,201509270oti,clt,LuckAn00,fumbles_lost,0,,,,,
player,201509270oti,clt,GoreFr00,pass_cmp,0,,,,,
player,201509270oti,clt,GoreFr00,pass_att,0,,,,,
player,201509270oti,clt,GoreFr00,pass_yds,0,,,,,
player,201509270oti,clt,GoreFr00,pass_td,0,,,,,
player,201509270oti,clt,GoreFr00,pass_int,0,,,,,
player,201509270oti,clt,GoreFr00,pass_sacked,0,,,,,
player,201509270oti,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201509270oti,clt,GoreFr00,pass_long,0,,,,,
player,201509270oti,clt,GoreFr00,pass_rating,,,,,,
player,201509270oti,clt,GoreFr00,rush_att,14,,,,,
player,201509270oti,clt,GoreFr00,rush_yds,86,,,,,
player,201509270oti,clt,GoreFr00,rush_td,2,,,,,
player,201509270oti,clt,GoreFr00,rush_long,25,,,,,
player,201509270oti,clt,GoreFr00,targets,2,,,,,
player,201509270oti,clt,GoreFr00,rec,1,,,,,
player,201509270oti,clt,GoreFr00,rec_yds,8,,,,,
player,201509270oti,clt,GoreFr00,rec_td,0,,,,,
player,201509270oti,clt,GoreFr00,rec_long,8,,,,,
player,201509270oti,clt,GoreFr00,fumbles,0,,,,,
player,201509270oti,clt,GoreFr00,fumbles_lost,0,,,,,
player,201509270oti,clt,McAfPa44,pass_cmp,0,,,,,
player,201509270oti,clt,McAfPa44,pass_att,0,,,,,
player,201509270oti,clt,McAfPa44,pass_yds,0,,,,,
player,201509270oti,clt,McAfPa44,pass_td,0,,,,,
