game,2015,3,20150928,201509280gnb,kan,"Kansas City Chiefs",28,gnb,"Green Bay Packers",38
team,201509280gnb,kan,First Downs,23,,,,,,
team,201509280gnb,gnb,First Downs,26,,,,,,
team,201509280gnb,kan,Rush-Yds-TDs,18-75-3,,,,,,
team,201509280gnb,gnb,Rush-Yds-TDs,32-123-0,,,,,,
team,201509280gnb,kan,Cmp-Att-Yd-TD-INT,24-40-290-1-1,,,,,,
team,201509280gnb,gnb,Cmp-Att-Yd-TD-INT,24-35-333-5-0,,,,,,
team,201509280gnb,kan,Sacked-Yards,7-39,,,,,,
team,201509280gnb,gnb,Sacked-Yards,1-8,,,,,,
team,201509280gnb,kan,Net Pass Yards,251,,,,,,
team,201509280gnb,gnb,Net Pass Yards,325,,,,,,
team,201509280gnb,kan,Total Yards,326,,,,,,
team,201509280gnb,gnb,Total Yards,448,,,,,,
team,201509280gnb,kan,Fumbles-Lost,2-0,,,,,,
team,201509280gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201509280gnb,kan,Turnovers,1,,,,,,
team,201509280gnb,gnb,Turnovers,0,,,,,,
team,201509280gnb,kan,Penalties-Yards,7-38,,,,,,
team,201509280gnb,gnb,Penalties-Yards,12-89,,,,,,
team,201509280gnb,kan,Third Down Conv.,2-10,,,,,,
team,201509280gnb,gnb,Third Down Conv.,4-11,,,,,,
team,201509280gnb,kan,Fourth Down Conv.,2-2,,,,,,
team,201509280gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201509280gnb,kan,Time of Possession,26:30,,,,,,
team,201509280gnb,gnb,Time of Possession,33:30,,,,,,
player,201509280gnb,kan,SmitAl03,pass_cmp,24,,,,,
player,201509280gnb,kan,SmitAl03,pass_att,40,,,,,
player,201509280gnb,kan,SmitAl03,pass_yds,290,,,,,
player,201509280gnb,kan,SmitAl03,pass_td,1,,,,,
player,201509280gnb,kan,SmitAl03,pass_int,1,,,,,
player,201509280gnb,kan,SmitAl03,pass_sacked,7,,,,,
player,201509280gnb,kan,SmitAl03,pass_sacked_yds,39,,,,,
player,201509280gnb,kan,SmitAl03,pass_long,61,,,,,
player,201509280gnb,kan,SmitAl03,pass_rating,80.2,,,,,
player,201509280gnb,kan,SmitAl03,rush_att,6,,,,,
player,201509280gnb,kan,SmitAl03,rush_yds,33,,,,,
player,201509280gnb,kan,SmitAl03,rush_td,0,,,,,
player,201509280gnb,kan,SmitAl03,rush_long,19,,,,,
player,201509280gnb,kan,SmitAl03,targets,0,,,,,
player,201509280gnb,kan,SmitAl03,rec,0,,,,,
player,201509280gnb,kan,SmitAl03,rec_yds,0,,,,,
player,201509280gnb,kan,SmitAl03,rec_td,0,,,,,
player,201509280gnb,kan,SmitAl03,rec_long,0,,,,,
player,201509280gnb,kan,SmitAl03,fumbles,2,,,,,
player,201509280gnb,kan,SmitAl03,fumbles_lost,0,,,,,
player,201509280gnb,kan,CharJa00,pass_cmp,0,,,,,
player,201509280gnb,kan,CharJa00,pass_att,0,,,,,
player,201509280gnb,kan,CharJa00,pass_yds,0,,,,,
player,201509280gnb,kan,CharJa00,pass_td,0,,,,,
player,201509280gnb,kan,CharJa00,pass_int,0,,,,,
player,201509280gnb,kan,CharJa00,pass_sacked,0,,,,,
player,201509280gnb,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201509280gnb,kan,CharJa00,pass_long,0,,,,,
player,201509280gnb,kan,CharJa00,pass_rating,,,,,,
player,201509280gnb,kan,CharJa00,rush_att,11,,,,,
