game,2015,8,20151101,201511010chi,min,"Minnesota Vikings",23,chi,"Chicago Bears",20
team,201511010chi,min,First Downs,17,,,,,,
team,201511010chi,chi,First Downs,18,,,,,,
team,201511010chi,min,Rush-Yds-TDs,25-147-0,,,,,,
team,201511010chi,chi,Rush-Yds-TDs,25-97-1,,,,,,
team,201511010chi,min,Cmp-Att-Yd-TD-INT,17-30-187-1-1,,,,,,
team,201511010chi,chi,Cmp-Att-Yd-TD-INT,22-33-211-1-0,,,,,,
team,201511010chi,min,Sacked-Yards,1-7,,,,,,
team,201511010chi,chi,Sacked-Yards,1-3,,,,,,
team,201511010chi,min,Net Pass Yards,180,,,,,,
team,201511010chi,chi,Net Pass Yards,208,,,,,,
team,201511010chi,min,Total Yards,327,,,,,,
team,201511010chi,chi,Total Yards,305,,,,,,
team,201511010chi,min,Fumbles-Lost,1-0,,,,,,
team,201511010chi,chi,Fumbles-Lost,2-0,,,,,,
team,201511010chi,min,Turnovers,1,,,,,,
team,201511010chi,chi,Turnovers,0,,,,,,
team,201511010chi,min,Penalties-Yards,4-35,,,,,,
team,201511010chi,chi,Penalties-Yards,4-38,,,,,,
team,201511010chi,min,Third Down Conv.,5-12,,,,,,
team,201511010chi,chi,Third Down Conv.,3-12,,,,,,
team,201511010chi,min,Fourth Down Conv.,0-0,,,,,,
team,201511010chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201511010chi,min,Time of Possession,27:18,,,,,,
team,201511010chi,chi,Time of Possession,32:42,,,,,,
player,201511010chi,min,BridTe00,pass_cmp,17,,,,,
player,201511010chi,min,BridTe00,pass_att,30,,,,,
player,201511010chi,min,BridTe00,pass_yds,187,,,,,
player,201511010chi,min,BridTe00,pass_td,1,,,,,
player,201511010chi,min,BridTe00,pass_int,1,,,,,
player,201511010chi,min,BridTe00,pass_sacked,1,,,,,
player,201511010chi,min,BridTe00,pass_sacked_yds,7,,,,,
player,201511010chi,min,BridTe00,pass_long,40,,,,,
player,201511010chi,min,BridTe00,pass_rating,72.5,,,,,
player,201511010chi,min,BridTe00,rush_att,2,,,,,
player,201511010chi,min,BridTe00,rush_yds,21,,,,,
player,201511010chi,min,BridTe00,rush_td,0,,,,,
player,201511010chi,min,BridTe00,rush_long,19,,,,,
player,201511010chi,min,BridTe00,targets,0,,,,,
player,201511010chi,min,BridTe00,rec,0,,,,,
player,201511010chi,min,BridTe00,rec_yds,0,,,,,
player,201511010chi,min,BridTe00,rec_td,0,,,,,
player,201511010chi,min,BridTe00,rec_long,0,,,,,
player,201511010chi,min,BridTe00,fumbles,0,,,,,
player,201511010chi,min,BridTe00,fumbles_lost,0,,,,,
player,201511010chi,min,PeteAd01,pass_cmp,0,,,,,
player,201511010chi,min,PeteAd01,pass_att,0,,,,,
player,201511010chi,min,PeteAd01,pass_yds,0,,,,,
player,201511010chi,min,PeteAd01,pass_td,0,,,,,
player,201511010chi,min,PeteAd01,pass_int,0,,,,,
player,201511010chi,min,PeteAd01,pass_sacked,0,,,,,
player,201511010chi,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201511010chi,min,PeteAd01,pass_long,0,,,,,
player,201511010chi,min,PeteAd01,pass_rating,,,,,,
player,201511010chi,min,PeteAd01,rush_att,20,,,,,
player,201511010chi,min,PeteAd01,rush_yds,103,,,,,
player,201511010chi,min,PeteAd01,rush_td,0,,,,,
player,201511010chi,min,PeteAd01,rush_long,12,,,,,
player,201511010chi,min,PeteAd01,targets,2,,,,,
player,201511010chi,min,PeteAd01,rec,2,,,,,
player,201511010chi,min,PeteAd01,rec_yds,6,,,,,
player,201511010chi,min,PeteAd01,rec_td,0,,,,,
player,201511010chi,min,PeteAd01,rec_long,5,,,,,
player,201511010chi,min,PeteAd01,fumbles,0,,,,,
player,201511010chi,min,PeteAd01,fumbles_lost,0,,,,,
player,201511010chi,min,McKiJe00,pass_cmp,0,,,,,
player,201511010chi,min,McKiJe00,pass_att,0,,,,,
player,201511010chi,min,McKiJe00,pass_yds,0,,,,,
player,201511010chi,min,McKiJe00,pass_td,0,,,,,
player,201511010chi,min,McKiJe00,pass_int,0,,,,,
player,201511010chi,min,McKiJe00,pass_sacked,0,,,,,
player,201511010chi,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201511010chi,min,McKiJe00,pass_long,0,,,,,
player,201511010chi,min,McKiJe00,pass_rating,,,,,,
player,201511010chi,min,McKiJe00,rush_att,2,,,,,
player,201511010chi,min,McKiJe00,rush_yds,18,,,,,
player,201511010chi,min,McKiJe00,rush_td,0,,,,,
player,201511010chi,min,McKiJe00,rush_long,16,,,,,
player,201511010chi,min,McKiJe00,targets,0,,,,,
player,201511010chi,min,McKiJe00,rec,0,,,,,
player,201511010chi,min,McKiJe00,rec_yds,0,,,,,
player,201511010chi,min,McKiJe00,rec_td,0,,,,,
player,201511010chi,min,McKiJe00,rec_long,0,,,,,
player,201511010chi,min,McKiJe00,fumbles,0,,,,,
player,201511010chi,min,McKiJe00,fumbles_lost,0,,,,,
player,201511010chi,min,AsiaMa00,pass_cmp,0,,,,,
player,201511010chi,min,AsiaMa00,pass_att,0,,,,,
player,201511010chi,min,AsiaMa00,pass_yds,0,,,,,
player,201511010chi,min,AsiaMa00,pass_td,0,,,,,
player,201511010chi,min,AsiaMa00,pass_int,0,,,,,
player,201511010chi,min,AsiaMa00,pass_sacked,0,,,,,
player,201511010chi,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201511010chi,min,AsiaMa00,pass_long,0,,,,,
player,201511010chi,min,AsiaMa00,pass_rating,,,,,,
player,201511010chi,min,AsiaMa00,rush_att,1,,,,,
player,201511010chi,min,AsiaMa00,rush_yds,5,,,,,
player,201511010chi,min,AsiaMa00,rush_td,0,,,,,
player,201511010chi,min,AsiaMa00,rush_long,5,,,,,
player,201511010chi,min,AsiaMa00,targets,3,,,,,
player,201511010chi,min,AsiaMa00,rec,3,,,,,
player,201511010chi,min,AsiaMa00,rec_yds,6,,,,,
player,201511010chi,min,AsiaMa00,rec_td,0,,,,,
player,201511010chi,min,AsiaMa00,rec_long,12,,,,,
player,201511010chi,min,AsiaMa00,fumbles,0,,,,,
player,201511010chi,min,AsiaMa00,fumbles_lost,0,,,,,
player,201511010chi,min,DiggSt00,pass_cmp,0,,,,,
player,201511010chi,min,DiggSt00,pass_att,0,,,,,
player,201511010chi,min,DiggSt00,pass_yds,0,,,,,
player,201511010chi,min,DiggSt00,pass_td,0,,,,,
player,201511010chi,min,DiggSt00,pass_int,0,,,,,
player,201511010chi,min,DiggSt00,pass_sacked,0,,,,,
player,201511010chi,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201511010chi,min,DiggSt00,pass_long,0,,,,,
player,201511010chi,min,DiggSt00,pass_rating,,,,,,
player,201511010chi,min,DiggSt00,rush_att,0,,,,,
player,201511010chi,min,DiggSt00,rush_yds,0,,,,,
player,201511010chi,min,DiggSt00,rush_td,0,,,,,
player,201511010chi,min,DiggSt00,rush_long,0,,,,,
player,201511010chi,min,DiggSt00,targets,12,,,,,
player,201511010chi,min,DiggSt00,rec,6,,,,,
player,201511010chi,min,DiggSt00,rec_yds,95,,,,,
player,201511010chi,min,DiggSt00,rec_td,1,,,,,
player,201511010chi,min,DiggSt00,rec_long,40,,,,,
player,201511010chi,min,DiggSt00,fumbles,0,,,,,
player,201511010chi,min,DiggSt00,fumbles_lost,0,,,,,
player,201511010chi,min,JohnCh08,pass_cmp,0,,,,,
player,201511010chi,min,JohnCh08,pass_att,0,,,,,
player,201511010chi,min,JohnCh08,pass_yds,0,,,,,
player,201511010chi,min,JohnCh08,pass_td,0,,,,,
player,201511010chi,min,JohnCh08,pass_int,0,,,,,
player,201511010chi,min,JohnCh08,pass_sacked,0,,,,,
player,201511010chi,min,JohnCh08,pass_sacked_yds,0,,,,,
player,201511010chi,min,JohnCh08,pass_long,0,,,,,
player,201511010chi,min,JohnCh08,pass_rating,,,,,,
player,201511010chi,min,JohnCh08,rush_att,0,,,,,
player,201511010chi,min,JohnCh08,rush_yds,0,,,,,
player,201511010chi,min,JohnCh08,rush_td,0,,,,,
player,201511010chi,min,JohnCh08,rush_long,0,,,,,
player,201511010chi,min,JohnCh08,targets,1,,,,,
player,201511010chi,min,JohnCh08,rec,1,,,,,
player,201511010chi,min,JohnCh08,rec_yds,35,,,,,
player,201511010chi,min,JohnCh08,rec_td,0,,,,,
player,201511010chi,min,JohnCh08,rec_long,35,,,,,
player,201511010chi,min,JohnCh08,fumbles,0,,,,,
player,201511010chi,min,JohnCh08,fumbles_lost,0,,,,,
player,201511010chi,min,RudoKy00,pass_cmp,0,,,,,
player,201511010chi,min,RudoKy00,pass_att,0,,,,,
player,201511010chi,min,RudoKy00,pass_yds,0,,,,,
player,201511010chi,min,RudoKy00,pass_td,0,,,,,
player,201511010chi,min,RudoKy00,pass_int,0,,,,,
player,201511010chi,min,RudoKy00,pass_sacked,0,,,,,
player,201511010chi,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201511010chi,min,RudoKy00,pass_long,0,,,,,
player,201511010chi,min,RudoKy00,pass_rating,,,,,,
player,201511010chi,min,RudoKy00,rush_att,0,,,,,
player,201511010chi,min,RudoKy00,rush_yds,0,,,,,
player,201511010chi,min,RudoKy00,rush_td,0,,,,,
player,201511010chi,min,RudoKy00,rush_long,0,,,,,
player,201511010chi,min,RudoKy00,targets,2,,,,,
player,201511010chi,min,RudoKy00,rec,2,,,,,
player,201511010chi,min,RudoKy00,rec_yds,22,,,,,
player,201511010chi,min,RudoKy00,rec_td,0,,,,,
player,201511010chi,min,RudoKy00,rec_long,16,,,,,
player,201511010chi,min,RudoKy00,fumbles,0,,,,,
player,201511010chi,min,RudoKy00,fumbles_lost,0,,,,,
player,201511010chi,min,PruiMy00,pass_cmp,0,,,,,
player,201511010chi,min,PruiMy00,pass_att,0,,,,,
player,201511010chi,min,PruiMy00,pass_yds,0,,,,,
player,201511010chi,min,PruiMy00,pass_td,0,,,,,
player,201511010chi,min,PruiMy00,pass_int,0,,,,,
player,201511010chi,min,PruiMy00,pass_sacked,0,,,,,
player,201511010chi,min,PruiMy00,pass_sacked_yds,0,,,,,
player,201511010chi,min,PruiMy00,pass_long,0,,,,,
player,201511010chi,min,PruiMy00,pass_rating,,,,,,
player,201511010chi,min,PruiMy00,rush_att,0,,,,,
player,201511010chi,min,PruiMy00,rush_yds,0,,,,,
player,201511010chi,min,PruiMy00,rush_td,0,,,,,
player,201511010chi,min,PruiMy00,rush_long,0,,,,,
player,201511010chi,min,PruiMy00,targets,3,,,,,
player,201511010chi,min,PruiMy00,rec,2,,,,,
player,201511010chi,min,PruiMy00,rec_yds,15,,,,,
player,201511010chi,min,PruiMy00,rec_td,0,,,,,
player,201511010chi,min,PruiMy00,rec_long,9,,,,,
player,201511010chi,min,PruiMy00,fumbles,0,,,,,
player,201511010chi,min,PruiMy00,fumbles_lost,0,,,,,
player,201511010chi,min,WrigJa02,pass_cmp,0,,,,,
player,201511010chi,min,WrigJa02,pass_att,0,,,,,
player,201511010chi,min,WrigJa02,pass_yds,0,,,,,
player,201511010chi,min,WrigJa02,pass_td,0,,,,,
player,201511010chi,min,WrigJa02,pass_int,0,,,,,
player,201511010chi,min,WrigJa02,pass_sacked,0,,,,,
player,201511010chi,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201511010chi,min,WrigJa02,pass_long,0,,,,,
player,201511010chi,min,WrigJa02,pass_rating,,,,,,
player,201511010chi,min,WrigJa02,rush_att,0,,,,,
player,201511010chi,min,WrigJa02,rush_yds,0,,,,,
player,201511010chi,min,WrigJa02,rush_td,0,,,,,
player,201511010chi,min,WrigJa02,rush_long,0,,,,,
player,201511010chi,min,WrigJa02,targets,2,,,,,
player,201511010chi,min,WrigJa02,rec,1,,,,,
player,201511010chi,min,WrigJa02,rec_yds,8,,,,,
player,201511010chi,min,WrigJa02,rec_td,0,,,,,
player,201511010chi,min,WrigJa02,rec_long,8,,,,,
player,201511010chi,min,WrigJa02,fumbles,0,,,,,
player,201511010chi,min,WrigJa02,fumbles_lost,0,,,,,
player,201511010chi,min,WallMi00,pass_cmp,0,,,,,
player,201511010chi,min,WallMi00,pass_att,0,,,,,
player,201511010chi,min,WallMi00,pass_yds,0,,,,,
player,201511010chi,min,WallMi00,pass_td,0,,,,,
player,201511010chi,min,WallMi00,pass_int,0,,,,,
player,201511010chi,min,WallMi00,pass_sacked,0,,,,,
player,201511010chi,min,WallMi00,pass_sacked_yds,0,,,,,
player,201511010chi,min,WallMi00,pass_long,0,,,,,
player,201511010chi,min,WallMi00,pass_rating,,,,,,
player,201511010chi,min,WallMi00,rush_att,0,,,,,
player,201511010chi,min,WallMi00,rush_yds,0,,,,,
player,201511010chi,min,WallMi00,rush_td,0,,,,,
player,201511010chi,min,WallMi00,rush_long,0,,,,,
player,201511010chi,min,WallMi00,targets,4,,,,,
player,201511010chi,min,WallMi00,rec,0,,,,,
player,201511010chi,min,WallMi00,rec_yds,0,,,,,
player,201511010chi,min,WallMi00,rec_td,0,,,,,
player,201511010chi,min,WallMi00,rec_long,0,,,,,
player,201511010chi,min,WallMi00,fumbles,0,,,,,
player,201511010chi,min,WallMi00,fumbles_lost,0,,,,,
player,201511010chi,chi,CutlJa00,pass_cmp,22,,,,,
player,201511010chi,chi,CutlJa00,pass_att,33,,,,,
player,201511010chi,chi,CutlJa00,pass_yds,211,,,,,
player,201511010chi,chi,CutlJa00,pass_td,1,,,,,
player,201511010chi,chi,CutlJa00,pass_int,0,,,,,
player,201511010chi,chi,CutlJa00,pass_sacked,1,,,,,
player,201511010chi,chi,CutlJa00,pass_sacked_yds,3,,,,,
player,201511010chi,chi,CutlJa00,pass_long,28,,,,,
player,201511010chi,chi,CutlJa00,pass_rating,94.4,,,,,
player,201511010chi,chi,CutlJa00,rush_att,2,,,,,
player,201511010chi,chi,CutlJa00,rush_yds,11,,,,,
player,201511010chi,chi,CutlJa00,rush_td,1,,,,,
player,201511010chi,chi,CutlJa00,rush_long,7,,,,,
player,201511010chi,chi,CutlJa00,targets,0,,,,,
player,201511010chi,chi,CutlJa00,rec,0,,,,,
player,201511010chi,chi,CutlJa00,rec_yds,0,,,,,
player,201511010chi,chi,CutlJa00,rec_td,0,,,,,
player,201511010chi,chi,CutlJa00,rec_long,0,,,,,
player,201511010chi,chi,CutlJa00,fumbles,0,,,,,
player,201511010chi,chi,CutlJa00,fumbles_lost,0,,,,,
player,201511010chi,chi,LangJe00,pass_cmp,0,,,,,
player,201511010chi,chi,LangJe00,pass_att,0,,,,,
player,201511010chi,chi,LangJe00,pass_yds,0,,,,,
player,201511010chi,chi,LangJe00,pass_td,0,,,,,
player,201511010chi,chi,LangJe00,pass_int,0,,,,,
player,201511010chi,chi,LangJe00,pass_sacked,0,,,,,
player,201511010chi,chi,LangJe00,pass_sacked_yds,0,,,,,
player,201511010chi,chi,LangJe00,pass_long,0,,,,,
player,201511010chi,chi,LangJe00,pass_rating,,,,,,
player,201511010chi,chi,LangJe00,rush_att,12,,,,,
player,201511010chi,chi,LangJe00,rush_yds,46,,,,,
player,201511010chi,chi,LangJe00,rush_td,0,,,,,
player,201511010chi,chi,LangJe00,rush_long,9,,,,,
player,201511010chi,chi,LangJe00,targets,1,,,,,
player,201511010chi,chi,LangJe00,rec,0,,,,,
player,201511010chi,chi,LangJe00,rec_yds,0,,,,,
player,201511010chi,chi,LangJe00,rec_td,0,,,,,
player,201511010chi,chi,LangJe00,rec_long,0,,,,,
player,201511010chi,chi,LangJe00,fumbles,0,,,,,
player,201511010chi,chi,LangJe00,fumbles_lost,0,,,,,
player,201511010chi,chi,FortMa00,pass_cmp,0,,,,,
player,201511010chi,chi,FortMa00,pass_att,0,,,,,
player,201511010chi,chi,FortMa00,pass_yds,0,,,,,
player,201511010chi,chi,FortMa00,pass_td,0,,,,,
player,201511010chi,chi,FortMa00,pass_int,0,,,,,
player,201511010chi,chi,FortMa00,pass_sacked,0,,,,,
player,201511010chi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201511010chi,chi,FortMa00,pass_long,0,,,,,
player,201511010chi,chi,FortMa00,pass_rating,,,,,,
player,201511010chi,chi,FortMa00,rush_att,10,,,,,
player,201511010chi,chi,FortMa00,rush_yds,41,,,,,
player,201511010chi,chi,FortMa00,rush_td,0,,,,,
player,201511010chi,chi,FortMa00,rush_long,14,,,,,
player,201511010chi,chi,FortMa00,targets,4,,,,,
player,201511010chi,chi,FortMa00,rec,4,,,,,
player,201511010chi,chi,FortMa00,rec_yds,28,,,,,
player,201511010chi,chi,FortMa00,rec_td,0,,,,,
player,201511010chi,chi,FortMa00,rec_long,17,,,,,
player,201511010chi,chi,FortMa00,fumbles,0,,,,,
player,201511010chi,chi,FortMa00,fumbles_lost,0,,,,,
player,201511010chi,chi,JeffAl00,pass_cmp,0,,,,,
player,201511010chi,chi,JeffAl00,pass_att,0,,,,,
player,201511010chi,chi,JeffAl00,pass_yds,0,,,,,
player,201511010chi,chi,JeffAl00,pass_td,0,,,,,
player,201511010chi,chi,JeffAl00,pass_int,0,,,,,
player,201511010chi,chi,JeffAl00,pass_sacked,0,,,,,
player,201511010chi,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201511010chi,chi,JeffAl00,pass_long,0,,,,,
player,201511010chi,chi,JeffAl00,pass_rating,,,,,,
player,201511010chi,chi,JeffAl00,rush_att,0,,,,,
player,201511010chi,chi,JeffAl00,rush_yds,0,,,,,
player,201511010chi,chi,JeffAl00,rush_td,0,,,,,
player,201511010chi,chi,JeffAl00,rush_long,0,,,,,
player,201511010chi,chi,JeffAl00,targets,15,,,,,
player,201511010chi,chi,JeffAl00,rec,10,,,,,
player,201511010chi,chi,JeffAl00,rec_yds,116,,,,,
player,201511010chi,chi,JeffAl00,rec_td,1,,,,,
player,201511010chi,chi,JeffAl00,rec_long,28,,,,,
player,201511010chi,chi,JeffAl00,fumbles,0,,,,,
player,201511010chi,chi,JeffAl00,fumbles_lost,0,,,,,
player,201511010chi,chi,BennMa00,pass_cmp,0,,,,,
player,201511010chi,chi,BennMa00,pass_att,0,,,,,
player,201511010chi,chi,BennMa00,pass_yds,0,,,,,
player,201511010chi,chi,BennMa00,pass_td,0,,,,,
player,201511010chi,chi,BennMa00,pass_int,0,,,,,
player,201511010chi,chi,BennMa00,pass_sacked,0,,,,,
player,201511010chi,chi,BennMa00,pass_sacked_yds,0,,,,,
player,201511010chi,chi,BennMa00,pass_long,0,,,,,
player,201511010chi,chi,BennMa00,pass_rating,,,,,,
player,201511010chi,chi,BennMa00,rush_att,0,,,,,
player,201511010chi,chi,BennMa00,rush_yds,0,,,,,
player,201511010chi,chi,BennMa00,rush_td,0,,,,,
player,201511010chi,chi,BennMa00,rush_long,0,,,,,
player,201511010chi,chi,BennMa00,targets,5,,,,,
player,201511010chi,chi,BennMa00,rec,3,,,,,
player,201511010chi,chi,BennMa00,rec_yds,32,,,,,
player,201511010chi,chi,BennMa00,rec_td,0,,,,,
player,201511010chi,chi,BennMa00,rec_long,20,,,,,
player,201511010chi,chi,BennMa00,fumbles,0,,,,,
player,201511010chi,chi,BennMa00,fumbles_lost,0,,,,,
player,201511010chi,chi,MariMa00,pass_cmp,0,,,,,
player,201511010chi,chi,MariMa00,pass_att,0,,,,,
player,201511010chi,chi,MariMa00,pass_yds,0,,,,,
player,201511010chi,chi,MariMa00,pass_td,0,,,,,
player,201511010chi,chi,MariMa00,pass_int,0,,,,,
player,201511010chi,chi,MariMa00,pass_sacked,0,,,,,
player,201511010chi,chi,MariMa00,pass_sacked_yds,0,,,,,
player,201511010chi,chi,MariMa00,pass_long,0,,,,,
player,201511010chi,chi,MariMa00,pass_rating,,,,,,
player,201511010chi,chi,MariMa00,rush_att,0,,,,,
player,201511010chi,chi,MariMa00,rush_yds,0,,,,,
player,201511010chi,chi,MariMa00,rush_td,0,,,,,
player,201511010chi,chi,MariMa00,rush_long,0,,,,,
player,201511010chi,chi,MariMa00,targets,2,,,,,
player,201511010chi,chi,MariMa00,rec,1,,,,,
player,201511010chi,chi,MariMa00,rec_yds,19,,,,,
player,201511010chi,chi,MariMa00,rec_td,0,,,,,
player,201511010chi,chi,MariMa00,rec_long,19,,,,,
player,201511010chi,chi,MariMa00,fumbles,2,,,,,
player,201511010chi,chi,MariMa00,fumbles_lost,0,,,,,
player,201511010chi,chi,WilsMa02,pass_cmp,0,,,,,
player,201511010chi,chi,WilsMa02,pass_att,0,,,,,
player,201511010chi,chi,WilsMa02,pass_yds,0,,,,,
player,201511010chi,chi,WilsMa02,pass_td,0,,,,,
player,201511010chi,chi,WilsMa02,pass_int,0,,,,,
player,201511010chi,chi,WilsMa02,pass_sacked,0,,,,,
player,201511010chi,chi,WilsMa02,pass_sacked_yds,0,,,,,
player,201511010chi,chi,WilsMa02,pass_long,0,,,,,
player,201511010chi,chi,WilsMa02,pass_rating,,,,,,
player,201511010chi,chi,WilsMa02,rush_att,0,,,,,
player,201511010chi,chi,WilsMa02,rush_yds,0,,,,,
player,201511010chi,chi,WilsMa02,rush_td,0,,,,,
player,201511010chi,chi,WilsMa02,rush_long,0,,,,,
player,201511010chi,chi,WilsMa02,targets,3,,,,,
player,201511010chi,chi,WilsMa02,rec,1,,,,,
player,201511010chi,chi,WilsMa02,rec_yds,14,,,,,
player,201511010chi,chi,WilsMa02,rec_td,0,,,,,
player,201511010chi,chi,WilsMa02,rec_long,14,,,,,
player,201511010chi,chi,WilsMa02,fumbles,0,,,,,
player,201511010chi,chi,WilsMa02,fumbles_lost,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_cmp,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_att,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_yds,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_td,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_int,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_sacked,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_sacked_yds,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_long,0,,,,,
player,201511010chi,chi,RoyaEd00,pass_rating,,,,,,
player,201511010chi,chi,RoyaEd00,rush_att,1,,,,,
player,201511010chi,chi,RoyaEd00,rush_yds,-1,,,,,
player,201511010chi,chi,RoyaEd00,rush_td,0,,,,,
player,201511010chi,chi,RoyaEd00,rush_long,-1,,,,,
player,201511010chi,chi,RoyaEd00,targets,3,,,,,
player,201511010chi,chi,RoyaEd00,rec,3,,,,,
player,201511010chi,chi,RoyaEd00,rec_yds,2,,,,,
player,201511010chi,chi,RoyaEd00,rec_td,0,,,,,
player,201511010chi,chi,RoyaEd00,rec_long,2,,,,,
player,201511010chi,chi,RoyaEd00,fumbles,0,,,,,
player,201511010chi,chi,RoyaEd00,fumbles_lost,0,,,,,
player,201511010chi,min,HuntDa01,def_int,0,,,,,
player,201511010chi,min,HuntDa01,def_int_yds,0,,,,,
player,201511010chi,min,HuntDa01,def_int_td,0,,,,,
player,201511010chi,min,HuntDa01,def_int_long,0,,,,,
player,201511010chi,min,HuntDa01,pass_defended,0,,,,,
player,201511010chi,min,HuntDa01,sacks,1.0,,,,,
player,201511010chi,min,HuntDa01,tackles_combined,1,,,,,
player,201511010chi,min,HuntDa01,tackles_solo,1,,,,,
player,201511010chi,min,HuntDa01,tackles_assists,0,,,,,
player,201511010chi,min,HuntDa01,tackles_loss,1,,,,,
player,201511010chi,min,HuntDa01,qb_hits,1,,,,,
player,201511010chi,min,HuntDa01,fumbles_rec,0,,,,,
player,201511010chi,min,HuntDa01,fumbles_rec_yds,0,,,,,
player,201511010chi,min,HuntDa01,fumbles_rec_td,0,,,,,
