game,2015,11,20151122,201511220rav,ram,"St. Louis Rams",13,rav,"Baltimore Ravens",16
player,201511220rav,ram,CookJa02,pass_cmp,0,,,,,
player,201511220rav,ram,CookJa02,pass_att,0,,,,,
player,201511220rav,ram,CookJa02,pass_yds,0,,,,,
player,201511220rav,ram,CookJa02,pass_td,0,,,,,
player,201511220rav,ram,CookJa02,pass_int,0,,,,,
player,201511220rav,ram,CookJa02,pass_sacked,0,,,,,
player,201511220rav,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201511220rav,ram,CookJa02,pass_long,0,,,,,
player,201511220rav,ram,CookJa02,pass_rating,,,,,,
player,201511220rav,ram,CookJa02,rush_att,0,,,,,
player,201511220rav,ram,CookJa02,rush_yds,0,,,,,
player,201511220rav,ram,CookJa02,rush_td,0,,,,,
player,201511220rav,ram,CookJa02,rush_long,0,,,,,
player,201511220rav,ram,CookJa02,targets,6,,,,,
player,201511220rav,ram,CookJa02,rec,4,,,,,
player,201511220rav,ram,CookJa02,rec_yds,31,,,,,
player,201511220rav,ram,CookJa02,rec_td,0,,,,,
player,201511220rav,ram,CookJa02,rec_long,16,,,,,
player,201511220rav,ram,CookJa02,fumbles,0,,,,,
player,201511220rav,ram,CookJa02,fumbles_lost,0,,,,,
player,201511220rav,ram,BritKe00,pass_cmp,0,,,,,
player,201511220rav,ram,BritKe00,pass_att,0,,,,,
player,201511220rav,ram,BritKe00,pass_yds,0,,,,,
player,201511220rav,ram,BritKe00,pass_td,0,,,,,
player,201511220rav,ram,BritKe00,pass_int,0,,,,,
player,201511220rav,ram,BritKe00,pass_sacked,0,,,,,
player,201511220rav,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201511220rav,ram,BritKe00,pass_long,0,,,,,
player,201511220rav,ram,BritKe00,pass_rating,,,,,,
player,201511220rav,ram,BritKe00,rush_att,0,,,,,
player,201511220rav,ram,BritKe00,rush_yds,0,,,,,
player,201511220rav,ram,BritKe00,rush_td,0,,,,,
player,201511220rav,ram,BritKe00,rush_long,0,,,,,
player,201511220rav,ram,BritKe00,targets,5,,,,,
player,201511220rav,ram,BritKe00,rec,2,,,,,
player,201511220rav,ram,BritKe00,rec_yds,24,,,,,
player,201511220rav,ram,BritKe00,rec_td,0,,,,,
player,201511220rav,ram,BritKe00,rec_long,16,,,,,
player,201511220rav,ram,BritKe00,fumbles,0,,,,,
player,201511220rav,ram,BritKe00,fumbles_lost,0,,,,,
player,201511220rav,ram,CunnBe01,pass_cmp,0,,,,,
player,201511220rav,ram,CunnBe01,pass_att,0,,,,,
player,201511220rav,ram,CunnBe01,pass_yds,0,,,,,
player,201511220rav,ram,CunnBe01,pass_td,0,,,,,
player,201511220rav,ram,CunnBe01,pass_int,0,,,,,
player,201511220rav,ram,CunnBe01,pass_sacked,0,,,,,
player,201511220rav,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201511220rav,ram,CunnBe01,pass_long,0,,,,,
player,201511220rav,ram,CunnBe01,pass_rating,,,,,,
player,201511220rav,ram,CunnBe01,rush_att,1,,,,,
player,201511220rav,ram,CunnBe01,rush_yds,0,,,,,
player,201511220rav,ram,CunnBe01,rush_td,0,,,,,
