game,2015,3,20150927,201509270dal,atl,"Atlanta Falcons",39,dal,"Dallas Cowboys",28
team,201509270dal,atl,First Downs,26,,,,,,
team,201509270dal,dal,First Downs,23,,,,,,
team,201509270dal,atl,Rush-Yds-TDs,32-158-3,,,,,,
team,201509270dal,dal,Rush-Yds-TDs,21-127-4,,,,,,
team,201509270dal,atl,Cmp-Att-Yd-TD-INT,24-36-285-2-0,,,,,,
team,201509270dal,dal,Cmp-Att-Yd-TD-INT,22-26-232-0-1,,,,,,
team,201509270dal,atl,Sacked-Yards,1-5,,,,,,
team,201509270dal,dal,Sacked-Yards,2-12,,,,,,
team,201509270dal,atl,Net Pass Yards,280,,,,,,
team,201509270dal,dal,Net Pass Yards,220,,,,,,
team,201509270dal,atl,Total Yards,438,,,,,,
team,201509270dal,dal,Total Yards,347,,,,,,
team,201509270dal,atl,Fumbles-Lost,0-0,,,,,,
team,201509270dal,dal,Fumbles-Lost,0-0,,,,,,
team,201509270dal,atl,Turnovers,0,,,,,,
team,201509270dal,dal,Turnovers,1,,,,,,
team,201509270dal,atl,Penalties-Yards,6-70,,,,,,
team,201509270dal,dal,Penalties-Yards,5-31,,,,,,
team,201509270dal,atl,Third Down Conv.,9-14,,,,,,
team,201509270dal,dal,Third Down Conv.,1-6,,,,,,
team,201509270dal,atl,Fourth Down Conv.,0-0,,,,,,
team,201509270dal,dal,Fourth Down Conv.,0-1,,,,,,
team,201509270dal,atl,Time of Possession,34:13,,,,,,
team,201509270dal,dal,Time of Possession,25:47,,,,,,
player,201509270dal,atl,RyanMa00,pass_cmp,24,,,,,
player,201509270dal,atl,RyanMa00,pass_att,36,,,,,
player,201509270dal,atl,RyanMa00,pass_yds,285,,,,,
player,201509270dal,atl,RyanMa00,pass_td,2,,,,,
player,201509270dal,atl,RyanMa00,pass_int,0,,,,,
player,201509270dal,atl,RyanMa00,pass_sacked,1,,,,,
player,201509270dal,atl,RyanMa00,pass_sacked_yds,5,,,,,
player,201509270dal,atl,RyanMa00,pass_long,45,,,,,
player,201509270dal,atl,RyanMa00,pass_rating,109.1,,,,,
player,201509270dal,atl,RyanMa00,rush_att,2,,,,,
player,201509270dal,atl,RyanMa00,rush_yds,17,,,,,
player,201509270dal,atl,RyanMa00,rush_td,0,,,,,
player,201509270dal,atl,RyanMa00,rush_long,18,,,,,
player,201509270dal,atl,RyanMa00,targets,0,,,,,
player,201509270dal,atl,RyanMa00,rec,0,,,,,
player,201509270dal,atl,RyanMa00,rec_yds,0,,,,,
player,201509270dal,atl,RyanMa00,rec_td,0,,,,,
player,201509270dal,atl,RyanMa00,rec_long,0,,,,,
player,201509270dal,atl,RyanMa00,fumbles,0,,,,,
player,201509270dal,atl,RyanMa00,fumbles_lost,0,,,,,
player,201509270dal,atl,FreeDe00,pass_cmp,0,,,,,
player,201509270dal,atl,FreeDe00,pass_att,0,,,,,
player,201509270dal,atl,FreeDe00,pass_yds,0,,,,,
player,201509270dal,atl,FreeDe00,pass_td,0,,,,,
player,201509270dal,atl,FreeDe00,pass_int,0,,,,,
player,201509270dal,atl,FreeDe00,pass_sacked,0,,,,,
player,201509270dal,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201509270dal,atl,FreeDe00,pass_long,0,,,,,
player,201509270dal,atl,FreeDe00,pass_rating,,,,,,
player,201509270dal,atl,FreeDe00,rush_att,30,,,,,
player,201509270dal,atl,FreeDe00,rush_yds,141,,,,,
player,201509270dal,atl,FreeDe00,rush_td,3,,,,,
player,201509270dal,atl,FreeDe00,rush_long,17,,,,,
player,201509270dal,atl,FreeDe00,targets,5,,,,,
player,201509270dal,atl,FreeDe00,rec,5,,,,,
player,201509270dal,atl,FreeDe00,rec_yds,52,,,,,
player,201509270dal,atl,FreeDe00,rec_td,0,,,,,
player,201509270dal,atl,FreeDe00,rec_long,35,,,,,
player,201509270dal,atl,FreeDe00,fumbles,0,,,,,
player,201509270dal,atl,FreeDe00,fumbles_lost,0,,,,,
player,201509270dal,atl,JoneJu02,pass_cmp,0,,,,,
player,201509270dal,atl,JoneJu02,pass_att,0,,,,,
player,201509270dal,atl,JoneJu02,pass_yds,0,,,,,
player,201509270dal,atl,JoneJu02,pass_td,0,,,,,
player,201509270dal,atl,JoneJu02,pass_int,0,,,,,
player,201509270dal,atl,JoneJu02,pass_sacked,0,,,,,
player,201509270dal,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201509270dal,atl,JoneJu02,pass_long,0,,,,,
player,201509270dal,atl,JoneJu02,pass_rating,,,,,,
player,201509270dal,atl,JoneJu02,rush_att,0,,,,,
player,201509270dal,atl,JoneJu02,rush_yds,0,,,,,
player,201509270dal,atl,JoneJu02,rush_td,0,,,,,
player,201509270dal,atl,JoneJu02,rush_long,0,,,,,
player,201509270dal,atl,JoneJu02,targets,20,,,,,
player,201509270dal,atl,JoneJu02,rec,12,,,,,
player,201509270dal,atl,JoneJu02,rec_yds,164,,,,,
player,201509270dal,atl,JoneJu02,rec_td,2,,,,,
player,201509270dal,atl,JoneJu02,rec_long,45,,,,,
player,201509270dal,atl,JoneJu02,fumbles,0,,,,,
player,201509270dal,atl,JoneJu02,fumbles_lost,0,,,,,
player,201509270dal,atl,HankLe00,pass_cmp,0,,,,,
player,201509270dal,atl,HankLe00,pass_att,0,,,,,
player,201509270dal,atl,HankLe00,pass_yds,0,,,,,
player,201509270dal,atl,HankLe00,pass_td,0,,,,,
player,201509270dal,atl,HankLe00,pass_int,0,,,,,
player,201509270dal,atl,HankLe00,pass_sacked,0,,,,,
player,201509270dal,atl,HankLe00,pass_sacked_yds,0,,,,,
player,201509270dal,atl,HankLe00,pass_long,0,,,,,
player,201509270dal,atl,HankLe00,pass_rating,,,,,,
player,201509270dal,atl,HankLe00,rush_att,0,,,,,
player,201509270dal,atl,HankLe00,rush_yds,0,,,,,
player,201509270dal,atl,HankLe00,rush_td,0,,,,,
player,201509270dal,atl,HankLe00,rush_long,0,,,,,
player,201509270dal,atl,HankLe00,targets,6,,,,,
player,201509270dal,atl,HankLe00,rec,3,,,,,
player,201509270dal,atl,HankLe00,rec_yds,45,,,,,
player,201509270dal,atl,HankLe00,rec_td,0,,,,,
player,201509270dal,atl,HankLe00,rec_long,21,,,,,
player,201509270dal,atl,HankLe00,fumbles,0,,,,,
player,201509270dal,atl,HankLe00,fumbles_lost,0,,,,,
player,201509270dal,atl,TammJa00,pass_cmp,0,,,,,
player,201509270dal,atl,TammJa00,pass_att,0,,,,,
player,201509270dal,atl,TammJa00,pass_yds,0,,,,,
player,201509270dal,atl,TammJa00,pass_td,0,,,,,
player,201509270dal,atl,TammJa00,pass_int,0,,,,,
player,201509270dal,atl,TammJa00,pass_sacked,0,,,,,
player,201509270dal,atl,TammJa00,pass_sacked_yds,0,,,,,
player,201509270dal,atl,TammJa00,pass_long,0,,,,,
player,201509270dal,atl,TammJa00,pass_rating,,,,,,
player,201509270dal,atl,TammJa00,rush_att,0,,,,,
player,201509270dal,atl,TammJa00,rush_yds,0,,,,,
