game,2015,13,20151206,201512060min,sea,"Seattle Seahawks",38,min,"Minnesota Vikings",7
player,201512060min,sea,HarrDu01,pass_int,0,,,,,
player,201512060min,sea,HarrDu01,pass_sacked,0,,,,,
player,201512060min,sea,HarrDu01,pass_sacked_yds,0,,,,,
player,201512060min,sea,HarrDu01,pass_long,0,,,,,
player,201512060min,sea,HarrDu01,pass_rating,,,,,,
player,201512060min,sea,HarrDu01,rush_att,3,,,,,
player,201512060min,sea,HarrDu01,rush_yds,7,,,,,
player,201512060min,sea,HarrDu01,rush_td,0,,,,,
player,201512060min,sea,HarrDu01,rush_long,3,,,,,
player,201512060min,sea,HarrDu01,targets,0,,,,,
player,201512060min,sea,HarrDu01,rec,0,,,,,
player,201512060min,sea,HarrDu01,rec_yds,0,,,,,
player,201512060min,sea,HarrDu01,rec_td,0,,,,,
player,201512060min,sea,HarrDu01,rec_long,0,,,,,
player,201512060min,sea,HarrDu01,fumbles,0,,,,,
player,201512060min,sea,HarrDu01,fumbles_lost,0,,,,,
player,201512060min,sea,JackFr02,pass_cmp,0,,,,,
player,201512060min,sea,JackFr02,pass_att,0,,,,,
player,201512060min,sea,JackFr02,pass_yds,0,,,,,
player,201512060min,sea,JackFr02,pass_td,0,,,,,
player,201512060min,sea,JackFr02,pass_int,0,,,,,
player,201512060min,sea,JackFr02,pass_sacked,0,,,,,
player,201512060min,sea,JackFr02,pass_sacked_yds,0,,,,,
player,201512060min,sea,JackFr02,pass_long,0,,,,,
player,201512060min,sea,JackFr02,pass_rating,,,,,,
player,201512060min,sea,JackFr02,rush_att,1,,,,,
player,201512060min,sea,JackFr02,rush_yds,5,,,,,
player,201512060min,sea,JackFr02,rush_td,0,,,,,
player,201512060min,sea,JackFr02,rush_long,5,,,,,
player,201512060min,sea,JackFr02,targets,2,,,,,
player,201512060min,sea,JackFr02,rec,2,,,,,
player,201512060min,sea,JackFr02,rec_yds,13,,,,,
player,201512060min,sea,JackFr02,rec_td,1,,,,,
player,201512060min,sea,JackFr02,rec_long,8,,,,,
player,201512060min,sea,JackFr02,fumbles,0,,,,,
player,201512060min,sea,JackFr02,fumbles_lost,0,,,,,
player,201512060min,sea,TukuWi00,pass_cmp,0,,,,,
player,201512060min,sea,TukuWi00,pass_att,0,,,,,
player,201512060min,sea,TukuWi00,pass_yds,0,,,,,
player,201512060min,sea,TukuWi00,pass_td,0,,,,,
player,201512060min,sea,TukuWi00,pass_int,0,,,,,
player,201512060min,sea,TukuWi00,pass_sacked,0,,,,,
player,201512060min,sea,TukuWi00,pass_sacked_yds,0,,,,,
player,201512060min,sea,TukuWi00,pass_long,0,,,,,
player,201512060min,sea,TukuWi00,pass_rating,,,,,,
player,201512060min,sea,TukuWi00,rush_att,1,,,,,
player,201512060min,sea,TukuWi00,rush_yds,4,,,,,
player,201512060min,sea,TukuWi00,rush_td,0,,,,,
player,201512060min,sea,TukuWi00,rush_long,4,,,,,
player,201512060min,sea,TukuWi00,targets,0,,,,,
