game,2015,6,20151018,201510180gnb,sdg,"San Diego Chargers",20,gnb,"Green Bay Packers",27
team,201510180gnb,sdg,First Downs,32,,,,,,
team,201510180gnb,gnb,First Downs,17,,,,,,
team,201510180gnb,sdg,Rush-Yds-TDs,21-60-0,,,,,,
team,201510180gnb,gnb,Rush-Yds-TDs,17-133-1,,,,,,
team,201510180gnb,sdg,Cmp-Att-Yd-TD-INT,43-65-503-2-0,,,,,,
team,201510180gnb,gnb,Cmp-Att-Yd-TD-INT,16-29-255-2-0,,,,,,
team,201510180gnb,sdg,Sacked-Yards,3-15,,,,,,
team,201510180gnb,gnb,Sacked-Yards,3-18,,,,,,
team,201510180gnb,sdg,Net Pass Yards,488,,,,,,
team,201510180gnb,gnb,Net Pass Yards,237,,,,,,
team,201510180gnb,sdg,Total Yards,548,,,,,,
team,201510180gnb,gnb,Total Yards,370,,,,,,
team,201510180gnb,sdg,Fumbles-Lost,2-1,,,,,,
team,201510180gnb,gnb,Fumbles-Lost,1-0,,,,,,
team,201510180gnb,sdg,Turnovers,1,,,,,,
team,201510180gnb,gnb,Turnovers,0,,,,,,
team,201510180gnb,sdg,Penalties-Yards,9-76,,,,,,
team,201510180gnb,gnb,Penalties-Yards,6-50,,,,,,
team,201510180gnb,sdg,Third Down Conv.,9-18,,,,,,
team,201510180gnb,gnb,Third Down Conv.,3-9,,,,,,
team,201510180gnb,sdg,Fourth Down Conv.,1-3,,,,,,
team,201510180gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201510180gnb,sdg,Time of Possession,38:00,,,,,,
team,201510180gnb,gnb,Time of Possession,22:00,,,,,,
player,201510180gnb,sdg,RivePh00,pass_cmp,43,,,,,
player,201510180gnb,sdg,RivePh00,pass_att,65,,,,,
player,201510180gnb,sdg,RivePh00,pass_yds,503,,,,,
player,201510180gnb,sdg,RivePh00,pass_td,2,,,,,
player,201510180gnb,sdg,RivePh00,pass_int,0,,,,,
player,201510180gnb,sdg,RivePh00,pass_sacked,3,,,,,
player,201510180gnb,sdg,RivePh00,pass_sacked_yds,15,,,,,
player,201510180gnb,sdg,RivePh00,pass_long,0,,,,,
player,201510180gnb,sdg,RivePh00,pass_rating,99.7,,,,,
player,201510180gnb,sdg,RivePh00,rush_att,0,,,,,
player,201510180gnb,sdg,RivePh00,rush_yds,0,,,,,
player,201510180gnb,sdg,RivePh00,rush_td,0,,,,,
player,201510180gnb,sdg,RivePh00,rush_long,0,,,,,
player,201510180gnb,sdg,RivePh00,targets,0,,,,,
player,201510180gnb,sdg,RivePh00,rec,0,,,,,
player,201510180gnb,sdg,RivePh00,rec_yds,0,,,,,
player,201510180gnb,sdg,RivePh00,rec_td,0,,,,,
player,201510180gnb,sdg,RivePh00,rec_long,0,,,,,
player,201510180gnb,sdg,RivePh00,fumbles,0,,,,,
player,201510180gnb,sdg,RivePh00,fumbles_lost,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_cmp,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_att,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_yds,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_td,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_int,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_sacked,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_long,0,,,,,
player,201510180gnb,sdg,GordMe00,pass_rating,,,,,,
player,201510180gnb,sdg,GordMe00,rush_att,7,,,,,
player,201510180gnb,sdg,GordMe00,rush_yds,29,,,,,
player,201510180gnb,sdg,GordMe00,rush_td,0,,,,,
player,201510180gnb,sdg,GordMe00,rush_long,25,,,,,
player,201510180gnb,sdg,GordMe00,targets,0,,,,,
player,201510180gnb,sdg,GordMe00,rec,0,,,,,
player,201510180gnb,sdg,GordMe00,rec_yds,0,,,,,
player,201510180gnb,sdg,GordMe00,rec_td,0,,,,,
player,201510180gnb,sdg,GordMe00,rec_long,0,,,,,
player,201510180gnb,sdg,GordMe00,fumbles,2,,,,,
player,201510180gnb,sdg,GordMe00,fumbles_lost,1,,,,,
player,201510180gnb,sdg,OlivBr01,pass_cmp,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_att,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_yds,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_td,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_int,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_sacked,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_long,0,,,,,
player,201510180gnb,sdg,OlivBr01,pass_rating,,,,,,
player,201510180gnb,sdg,OlivBr01,rush_att,7,,,,,
player,201510180gnb,sdg,OlivBr01,rush_yds,23,,,,,
player,201510180gnb,sdg,OlivBr01,rush_td,0,,,,,
