game,2017,2,20170917,201709170den,dal,"Dallas Cowboys",17,den,"Denver Broncos",42
team,201709170den,dal,First Downs,16,,,,,,
team,201709170den,den,First Downs,26,,,,,,
team,201709170den,dal,Rush-Yds-TDs,14-40-0,,,,,,
team,201709170den,den,Rush-Yds-TDs,39-178-1,,,,,,
team,201709170den,dal,Cmp-Att-Yd-TD-INT,30-50-238-2-2,,,,,,
team,201709170den,den,Cmp-Att-Yd-TD-INT,22-32-231-4-1,,,,,,
team,201709170den,dal,Sacked-Yards,2-10,,,,,,
team,201709170den,den,Sacked-Yards,2-29,,,,,,
team,201709170den,dal,Net Pass Yards,228,,,,,,
team,201709170den,den,Net Pass Yards,202,,,,,,
team,201709170den,dal,Total Yards,268,,,,,,
team,201709170den,den,Total Yards,380,,,,,,
team,201709170den,dal,Fumbles-Lost,0-0,,,,,,
team,201709170den,den,Fumbles-Lost,2-1,,,,,,
team,201709170den,dal,Turnovers,2,,,,,,
team,201709170den,den,Turnovers,2,,,,,,
team,201709170den,dal,Penalties-Yards,8-69,,,,,,
team,201709170den,den,Penalties-Yards,8-61,,,,,,
team,201709170den,dal,Third Down Conv.,3-14,,,,,,
team,201709170den,den,Third Down Conv.,9-15,,,,,,
team,201709170den,dal,Fourth Down Conv.,2-5,,,,,,
team,201709170den,den,Fourth Down Conv.,0-0,,,,,,
team,201709170den,dal,Time of Possession,26:10,,,,,,
team,201709170den,den,Time of Possession,33:50,,,,,,
player,201709170den,dal,PresDa01,pass_cmp,30,,,,,
player,201709170den,dal,PresDa01,pass_att,50,,,,,
player,201709170den,dal,PresDa01,pass_yds,238,,,,,
player,201709170den,dal,PresDa01,pass_td,2,,,,,
player,201709170den,dal,PresDa01,pass_int,2,,,,,
player,201709170den,dal,PresDa01,pass_sacked,2,,,,,
player,201709170den,dal,PresDa01,pass_sacked_yds,10,,,,,
player,201709170den,dal,PresDa01,pass_long,28,,,,,
player,201709170den,dal,PresDa01,pass_rating,68.6,,,,,
player,201709170den,dal,PresDa01,rush_att,3,,,,,
player,201709170den,dal,PresDa01,rush_yds,24,,,,,
player,201709170den,dal,PresDa01,rush_td,0,,,,,
player,201709170den,dal,PresDa01,rush_long,11,,,,,
player,201709170den,dal,PresDa01,targets,0,,,,,
player,201709170den,dal,PresDa01,rec,0,,,,,
player,201709170den,dal,PresDa01,rec_yds,0,,,,,
player,201709170den,dal,PresDa01,rec_td,0,,,,,
player,201709170den,dal,PresDa01,rec_long,0,,,,,
player,201709170den,dal,PresDa01,fumbles,0,,,,,
player,201709170den,dal,PresDa01,fumbles_lost,0,,,,,
player,201709170den,dal,ElliEz00,pass_cmp,0,,,,,
player,201709170den,dal,ElliEz00,pass_att,0,,,,,
player,201709170den,dal,ElliEz00,pass_yds,0,,,,,
player,201709170den,dal,ElliEz00,pass_td,0,,,,,
player,201709170den,dal,ElliEz00,pass_int,0,,,,,
player,201709170den,dal,ElliEz00,pass_sacked,0,,,,,
player,201709170den,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201709170den,dal,ElliEz00,pass_long,0,,,,,
player,201709170den,dal,ElliEz00,pass_rating,,,,,,
player,201709170den,dal,ElliEz00,rush_att,9,,,,,
player,201709170den,dal,ElliEz00,rush_yds,8,,,,,
player,201709170den,dal,ElliEz00,rush_td,0,,,,,
player,201709170den,dal,ElliEz00,rush_long,5,,,,,
player,201709170den,dal,ElliEz00,targets,5,,,,,
player,201709170den,dal,ElliEz00,rec,4,,,,,
player,201709170den,dal,ElliEz00,rec_yds,14,,,,,
player,201709170den,dal,ElliEz00,rec_td,0,,,,,
