game,2017,14,20171210,201712100crd,oti,"Tennessee Titans",7,crd,"Arizona Cardinals",12
team,201712100crd,oti,First Downs,14,,,,,,
team,201712100crd,crd,First Downs,16,,,,,,
team,201712100crd,oti,Rush-Yds-TDs,22-65-1,,,,,,
team,201712100crd,crd,Rush-Yds-TDs,29-136-0,,,,,,
team,201712100crd,oti,Cmp-Att-Yd-TD-INT,16-31-159-0-2,,,,,,
team,201712100crd,crd,Cmp-Att-Yd-TD-INT,17-26-178-0-0,,,,,,
team,201712100crd,oti,Sacked-Yards,3-20,,,,,,
team,201712100crd,crd,Sacked-Yards,8-53,,,,,,
team,201712100crd,oti,Net Pass Yards,139,,,,,,
team,201712100crd,crd,Net Pass Yards,125,,,,,,
team,201712100crd,oti,Total Yards,204,,,,,,
team,201712100crd,crd,Total Yards,261,,,,,,
team,201712100crd,oti,Fumbles-Lost,0-0,,,,,,
team,201712100crd,crd,Fumbles-Lost,0-0,,,,,,
team,201712100crd,oti,Turnovers,2,,,,,,
team,201712100crd,crd,Turnovers,0,,,,,,
team,201712100crd,oti,Penalties-Yards,6-48,,,,,,
team,201712100crd,crd,Penalties-Yards,5-30,,,,,,
team,201712100crd,oti,Third Down Conv.,4-12,,,,,,
team,201712100crd,crd,Third Down Conv.,3-14,,,,,,
team,201712100crd,oti,Fourth Down Conv.,0-2,,,,,,
team,201712100crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201712100crd,oti,Time of Possession,26:11,,,,,,
team,201712100crd,crd,Time of Possession,33:49,,,,,,
player,201712100crd,oti,MariMa01,pass_cmp,16,,,,,
player,201712100crd,oti,MariMa01,pass_att,31,,,,,
player,201712100crd,oti,MariMa01,pass_yds,159,,,,,
player,201712100crd,oti,MariMa01,pass_td,0,,,,,
player,201712100crd,oti,MariMa01,pass_int,2,,,,,
player,201712100crd,oti,MariMa01,pass_sacked,3,,,,,
player,201712100crd,oti,MariMa01,pass_sacked_yds,20,,,,,
player,201712100crd,oti,MariMa01,pass_long,29,,,,,
player,201712100crd,oti,MariMa01,pass_rating,39.6,,,,,
player,201712100crd,oti,MariMa01,rush_att,2,,,,,
player,201712100crd,oti,MariMa01,rush_yds,11,,,,,
player,201712100crd,oti,MariMa01,rush_td,0,,,,,
player,201712100crd,oti,MariMa01,rush_long,7,,,,,
player,201712100crd,oti,MariMa01,targets,0,,,,,
player,201712100crd,oti,MariMa01,rec,0,,,,,
player,201712100crd,oti,MariMa01,rec_yds,0,,,,,
player,201712100crd,oti,MariMa01,rec_td,0,,,,,
player,201712100crd,oti,MariMa01,rec_long,0,,,,,
player,201712100crd,oti,MariMa01,fumbles,0,,,,,
player,201712100crd,oti,MariMa01,fumbles_lost,0,,,,,
player,201712100crd,oti,MurrDe00,pass_cmp,0,,,,,
player,201712100crd,oti,MurrDe00,pass_att,0,,,,,
player,201712100crd,oti,MurrDe00,pass_yds,0,,,,,
player,201712100crd,oti,MurrDe00,pass_td,0,,,,,
player,201712100crd,oti,MurrDe00,pass_int,0,,,,,
player,201712100crd,oti,MurrDe00,pass_sacked,0,,,,,
player,201712100crd,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201712100crd,oti,MurrDe00,pass_long,0,,,,,
player,201712100crd,oti,MurrDe00,pass_rating,,,,,,
player,201712100crd,oti,MurrDe00,rush_att,11,,,,,
player,201712100crd,oti,MurrDe00,rush_yds,34,,,,,
player,201712100crd,oti,MurrDe00,rush_td,0,,,,,
player,201712100crd,oti,MurrDe00,rush_long,9,,,,,
player,201712100crd,oti,MurrDe00,targets,3,,,,,
player,201712100crd,oti,MurrDe00,rec,2,,,,,
player,201712100crd,oti,MurrDe00,rec_yds,13,,,,,
player,201712100crd,oti,MurrDe00,rec_td,0,,,,,
player,201712100crd,oti,MurrDe00,rec_long,7,,,,,
player,201712100crd,oti,MurrDe00,fumbles,0,,,,,
player,201712100crd,oti,MurrDe00,fumbles_lost,0,,,,,
player,201712100crd,oti,HenrDe00,pass_cmp,0,,,,,
player,201712100crd,oti,HenrDe00,pass_att,0,,,,,
player,201712100crd,oti,HenrDe00,pass_yds,0,,,,,
player,201712100crd,oti,HenrDe00,pass_td,0,,,,,
player,201712100crd,oti,HenrDe00,pass_int,0,,,,,
player,201712100crd,oti,HenrDe00,pass_sacked,0,,,,,
player,201712100crd,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201712100crd,oti,HenrDe00,pass_long,0,,,,,
player,201712100crd,oti,HenrDe00,pass_rating,,,,,,
player,201712100crd,oti,HenrDe00,rush_att,8,,,,,
player,201712100crd,oti,HenrDe00,rush_yds,20,,,,,
player,201712100crd,oti,HenrDe00,rush_td,1,,,,,
player,201712100crd,oti,HenrDe00,rush_long,9,,,,,
player,201712100crd,oti,HenrDe00,targets,0,,,,,
player,201712100crd,oti,HenrDe00,rec,0,,,,,
player,201712100crd,oti,HenrDe00,rec_yds,0,,,,,
player,201712100crd,oti,HenrDe00,rec_td,0,,,,,
player,201712100crd,oti,HenrDe00,rec_long,0,,,,,
player,201712100crd,oti,HenrDe00,fumbles,0,,,,,
player,201712100crd,oti,HenrDe00,fumbles_lost,0,,,,,
player,201712100crd,oti,DeckEr00,pass_cmp,0,,,,,
player,201712100crd,oti,DeckEr00,pass_att,0,,,,,
player,201712100crd,oti,DeckEr00,pass_yds,0,,,,,
player,201712100crd,oti,DeckEr00,pass_td,0,,,,,
player,201712100crd,oti,DeckEr00,pass_int,0,,,,,
player,201712100crd,oti,DeckEr00,pass_sacked,0,,,,,
player,201712100crd,oti,DeckEr00,pass_sacked_yds,0,,,,,
player,201712100crd,oti,DeckEr00,pass_long,0,,,,,
player,201712100crd,oti,DeckEr00,pass_rating,,,,,,
player,201712100crd,oti,DeckEr00,rush_att,0,,,,,
player,201712100crd,oti,DeckEr00,rush_yds,0,,,,,
player,201712100crd,oti,DeckEr00,rush_td,0,,,,,
player,201712100crd,oti,DeckEr00,rush_long,0,,,,,
player,201712100crd,oti,DeckEr00,targets,5,,,,,
player,201712100crd,oti,DeckEr00,rec,3,,,,,
player,201712100crd,oti,DeckEr00,rec_yds,56,,,,,
player,201712100crd,oti,DeckEr00,rec_td,0,,,,,
player,201712100crd,oti,DeckEr00,rec_long,29,,,,,
player,201712100crd,oti,DeckEr00,fumbles,0,,,,,
player,201712100crd,oti,DeckEr00,fumbles_lost,0,,,,,
