game,2017,13,20171203,201712030mia,den,"Denver Broncos",9,mia,"Miami Dolphins",35
team,201712030mia,den,First Downs,14,,,,,,
team,201712030mia,mia,First Downs,15,,,,,,
team,201712030mia,den,Rush-Yds-TDs,23-103-0,,,,,,
team,201712030mia,mia,Rush-Yds-TDs,30-145-1,,,,,,
team,201712030mia,den,Cmp-Att-Yd-TD-INT,19-41-200-0-3,,,,,,
team,201712030mia,mia,Cmp-Att-Yd-TD-INT,18-32-235-2-2,,,,,,
team,201712030mia,den,Sacked-Yards,3-33,,,,,,
team,201712030mia,mia,Sacked-Yards,2-13,,,,,,
team,201712030mia,den,Net Pass Yards,167,,,,,,
team,201712030mia,mia,Net Pass Yards,222,,,,,,
team,201712030mia,den,Total Yards,270,,,,,,
team,201712030mia,mia,Total Yards,367,,,,,,
team,201712030mia,den,Fumbles-Lost,2-0,,,,,,
team,201712030mia,mia,Fumbles-Lost,1-1,,,,,,
team,201712030mia,den,Turnovers,3,,,,,,
team,201712030mia,mia,Turnovers,3,,,,,,
team,201712030mia,den,Penalties-Yards,9-57,,,,,,
team,201712030mia,mia,Penalties-Yards,7-85,,,,,,
team,201712030mia,den,Third Down Conv.,1-13,,,,,,
team,201712030mia,mia,Third Down Conv.,4-15,,,,,,
team,201712030mia,den,Fourth Down Conv.,0-1,,,,,,
team,201712030mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201712030mia,den,Time of Possession,25:38,,,,,,
team,201712030mia,mia,Time of Possession,34:22,,,,,,
player,201712030mia,den,SiemTr00,pass_cmp,19,,,,,
player,201712030mia,den,SiemTr00,pass_att,41,,,,,
player,201712030mia,den,SiemTr00,pass_yds,200,,,,,
player,201712030mia,den,SiemTr00,pass_td,0,,,,,
player,201712030mia,den,SiemTr00,pass_int,3,,,,,
player,201712030mia,den,SiemTr00,pass_sacked,3,,,,,
player,201712030mia,den,SiemTr00,pass_sacked_yds,33,,,,,
player,201712030mia,den,SiemTr00,pass_long,36,,,,,
player,201712030mia,den,SiemTr00,pass_rating,30.5,,,,,
player,201712030mia,den,SiemTr00,rush_att,3,,,,,
player,201712030mia,den,SiemTr00,rush_yds,16,,,,,
player,201712030mia,den,SiemTr00,rush_td,0,,,,,
player,201712030mia,den,SiemTr00,rush_long,15,,,,,
