game,2017,16,20171224,201712240nor,atl,"Atlanta Falcons",13,nor,"New Orleans Saints",23
team,201712240nor,atl,First Downs,15,,,,,,
team,201712240nor,nor,First Downs,15,,,,,,
team,201712240nor,atl,Rush-Yds-TDs,20-67-0,,,,,,
team,201712240nor,nor,Rush-Yds-TDs,31-86-1,,,,,,
team,201712240nor,atl,Cmp-Att-Yd-TD-INT,22-36-288-1-1,,,,,,
team,201712240nor,nor,Cmp-Att-Yd-TD-INT,21-28-239-1-1,,,,,,
team,201712240nor,atl,Sacked-Yards,5-24,,,,,,
team,201712240nor,nor,Sacked-Yards,1-10,,,,,,
team,201712240nor,atl,Net Pass Yards,264,,,,,,
team,201712240nor,nor,Net Pass Yards,229,,,,,,
team,201712240nor,atl,Total Yards,331,,,,,,
team,201712240nor,nor,Total Yards,315,,,,,,
team,201712240nor,atl,Fumbles-Lost,1-1,,,,,,
team,201712240nor,nor,Fumbles-Lost,1-0,,,,,,
team,201712240nor,atl,Turnovers,2,,,,,,
team,201712240nor,nor,Turnovers,1,,,,,,
team,201712240nor,atl,Penalties-Yards,10-91,,,,,,
team,201712240nor,nor,Penalties-Yards,3-30,,,,,,
team,201712240nor,atl,Third Down Conv.,2-13,,,,,,
team,201712240nor,nor,Third Down Conv.,3-13,,,,,,
team,201712240nor,atl,Fourth Down Conv.,1-2,,,,,,
team,201712240nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201712240nor,atl,Time of Possession,26:12,,,,,,
team,201712240nor,nor,Time of Possession,33:48,,,,,,
player,201712240nor,atl,RyanMa00,pass_cmp,22,,,,,
player,201712240nor,atl,RyanMa00,pass_att,36,,,,,
player,201712240nor,atl,RyanMa00,pass_yds,288,,,,,
player,201712240nor,atl,RyanMa00,pass_td,1,,,,,
player,201712240nor,atl,RyanMa00,pass_int,1,,,,,
player,201712240nor,atl,RyanMa00,pass_sacked,5,,,,,
player,201712240nor,atl,RyanMa00,pass_sacked_yds,24,,,,,
player,201712240nor,atl,RyanMa00,pass_long,44,,,,,
player,201712240nor,atl,RyanMa00,pass_rating,84.0,,,,,
player,201712240nor,atl,RyanMa00,rush_att,2,,,,,
player,201712240nor,atl,RyanMa00,rush_yds,7,,,,,
player,201712240nor,atl,RyanMa00,rush_td,0,,,,,
player,201712240nor,atl,RyanMa00,rush_long,8,,,,,
player,201712240nor,atl,RyanMa00,targets,0,,,,,
player,201712240nor,atl,RyanMa00,rec,0,,,,,
player,201712240nor,atl,RyanMa00,rec_yds,0,,,,,
player,201712240nor,atl,RyanMa00,rec_td,0,,,,,
player,201712240nor,atl,RyanMa00,rec_long,0,,,,,
player,201712240nor,atl,RyanMa00,fumbles,0,,,,,
player,201712240nor,atl,RyanMa00,fumbles_lost,0,,,,,
player,201712240nor,atl,FreeDe00,pass_cmp,0,,,,,
player,201712240nor,atl,FreeDe00,pass_att,0,,,,,
player,201712240nor,atl,FreeDe00,pass_yds,0,,,,,
player,201712240nor,atl,FreeDe00,pass_td,0,,,,,
player,201712240nor,atl,FreeDe00,pass_int,0,,,,,
player,201712240nor,atl,FreeDe00,pass_sacked,0,,,,,
player,201712240nor,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201712240nor,atl,FreeDe00,pass_long,0,,,,,
player,201712240nor,atl,FreeDe00,pass_rating,,,,,,
player,201712240nor,atl,FreeDe00,rush_att,11,,,,,
player,201712240nor,atl,FreeDe00,rush_yds,36,,,,,
player,201712240nor,atl,FreeDe00,rush_td,0,,,,,
player,201712240nor,atl,FreeDe00,rush_long,15,,,,,
player,201712240nor,atl,FreeDe00,targets,3,,,,,
player,201712240nor,atl,FreeDe00,rec,2,,,,,
player,201712240nor,atl,FreeDe00,rec_yds,20,,,,,
player,201712240nor,atl,FreeDe00,rec_td,0,,,,,
player,201712240nor,atl,FreeDe00,rec_long,12,,,,,
player,201712240nor,atl,FreeDe00,fumbles,1,,,,,
player,201712240nor,atl,FreeDe00,fumbles_lost,1,,,,,
player,201712240nor,atl,ColeTe01,pass_cmp,0,,,,,
player,201712240nor,atl,ColeTe01,pass_att,0,,,,,
player,201712240nor,atl,ColeTe01,pass_yds,0,,,,,
player,201712240nor,atl,ColeTe01,pass_td,0,,,,,
player,201712240nor,atl,ColeTe01,pass_int,0,,,,,
player,201712240nor,atl,ColeTe01,pass_sacked,0,,,,,
player,201712240nor,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201712240nor,atl,ColeTe01,pass_long,0,,,,,
player,201712240nor,atl,ColeTe01,pass_rating,,,,,,
player,201712240nor,atl,ColeTe01,rush_att,6,,,,,
player,201712240nor,atl,ColeTe01,rush_yds,12,,,,,
