game,2017,13,20171203,201712030rai,nyg,"New York Giants",17,rai,"Oakland Raiders",24
team,201712030rai,nyg,First Downs,15,,,,,,
team,201712030rai,rai,First Downs,18,,,,,,
team,201712030rai,nyg,Rush-Yds-TDs,24-65-1,,,,,,
team,201712030rai,rai,Rush-Yds-TDs,29-119-2,,,,,,
team,201712030rai,nyg,Cmp-Att-Yd-TD-INT,21-34-212-1-0,,,,,,
team,201712030rai,rai,Cmp-Att-Yd-TD-INT,22-36-287-1-0,,,,,,
team,201712030rai,nyg,Sacked-Yards,3-12,,,,,,
team,201712030rai,rai,Sacked-Yards,1-5,,,,,,
team,201712030rai,nyg,Net Pass Yards,200,,,,,,
team,201712030rai,rai,Net Pass Yards,282,,,,,,
team,201712030rai,nyg,Total Yards,265,,,,,,
team,201712030rai,rai,Total Yards,401,,,,,,
team,201712030rai,nyg,Fumbles-Lost,2-2,,,,,,
team,201712030rai,rai,Fumbles-Lost,4-1,,,,,,
team,201712030rai,nyg,Turnovers,2,,,,,,
team,201712030rai,rai,Turnovers,1,,,,,,
team,201712030rai,nyg,Penalties-Yards,1-5,,,,,,
team,201712030rai,rai,Penalties-Yards,6-42,,,,,,
team,201712030rai,nyg,Third Down Conv.,5-14,,,,,,
team,201712030rai,rai,Third Down Conv.,6-15,,,,,,
team,201712030rai,nyg,Fourth Down Conv.,0-0,,,,,,
team,201712030rai,rai,Fourth Down Conv.,1-3,,,,,,
team,201712030rai,nyg,Time of Possession,28:41,,,,,,
team,201712030rai,rai,Time of Possession,31:19,,,,,,
player,201712030rai,nyg,SmitGe00,pass_cmp,21,,,,,
player,201712030rai,nyg,SmitGe00,pass_att,34,,,,,
player,201712030rai,nyg,SmitGe00,pass_yds,212,,,,,
player,201712030rai,nyg,SmitGe00,pass_td,1,,,,,
player,201712030rai,nyg,SmitGe00,pass_int,0,,,,,
player,201712030rai,nyg,SmitGe00,pass_sacked,3,,,,,
player,201712030rai,nyg,SmitGe00,pass_sacked_yds,12,,,,,
player,201712030rai,nyg,SmitGe00,pass_long,47,,,,,
player,201712030rai,nyg,SmitGe00,pass_rating,89.3,,,,,
player,201712030rai,nyg,SmitGe00,rush_att,3,,,,,
player,201712030rai,nyg,SmitGe00,rush_yds,13,,,,,
player,201712030rai,nyg,SmitGe00,rush_td,0,,,,,
player,201712030rai,nyg,SmitGe00,rush_long,10,,,,,
player,201712030rai,nyg,SmitGe00,targets,0,,,,,
player,201712030rai,nyg,SmitGe00,rec,0,,,,,
player,201712030rai,nyg,SmitGe00,rec_yds,0,,,,,
player,201712030rai,nyg,SmitGe00,rec_td,0,,,,,
player,201712030rai,nyg,SmitGe00,rec_long,0,,,,,
player,201712030rai,nyg,SmitGe00,fumbles,2,,,,,
player,201712030rai,nyg,SmitGe00,fumbles_lost,2,,,,,
player,201712030rai,nyg,DarkOr00,pass_cmp,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_att,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_yds,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_td,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_int,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_sacked,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_long,0,,,,,
player,201712030rai,nyg,DarkOr00,pass_rating,,,,,,
player,201712030rai,nyg,DarkOr00,rush_att,14,,,,,
player,201712030rai,nyg,DarkOr00,rush_yds,32,,,,,
player,201712030rai,nyg,DarkOr00,rush_td,1,,,,,
player,201712030rai,nyg,DarkOr00,rush_long,9,,,,,
player,201712030rai,nyg,DarkOr00,targets,1,,,,,
player,201712030rai,nyg,DarkOr00,rec,1,,,,,
player,201712030rai,nyg,DarkOr00,rec_yds,-1,,,,,
player,201712030rai,nyg,DarkOr00,rec_td,0,,,,,
player,201712030rai,nyg,DarkOr00,rec_long,-1,,,,,
player,201712030rai,nyg,DarkOr00,fumbles,0,,,,,
player,201712030rai,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_cmp,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_att,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_yds,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_td,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_int,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_sacked,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_sacked_yds,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_long,0,,,,,
player,201712030rai,nyg,PerkPa00,pass_rating,,,,,,
player,201712030rai,nyg,PerkPa00,rush_att,3,,,,,
