game,2017,13,20171203,201712030crd,ram,"Los Angeles Rams",32,crd,"Arizona Cardinals",16
team,201712030crd,ram,First Downs,18,,,,,,
team,201712030crd,crd,First Downs,19,,,,,,
team,201712030crd,ram,Rush-Yds-TDs,24-90-0,,,,,,
team,201712030crd,crd,Rush-Yds-TDs,24-118-1,,,,,,
team,201712030crd,ram,Cmp-Att-Yd-TD-INT,21-31-220-2-1,,,,,,
team,201712030crd,crd,Cmp-Att-Yd-TD-INT,18-32-221-1-2,,,,,,
team,201712030crd,ram,Sacked-Yards,1-7,,,,,,
team,201712030crd,crd,Sacked-Yards,7-34,,,,,,
team,201712030crd,ram,Net Pass Yards,213,,,,,,
team,201712030crd,crd,Net Pass Yards,187,,,,,,
team,201712030crd,ram,Total Yards,303,,,,,,
team,201712030crd,crd,Total Yards,305,,,,,,
team,201712030crd,ram,Fumbles-Lost,1-0,,,,,,
team,201712030crd,crd,Fumbles-Lost,1-0,,,,,,
team,201712030crd,ram,Turnovers,1,,,,,,
team,201712030crd,crd,Turnovers,2,,,,,,
team,201712030crd,ram,Penalties-Yards,7-36,,,,,,
team,201712030crd,crd,Penalties-Yards,4-25,,,,,,
team,201712030crd,ram,Third Down Conv.,3-11,,,,,,
team,201712030crd,crd,Third Down Conv.,7-15,,,,,,
team,201712030crd,ram,Fourth Down Conv.,1-1,,,,,,
team,201712030crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201712030crd,ram,Time of Possession,28:58,,,,,,
team,201712030crd,crd,Time of Possession,31:02,,,,,,
player,201712030crd,ram,GoffJa00,pass_cmp,21,,,,,
player,201712030crd,ram,GoffJa00,pass_att,31,,,,,
player,201712030crd,ram,GoffJa00,pass_yds,220,,,,,
player,201712030crd,ram,GoffJa00,pass_td,2,,,,,
player,201712030crd,ram,GoffJa00,pass_int,1,,,,,
player,201712030crd,ram,GoffJa00,pass_sacked,1,,,,,
player,201712030crd,ram,GoffJa00,pass_sacked_yds,7,,,,,
player,201712030crd,ram,GoffJa00,pass_long,33,,,,,
player,201712030crd,ram,GoffJa00,pass_rating,96.2,,,,,
player,201712030crd,ram,GoffJa00,rush_att,1,,,,,
player,201712030crd,ram,GoffJa00,rush_yds,2,,,,,
player,201712030crd,ram,GoffJa00,rush_td,0,,,,,
player,201712030crd,ram,GoffJa00,rush_long,2,,,,,
