game,2017,8,20171026,201710260rav,mia,"Miami Dolphins",0,rav,"Baltimore Ravens",40
team,201710260rav,mia,First Downs,13,,,,,,
team,201710260rav,rav,First Downs,19,,,,,,
team,201710260rav,mia,Rush-Yds-TDs,19-45-0,,,,,,
team,201710260rav,rav,Rush-Yds-TDs,40-174-0,,,,,,
team,201710260rav,mia,Cmp-Att-Yd-TD-INT,25-44-176-0-2,,,,,,
team,201710260rav,rav,Cmp-Att-Yd-TD-INT,13-22-121-2-0,,,,,,
team,201710260rav,mia,Sacked-Yards,3-25,,,,,,
team,201710260rav,rav,Sacked-Yards,0-0,,,,,,
team,201710260rav,mia,Net Pass Yards,151,,,,,,
team,201710260rav,rav,Net Pass Yards,121,,,,,,
team,201710260rav,mia,Total Yards,196,,,,,,
team,201710260rav,rav,Total Yards,295,,,,,,
team,201710260rav,mia,Fumbles-Lost,0-0,,,,,,
team,201710260rav,rav,Fumbles-Lost,1-0,,,,,,
team,201710260rav,mia,Turnovers,2,,,,,,
team,201710260rav,rav,Turnovers,0,,,,,,
team,201710260rav,mia,Penalties-Yards,7-43,,,,,,
team,201710260rav,rav,Penalties-Yards,5-40,,,,,,
team,201710260rav,mia,Third Down Conv.,4-15,,,,,,
team,201710260rav,rav,Third Down Conv.,3-13,,,,,,
team,201710260rav,mia,Fourth Down Conv.,0-2,,,,,,
team,201710260rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201710260rav,mia,Time of Possession,28:46,,,,,,
team,201710260rav,rav,Time of Possession,31:14,,,,,,
player,201710260rav,mia,MoorMa01,pass_cmp,25,,,,,
player,201710260rav,mia,MoorMa01,pass_att,44,,,,,
player,201710260rav,mia,MoorMa01,pass_yds,176,,,,,
player,201710260rav,mia,MoorMa01,pass_td,0,,,,,
player,201710260rav,mia,MoorMa01,pass_int,2,,,,,
player,201710260rav,mia,MoorMa01,pass_sacked,3,,,,,
player,201710260rav,mia,MoorMa01,pass_sacked_yds,25,,,,,
player,201710260rav,mia,MoorMa01,pass_long,28,,,,,
player,201710260rav,mia,MoorMa01,pass_rating,47.2,,,,,
player,201710260rav,mia,MoorMa01,rush_att,0,,,,,
player,201710260rav,mia,MoorMa01,rush_yds,0,,,,,
player,201710260rav,mia,MoorMa01,rush_td,0,,,,,
player,201710260rav,mia,MoorMa01,rush_long,0,,,,,
player,201710260rav,mia,MoorMa01,targets,0,,,,,
player,201710260rav,mia,MoorMa01,rec,0,,,,,
player,201710260rav,mia,MoorMa01,rec_yds,0,,,,,
player,201710260rav,mia,MoorMa01,rec_td,0,,,,,
player,201710260rav,mia,MoorMa01,rec_long,0,,,,,
player,201710260rav,mia,MoorMa01,fumbles,0,,,,,
player,201710260rav,mia,MoorMa01,fumbles_lost,0,,,,,
player,201710260rav,mia,AjayJa00,pass_cmp,0,,,,,
player,201710260rav,mia,AjayJa00,pass_att,0,,,,,
player,201710260rav,mia,AjayJa00,pass_yds,0,,,,,
player,201710260rav,mia,AjayJa00,pass_td,0,,,,,
player,201710260rav,mia,AjayJa00,pass_int,0,,,,,
player,201710260rav,mia,AjayJa00,pass_sacked,0,,,,,
player,201710260rav,mia,AjayJa00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,AjayJa00,pass_long,0,,,,,
player,201710260rav,mia,AjayJa00,pass_rating,,,,,,
player,201710260rav,mia,AjayJa00,rush_att,13,,,,,
player,201710260rav,mia,AjayJa00,rush_yds,23,,,,,
player,201710260rav,mia,AjayJa00,rush_td,0,,,,,
player,201710260rav,mia,AjayJa00,rush_long,21,,,,,
player,201710260rav,mia,AjayJa00,targets,4,,,,,
player,201710260rav,mia,AjayJa00,rec,4,,,,,
player,201710260rav,mia,AjayJa00,rec_yds,18,,,,,
player,201710260rav,mia,AjayJa00,rec_td,0,,,,,
player,201710260rav,mia,AjayJa00,rec_long,6,,,,,
player,201710260rav,mia,AjayJa00,fumbles,0,,,,,
player,201710260rav,mia,AjayJa00,fumbles_lost,0,,,,,
player,201710260rav,mia,DrakKe00,pass_cmp,0,,,,,
player,201710260rav,mia,DrakKe00,pass_att,0,,,,,
player,201710260rav,mia,DrakKe00,pass_yds,0,,,,,
player,201710260rav,mia,DrakKe00,pass_td,0,,,,,
player,201710260rav,mia,DrakKe00,pass_int,0,,,,,
player,201710260rav,mia,DrakKe00,pass_sacked,0,,,,,
player,201710260rav,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,DrakKe00,pass_long,0,,,,,
player,201710260rav,mia,DrakKe00,pass_rating,,,,,,
player,201710260rav,mia,DrakKe00,rush_att,6,,,,,
player,201710260rav,mia,DrakKe00,rush_yds,22,,,,,
player,201710260rav,mia,DrakKe00,rush_td,0,,,,,
player,201710260rav,mia,DrakKe00,rush_long,12,,,,,
player,201710260rav,mia,DrakKe00,targets,1,,,,,
player,201710260rav,mia,DrakKe00,rec,0,,,,,
player,201710260rav,mia,DrakKe00,rec_yds,0,,,,,
player,201710260rav,mia,DrakKe00,rec_td,0,,,,,
player,201710260rav,mia,DrakKe00,rec_long,0,,,,,
player,201710260rav,mia,DrakKe00,fumbles,0,,,,,
player,201710260rav,mia,DrakKe00,fumbles_lost,0,,,,,
player,201710260rav,mia,StilKe00,pass_cmp,0,,,,,
player,201710260rav,mia,StilKe00,pass_att,0,,,,,
player,201710260rav,mia,StilKe00,pass_yds,0,,,,,
player,201710260rav,mia,StilKe00,pass_td,0,,,,,
player,201710260rav,mia,StilKe00,pass_int,0,,,,,
player,201710260rav,mia,StilKe00,pass_sacked,0,,,,,
player,201710260rav,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,StilKe00,pass_long,0,,,,,
player,201710260rav,mia,StilKe00,pass_rating,,,,,,
player,201710260rav,mia,StilKe00,rush_att,0,,,,,
player,201710260rav,mia,StilKe00,rush_yds,0,,,,,
player,201710260rav,mia,StilKe00,rush_td,0,,,,,
player,201710260rav,mia,StilKe00,rush_long,0,,,,,
player,201710260rav,mia,StilKe00,targets,10,,,,,
player,201710260rav,mia,StilKe00,rec,5,,,,,
player,201710260rav,mia,StilKe00,rec_yds,65,,,,,
player,201710260rav,mia,StilKe00,rec_td,0,,,,,
player,201710260rav,mia,StilKe00,rec_long,28,,,,,
player,201710260rav,mia,StilKe00,fumbles,0,,,,,
player,201710260rav,mia,StilKe00,fumbles_lost,0,,,,,
player,201710260rav,mia,CarrLe00,pass_cmp,0,,,,,
player,201710260rav,mia,CarrLe00,pass_att,0,,,,,
player,201710260rav,mia,CarrLe00,pass_yds,0,,,,,
player,201710260rav,mia,CarrLe00,pass_td,0,,,,,
player,201710260rav,mia,CarrLe00,pass_int,0,,,,,
player,201710260rav,mia,CarrLe00,pass_sacked,0,,,,,
player,201710260rav,mia,CarrLe00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,CarrLe00,pass_long,0,,,,,
player,201710260rav,mia,CarrLe00,pass_rating,,,,,,
player,201710260rav,mia,CarrLe00,rush_att,0,,,,,
player,201710260rav,mia,CarrLe00,rush_yds,0,,,,,
player,201710260rav,mia,CarrLe00,rush_td,0,,,,,
player,201710260rav,mia,CarrLe00,rush_long,0,,,,,
player,201710260rav,mia,CarrLe00,targets,8,,,,,
player,201710260rav,mia,CarrLe00,rec,6,,,,,
player,201710260rav,mia,CarrLe00,rec_yds,48,,,,,
player,201710260rav,mia,CarrLe00,rec_td,0,,,,,
player,201710260rav,mia,CarrLe00,rec_long,14,,,,,
player,201710260rav,mia,CarrLe00,fumbles,0,,,,,
player,201710260rav,mia,CarrLe00,fumbles_lost,0,,,,,
player,201710260rav,mia,LandJa00,pass_cmp,0,,,,,
player,201710260rav,mia,LandJa00,pass_att,0,,,,,
player,201710260rav,mia,LandJa00,pass_yds,0,,,,,
player,201710260rav,mia,LandJa00,pass_td,0,,,,,
player,201710260rav,mia,LandJa00,pass_int,0,,,,,
player,201710260rav,mia,LandJa00,pass_sacked,0,,,,,
player,201710260rav,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,LandJa00,pass_long,0,,,,,
player,201710260rav,mia,LandJa00,pass_rating,,,,,,
player,201710260rav,mia,LandJa00,rush_att,0,,,,,
player,201710260rav,mia,LandJa00,rush_yds,0,,,,,
player,201710260rav,mia,LandJa00,rush_td,0,,,,,
player,201710260rav,mia,LandJa00,rush_long,0,,,,,
player,201710260rav,mia,LandJa00,targets,12,,,,,
player,201710260rav,mia,LandJa00,rec,5,,,,,
player,201710260rav,mia,LandJa00,rec_yds,33,,,,,
player,201710260rav,mia,LandJa00,rec_td,0,,,,,
player,201710260rav,mia,LandJa00,rec_long,14,,,,,
player,201710260rav,mia,LandJa00,fumbles,0,,,,,
player,201710260rav,mia,LandJa00,fumbles_lost,0,,,,,
player,201710260rav,mia,FasaAn00,pass_cmp,0,,,,,
player,201710260rav,mia,FasaAn00,pass_att,0,,,,,
player,201710260rav,mia,FasaAn00,pass_yds,0,,,,,
player,201710260rav,mia,FasaAn00,pass_td,0,,,,,
player,201710260rav,mia,FasaAn00,pass_int,0,,,,,
player,201710260rav,mia,FasaAn00,pass_sacked,0,,,,,
player,201710260rav,mia,FasaAn00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,FasaAn00,pass_long,0,,,,,
player,201710260rav,mia,FasaAn00,pass_rating,,,,,,
player,201710260rav,mia,FasaAn00,rush_att,0,,,,,
player,201710260rav,mia,FasaAn00,rush_yds,0,,,,,
player,201710260rav,mia,FasaAn00,rush_td,0,,,,,
player,201710260rav,mia,FasaAn00,rush_long,0,,,,,
player,201710260rav,mia,FasaAn00,targets,2,,,,,
player,201710260rav,mia,FasaAn00,rec,2,,,,,
player,201710260rav,mia,FasaAn00,rec_yds,11,,,,,
player,201710260rav,mia,FasaAn00,rec_td,0,,,,,
player,201710260rav,mia,FasaAn00,rec_long,7,,,,,
player,201710260rav,mia,FasaAn00,fumbles,0,,,,,
player,201710260rav,mia,FasaAn00,fumbles_lost,0,,,,,
player,201710260rav,mia,ThomJu00,pass_cmp,0,,,,,
player,201710260rav,mia,ThomJu00,pass_att,0,,,,,
player,201710260rav,mia,ThomJu00,pass_yds,0,,,,,
player,201710260rav,mia,ThomJu00,pass_td,0,,,,,
player,201710260rav,mia,ThomJu00,pass_int,0,,,,,
player,201710260rav,mia,ThomJu00,pass_sacked,0,,,,,
player,201710260rav,mia,ThomJu00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,ThomJu00,pass_long,0,,,,,
player,201710260rav,mia,ThomJu00,pass_rating,,,,,,
player,201710260rav,mia,ThomJu00,rush_att,0,,,,,
player,201710260rav,mia,ThomJu00,rush_yds,0,,,,,
player,201710260rav,mia,ThomJu00,rush_td,0,,,,,
player,201710260rav,mia,ThomJu00,rush_long,0,,,,,
player,201710260rav,mia,ThomJu00,targets,3,,,,,
player,201710260rav,mia,ThomJu00,rec,2,,,,,
player,201710260rav,mia,ThomJu00,rec_yds,2,,,,,
player,201710260rav,mia,ThomJu00,rec_td,0,,,,,
player,201710260rav,mia,ThomJu00,rec_long,3,,,,,
player,201710260rav,mia,ThomJu00,fumbles,0,,,,,
player,201710260rav,mia,ThomJu00,fumbles_lost,0,,,,,
player,201710260rav,mia,GranJa00,pass_cmp,0,,,,,
player,201710260rav,mia,GranJa00,pass_att,0,,,,,
player,201710260rav,mia,GranJa00,pass_yds,0,,,,,
player,201710260rav,mia,GranJa00,pass_td,0,,,,,
player,201710260rav,mia,GranJa00,pass_int,0,,,,,
player,201710260rav,mia,GranJa00,pass_sacked,0,,,,,
player,201710260rav,mia,GranJa00,pass_sacked_yds,0,,,,,
player,201710260rav,mia,GranJa00,pass_long,0,,,,,
player,201710260rav,mia,GranJa00,pass_rating,,,,,,
player,201710260rav,mia,GranJa00,rush_att,0,,,,,
player,201710260rav,mia,GranJa00,rush_yds,0,,,,,
player,201710260rav,mia,GranJa00,rush_td,0,,,,,
player,201710260rav,mia,GranJa00,rush_long,0,,,,,
player,201710260rav,mia,GranJa00,targets,2,,,,,
player,201710260rav,mia,GranJa00,rec,0,,,,,
player,201710260rav,mia,GranJa00,rec_yds,0,,,,,
player,201710260rav,mia,GranJa00,rec_td,0,,,,,
player,201710260rav,mia,GranJa00,rec_long,0,,,,,
player,201710260rav,mia,GranJa00,fumbles,0,,,,,
player,201710260rav,mia,GranJa00,fumbles_lost,0,,,,,
player,201710260rav,mia,WillDa05,pass_cmp,0,,,,,
player,201710260rav,mia,WillDa05,pass_att,0,,,,,
player,201710260rav,mia,WillDa05,pass_yds,0,,,,,
player,201710260rav,mia,WillDa05,pass_td,0,,,,,
player,201710260rav,mia,WillDa05,pass_int,0,,,,,
player,201710260rav,mia,WillDa05,pass_sacked,0,,,,,
player,201710260rav,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201710260rav,mia,WillDa05,pass_long,0,,,,,
player,201710260rav,mia,WillDa05,pass_rating,,,,,,
player,201710260rav,mia,WillDa05,rush_att,0,,,,,
player,201710260rav,mia,WillDa05,rush_yds,0,,,,,
player,201710260rav,mia,WillDa05,rush_td,0,,,,,
player,201710260rav,mia,WillDa05,rush_long,0,,,,,
player,201710260rav,mia,WillDa05,targets,2,,,,,
player,201710260rav,mia,WillDa05,rec,1,,,,,
player,201710260rav,mia,WillDa05,rec_yds,-1,,,,,
player,201710260rav,mia,WillDa05,rec_td,0,,,,,
player,201710260rav,mia,WillDa05,rec_long,-1,,,,,
player,201710260rav,mia,WillDa05,fumbles,0,,,,,
player,201710260rav,mia,WillDa05,fumbles_lost,0,,,,,
player,201710260rav,rav,FlacJo00,pass_cmp,10,,,,,
player,201710260rav,rav,FlacJo00,pass_att,15,,,,,
player,201710260rav,rav,FlacJo00,pass_yds,101,,,,,
player,201710260rav,rav,FlacJo00,pass_td,1,,,,,
player,201710260rav,rav,FlacJo00,pass_int,0,,,,,
