game,2017,14,20171210,201712100sdg,was,"Washington Redskins",13,sdg,"Los Angeles Chargers",30
team,201712100sdg,was,First Downs,9,,,,,,
team,201712100sdg,sdg,First Downs,24,,,,,,
team,201712100sdg,was,Rush-Yds-TDs,21-65-0,,,,,,
team,201712100sdg,sdg,Rush-Yds-TDs,35-174-1,,,,,,
team,201712100sdg,was,Cmp-Att-Yd-TD-INT,15-27-151-1-1,,,,,,
team,201712100sdg,sdg,Cmp-Att-Yd-TD-INT,19-34-322-2-1,,,,,,
team,201712100sdg,was,Sacked-Yards,2-15,,,,,,
team,201712100sdg,sdg,Sacked-Yards,2-8,,,,,,
team,201712100sdg,was,Net Pass Yards,136,,,,,,
team,201712100sdg,sdg,Net Pass Yards,314,,,,,,
team,201712100sdg,was,Total Yards,201,,,,,,
team,201712100sdg,sdg,Total Yards,488,,,,,,
team,201712100sdg,was,Fumbles-Lost,0-0,,,,,,
team,201712100sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201712100sdg,was,Turnovers,1,,,,,,
team,201712100sdg,sdg,Turnovers,1,,,,,,
team,201712100sdg,was,Penalties-Yards,4-48,,,,,,
team,201712100sdg,sdg,Penalties-Yards,5-40,,,,,,
team,201712100sdg,was,Third Down Conv.,2-12,,,,,,
team,201712100sdg,sdg,Third Down Conv.,6-15,,,,,,
team,201712100sdg,was,Fourth Down Conv.,1-2,,,,,,
team,201712100sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201712100sdg,was,Time of Possession,24:40,,,,,,
team,201712100sdg,sdg,Time of Possession,35:20,,,,,,
player,201712100sdg,was,CousKi00,pass_cmp,15,,,,,
player,201712100sdg,was,CousKi00,pass_att,27,,,,,
player,201712100sdg,was,CousKi00,pass_yds,151,,,,,
player,201712100sdg,was,CousKi00,pass_td,1,,,,,
player,201712100sdg,was,CousKi00,pass_int,1,,,,,
player,201712100sdg,was,CousKi00,pass_sacked,2,,,,,
player,201712100sdg,was,CousKi00,pass_sacked_yds,15,,,,,
player,201712100sdg,was,CousKi00,pass_long,28,,,,,
player,201712100sdg,was,CousKi00,pass_rating,68.6,,,,,
player,201712100sdg,was,CousKi00,rush_att,2,,,,,
player,201712100sdg,was,CousKi00,rush_yds,8,,,,,
player,201712100sdg,was,CousKi00,rush_td,0,,,,,
player,201712100sdg,was,CousKi00,rush_long,5,,,,,
player,201712100sdg,was,CousKi00,targets,0,,,,,
player,201712100sdg,was,CousKi00,rec,0,,,,,
player,201712100sdg,was,CousKi00,rec_yds,0,,,,,
player,201712100sdg,was,CousKi00,rec_td,0,,,,,
player,201712100sdg,was,CousKi00,rec_long,0,,,,,
player,201712100sdg,was,CousKi00,fumbles,0,,,,,
player,201712100sdg,was,CousKi00,fumbles_lost,0,,,,,
player,201712100sdg,was,PeriSa00,pass_cmp,0,,,,,
player,201712100sdg,was,PeriSa00,pass_att,0,,,,,
player,201712100sdg,was,PeriSa00,pass_yds,0,,,,,
player,201712100sdg,was,PeriSa00,pass_td,0,,,,,
player,201712100sdg,was,PeriSa00,pass_int,0,,,,,
player,201712100sdg,was,PeriSa00,pass_sacked,0,,,,,
player,201712100sdg,was,PeriSa00,pass_sacked_yds,0,,,,,
player,201712100sdg,was,PeriSa00,pass_long,0,,,,,
player,201712100sdg,was,PeriSa00,pass_rating,,,,,,
player,201712100sdg,was,PeriSa00,rush_att,17,,,,,
player,201712100sdg,was,PeriSa00,rush_yds,45,,,,,
player,201712100sdg,was,PeriSa00,rush_td,0,,,,,
player,201712100sdg,was,PeriSa00,rush_long,10,,,,,
player,201712100sdg,was,PeriSa00,targets,4,,,,,
player,201712100sdg,was,PeriSa00,rec,4,,,,,
player,201712100sdg,was,PeriSa00,rec_yds,7,,,,,
player,201712100sdg,was,PeriSa00,rec_td,0,,,,,
player,201712100sdg,was,PeriSa00,rec_long,6,,,,,
player,201712100sdg,was,PeriSa00,fumbles,0,,,,,
player,201712100sdg,was,PeriSa00,fumbles_lost,0,,,,,
player,201712100sdg,was,DaniLe00,pass_cmp,0,,,,,
player,201712100sdg,was,DaniLe00,pass_att,0,,,,,
player,201712100sdg,was,DaniLe00,pass_yds,0,,,,,
player,201712100sdg,was,DaniLe00,pass_td,0,,,,,
player,201712100sdg,was,DaniLe00,pass_int,0,,,,,
player,201712100sdg,was,DaniLe00,pass_sacked,0,,,,,
player,201712100sdg,was,DaniLe00,pass_sacked_yds,0,,,,,
player,201712100sdg,was,DaniLe00,pass_long,0,,,,,
player,201712100sdg,was,DaniLe00,pass_rating,,,,,,
player,201712100sdg,was,DaniLe00,rush_att,2,,,,,
player,201712100sdg,was,DaniLe00,rush_yds,12,,,,,
player,201712100sdg,was,DaniLe00,rush_td,0,,,,,
player,201712100sdg,was,DaniLe00,rush_long,8,,,,,
player,201712100sdg,was,DaniLe00,targets,0,,,,,
player,201712100sdg,was,DaniLe00,rec,0,,,,,
player,201712100sdg,was,DaniLe00,rec_yds,0,,,,,
