game,2017,16,20171224,201712240kan,mia,"Miami Dolphins",13,kan,"Kansas City Chiefs",29
team,201712240kan,mia,First Downs,15,,,,,,
team,201712240kan,kan,First Downs,23,,,,,,
team,201712240kan,mia,Rush-Yds-TDs,16-59-0,,,,,,
team,201712240kan,kan,Rush-Yds-TDs,34-103-1,,,,,,
team,201712240kan,mia,Cmp-Att-Yd-TD-INT,19-38-286-1-0,,,,,,
team,201712240kan,kan,Cmp-Att-Yd-TD-INT,25-39-304-1-0,,,,,,
team,201712240kan,mia,Sacked-Yards,0-0,,,,,,
team,201712240kan,kan,Sacked-Yards,1-3,,,,,,
team,201712240kan,mia,Net Pass Yards,286,,,,,,
team,201712240kan,kan,Net Pass Yards,301,,,,,,
team,201712240kan,mia,Total Yards,345,,,,,,
team,201712240kan,kan,Total Yards,404,,,,,,
team,201712240kan,mia,Fumbles-Lost,3-2,,,,,,
team,201712240kan,kan,Fumbles-Lost,0-0,,,,,,
team,201712240kan,mia,Turnovers,2,,,,,,
team,201712240kan,kan,Turnovers,0,,,,,,
team,201712240kan,mia,Penalties-Yards,11-75,,,,,,
team,201712240kan,kan,Penalties-Yards,5-40,,,,,,
team,201712240kan,mia,Third Down Conv.,0-8,,,,,,
team,201712240kan,kan,Third Down Conv.,8-16,,,,,,
team,201712240kan,mia,Fourth Down Conv.,0-2,,,,,,
team,201712240kan,kan,Fourth Down Conv.,0-1,,,,,,
team,201712240kan,mia,Time of Possession,22:07,,,,,,
team,201712240kan,kan,Time of Possession,37:53,,,,,,
player,201712240kan,mia,CutlJa00,pass_cmp,19,,,,,
player,201712240kan,mia,CutlJa00,pass_att,38,,,,,
player,201712240kan,mia,CutlJa00,pass_yds,286,,,,,
player,201712240kan,mia,CutlJa00,pass_td,1,,,,,
player,201712240kan,mia,CutlJa00,pass_int,0,,,,,
player,201712240kan,mia,CutlJa00,pass_sacked,0,,,,,
player,201712240kan,mia,CutlJa00,pass_sacked_yds,0,,,,,
player,201712240kan,mia,CutlJa00,pass_long,65,,,,,
player,201712240kan,mia,CutlJa00,pass_rating,83.9,,,,,
player,201712240kan,mia,CutlJa00,rush_att,2,,,,,
player,201712240kan,mia,CutlJa00,rush_yds,-1,,,,,
player,201712240kan,mia,CutlJa00,rush_td,0,,,,,
player,201712240kan,mia,CutlJa00,rush_long,0,,,,,
player,201712240kan,mia,CutlJa00,targets,0,,,,,
player,201712240kan,mia,CutlJa00,rec,0,,,,,
player,201712240kan,mia,CutlJa00,rec_yds,0,,,,,
player,201712240kan,mia,CutlJa00,rec_td,0,,,,,
player,201712240kan,mia,CutlJa00,rec_long,0,,,,,
player,201712240kan,mia,CutlJa00,fumbles,1,,,,,
player,201712240kan,mia,CutlJa00,fumbles_lost,0,,,,,
player,201712240kan,mia,DrakKe00,pass_cmp,0,,,,,
player,201712240kan,mia,DrakKe00,pass_att,0,,,,,
player,201712240kan,mia,DrakKe00,pass_yds,0,,,,,
player,201712240kan,mia,DrakKe00,pass_td,0,,,,,
player,201712240kan,mia,DrakKe00,pass_int,0,,,,,
player,201712240kan,mia,DrakKe00,pass_sacked,0,,,,,
player,201712240kan,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201712240kan,mia,DrakKe00,pass_long,0,,,,,
player,201712240kan,mia,DrakKe00,pass_rating,,,,,,
player,201712240kan,mia,DrakKe00,rush_att,13,,,,,
player,201712240kan,mia,DrakKe00,rush_yds,57,,,,,
player,201712240kan,mia,DrakKe00,rush_td,0,,,,,
player,201712240kan,mia,DrakKe00,rush_long,18,,,,,
player,201712240kan,mia,DrakKe00,targets,3,,,,,
player,201712240kan,mia,DrakKe00,rec,0,,,,,
player,201712240kan,mia,DrakKe00,rec_yds,0,,,,,
player,201712240kan,mia,DrakKe00,rec_td,0,,,,,
player,201712240kan,mia,DrakKe00,rec_long,0,,,,,
player,201712240kan,mia,DrakKe00,fumbles,0,,,,,
player,201712240kan,mia,DrakKe00,fumbles_lost,0,,,,,
player,201712240kan,mia,GranJa00,pass_cmp,0,,,,,
player,201712240kan,mia,GranJa00,pass_att,0,,,,,
player,201712240kan,mia,GranJa00,pass_yds,0,,,,,
player,201712240kan,mia,GranJa00,pass_td,0,,,,,
player,201712240kan,mia,GranJa00,pass_int,0,,,,,
player,201712240kan,mia,GranJa00,pass_sacked,0,,,,,
player,201712240kan,mia,GranJa00,pass_sacked_yds,0,,,,,
player,201712240kan,mia,GranJa00,pass_long,0,,,,,
player,201712240kan,mia,GranJa00,pass_rating,,,,,,
player,201712240kan,mia,GranJa00,rush_att,1,,,,,
player,201712240kan,mia,GranJa00,rush_yds,3,,,,,
player,201712240kan,mia,GranJa00,rush_td,0,,,,,
player,201712240kan,mia,GranJa00,rush_long,3,,,,,
player,201712240kan,mia,GranJa00,targets,6,,,,,
player,201712240kan,mia,GranJa00,rec,4,,,,,
player,201712240kan,mia,GranJa00,rec_yds,107,,,,,
player,201712240kan,mia,GranJa00,rec_td,1,,,,,
player,201712240kan,mia,GranJa00,rec_long,65,,,,,
player,201712240kan,mia,GranJa00,fumbles,0,,,,,
