game,2017,15,20171218,201712180tam,atl,"Atlanta Falcons",24,tam,"Tampa Bay Buccaneers",21
team,201712180tam,atl,First Downs,24,,,,,,
team,201712180tam,tam,First Downs,22,,,,,,
team,201712180tam,atl,Rush-Yds-TDs,35-201-1,,,,,,
team,201712180tam,tam,Rush-Yds-TDs,18-84-0,,,,,,
team,201712180tam,atl,Cmp-Att-Yd-TD-INT,17-31-212-1-0,,,,,,
team,201712180tam,tam,Cmp-Att-Yd-TD-INT,27-35-299-3-0,,,,,,
team,201712180tam,atl,Sacked-Yards,1-3,,,,,,
team,201712180tam,tam,Sacked-Yards,2-10,,,,,,
team,201712180tam,atl,Net Pass Yards,209,,,,,,
team,201712180tam,tam,Net Pass Yards,289,,,,,,
team,201712180tam,atl,Total Yards,410,,,,,,
team,201712180tam,tam,Total Yards,373,,,,,,
team,201712180tam,atl,Fumbles-Lost,2-0,,,,,,
team,201712180tam,tam,Fumbles-Lost,2-1,,,,,,
team,201712180tam,atl,Turnovers,0,,,,,,
team,201712180tam,tam,Turnovers,1,,,,,,
team,201712180tam,atl,Penalties-Yards,6-60,,,,,,
team,201712180tam,tam,Penalties-Yards,7-53,,,,,,
team,201712180tam,atl,Third Down Conv.,9-15,,,,,,
team,201712180tam,tam,Third Down Conv.,4-8,,,,,,
team,201712180tam,atl,Fourth Down Conv.,0-0,,,,,,
team,201712180tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201712180tam,atl,Time of Possession,33:15,,,,,,
team,201712180tam,tam,Time of Possession,26:45,,,,,,
player,201712180tam,atl,RyanMa00,pass_cmp,17,,,,,
player,201712180tam,atl,RyanMa00,pass_att,31,,,,,
player,201712180tam,atl,RyanMa00,pass_yds,212,,,,,
player,201712180tam,atl,RyanMa00,pass_td,1,,,,,
player,201712180tam,atl,RyanMa00,pass_int,0,,,,,
player,201712180tam,atl,RyanMa00,pass_sacked,1,,,,,
player,201712180tam,atl,RyanMa00,pass_sacked_yds,3,,,,,
player,201712180tam,atl,RyanMa00,pass_long,29,,,,,
player,201712180tam,atl,RyanMa00,pass_rating,87.0,,,,,
player,201712180tam,atl,RyanMa00,rush_att,3,,,,,
player,201712180tam,atl,RyanMa00,rush_yds,29,,,,,
player,201712180tam,atl,RyanMa00,rush_td,0,,,,,
player,201712180tam,atl,RyanMa00,rush_long,12,,,,,
player,201712180tam,atl,RyanMa00,targets,0,,,,,
player,201712180tam,atl,RyanMa00,rec,0,,,,,
player,201712180tam,atl,RyanMa00,rec_yds,0,,,,,
player,201712180tam,atl,RyanMa00,rec_td,0,,,,,
player,201712180tam,atl,RyanMa00,rec_long,0,,,,,
player,201712180tam,atl,RyanMa00,fumbles,0,,,,,
player,201712180tam,atl,RyanMa00,fumbles_lost,0,,,,,
player,201712180tam,atl,FreeDe00,pass_cmp,0,,,,,
player,201712180tam,atl,FreeDe00,pass_att,0,,,,,
player,201712180tam,atl,FreeDe00,pass_yds,0,,,,,
player,201712180tam,atl,FreeDe00,pass_td,0,,,,,
player,201712180tam,atl,FreeDe00,pass_int,0,,,,,
player,201712180tam,atl,FreeDe00,pass_sacked,0,,,,,
player,201712180tam,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201712180tam,atl,FreeDe00,pass_long,0,,,,,
player,201712180tam,atl,FreeDe00,pass_rating,,,,,,
player,201712180tam,atl,FreeDe00,rush_att,22,,,,,
player,201712180tam,atl,FreeDe00,rush_yds,126,,,,,
player,201712180tam,atl,FreeDe00,rush_td,1,,,,,
player,201712180tam,atl,FreeDe00,rush_long,32,,,,,
player,201712180tam,atl,FreeDe00,targets,7,,,,,
player,201712180tam,atl,FreeDe00,rec,5,,,,,
player,201712180tam,atl,FreeDe00,rec_yds,68,,,,,
player,201712180tam,atl,FreeDe00,rec_td,0,,,,,
player,201712180tam,atl,FreeDe00,rec_long,29,,,,,
player,201712180tam,atl,FreeDe00,fumbles,2,,,,,
player,201712180tam,atl,FreeDe00,fumbles_lost,0,,,,,
player,201712180tam,atl,WardTe00,pass_cmp,0,,,,,
player,201712180tam,atl,WardTe00,pass_att,0,,,,,
player,201712180tam,atl,WardTe00,pass_yds,0,,,,,
player,201712180tam,atl,WardTe00,pass_td,0,,,,,
player,201712180tam,atl,WardTe00,pass_int,0,,,,,
player,201712180tam,atl,WardTe00,pass_sacked,0,,,,,
player,201712180tam,atl,WardTe00,pass_sacked_yds,0,,,,,
player,201712180tam,atl,WardTe00,pass_long,0,,,,,
player,201712180tam,atl,WardTe00,pass_rating,,,,,,
player,201712180tam,atl,WardTe00,rush_att,8,,,,,
player,201712180tam,atl,WardTe00,rush_yds,40,,,,,
player,201712180tam,atl,WardTe00,rush_td,0,,,,,
player,201712180tam,atl,WardTe00,rush_long,13,,,,,
player,201712180tam,atl,WardTe00,targets,1,,,,,
player,201712180tam,atl,WardTe00,rec,1,,,,,
player,201712180tam,atl,WardTe00,rec_yds,6,,,,,
player,201712180tam,atl,WardTe00,rec_td,0,,,,,
player,201712180tam,atl,WardTe00,rec_long,6,,,,,
player,201712180tam,atl,WardTe00,fumbles,0,,,,,
player,201712180tam,atl,WardTe00,fumbles_lost,0,,,,,
player,201712180tam,atl,SanuMo00,pass_cmp,0,,,,,
player,201712180tam,atl,SanuMo00,pass_att,0,,,,,
player,201712180tam,atl,SanuMo00,pass_yds,0,,,,,
player,201712180tam,atl,SanuMo00,pass_td,0,,,,,
player,201712180tam,atl,SanuMo00,pass_int,0,,,,,
player,201712180tam,atl,SanuMo00,pass_sacked,0,,,,,
player,201712180tam,atl,SanuMo00,pass_sacked_yds,0,,,,,
player,201712180tam,atl,SanuMo00,pass_long,0,,,,,
player,201712180tam,atl,SanuMo00,pass_rating,,,,,,
player,201712180tam,atl,SanuMo00,rush_att,1,,,,,
player,201712180tam,atl,SanuMo00,rush_yds,3,,,,,
player,201712180tam,atl,SanuMo00,rush_td,0,,,,,
player,201712180tam,atl,SanuMo00,rush_long,3,,,,,
player,201712180tam,atl,SanuMo00,targets,5,,,,,
player,201712180tam,atl,SanuMo00,rec,2,,,,,
player,201712180tam,atl,SanuMo00,rec_yds,23,,,,,
player,201712180tam,atl,SanuMo00,rec_td,0,,,,,
player,201712180tam,atl,SanuMo00,rec_long,21,,,,,
player,201712180tam,atl,SanuMo00,fumbles,0,,,,,
player,201712180tam,atl,SanuMo00,fumbles_lost,0,,,,,
player,201712180tam,atl,GabrTa00,pass_cmp,0,,,,,
player,201712180tam,atl,GabrTa00,pass_att,0,,,,,
player,201712180tam,atl,GabrTa00,pass_yds,0,,,,,
player,201712180tam,atl,GabrTa00,pass_td,0,,,,,
player,201712180tam,atl,GabrTa00,pass_int,0,,,,,
player,201712180tam,atl,GabrTa00,pass_sacked,0,,,,,
player,201712180tam,atl,GabrTa00,pass_sacked_yds,0,,,,,
player,201712180tam,atl,GabrTa00,pass_long,0,,,,,
player,201712180tam,atl,GabrTa00,pass_rating,,,,,,
player,201712180tam,atl,GabrTa00,rush_att,1,,,,,
player,201712180tam,atl,GabrTa00,rush_yds,3,,,,,
player,201712180tam,atl,GabrTa00,rush_td,0,,,,,
player,201712180tam,atl,GabrTa00,rush_long,3,,,,,
player,201712180tam,atl,GabrTa00,targets,2,,,,,
player,201712180tam,atl,GabrTa00,rec,2,,,,,
player,201712180tam,atl,GabrTa00,rec_yds,16,,,,,
player,201712180tam,atl,GabrTa00,rec_td,0,,,,,
player,201712180tam,atl,GabrTa00,rec_long,10,,,,,
player,201712180tam,atl,GabrTa00,fumbles,0,,,,,
player,201712180tam,atl,GabrTa00,fumbles_lost,0,,,,,
player,201712180tam,atl,JoneJu02,pass_cmp,0,,,,,
player,201712180tam,atl,JoneJu02,pass_att,0,,,,,
player,201712180tam,atl,JoneJu02,pass_yds,0,,,,,
player,201712180tam,atl,JoneJu02,pass_td,0,,,,,
player,201712180tam,atl,JoneJu02,pass_int,0,,,,,
player,201712180tam,atl,JoneJu02,pass_sacked,0,,,,,
player,201712180tam,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201712180tam,atl,JoneJu02,pass_long,0,,,,,
player,201712180tam,atl,JoneJu02,pass_rating,,,,,,
player,201712180tam,atl,JoneJu02,rush_att,0,,,,,
player,201712180tam,atl,JoneJu02,rush_yds,0,,,,,
player,201712180tam,atl,JoneJu02,rush_td,0,,,,,
player,201712180tam,atl,JoneJu02,rush_long,0,,,,,
player,201712180tam,atl,JoneJu02,targets,8,,,,,
player,201712180tam,atl,JoneJu02,rec,3,,,,,
player,201712180tam,atl,JoneJu02,rec_yds,54,,,,,
player,201712180tam,atl,JoneJu02,rec_td,0,,,,,
player,201712180tam,atl,JoneJu02,rec_long,29,,,,,
player,201712180tam,atl,JoneJu02,fumbles,0,,,,,
player,201712180tam,atl,JoneJu02,fumbles_lost,0,,,,,
player,201712180tam,atl,HardJu00,pass_cmp,0,,,,,
player,201712180tam,atl,HardJu00,pass_att,0,,,,,
player,201712180tam,atl,HardJu00,pass_yds,0,,,,,
player,201712180tam,atl,HardJu00,pass_td,0,,,,,
player,201712180tam,atl,HardJu00,pass_int,0,,,,,
player,201712180tam,atl,HardJu00,pass_sacked,0,,,,,
player,201712180tam,atl,HardJu00,pass_sacked_yds,0,,,,,
player,201712180tam,atl,HardJu00,pass_long,0,,,,,
player,201712180tam,atl,HardJu00,pass_rating,,,,,,
player,201712180tam,atl,HardJu00,rush_att,0,,,,,
player,201712180tam,atl,HardJu00,rush_yds,0,,,,,
player,201712180tam,atl,HardJu00,rush_td,0,,,,,
player,201712180tam,atl,HardJu00,rush_long,0,,,,,
player,201712180tam,atl,HardJu00,targets,4,,,,,
player,201712180tam,atl,HardJu00,rec,2,,,,,
player,201712180tam,atl,HardJu00,rec_yds,33,,,,,
player,201712180tam,atl,HardJu00,rec_td,1,,,,,
player,201712180tam,atl,HardJu00,rec_long,27,,,,,
player,201712180tam,atl,HardJu00,fumbles,0,,,,,
player,201712180tam,atl,HardJu00,fumbles_lost,0,,,,,
player,201712180tam,atl,HoopAu00,pass_cmp,0,,,,,
player,201712180tam,atl,HoopAu00,pass_att,0,,,,,
player,201712180tam,atl,HoopAu00,pass_yds,0,,,,,
player,201712180tam,atl,HoopAu00,pass_td,0,,,,,
player,201712180tam,atl,HoopAu00,pass_int,0,,,,,
player,201712180tam,atl,HoopAu00,pass_sacked,0,,,,,
player,201712180tam,atl,HoopAu00,pass_sacked_yds,0,,,,,
player,201712180tam,atl,HoopAu00,pass_long,0,,,,,
player,201712180tam,atl,HoopAu00,pass_rating,,,,,,
player,201712180tam,atl,HoopAu00,rush_att,0,,,,,
player,201712180tam,atl,HoopAu00,rush_yds,0,,,,,
player,201712180tam,atl,HoopAu00,rush_td,0,,,,,
player,201712180tam,atl,HoopAu00,rush_long,0,,,,,
player,201712180tam,atl,HoopAu00,targets,2,,,,,
player,201712180tam,atl,HoopAu00,rec,2,,,,,
player,201712180tam,atl,HoopAu00,rec_yds,12,,,,,
player,201712180tam,atl,HoopAu00,rec_td,0,,,,,
player,201712180tam,atl,HoopAu00,rec_long,7,,,,,
player,201712180tam,atl,HoopAu00,fumbles,0,,,,,
player,201712180tam,atl,HoopAu00,fumbles_lost,0,,,,,
player,201712180tam,atl,ColeDe00,pass_cmp,0,,,,,
player,201712180tam,atl,ColeDe00,pass_att,0,,,,,
player,201712180tam,atl,ColeDe00,pass_yds,0,,,,,
player,201712180tam,atl,ColeDe00,pass_td,0,,,,,
player,201712180tam,atl,ColeDe00,pass_int,0,,,,,
player,201712180tam,atl,ColeDe00,pass_sacked,0,,,,,
player,201712180tam,atl,ColeDe00,pass_sacked_yds,0,,,,,
player,201712180tam,atl,ColeDe00,pass_long,0,,,,,
player,201712180tam,atl,ColeDe00,pass_rating,,,,,,
player,201712180tam,atl,ColeDe00,rush_att,0,,,,,
player,201712180tam,atl,ColeDe00,rush_yds,0,,,,,
player,201712180tam,atl,ColeDe00,rush_td,0,,,,,
player,201712180tam,atl,ColeDe00,rush_long,0,,,,,
player,201712180tam,atl,ColeDe00,targets,1,,,,,
player,201712180tam,atl,ColeDe00,rec,0,,,,,
player,201712180tam,atl,ColeDe00,rec_yds,0,,,,,
player,201712180tam,atl,ColeDe00,rec_td,0,,,,,
player,201712180tam,atl,ColeDe00,rec_long,0,,,,,
player,201712180tam,atl,ColeDe00,fumbles,0,,,,,
player,201712180tam,atl,ColeDe00,fumbles_lost,0,,,,,
player,201712180tam,tam,WinsJa00,pass_cmp,27,,,,,
player,201712180tam,tam,WinsJa00,pass_att,35,,,,,
player,201712180tam,tam,WinsJa00,pass_yds,299,,,,,
player,201712180tam,tam,WinsJa00,pass_td,3,,,,,
player,201712180tam,tam,WinsJa00,pass_int,0,,,,,
player,201712180tam,tam,WinsJa00,pass_sacked,2,,,,,
player,201712180tam,tam,WinsJa00,pass_sacked_yds,10,,,,,
player,201712180tam,tam,WinsJa00,pass_long,42,,,,,
player,201712180tam,tam,WinsJa00,pass_rating,130.5,,,,,
player,201712180tam,tam,WinsJa00,rush_att,3,,,,,
player,201712180tam,tam,WinsJa00,rush_yds,18,,,,,
player,201712180tam,tam,WinsJa00,rush_td,0,,,,,
player,201712180tam,tam,WinsJa00,rush_long,13,,,,,
player,201712180tam,tam,WinsJa00,targets,0,,,,,
player,201712180tam,tam,WinsJa00,rec,0,,,,,
player,201712180tam,tam,WinsJa00,rec_yds,0,,,,,
player,201712180tam,tam,WinsJa00,rec_td,0,,,,,
player,201712180tam,tam,WinsJa00,rec_long,0,,,,,
player,201712180tam,tam,WinsJa00,fumbles,1,,,,,
player,201712180tam,tam,WinsJa00,fumbles_lost,0,,,,,
