game,2017,4,20171001,201710010dal,ram,"Los Angeles Rams",35,dal,"Dallas Cowboys",30
team,201710010dal,ram,First Downs,24,,,,,,
team,201710010dal,dal,First Downs,22,,,,,,
team,201710010dal,ram,Rush-Yds-TDs,31-168-0,,,,,,
team,201710010dal,dal,Rush-Yds-TDs,27-189-1,,,,,,
team,201710010dal,ram,Cmp-Att-Yd-TD-INT,21-36-255-2-0,,,,,,
team,201710010dal,dal,Cmp-Att-Yd-TD-INT,20-36-252-3-1,,,,,,
team,201710010dal,ram,Sacked-Yards,1-11,,,,,,
team,201710010dal,dal,Sacked-Yards,2-1,,,,,,
team,201710010dal,ram,Net Pass Yards,244,,,,,,
team,201710010dal,dal,Net Pass Yards,251,,,,,,
team,201710010dal,ram,Total Yards,412,,,,,,
team,201710010dal,dal,Total Yards,440,,,,,,
team,201710010dal,ram,Fumbles-Lost,1-0,,,,,,
team,201710010dal,dal,Fumbles-Lost,1-1,,,,,,
team,201710010dal,ram,Turnovers,0,,,,,,
team,201710010dal,dal,Turnovers,2,,,,,,
team,201710010dal,ram,Penalties-Yards,7-41,,,,,,
team,201710010dal,dal,Penalties-Yards,4-45,,,,,,
team,201710010dal,ram,Third Down Conv.,5-13,,,,,,
team,201710010dal,dal,Third Down Conv.,7-14,,,,,,
team,201710010dal,ram,Fourth Down Conv.,0-0,,,,,,
team,201710010dal,dal,Fourth Down Conv.,1-2,,,,,,
team,201710010dal,ram,Time of Possession,30:32,,,,,,
team,201710010dal,dal,Time of Possession,29:28,,,,,,
player,201710010dal,ram,GoffJa00,pass_cmp,21,,,,,
player,201710010dal,ram,GoffJa00,pass_att,36,,,,,
player,201710010dal,ram,GoffJa00,pass_yds,255,,,,,
player,201710010dal,ram,GoffJa00,pass_td,2,,,,,
player,201710010dal,ram,GoffJa00,pass_int,0,,,,,
player,201710010dal,ram,GoffJa00,pass_sacked,1,,,,,
player,201710010dal,ram,GoffJa00,pass_sacked_yds,11,,,,,
player,201710010dal,ram,GoffJa00,pass_long,53,,,,,
player,201710010dal,ram,GoffJa00,pass_rating,98.7,,,,,
player,201710010dal,ram,GoffJa00,rush_att,1,,,,,
player,201710010dal,ram,GoffJa00,rush_yds,-1,,,,,
player,201710010dal,ram,GoffJa00,rush_td,0,,,,,
player,201710010dal,ram,GoffJa00,rush_long,-1,,,,,
player,201710010dal,ram,GoffJa00,targets,0,,,,,
player,201710010dal,ram,GoffJa00,rec,0,,,,,
player,201710010dal,ram,GoffJa00,rec_yds,0,,,,,
player,201710010dal,ram,GoffJa00,rec_td,0,,,,,
player,201710010dal,ram,GoffJa00,rec_long,0,,,,,
player,201710010dal,ram,GoffJa00,fumbles,1,,,,,
player,201710010dal,ram,GoffJa00,fumbles_lost,0,,,,,
player,201710010dal,ram,GurlTo01,pass_cmp,0,,,,,
player,201710010dal,ram,GurlTo01,pass_att,0,,,,,
player,201710010dal,ram,GurlTo01,pass_yds,0,,,,,
player,201710010dal,ram,GurlTo01,pass_td,0,,,,,
player,201710010dal,ram,GurlTo01,pass_int,0,,,,,
player,201710010dal,ram,GurlTo01,pass_sacked,0,,,,,
player,201710010dal,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201710010dal,ram,GurlTo01,pass_long,0,,,,,
player,201710010dal,ram,GurlTo01,pass_rating,,,,,,
player,201710010dal,ram,GurlTo01,rush_att,23,,,,,
player,201710010dal,ram,GurlTo01,rush_yds,121,,,,,
player,201710010dal,ram,GurlTo01,rush_td,0,,,,,
player,201710010dal,ram,GurlTo01,rush_long,17,,,,,
player,201710010dal,ram,GurlTo01,targets,8,,,,,
player,201710010dal,ram,GurlTo01,rec,7,,,,,
player,201710010dal,ram,GurlTo01,rec_yds,94,,,,,
player,201710010dal,ram,GurlTo01,rec_td,1,,,,,
player,201710010dal,ram,GurlTo01,rec_long,53,,,,,
player,201710010dal,ram,GurlTo01,fumbles,0,,,,,
player,201710010dal,ram,GurlTo01,fumbles_lost,0,,,,,
player,201710010dal,ram,AustTa00,pass_cmp,0,,,,,
player,201710010dal,ram,AustTa00,pass_att,0,,,,,
player,201710010dal,ram,AustTa00,pass_yds,0,,,,,
player,201710010dal,ram,AustTa00,pass_td,0,,,,,
player,201710010dal,ram,AustTa00,pass_int,0,,,,,
player,201710010dal,ram,AustTa00,pass_sacked,0,,,,,
player,201710010dal,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201710010dal,ram,AustTa00,pass_long,0,,,,,
player,201710010dal,ram,AustTa00,pass_rating,,,,,,
player,201710010dal,ram,AustTa00,rush_att,6,,,,,
player,201710010dal,ram,AustTa00,rush_yds,48,,,,,
player,201710010dal,ram,AustTa00,rush_td,0,,,,,
player,201710010dal,ram,AustTa00,rush_long,14,,,,,
player,201710010dal,ram,AustTa00,targets,2,,,,,
player,201710010dal,ram,AustTa00,rec,1,,,,,
player,201710010dal,ram,AustTa00,rec_yds,-2,,,,,
player,201710010dal,ram,AustTa00,rec_td,0,,,,,
player,201710010dal,ram,AustTa00,rec_long,-2,,,,,
player,201710010dal,ram,AustTa00,fumbles,0,,,,,
player,201710010dal,ram,AustTa00,fumbles_lost,0,,,,,
player,201710010dal,ram,KuppCo00,pass_cmp,0,,,,,
player,201710010dal,ram,KuppCo00,pass_att,0,,,,,
player,201710010dal,ram,KuppCo00,pass_yds,0,,,,,
player,201710010dal,ram,KuppCo00,pass_td,0,,,,,
player,201710010dal,ram,KuppCo00,pass_int,0,,,,,
player,201710010dal,ram,KuppCo00,pass_sacked,0,,,,,
player,201710010dal,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201710010dal,ram,KuppCo00,pass_long,0,,,,,
player,201710010dal,ram,KuppCo00,pass_rating,,,,,,
player,201710010dal,ram,KuppCo00,rush_att,0,,,,,
player,201710010dal,ram,KuppCo00,rush_yds,0,,,,,
player,201710010dal,ram,KuppCo00,rush_td,0,,,,,
player,201710010dal,ram,KuppCo00,rush_long,0,,,,,
player,201710010dal,ram,KuppCo00,targets,7,,,,,
player,201710010dal,ram,KuppCo00,rec,5,,,,,
player,201710010dal,ram,KuppCo00,rec_yds,60,,,,,
player,201710010dal,ram,KuppCo00,rec_td,1,,,,,
player,201710010dal,ram,KuppCo00,rec_long,24,,,,,
player,201710010dal,ram,KuppCo00,fumbles,0,,,,,
player,201710010dal,ram,KuppCo00,fumbles_lost,0,,,,,
player,201710010dal,ram,HigbTy00,pass_cmp,0,,,,,
player,201710010dal,ram,HigbTy00,pass_att,0,,,,,
player,201710010dal,ram,HigbTy00,pass_yds,0,,,,,
player,201710010dal,ram,HigbTy00,pass_td,0,,,,,
player,201710010dal,ram,HigbTy00,pass_int,0,,,,,
player,201710010dal,ram,HigbTy00,pass_sacked,0,,,,,
player,201710010dal,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201710010dal,ram,HigbTy00,pass_long,0,,,,,
player,201710010dal,ram,HigbTy00,pass_rating,,,,,,
player,201710010dal,ram,HigbTy00,rush_att,0,,,,,
player,201710010dal,ram,HigbTy00,rush_yds,0,,,,,
player,201710010dal,ram,HigbTy00,rush_td,0,,,,,
player,201710010dal,ram,HigbTy00,rush_long,0,,,,,
player,201710010dal,ram,HigbTy00,targets,6,,,,,
player,201710010dal,ram,HigbTy00,rec,3,,,,,
player,201710010dal,ram,HigbTy00,rec_yds,47,,,,,
player,201710010dal,ram,HigbTy00,rec_td,0,,,,,
player,201710010dal,ram,HigbTy00,rec_long,29,,,,,
player,201710010dal,ram,HigbTy00,fumbles,0,,,,,
player,201710010dal,ram,HigbTy00,fumbles_lost,0,,,,,
player,201710010dal,ram,WatkSa00,pass_cmp,0,,,,,
player,201710010dal,ram,WatkSa00,pass_att,0,,,,,
player,201710010dal,ram,WatkSa00,pass_yds,0,,,,,
player,201710010dal,ram,WatkSa00,pass_td,0,,,,,
player,201710010dal,ram,WatkSa00,pass_int,0,,,,,
player,201710010dal,ram,WatkSa00,pass_sacked,0,,,,,
player,201710010dal,ram,WatkSa00,pass_sacked_yds,0,,,,,
player,201710010dal,ram,WatkSa00,pass_long,0,,,,,
player,201710010dal,ram,WatkSa00,pass_rating,,,,,,
player,201710010dal,ram,WatkSa00,rush_att,0,,,,,
player,201710010dal,ram,WatkSa00,rush_yds,0,,,,,
player,201710010dal,ram,WatkSa00,rush_td,0,,,,,
player,201710010dal,ram,WatkSa00,rush_long,0,,,,,
player,201710010dal,ram,WatkSa00,targets,2,,,,,
player,201710010dal,ram,WatkSa00,rec,1,,,,,
player,201710010dal,ram,WatkSa00,rec_yds,17,,,,,
player,201710010dal,ram,WatkSa00,rec_td,0,,,,,
player,201710010dal,ram,WatkSa00,rec_long,17,,,,,
player,201710010dal,ram,WatkSa00,fumbles,0,,,,,
player,201710010dal,ram,WatkSa00,fumbles_lost,0,,,,,
player,201710010dal,ram,WoodRo02,pass_cmp,0,,,,,
player,201710010dal,ram,WoodRo02,pass_att,0,,,,,
player,201710010dal,ram,WoodRo02,pass_yds,0,,,,,
player,201710010dal,ram,WoodRo02,pass_td,0,,,,,
player,201710010dal,ram,WoodRo02,pass_int,0,,,,,
player,201710010dal,ram,WoodRo02,pass_sacked,0,,,,,
player,201710010dal,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201710010dal,ram,WoodRo02,pass_long,0,,,,,
player,201710010dal,ram,WoodRo02,pass_rating,,,,,,
player,201710010dal,ram,WoodRo02,rush_att,0,,,,,
player,201710010dal,ram,WoodRo02,rush_yds,0,,,,,
player,201710010dal,ram,WoodRo02,rush_td,0,,,,,
player,201710010dal,ram,WoodRo02,rush_long,0,,,,,
player,201710010dal,ram,WoodRo02,targets,6,,,,,
player,201710010dal,ram,WoodRo02,rec,2,,,,,
player,201710010dal,ram,WoodRo02,rec_yds,17,,,,,
player,201710010dal,ram,WoodRo02,rec_td,0,,,,,
player,201710010dal,ram,WoodRo02,rec_long,19,,,,,
player,201710010dal,ram,WoodRo02,fumbles,0,,,,,
player,201710010dal,ram,WoodRo02,fumbles_lost,0,,,,,
player,201710010dal,ram,BrowMa03,pass_cmp,0,,,,,
player,201710010dal,ram,BrowMa03,pass_att,0,,,,,
player,201710010dal,ram,BrowMa03,pass_yds,0,,,,,
