game,2017,2,20170917,201709170ram,was,"Washington Redskins",27,ram,"Los Angeles Rams",20
player,201709170ram,was,ReedJo02,fumbles,1,,,,,
player,201709170ram,was,ReedJo02,fumbles_lost,0,,,,,
player,201709170ram,was,CrowJa00,pass_cmp,0,,,,,
player,201709170ram,was,CrowJa00,pass_att,0,,,,,
player,201709170ram,was,CrowJa00,pass_yds,0,,,,,
player,201709170ram,was,CrowJa00,pass_td,0,,,,,
player,201709170ram,was,CrowJa00,pass_int,0,,,,,
player,201709170ram,was,CrowJa00,pass_sacked,0,,,,,
player,201709170ram,was,CrowJa00,pass_sacked_yds,0,,,,,
player,201709170ram,was,CrowJa00,pass_long,0,,,,,
player,201709170ram,was,CrowJa00,pass_rating,,,,,,
player,201709170ram,was,CrowJa00,rush_att,0,,,,,
player,201709170ram,was,CrowJa00,rush_yds,0,,,,,
player,201709170ram,was,CrowJa00,rush_td,0,,,,,
player,201709170ram,was,CrowJa00,rush_long,0,,,,,
player,201709170ram,was,CrowJa00,targets,5,,,,,
player,201709170ram,was,CrowJa00,rec,4,,,,,
player,201709170ram,was,CrowJa00,rec_yds,47,,,,,
player,201709170ram,was,CrowJa00,rec_td,0,,,,,
player,201709170ram,was,CrowJa00,rec_long,21,,,,,
player,201709170ram,was,CrowJa00,fumbles,0,,,,,
player,201709170ram,was,CrowJa00,fumbles_lost,0,,,,,
player,201709170ram,was,PryoTe00,pass_cmp,0,,,,,
player,201709170ram,was,PryoTe00,pass_att,0,,,,,
player,201709170ram,was,PryoTe00,pass_yds,0,,,,,
player,201709170ram,was,PryoTe00,pass_td,0,,,,,
player,201709170ram,was,PryoTe00,pass_int,0,,,,,
player,201709170ram,was,PryoTe00,pass_sacked,0,,,,,
player,201709170ram,was,PryoTe00,pass_sacked_yds,0,,,,,
player,201709170ram,was,PryoTe00,pass_long,0,,,,,
player,201709170ram,was,PryoTe00,pass_rating,,,,,,
player,201709170ram,was,PryoTe00,rush_att,0,,,,,
player,201709170ram,was,PryoTe00,rush_yds,0,,,,,
player,201709170ram,was,PryoTe00,rush_td,0,,,,,
player,201709170ram,was,PryoTe00,rush_long,0,,,,,
player,201709170ram,was,PryoTe00,targets,4,,,,,
player,201709170ram,was,PryoTe00,rec,2,,,,,
player,201709170ram,was,PryoTe00,rec_yds,31,,,,,
player,201709170ram,was,PryoTe00,rec_td,0,,,,,
player,201709170ram,was,PryoTe00,rec_long,23,,,,,
player,201709170ram,was,PryoTe00,fumbles,0,,,,,
player,201709170ram,was,PryoTe00,fumbles_lost,0,,,,,
player,201709170ram,was,DaviVe00,pass_cmp,0,,,,,
player,201709170ram,was,DaviVe00,pass_att,0,,,,,
player,201709170ram,was,DaviVe00,pass_yds,0,,,,,
player,201709170ram,was,DaviVe00,pass_td,0,,,,,
player,201709170ram,was,DaviVe00,pass_int,0,,,,,
player,201709170ram,was,DaviVe00,pass_sacked,0,,,,,
player,201709170ram,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201709170ram,was,DaviVe00,pass_long,0,,,,,
player,201709170ram,was,DaviVe00,pass_rating,,,,,,
player,201709170ram,was,DaviVe00,rush_att,0,,,,,
player,201709170ram,was,DaviVe00,rush_yds,0,,,,,
player,201709170ram,was,DaviVe00,rush_td,0,,,,,
player,201709170ram,was,DaviVe00,rush_long,0,,,,,
player,201709170ram,was,DaviVe00,targets,1,,,,,
player,201709170ram,was,DaviVe00,rec,1,,,,,
player,201709170ram,was,DaviVe00,rec_yds,13,,,,,
player,201709170ram,was,DaviVe00,rec_td,0,,,,,
player,201709170ram,was,DaviVe00,rec_long,13,,,,,
player,201709170ram,was,DaviVe00,fumbles,0,,,,,
player,201709170ram,was,DaviVe00,fumbles_lost,0,,,,,
player,201709170ram,was,GranRy01,pass_cmp,0,,,,,
player,201709170ram,was,GranRy01,pass_att,0,,,,,
player,201709170ram,was,GranRy01,pass_yds,0,,,,,
player,201709170ram,was,GranRy01,pass_td,0,,,,,
player,201709170ram,was,GranRy01,pass_int,0,,,,,
player,201709170ram,was,GranRy01,pass_sacked,0,,,,,
player,201709170ram,was,GranRy01,pass_sacked_yds,0,,,,,
player,201709170ram,was,GranRy01,pass_long,0,,,,,
player,201709170ram,was,GranRy01,pass_rating,,,,,,
player,201709170ram,was,GranRy01,rush_att,0,,,,,
player,201709170ram,was,GranRy01,rush_yds,0,,,,,
player,201709170ram,was,GranRy01,rush_td,0,,,,,
player,201709170ram,was,GranRy01,rush_long,0,,,,,
player,201709170ram,was,GranRy01,targets,2,,,,,
player,201709170ram,was,GranRy01,rec,1,,,,,
player,201709170ram,was,GranRy01,rec_yds,11,,,,,
player,201709170ram,was,GranRy01,rec_td,1,,,,,
player,201709170ram,was,GranRy01,rec_long,11,,,,,
player,201709170ram,was,GranRy01,fumbles,0,,,,,
player,201709170ram,was,GranRy01,fumbles_lost,0,,,,,
player,201709170ram,was,DoctJo00,pass_cmp,0,,,,,
player,201709170ram,was,DoctJo00,pass_att,0,,,,,
player,201709170ram,was,DoctJo00,pass_yds,0,,,,,
player,201709170ram,was,DoctJo00,pass_td,0,,,,,
player,201709170ram,was,DoctJo00,pass_int,0,,,,,
player,201709170ram,was,DoctJo00,pass_sacked,0,,,,,
player,201709170ram,was,DoctJo00,pass_sacked_yds,0,,,,,
player,201709170ram,was,DoctJo00,pass_long,0,,,,,
player,201709170ram,was,DoctJo00,pass_rating,,,,,,
player,201709170ram,was,DoctJo00,rush_att,0,,,,,
player,201709170ram,was,DoctJo00,rush_yds,0,,,,,
player,201709170ram,was,DoctJo00,rush_td,0,,,,,
player,201709170ram,was,DoctJo00,rush_long,0,,,,,
player,201709170ram,was,DoctJo00,targets,1,,,,,
player,201709170ram,was,DoctJo00,rec,0,,,,,
player,201709170ram,was,DoctJo00,rec_yds,0,,,,,
player,201709170ram,was,DoctJo00,rec_td,0,,,,,
player,201709170ram,was,DoctJo00,rec_long,0,,,,,
player,201709170ram,was,DoctJo00,fumbles,0,,,,,
player,201709170ram,was,DoctJo00,fumbles_lost,0,,,,,
player,201709170ram,ram,GoffJa00,pass_cmp,14,,,,,
player,201709170ram,ram,GoffJa00,pass_att,24,,,,,
player,201709170ram,ram,GoffJa00,pass_yds,219,,,,,
player,201709170ram,ram,GoffJa00,pass_td,1,,,,,
player,201709170ram,ram,GoffJa00,pass_int,1,,,,,
player,201709170ram,ram,GoffJa00,pass_sacked,2,,,,,
player,201709170ram,ram,GoffJa00,pass_sacked_yds,12,,,,,
player,201709170ram,ram,GoffJa00,pass_long,69,,,,,
player,201709170ram,ram,GoffJa00,pass_rating,85.2,,,,,
player,201709170ram,ram,GoffJa00,rush_att,3,,,,,
player,201709170ram,ram,GoffJa00,rush_yds,1,,,,,
player,201709170ram,ram,GoffJa00,rush_td,0,,,,,
player,201709170ram,ram,GoffJa00,rush_long,1,,,,,
player,201709170ram,ram,GoffJa00,targets,0,,,,,
player,201709170ram,ram,GoffJa00,rec,0,,,,,
player,201709170ram,ram,GoffJa00,rec_yds,0,,,,,
player,201709170ram,ram,GoffJa00,rec_td,0,,,,,
player,201709170ram,ram,GoffJa00,rec_long,0,,,,,
player,201709170ram,ram,GoffJa00,fumbles,1,,,,,
player,201709170ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201709170ram,ram,HekkJo00,pass_cmp,1,,,,,
player,201709170ram,ram,HekkJo00,pass_att,1,,,,,
player,201709170ram,ram,HekkJo00,pass_yds,28,,,,,
player,201709170ram,ram,HekkJo00,pass_td,0,,,,,
player,201709170ram,ram,HekkJo00,pass_int,0,,,,,
player,201709170ram,ram,HekkJo00,pass_sacked,0,,,,,
player,201709170ram,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,HekkJo00,pass_long,8,,,,,
player,201709170ram,ram,HekkJo00,pass_rating,118.7,,,,,
player,201709170ram,ram,HekkJo00,rush_att,0,,,,,
player,201709170ram,ram,HekkJo00,rush_yds,0,,,,,
player,201709170ram,ram,HekkJo00,rush_td,0,,,,,
player,201709170ram,ram,HekkJo00,rush_long,0,,,,,
player,201709170ram,ram,HekkJo00,targets,0,,,,,
player,201709170ram,ram,HekkJo00,rec,0,,,,,
player,201709170ram,ram,HekkJo00,rec_yds,0,,,,,
player,201709170ram,ram,HekkJo00,rec_td,0,,,,,
player,201709170ram,ram,HekkJo00,rec_long,0,,,,,
player,201709170ram,ram,HekkJo00,fumbles,0,,,,,
player,201709170ram,ram,HekkJo00,fumbles_lost,0,,,,,
player,201709170ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201709170ram,ram,GurlTo01,pass_att,0,,,,,
player,201709170ram,ram,GurlTo01,pass_yds,0,,,,,
player,201709170ram,ram,GurlTo01,pass_td,0,,,,,
player,201709170ram,ram,GurlTo01,pass_int,0,,,,,
player,201709170ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201709170ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201709170ram,ram,GurlTo01,pass_long,0,,,,,
player,201709170ram,ram,GurlTo01,pass_rating,,,,,,
player,201709170ram,ram,GurlTo01,rush_att,16,,,,,
player,201709170ram,ram,GurlTo01,rush_yds,88,,,,,
player,201709170ram,ram,GurlTo01,rush_td,1,,,,,
player,201709170ram,ram,GurlTo01,rush_long,18,,,,,
player,201709170ram,ram,GurlTo01,targets,4,,,,,
player,201709170ram,ram,GurlTo01,rec,3,,,,,
player,201709170ram,ram,GurlTo01,rec_yds,48,,,,,
player,201709170ram,ram,GurlTo01,rec_td,1,,,,,
player,201709170ram,ram,GurlTo01,rec_long,28,,,,,
player,201709170ram,ram,GurlTo01,fumbles,2,,,,,
player,201709170ram,ram,GurlTo01,fumbles_lost,1,,,,,
player,201709170ram,ram,AustTa00,pass_cmp,0,,,,,
player,201709170ram,ram,AustTa00,pass_att,0,,,,,
player,201709170ram,ram,AustTa00,pass_yds,0,,,,,
player,201709170ram,ram,AustTa00,pass_td,0,,,,,
player,201709170ram,ram,AustTa00,pass_int,0,,,,,
player,201709170ram,ram,AustTa00,pass_sacked,0,,,,,
player,201709170ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,AustTa00,pass_long,0,,,,,
player,201709170ram,ram,AustTa00,pass_rating,,,,,,
player,201709170ram,ram,AustTa00,rush_att,3,,,,,
player,201709170ram,ram,AustTa00,rush_yds,8,,,,,
player,201709170ram,ram,AustTa00,rush_td,0,,,,,
player,201709170ram,ram,AustTa00,rush_long,3,,,,,
player,201709170ram,ram,AustTa00,targets,2,,,,,
player,201709170ram,ram,AustTa00,rec,0,,,,,
player,201709170ram,ram,AustTa00,rec_yds,0,,,,,
player,201709170ram,ram,AustTa00,rec_td,0,,,,,
player,201709170ram,ram,AustTa00,rec_long,0,,,,,
player,201709170ram,ram,AustTa00,fumbles,0,,,,,
player,201709170ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201709170ram,ram,EverGe00,pass_cmp,0,,,,,
player,201709170ram,ram,EverGe00,pass_att,0,,,,,
player,201709170ram,ram,EverGe00,pass_yds,0,,,,,
player,201709170ram,ram,EverGe00,pass_td,0,,,,,
player,201709170ram,ram,EverGe00,pass_int,0,,,,,
player,201709170ram,ram,EverGe00,pass_sacked,0,,,,,
player,201709170ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,EverGe00,pass_long,0,,,,,
player,201709170ram,ram,EverGe00,pass_rating,,,,,,
player,201709170ram,ram,EverGe00,rush_att,0,,,,,
player,201709170ram,ram,EverGe00,rush_yds,0,,,,,
player,201709170ram,ram,EverGe00,rush_td,0,,,,,
player,201709170ram,ram,EverGe00,rush_long,0,,,,,
player,201709170ram,ram,EverGe00,targets,3,,,,,
player,201709170ram,ram,EverGe00,rec,3,,,,,
player,201709170ram,ram,EverGe00,rec_yds,95,,,,,
player,201709170ram,ram,EverGe00,rec_td,0,,,,,
player,201709170ram,ram,EverGe00,rec_long,69,,,,,
player,201709170ram,ram,EverGe00,fumbles,0,,,,,
player,201709170ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201709170ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201709170ram,ram,KuppCo00,pass_att,0,,,,,
player,201709170ram,ram,KuppCo00,pass_yds,0,,,,,
player,201709170ram,ram,KuppCo00,pass_td,0,,,,,
player,201709170ram,ram,KuppCo00,pass_int,0,,,,,
player,201709170ram,ram,KuppCo00,pass_sacked,0,,,,,
player,201709170ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,KuppCo00,pass_long,0,,,,,
player,201709170ram,ram,KuppCo00,pass_rating,,,,,,
player,201709170ram,ram,KuppCo00,rush_att,0,,,,,
player,201709170ram,ram,KuppCo00,rush_yds,0,,,,,
player,201709170ram,ram,KuppCo00,rush_td,0,,,,,
player,201709170ram,ram,KuppCo00,rush_long,0,,,,,
player,201709170ram,ram,KuppCo00,targets,6,,,,,
player,201709170ram,ram,KuppCo00,rec,3,,,,,
player,201709170ram,ram,KuppCo00,rec_yds,33,,,,,
player,201709170ram,ram,KuppCo00,rec_td,0,,,,,
player,201709170ram,ram,KuppCo00,rec_long,17,,,,,
player,201709170ram,ram,KuppCo00,fumbles,0,,,,,
player,201709170ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201709170ram,ram,WatkSa00,pass_cmp,0,,,,,
player,201709170ram,ram,WatkSa00,pass_att,0,,,,,
player,201709170ram,ram,WatkSa00,pass_yds,0,,,,,
player,201709170ram,ram,WatkSa00,pass_td,0,,,,,
player,201709170ram,ram,WatkSa00,pass_int,0,,,,,
player,201709170ram,ram,WatkSa00,pass_sacked,0,,,,,
player,201709170ram,ram,WatkSa00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,WatkSa00,pass_long,0,,,,,
player,201709170ram,ram,WatkSa00,pass_rating,,,,,,
player,201709170ram,ram,WatkSa00,rush_att,0,,,,,
player,201709170ram,ram,WatkSa00,rush_yds,0,,,,,
player,201709170ram,ram,WatkSa00,rush_td,0,,,,,
player,201709170ram,ram,WatkSa00,rush_long,0,,,,,
player,201709170ram,ram,WatkSa00,targets,2,,,,,
player,201709170ram,ram,WatkSa00,rec,2,,,,,
player,201709170ram,ram,WatkSa00,rec_yds,30,,,,,
player,201709170ram,ram,WatkSa00,rec_td,0,,,,,
player,201709170ram,ram,WatkSa00,rec_long,28,,,,,
player,201709170ram,ram,WatkSa00,fumbles,0,,,,,
player,201709170ram,ram,WatkSa00,fumbles_lost,0,,,,,
player,201709170ram,ram,ReynJo00,pass_cmp,0,,,,,
player,201709170ram,ram,ReynJo00,pass_att,0,,,,,
player,201709170ram,ram,ReynJo00,pass_yds,0,,,,,
player,201709170ram,ram,ReynJo00,pass_td,0,,,,,
player,201709170ram,ram,ReynJo00,pass_int,0,,,,,
player,201709170ram,ram,ReynJo00,pass_sacked,0,,,,,
player,201709170ram,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201709170ram,ram,ReynJo00,pass_long,0,,,,,
player,201709170ram,ram,ReynJo00,pass_rating,,,,,,
player,201709170ram,ram,ReynJo00,rush_att,0,,,,,
player,201709170ram,ram,ReynJo00,rush_yds,0,,,,,
player,201709170ram,ram,ReynJo00,rush_td,0,,,,,
player,201709170ram,ram,ReynJo00,rush_long,0,,,,,
player,201709170ram,ram,ReynJo00,targets,1,,,,,
