game,2017,11,20171119,201711190htx,crd,"Arizona Cardinals",21,htx,"Houston Texans",31
player,201711190htx,crd,GabbBl00,rush_att,3,,,,,
player,201711190htx,crd,GabbBl00,rush_yds,13,,,,,
player,201711190htx,crd,GabbBl00,rush_td,0,,,,,
player,201711190htx,crd,GabbBl00,rush_long,12,,,,,
player,201711190htx,crd,GabbBl00,targets,0,,,,,
player,201711190htx,crd,GabbBl00,rec,0,,,,,
player,201711190htx,crd,GabbBl00,rec_yds,0,,,,,
player,201711190htx,crd,GabbBl00,rec_td,0,,,,,
player,201711190htx,crd,GabbBl00,rec_long,0,,,,,
player,201711190htx,crd,GabbBl00,fumbles,1,,,,,
player,201711190htx,crd,GabbBl00,fumbles_lost,0,,,,,
player,201711190htx,crd,PeteAd01,pass_cmp,0,,,,,
player,201711190htx,crd,PeteAd01,pass_att,0,,,,,
player,201711190htx,crd,PeteAd01,pass_yds,0,,,,,
player,201711190htx,crd,PeteAd01,pass_td,0,,,,,
player,201711190htx,crd,PeteAd01,pass_int,0,,,,,
player,201711190htx,crd,PeteAd01,pass_sacked,0,,,,,
player,201711190htx,crd,PeteAd01,pass_sacked_yds,0,,,,,
player,201711190htx,crd,PeteAd01,pass_long,0,,,,,
player,201711190htx,crd,PeteAd01,pass_rating,,,,,,
player,201711190htx,crd,PeteAd01,rush_att,14,,,,,
player,201711190htx,crd,PeteAd01,rush_yds,26,,,,,
player,201711190htx,crd,PeteAd01,rush_td,0,,,,,
player,201711190htx,crd,PeteAd01,rush_long,7,,,,,
player,201711190htx,crd,PeteAd01,targets,1,,,,,
player,201711190htx,crd,PeteAd01,rec,1,,,,,
player,201711190htx,crd,PeteAd01,rec_yds,13,,,,,
player,201711190htx,crd,PeteAd01,rec_td,0,,,,,
player,201711190htx,crd,PeteAd01,rec_long,13,,,,,
player,201711190htx,crd,PeteAd01,fumbles,0,,,,,
player,201711190htx,crd,PeteAd01,fumbles_lost,0,,,,,
player,201711190htx,crd,WillKe05,pass_cmp,0,,,,,
player,201711190htx,crd,WillKe05,pass_att,0,,,,,
player,201711190htx,crd,WillKe05,pass_yds,0,,,,,
