game,2017,17,20171231,201712310ram,sfo,"San Francisco 49ers",34,ram,"Los Angeles Rams",13
team,201712310ram,sfo,First Downs,25,,,,,,
team,201712310ram,ram,First Downs,15,,,,,,
team,201712310ram,sfo,Rush-Yds-TDs,30-169-2,,,,,,
team,201712310ram,ram,Rush-Yds-TDs,26-102-1,,,,,,
team,201712310ram,sfo,Cmp-Att-Yd-TD-INT,20-33-292-2-2,,,,,,
team,201712310ram,ram,Cmp-Att-Yd-TD-INT,20-34-169-0-0,,,,,,
team,201712310ram,sfo,Sacked-Yards,0-0,,,,,,
team,201712310ram,ram,Sacked-Yards,3-20,,,,,,
team,201712310ram,sfo,Net Pass Yards,292,,,,,,
team,201712310ram,ram,Net Pass Yards,149,,,,,,
team,201712310ram,sfo,Total Yards,461,,,,,,
team,201712310ram,ram,Total Yards,251,,,,,,
team,201712310ram,sfo,Fumbles-Lost,1-1,,,,,,
team,201712310ram,ram,Fumbles-Lost,4-2,,,,,,
team,201712310ram,sfo,Turnovers,3,,,,,,
team,201712310ram,ram,Turnovers,2,,,,,,
team,201712310ram,sfo,Penalties-Yards,4-23,,,,,,
team,201712310ram,ram,Penalties-Yards,6-46,,,,,,
team,201712310ram,sfo,Third Down Conv.,6-12,,,,,,
team,201712310ram,ram,Third Down Conv.,5-15,,,,,,
team,201712310ram,sfo,Fourth Down Conv.,0-0,,,,,,
team,201712310ram,ram,Fourth Down Conv.,1-1,,,,,,
team,201712310ram,sfo,Time of Possession,29:09,,,,,,
team,201712310ram,ram,Time of Possession,30:51,,,,,,
player,201712310ram,sfo,GaroJi00,pass_cmp,20,,,,,
player,201712310ram,sfo,GaroJi00,pass_att,33,,,,,
player,201712310ram,sfo,GaroJi00,pass_yds,292,,,,,
player,201712310ram,sfo,GaroJi00,pass_td,2,,,,,
player,201712310ram,sfo,GaroJi00,pass_int,2,,,,,
player,201712310ram,sfo,GaroJi00,pass_sacked,0,,,,,
player,201712310ram,sfo,GaroJi00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,GaroJi00,pass_long,44,,,,,
player,201712310ram,sfo,GaroJi00,pass_rating,84.4,,,,,
player,201712310ram,sfo,GaroJi00,rush_att,2,,,,,
player,201712310ram,sfo,GaroJi00,rush_yds,-1,,,,,
player,201712310ram,sfo,GaroJi00,rush_td,0,,,,,
player,201712310ram,sfo,GaroJi00,rush_long,0,,,,,
player,201712310ram,sfo,GaroJi00,targets,0,,,,,
player,201712310ram,sfo,GaroJi00,rec,0,,,,,
player,201712310ram,sfo,GaroJi00,rec_yds,0,,,,,
player,201712310ram,sfo,GaroJi00,rec_td,0,,,,,
player,201712310ram,sfo,GaroJi00,rec_long,0,,,,,
player,201712310ram,sfo,GaroJi00,fumbles,0,,,,,
player,201712310ram,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_cmp,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_att,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_yds,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_td,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_int,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_sacked,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_long,0,,,,,
player,201712310ram,sfo,HydeCa00,pass_rating,,,,,,
player,201712310ram,sfo,HydeCa00,rush_att,15,,,,,
player,201712310ram,sfo,HydeCa00,rush_yds,88,,,,,
player,201712310ram,sfo,HydeCa00,rush_td,2,,,,,
player,201712310ram,sfo,HydeCa00,rush_long,16,,,,,
player,201712310ram,sfo,HydeCa00,targets,4,,,,,
player,201712310ram,sfo,HydeCa00,rec,2,,,,,
player,201712310ram,sfo,HydeCa00,rec_yds,10,,,,,
player,201712310ram,sfo,HydeCa00,rec_td,0,,,,,
player,201712310ram,sfo,HydeCa00,rec_long,7,,,,,
player,201712310ram,sfo,HydeCa00,fumbles,1,,,,,
player,201712310ram,sfo,HydeCa00,fumbles_lost,1,,,,,
player,201712310ram,sfo,BreiMa00,pass_cmp,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_att,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_yds,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_td,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_int,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_sacked,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_long,0,,,,,
player,201712310ram,sfo,BreiMa00,pass_rating,,,,,,
player,201712310ram,sfo,BreiMa00,rush_att,12,,,,,
player,201712310ram,sfo,BreiMa00,rush_yds,72,,,,,
player,201712310ram,sfo,BreiMa00,rush_td,0,,,,,
player,201712310ram,sfo,BreiMa00,rush_long,15,,,,,
player,201712310ram,sfo,BreiMa00,targets,2,,,,,
player,201712310ram,sfo,BreiMa00,rec,1,,,,,
player,201712310ram,sfo,BreiMa00,rec_yds,32,,,,,
player,201712310ram,sfo,BreiMa00,rec_td,0,,,,,
player,201712310ram,sfo,BreiMa00,rec_long,32,,,,,
player,201712310ram,sfo,BreiMa00,fumbles,0,,,,,
player,201712310ram,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_cmp,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_att,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_yds,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_td,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_int,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_sacked,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_long,0,,,,,
player,201712310ram,sfo,GoodMa00,pass_rating,,,,,,
player,201712310ram,sfo,GoodMa00,rush_att,1,,,,,
player,201712310ram,sfo,GoodMa00,rush_yds,10,,,,,
player,201712310ram,sfo,GoodMa00,rush_td,0,,,,,
player,201712310ram,sfo,GoodMa00,rush_long,10,,,,,
player,201712310ram,sfo,GoodMa00,targets,4,,,,,
player,201712310ram,sfo,GoodMa00,rec,2,,,,,
player,201712310ram,sfo,GoodMa00,rec_yds,28,,,,,
player,201712310ram,sfo,GoodMa00,rec_td,1,,,,,
player,201712310ram,sfo,GoodMa00,rec_long,20,,,,,
player,201712310ram,sfo,GoodMa00,fumbles,0,,,,,
player,201712310ram,sfo,GoodMa00,fumbles_lost,0,,,,,
player,201712310ram,sfo,KittGe00,pass_cmp,0,,,,,
player,201712310ram,sfo,KittGe00,pass_att,0,,,,,
player,201712310ram,sfo,KittGe00,pass_yds,0,,,,,
player,201712310ram,sfo,KittGe00,pass_td,0,,,,,
player,201712310ram,sfo,KittGe00,pass_int,0,,,,,
player,201712310ram,sfo,KittGe00,pass_sacked,0,,,,,
player,201712310ram,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,KittGe00,pass_long,0,,,,,
player,201712310ram,sfo,KittGe00,pass_rating,,,,,,
player,201712310ram,sfo,KittGe00,rush_att,0,,,,,
player,201712310ram,sfo,KittGe00,rush_yds,0,,,,,
player,201712310ram,sfo,KittGe00,rush_td,0,,,,,
player,201712310ram,sfo,KittGe00,rush_long,0,,,,,
player,201712310ram,sfo,KittGe00,targets,6,,,,,
player,201712310ram,sfo,KittGe00,rec,4,,,,,
player,201712310ram,sfo,KittGe00,rec_yds,100,,,,,
player,201712310ram,sfo,KittGe00,rec_td,0,,,,,
player,201712310ram,sfo,KittGe00,rec_long,44,,,,,
player,201712310ram,sfo,KittGe00,fumbles,0,,,,,
player,201712310ram,sfo,KittGe00,fumbles_lost,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_cmp,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_att,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_yds,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_td,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_int,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_sacked,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_long,0,,,,,
player,201712310ram,sfo,TaylTr02,pass_rating,,,,,,
player,201712310ram,sfo,TaylTr02,rush_att,0,,,,,
player,201712310ram,sfo,TaylTr02,rush_yds,0,,,,,
player,201712310ram,sfo,TaylTr02,rush_td,0,,,,,
player,201712310ram,sfo,TaylTr02,rush_long,0,,,,,
player,201712310ram,sfo,TaylTr02,targets,2,,,,,
player,201712310ram,sfo,TaylTr02,rec,2,,,,,
player,201712310ram,sfo,TaylTr02,rec_yds,29,,,,,
player,201712310ram,sfo,TaylTr02,rec_td,0,,,,,
player,201712310ram,sfo,TaylTr02,rec_long,15,,,,,
player,201712310ram,sfo,TaylTr02,fumbles,0,,,,,
player,201712310ram,sfo,TaylTr02,fumbles_lost,0,,,,,
player,201712310ram,sfo,BourKe00,pass_cmp,0,,,,,
player,201712310ram,sfo,BourKe00,pass_att,0,,,,,
player,201712310ram,sfo,BourKe00,pass_yds,0,,,,,
player,201712310ram,sfo,BourKe00,pass_td,0,,,,,
player,201712310ram,sfo,BourKe00,pass_int,0,,,,,
player,201712310ram,sfo,BourKe00,pass_sacked,0,,,,,
player,201712310ram,sfo,BourKe00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,BourKe00,pass_long,0,,,,,
player,201712310ram,sfo,BourKe00,pass_rating,,,,,,
player,201712310ram,sfo,BourKe00,rush_att,0,,,,,
player,201712310ram,sfo,BourKe00,rush_yds,0,,,,,
player,201712310ram,sfo,BourKe00,rush_td,0,,,,,
player,201712310ram,sfo,BourKe00,rush_long,0,,,,,
player,201712310ram,sfo,BourKe00,targets,5,,,,,
player,201712310ram,sfo,BourKe00,rec,2,,,,,
player,201712310ram,sfo,BourKe00,rec_yds,28,,,,,
player,201712310ram,sfo,BourKe00,rec_td,0,,,,,
player,201712310ram,sfo,BourKe00,rec_long,16,,,,,
player,201712310ram,sfo,BourKe00,fumbles,0,,,,,
player,201712310ram,sfo,BourKe00,fumbles_lost,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_cmp,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_att,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_yds,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_td,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_int,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_sacked,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_long,0,,,,,
player,201712310ram,sfo,CeleGa00,pass_rating,,,,,,
player,201712310ram,sfo,CeleGa00,rush_att,0,,,,,
player,201712310ram,sfo,CeleGa00,rush_yds,0,,,,,
player,201712310ram,sfo,CeleGa00,rush_td,0,,,,,
player,201712310ram,sfo,CeleGa00,rush_long,0,,,,,
player,201712310ram,sfo,CeleGa00,targets,1,,,,,
player,201712310ram,sfo,CeleGa00,rec,1,,,,,
player,201712310ram,sfo,CeleGa00,rec_yds,28,,,,,
player,201712310ram,sfo,CeleGa00,rec_td,0,,,,,
player,201712310ram,sfo,CeleGa00,rec_long,28,,,,,
player,201712310ram,sfo,CeleGa00,fumbles,0,,,,,
player,201712310ram,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_cmp,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_att,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_yds,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_td,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_int,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_sacked,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_long,0,,,,,
player,201712310ram,sfo,JuszKy00,pass_rating,,,,,,
player,201712310ram,sfo,JuszKy00,rush_att,0,,,,,
player,201712310ram,sfo,JuszKy00,rush_yds,0,,,,,
player,201712310ram,sfo,JuszKy00,rush_td,0,,,,,
player,201712310ram,sfo,JuszKy00,rush_long,0,,,,,
player,201712310ram,sfo,JuszKy00,targets,4,,,,,
player,201712310ram,sfo,JuszKy00,rec,4,,,,,
player,201712310ram,sfo,JuszKy00,rec_yds,19,,,,,
player,201712310ram,sfo,JuszKy00,rec_td,0,,,,,
player,201712310ram,sfo,JuszKy00,rec_long,14,,,,,
player,201712310ram,sfo,JuszKy00,fumbles,0,,,,,
player,201712310ram,sfo,JuszKy00,fumbles_lost,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_cmp,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_att,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_yds,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_td,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_int,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_sacked,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_long,0,,,,,
player,201712310ram,sfo,RobiAl00,pass_rating,,,,,,
player,201712310ram,sfo,RobiAl00,rush_att,0,,,,,
player,201712310ram,sfo,RobiAl00,rush_yds,0,,,,,
player,201712310ram,sfo,RobiAl00,rush_td,0,,,,,
player,201712310ram,sfo,RobiAl00,rush_long,0,,,,,
player,201712310ram,sfo,RobiAl00,targets,3,,,,,
player,201712310ram,sfo,RobiAl00,rec,1,,,,,
player,201712310ram,sfo,RobiAl00,rec_yds,12,,,,,
player,201712310ram,sfo,RobiAl00,rec_td,1,,,,,
player,201712310ram,sfo,RobiAl00,rec_long,12,,,,,
player,201712310ram,sfo,RobiAl00,fumbles,0,,,,,
player,201712310ram,sfo,RobiAl00,fumbles_lost,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_cmp,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_att,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_yds,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_td,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_int,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_sacked,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_sacked_yds,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_long,0,,,,,
player,201712310ram,sfo,MurpLo00,pass_rating,,,,,,
player,201712310ram,sfo,MurpLo00,rush_att,0,,,,,
player,201712310ram,sfo,MurpLo00,rush_yds,0,,,,,
player,201712310ram,sfo,MurpLo00,rush_td,0,,,,,
player,201712310ram,sfo,MurpLo00,rush_long,0,,,,,
player,201712310ram,sfo,MurpLo00,targets,2,,,,,
player,201712310ram,sfo,MurpLo00,rec,1,,,,,
player,201712310ram,sfo,MurpLo00,rec_yds,6,,,,,
player,201712310ram,sfo,MurpLo00,rec_td,0,,,,,
player,201712310ram,sfo,MurpLo00,rec_long,6,,,,,
player,201712310ram,sfo,MurpLo00,fumbles,0,,,,,
player,201712310ram,sfo,MurpLo00,fumbles_lost,0,,,,,
player,201712310ram,ram,MannSe00,pass_cmp,20,,,,,
player,201712310ram,ram,MannSe00,pass_att,34,,,,,
player,201712310ram,ram,MannSe00,pass_yds,169,,,,,
player,201712310ram,ram,MannSe00,pass_td,0,,,,,
player,201712310ram,ram,MannSe00,pass_int,0,,,,,
player,201712310ram,ram,MannSe00,pass_sacked,3,,,,,
player,201712310ram,ram,MannSe00,pass_sacked_yds,20,,,,,
player,201712310ram,ram,MannSe00,pass_long,50,,,,,
player,201712310ram,ram,MannSe00,pass_rating,71.8,,,,,
player,201712310ram,ram,MannSe00,rush_att,2,,,,,
player,201712310ram,ram,MannSe00,rush_yds,4,,,,,
player,201712310ram,ram,MannSe00,rush_td,0,,,,,
player,201712310ram,ram,MannSe00,rush_long,2,,,,,
player,201712310ram,ram,MannSe00,targets,0,,,,,
player,201712310ram,ram,MannSe00,rec,0,,,,,
player,201712310ram,ram,MannSe00,rec_yds,0,,,,,
player,201712310ram,ram,MannSe00,rec_td,0,,,,,
player,201712310ram,ram,MannSe00,rec_long,0,,,,,
player,201712310ram,ram,MannSe00,fumbles,1,,,,,
player,201712310ram,ram,MannSe00,fumbles_lost,1,,,,,
player,201712310ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201712310ram,ram,BrowMa03,pass_att,0,,,,,
player,201712310ram,ram,BrowMa03,pass_yds,0,,,,,
player,201712310ram,ram,BrowMa03,pass_td,0,,,,,
player,201712310ram,ram,BrowMa03,pass_int,0,,,,,
player,201712310ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201712310ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201712310ram,ram,BrowMa03,pass_long,0,,,,,
player,201712310ram,ram,BrowMa03,pass_rating,,,,,,
player,201712310ram,ram,BrowMa03,rush_att,14,,,,,
player,201712310ram,ram,BrowMa03,rush_yds,54,,,,,
player,201712310ram,ram,BrowMa03,rush_td,0,,,,,
player,201712310ram,ram,BrowMa03,rush_long,20,,,,,
player,201712310ram,ram,BrowMa03,targets,5,,,,,
player,201712310ram,ram,BrowMa03,rec,4,,,,,
player,201712310ram,ram,BrowMa03,rec_yds,7,,,,,
player,201712310ram,ram,BrowMa03,rec_td,0,,,,,
player,201712310ram,ram,BrowMa03,rec_long,5,,,,,
player,201712310ram,ram,BrowMa03,fumbles,0,,,,,
player,201712310ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201712310ram,ram,AustTa00,pass_cmp,0,,,,,
player,201712310ram,ram,AustTa00,pass_att,0,,,,,
player,201712310ram,ram,AustTa00,pass_yds,0,,,,,
player,201712310ram,ram,AustTa00,pass_td,0,,,,,
player,201712310ram,ram,AustTa00,pass_int,0,,,,,
player,201712310ram,ram,AustTa00,pass_sacked,0,,,,,
player,201712310ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201712310ram,ram,AustTa00,pass_long,0,,,,,
player,201712310ram,ram,AustTa00,pass_rating,,,,,,
player,201712310ram,ram,AustTa00,rush_att,4,,,,,
player,201712310ram,ram,AustTa00,rush_yds,24,,,,,
player,201712310ram,ram,AustTa00,rush_td,0,,,,,
player,201712310ram,ram,AustTa00,rush_long,8,,,,,
player,201712310ram,ram,AustTa00,targets,5,,,,,
player,201712310ram,ram,AustTa00,rec,3,,,,,
player,201712310ram,ram,AustTa00,rec_yds,14,,,,,
player,201712310ram,ram,AustTa00,rec_td,0,,,,,
player,201712310ram,ram,AustTa00,rec_long,9,,,,,
player,201712310ram,ram,AustTa00,fumbles,0,,,,,
player,201712310ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201712310ram,ram,DunbLa00,pass_cmp,0,,,,,
player,201712310ram,ram,DunbLa00,pass_att,0,,,,,
player,201712310ram,ram,DunbLa00,pass_yds,0,,,,,
player,201712310ram,ram,DunbLa00,pass_td,0,,,,,
player,201712310ram,ram,DunbLa00,pass_int,0,,,,,
player,201712310ram,ram,DunbLa00,pass_sacked,0,,,,,
player,201712310ram,ram,DunbLa00,pass_sacked_yds,0,,,,,
player,201712310ram,ram,DunbLa00,pass_long,0,,,,,
player,201712310ram,ram,DunbLa00,pass_rating,,,,,,
player,201712310ram,ram,DunbLa00,rush_att,6,,,,,
player,201712310ram,ram,DunbLa00,rush_yds,20,,,,,
player,201712310ram,ram,DunbLa00,rush_td,1,,,,,
player,201712310ram,ram,DunbLa00,rush_long,8,,,,,
player,201712310ram,ram,DunbLa00,targets,2,,,,,
player,201712310ram,ram,DunbLa00,rec,1,,,,,
player,201712310ram,ram,DunbLa00,rec_yds,1,,,,,
player,201712310ram,ram,DunbLa00,rec_td,0,,,,,
player,201712310ram,ram,DunbLa00,rec_long,1,,,,,
player,201712310ram,ram,DunbLa00,fumbles,0,,,,,
player,201712310ram,ram,DunbLa00,fumbles_lost,0,,,,,
player,201712310ram,ram,ThomMi04,pass_cmp,0,,,,,
player,201712310ram,ram,ThomMi04,pass_att,0,,,,,
player,201712310ram,ram,ThomMi04,pass_yds,0,,,,,
player,201712310ram,ram,ThomMi04,pass_td,0,,,,,
player,201712310ram,ram,ThomMi04,pass_int,0,,,,,
player,201712310ram,ram,ThomMi04,pass_sacked,0,,,,,
player,201712310ram,ram,ThomMi04,pass_sacked_yds,0,,,,,
player,201712310ram,ram,ThomMi04,pass_long,0,,,,,
player,201712310ram,ram,ThomMi04,pass_rating,,,,,,
player,201712310ram,ram,ThomMi04,rush_att,0,,,,,
player,201712310ram,ram,ThomMi04,rush_yds,0,,,,,
player,201712310ram,ram,ThomMi04,rush_td,0,,,,,
player,201712310ram,ram,ThomMi04,rush_long,0,,,,,
