game,2017,6,20171015,201710150crd,tam,"Tampa Bay Buccaneers",33,crd,"Arizona Cardinals",38
team,201710150crd,tam,First Downs,21,,,,,,
team,201710150crd,crd,First Downs,23,,,,,,
team,201710150crd,tam,Rush-Yds-TDs,21-68-1,,,,,,
team,201710150crd,crd,Rush-Yds-TDs,35-160-2,,,,,,
team,201710150crd,tam,Cmp-Att-Yd-TD-INT,27-42-351-3-2,,,,,,
team,201710150crd,crd,Cmp-Att-Yd-TD-INT,18-22-283-3-1,,,,,,
team,201710150crd,tam,Sacked-Yards,2-7,,,,,,
team,201710150crd,crd,Sacked-Yards,2-11,,,,,,
team,201710150crd,tam,Net Pass Yards,344,,,,,,
team,201710150crd,crd,Net Pass Yards,272,,,,,,
team,201710150crd,tam,Total Yards,412,,,,,,
team,201710150crd,crd,Total Yards,432,,,,,,
team,201710150crd,tam,Fumbles-Lost,0-0,,,,,,
team,201710150crd,crd,Fumbles-Lost,3-1,,,,,,
team,201710150crd,tam,Turnovers,2,,,,,,
team,201710150crd,crd,Turnovers,2,,,,,,
team,201710150crd,tam,Penalties-Yards,9-49,,,,,,
team,201710150crd,crd,Penalties-Yards,7-61,,,,,,
team,201710150crd,tam,Third Down Conv.,7-14,,,,,,
team,201710150crd,crd,Third Down Conv.,4-9,,,,,,
team,201710150crd,tam,Fourth Down Conv.,2-3,,,,,,
team,201710150crd,crd,Fourth Down Conv.,0-1,,,,,,
team,201710150crd,tam,Time of Possession,27:37,,,,,,
team,201710150crd,crd,Time of Possession,32:23,,,,,,
player,201710150crd,tam,FitzRy00,pass_cmp,22,,,,,
player,201710150crd,tam,FitzRy00,pass_att,32,,,,,
player,201710150crd,tam,FitzRy00,pass_yds,290,,,,,
player,201710150crd,tam,FitzRy00,pass_td,3,,,,,
player,201710150crd,tam,FitzRy00,pass_int,2,,,,,
player,201710150crd,tam,FitzRy00,pass_sacked,2,,,,,
player,201710150crd,tam,FitzRy00,pass_sacked_yds,7,,,,,
player,201710150crd,tam,FitzRy00,pass_long,41,,,,,
player,201710150crd,tam,FitzRy00,pass_rating,102.3,,,,,
player,201710150crd,tam,FitzRy00,rush_att,3,,,,,
player,201710150crd,tam,FitzRy00,rush_yds,10,,,,,
player,201710150crd,tam,FitzRy00,rush_td,0,,,,,
player,201710150crd,tam,FitzRy00,rush_long,10,,,,,
player,201710150crd,tam,FitzRy00,targets,0,,,,,
player,201710150crd,tam,FitzRy00,rec,0,,,,,
player,201710150crd,tam,FitzRy00,rec_yds,0,,,,,
player,201710150crd,tam,FitzRy00,rec_td,0,,,,,
player,201710150crd,tam,FitzRy00,rec_long,0,,,,,
player,201710150crd,tam,FitzRy00,fumbles,0,,,,,
player,201710150crd,tam,FitzRy00,fumbles_lost,0,,,,,
