game,2017,5,20171005,201710050tam,nwe,"New England Patriots",19,tam,"Tampa Bay Buccaneers",14
player,201710050tam,tam,GlanAd00,pass_defended,0,,,,,
player,201710050tam,tam,GlanAd00,sacks,1.0,,,,,
player,201710050tam,tam,GlanAd00,tackles_combined,7,,,,,
player,201710050tam,tam,GlanAd00,tackles_solo,6,,,,,
player,201710050tam,tam,GlanAd00,tackles_assists,1,,,,,
player,201710050tam,tam,GlanAd00,tackles_loss,0,,,,,
player,201710050tam,tam,GlanAd00,qb_hits,1,,,,,
player,201710050tam,tam,GlanAd00,fumbles_rec,0,,,,,
player,201710050tam,tam,GlanAd00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,GlanAd00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,GlanAd00,fumbles_forced,1,,,,,
player,201710050tam,tam,McCoGe99,def_int,0,,,,,
player,201710050tam,tam,McCoGe99,def_int_yds,0,,,,,
player,201710050tam,tam,McCoGe99,def_int_td,0,,,,,
player,201710050tam,tam,McCoGe99,def_int_long,0,,,,,
player,201710050tam,tam,McCoGe99,pass_defended,1,,,,,
player,201710050tam,tam,McCoGe99,sacks,1.0,,,,,
player,201710050tam,tam,McCoGe99,tackles_combined,4,,,,,
player,201710050tam,tam,McCoGe99,tackles_solo,3,,,,,
player,201710050tam,tam,McCoGe99,tackles_assists,1,,,,,
player,201710050tam,tam,McCoGe99,tackles_loss,1,,,,,
player,201710050tam,tam,McCoGe99,qb_hits,1,,,,,
player,201710050tam,tam,McCoGe99,fumbles_rec,0,,,,,
player,201710050tam,tam,McCoGe99,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,McCoGe99,fumbles_rec_td,0,,,,,
player,201710050tam,tam,McCoGe99,fumbles_forced,0,,,,,
player,201710050tam,tam,McDoCl99,def_int,0,,,,,
player,201710050tam,tam,McDoCl99,def_int_yds,0,,,,,
player,201710050tam,tam,McDoCl99,def_int_td,0,,,,,
player,201710050tam,tam,McDoCl99,def_int_long,0,,,,,
player,201710050tam,tam,McDoCl99,pass_defended,0,,,,,
player,201710050tam,tam,McDoCl99,sacks,1.0,,,,,
player,201710050tam,tam,McDoCl99,tackles_combined,3,,,,,
player,201710050tam,tam,McDoCl99,tackles_solo,3,,,,,
player,201710050tam,tam,McDoCl99,tackles_assists,0,,,,,
player,201710050tam,tam,McDoCl99,tackles_loss,1,,,,,
player,201710050tam,tam,McDoCl99,qb_hits,1,,,,,
player,201710050tam,tam,McDoCl99,fumbles_rec,0,,,,,
player,201710050tam,tam,McDoCl99,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,McDoCl99,fumbles_rec_td,0,,,,,
player,201710050tam,tam,McDoCl99,fumbles_forced,0,,,,,
player,201710050tam,tam,BeckKe00,def_int,0,,,,,
player,201710050tam,tam,BeckKe00,def_int_yds,0,,,,,
player,201710050tam,tam,BeckKe00,def_int_td,0,,,,,
player,201710050tam,tam,BeckKe00,def_int_long,0,,,,,
player,201710050tam,tam,BeckKe00,pass_defended,0,,,,,
player,201710050tam,tam,BeckKe00,sacks,0.0,,,,,
player,201710050tam,tam,BeckKe00,tackles_combined,14,,,,,
player,201710050tam,tam,BeckKe00,tackles_solo,12,,,,,
player,201710050tam,tam,BeckKe00,tackles_assists,2,,,,,
player,201710050tam,tam,BeckKe00,tackles_loss,0,,,,,
player,201710050tam,tam,BeckKe00,qb_hits,0,,,,,
player,201710050tam,tam,BeckKe00,fumbles_rec,0,,,,,
player,201710050tam,tam,BeckKe00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,BeckKe00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,BeckKe00,fumbles_forced,0,,,,,
player,201710050tam,tam,HargVe00,def_int,0,,,,,
player,201710050tam,tam,HargVe00,def_int_yds,0,,,,,
player,201710050tam,tam,HargVe00,def_int_td,0,,,,,
player,201710050tam,tam,HargVe00,def_int_long,0,,,,,
player,201710050tam,tam,HargVe00,pass_defended,0,,,,,
player,201710050tam,tam,HargVe00,sacks,0.0,,,,,
player,201710050tam,tam,HargVe00,tackles_combined,6,,,,,
player,201710050tam,tam,HargVe00,tackles_solo,6,,,,,
player,201710050tam,tam,HargVe00,tackles_assists,0,,,,,
player,201710050tam,tam,HargVe00,tackles_loss,1,,,,,
player,201710050tam,tam,HargVe00,qb_hits,0,,,,,
player,201710050tam,tam,HargVe00,fumbles_rec,0,,,,,
player,201710050tam,tam,HargVe00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,HargVe00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,HargVe00,fumbles_forced,0,,,,,
player,201710050tam,tam,ContCh00,def_int,0,,,,,
player,201710050tam,tam,ContCh00,def_int_yds,0,,,,,
player,201710050tam,tam,ContCh00,def_int_td,0,,,,,
player,201710050tam,tam,ContCh00,def_int_long,0,,,,,
player,201710050tam,tam,ContCh00,pass_defended,0,,,,,
player,201710050tam,tam,ContCh00,sacks,0.0,,,,,
player,201710050tam,tam,ContCh00,tackles_combined,4,,,,,
player,201710050tam,tam,ContCh00,tackles_solo,4,,,,,
player,201710050tam,tam,ContCh00,tackles_assists,0,,,,,
player,201710050tam,tam,ContCh00,tackles_loss,0,,,,,
player,201710050tam,tam,ContCh00,qb_hits,0,,,,,
player,201710050tam,tam,ContCh00,fumbles_rec,0,,,,,
player,201710050tam,tam,ContCh00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,ContCh00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,ContCh00,fumbles_forced,0,,,,,
player,201710050tam,tam,McClRo98,def_int,0,,,,,
player,201710050tam,tam,McClRo98,def_int_yds,0,,,,,
player,201710050tam,tam,McClRo98,def_int_td,0,,,,,
player,201710050tam,tam,McClRo98,def_int_long,0,,,,,
player,201710050tam,tam,McClRo98,pass_defended,0,,,,,
player,201710050tam,tam,McClRo98,sacks,0.0,,,,,
player,201710050tam,tam,McClRo98,tackles_combined,4,,,,,
player,201710050tam,tam,McClRo98,tackles_solo,4,,,,,
player,201710050tam,tam,McClRo98,tackles_assists,0,,,,,
player,201710050tam,tam,McClRo98,tackles_loss,1,,,,,
player,201710050tam,tam,McClRo98,qb_hits,0,,,,,
player,201710050tam,tam,McClRo98,fumbles_rec,0,,,,,
player,201710050tam,tam,McClRo98,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,McClRo98,fumbles_rec_td,0,,,,,
player,201710050tam,tam,McClRo98,fumbles_forced,0,,,,,
player,201710050tam,tam,BakeCh99,def_int,0,,,,,
player,201710050tam,tam,BakeCh99,def_int_yds,0,,,,,
player,201710050tam,tam,BakeCh99,def_int_td,0,,,,,
player,201710050tam,tam,BakeCh99,def_int_long,0,,,,,
player,201710050tam,tam,BakeCh99,pass_defended,0,,,,,
player,201710050tam,tam,BakeCh99,sacks,0.0,,,,,
player,201710050tam,tam,BakeCh99,tackles_combined,3,,,,,
player,201710050tam,tam,BakeCh99,tackles_solo,2,,,,,
player,201710050tam,tam,BakeCh99,tackles_assists,1,,,,,
player,201710050tam,tam,BakeCh99,tackles_loss,0,,,,,
player,201710050tam,tam,BakeCh99,qb_hits,0,,,,,
player,201710050tam,tam,BakeCh99,fumbles_rec,0,,,,,
player,201710050tam,tam,BakeCh99,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,BakeCh99,fumbles_rec_td,0,,,,,
player,201710050tam,tam,BakeCh99,fumbles_forced,0,,,,,
player,201710050tam,tam,GholWi00,def_int,0,,,,,
player,201710050tam,tam,GholWi00,def_int_yds,0,,,,,
player,201710050tam,tam,GholWi00,def_int_td,0,,,,,
player,201710050tam,tam,GholWi00,def_int_long,0,,,,,
player,201710050tam,tam,GholWi00,pass_defended,0,,,,,
player,201710050tam,tam,GholWi00,sacks,0.0,,,,,
player,201710050tam,tam,GholWi00,tackles_combined,3,,,,,
player,201710050tam,tam,GholWi00,tackles_solo,1,,,,,
player,201710050tam,tam,GholWi00,tackles_assists,2,,,,,
player,201710050tam,tam,GholWi00,tackles_loss,0,,,,,
player,201710050tam,tam,GholWi00,qb_hits,0,,,,,
player,201710050tam,tam,GholWi00,fumbles_rec,0,,,,,
player,201710050tam,tam,GholWi00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,GholWi00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,GholWi00,fumbles_forced,0,,,,,
player,201710050tam,tam,AyerRo99,def_int,0,,,,,
player,201710050tam,tam,AyerRo99,def_int_yds,0,,,,,
player,201710050tam,tam,AyerRo99,def_int_td,0,,,,,
player,201710050tam,tam,AyerRo99,def_int_long,0,,,,,
player,201710050tam,tam,AyerRo99,pass_defended,0,,,,,
player,201710050tam,tam,AyerRo99,sacks,0.0,,,,,
player,201710050tam,tam,AyerRo99,tackles_combined,2,,,,,
player,201710050tam,tam,AyerRo99,tackles_solo,1,,,,,
player,201710050tam,tam,AyerRo99,tackles_assists,1,,,,,
player,201710050tam,tam,AyerRo99,tackles_loss,0,,,,,
player,201710050tam,tam,AyerRo99,qb_hits,3,,,,,
player,201710050tam,tam,AyerRo99,fumbles_rec,0,,,,,
player,201710050tam,tam,AyerRo99,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,AyerRo99,fumbles_rec_td,0,,,,,
player,201710050tam,tam,AyerRo99,fumbles_forced,0,,,,,
player,201710050tam,tam,BondDe00,def_int,0,,,,,
player,201710050tam,tam,BondDe00,def_int_yds,0,,,,,
player,201710050tam,tam,BondDe00,def_int_td,0,,,,,
player,201710050tam,tam,BondDe00,def_int_long,0,,,,,
player,201710050tam,tam,BondDe00,pass_defended,0,,,,,
player,201710050tam,tam,BondDe00,sacks,0.0,,,,,
player,201710050tam,tam,BondDe00,tackles_combined,2,,,,,
player,201710050tam,tam,BondDe00,tackles_solo,1,,,,,
player,201710050tam,tam,BondDe00,tackles_assists,1,,,,,
player,201710050tam,tam,BondDe00,tackles_loss,0,,,,,
player,201710050tam,tam,BondDe00,qb_hits,0,,,,,
player,201710050tam,tam,BondDe00,fumbles_rec,0,,,,,
player,201710050tam,tam,BondDe00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,BondDe00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,BondDe00,fumbles_forced,0,,,,,
player,201710050tam,tam,JohnIs00,def_int,0,,,,,
player,201710050tam,tam,JohnIs00,def_int_yds,0,,,,,
player,201710050tam,tam,JohnIs00,def_int_td,0,,,,,
player,201710050tam,tam,JohnIs00,def_int_long,0,,,,,
player,201710050tam,tam,JohnIs00,pass_defended,0,,,,,
player,201710050tam,tam,JohnIs00,sacks,0.0,,,,,
player,201710050tam,tam,JohnIs00,tackles_combined,2,,,,,
player,201710050tam,tam,JohnIs00,tackles_solo,2,,,,,
player,201710050tam,tam,JohnIs00,tackles_assists,0,,,,,
player,201710050tam,tam,JohnIs00,tackles_loss,0,,,,,
player,201710050tam,tam,JohnIs00,qb_hits,0,,,,,
player,201710050tam,tam,JohnIs00,fumbles_rec,0,,,,,
player,201710050tam,tam,JohnIs00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,JohnIs00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,JohnIs00,fumbles_forced,0,,,,,
player,201710050tam,tam,SpenNo00,def_int,0,,,,,
player,201710050tam,tam,SpenNo00,def_int_yds,0,,,,,
player,201710050tam,tam,SpenNo00,def_int_td,0,,,,,
player,201710050tam,tam,SpenNo00,def_int_long,0,,,,,
player,201710050tam,tam,SpenNo00,pass_defended,0,,,,,
player,201710050tam,tam,SpenNo00,sacks,0.0,,,,,
player,201710050tam,tam,SpenNo00,tackles_combined,2,,,,,
player,201710050tam,tam,SpenNo00,tackles_solo,1,,,,,
player,201710050tam,tam,SpenNo00,tackles_assists,1,,,,,
player,201710050tam,tam,SpenNo00,tackles_loss,0,,,,,
player,201710050tam,tam,SpenNo00,qb_hits,0,,,,,
player,201710050tam,tam,SpenNo00,fumbles_rec,0,,,,,
player,201710050tam,tam,SpenNo00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,SpenNo00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,SpenNo00,fumbles_forced,0,,,,,
player,201710050tam,tam,GodwCh00,def_int,0,,,,,
player,201710050tam,tam,GodwCh00,def_int_yds,0,,,,,
player,201710050tam,tam,GodwCh00,def_int_td,0,,,,,
player,201710050tam,tam,GodwCh00,def_int_long,0,,,,,
player,201710050tam,tam,GodwCh00,pass_defended,0,,,,,
player,201710050tam,tam,GodwCh00,sacks,0.0,,,,,
player,201710050tam,tam,GodwCh00,tackles_combined,1,,,,,
player,201710050tam,tam,GodwCh00,tackles_solo,1,,,,,
player,201710050tam,tam,GodwCh00,tackles_assists,0,,,,,
player,201710050tam,tam,GodwCh00,tackles_loss,0,,,,,
player,201710050tam,tam,GodwCh00,qb_hits,0,,,,,
player,201710050tam,tam,GodwCh00,fumbles_rec,0,,,,,
player,201710050tam,tam,GodwCh00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,GodwCh00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,GodwCh00,fumbles_forced,0,,,,,
player,201710050tam,tam,GrimBr20,def_int,0,,,,,
player,201710050tam,tam,GrimBr20,def_int_yds,0,,,,,
player,201710050tam,tam,GrimBr20,def_int_td,0,,,,,
player,201710050tam,tam,GrimBr20,def_int_long,0,,,,,
player,201710050tam,tam,GrimBr20,pass_defended,0,,,,,
player,201710050tam,tam,GrimBr20,sacks,0.0,,,,,
player,201710050tam,tam,GrimBr20,tackles_combined,1,,,,,
player,201710050tam,tam,GrimBr20,tackles_solo,1,,,,,
player,201710050tam,tam,GrimBr20,tackles_assists,0,,,,,
player,201710050tam,tam,GrimBr20,tackles_loss,0,,,,,
player,201710050tam,tam,GrimBr20,qb_hits,0,,,,,
player,201710050tam,tam,GrimBr20,fumbles_rec,0,,,,,
player,201710050tam,tam,GrimBr20,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,GrimBr20,fumbles_rec_td,0,,,,,
player,201710050tam,tam,GrimBr20,fumbles_forced,0,,,,,
player,201710050tam,tam,RussRy00,def_int,0,,,,,
player,201710050tam,tam,RussRy00,def_int_yds,0,,,,,
player,201710050tam,tam,RussRy00,def_int_td,0,,,,,
player,201710050tam,tam,RussRy00,def_int_long,0,,,,,
player,201710050tam,tam,RussRy00,pass_defended,0,,,,,
player,201710050tam,tam,RussRy00,sacks,0.0,,,,,
player,201710050tam,tam,RussRy00,tackles_combined,1,,,,,
player,201710050tam,tam,RussRy00,tackles_solo,1,,,,,
player,201710050tam,tam,RussRy00,tackles_assists,0,,,,,
player,201710050tam,tam,RussRy00,tackles_loss,0,,,,,
player,201710050tam,tam,RussRy00,qb_hits,0,,,,,
player,201710050tam,tam,RussRy00,fumbles_rec,0,,,,,
player,201710050tam,tam,RussRy00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,RussRy00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,RussRy00,fumbles_forced,0,,,,,
player,201710050tam,tam,SmitRy00,def_int,0,,,,,
player,201710050tam,tam,SmitRy00,def_int_yds,0,,,,,
player,201710050tam,tam,SmitRy00,def_int_td,0,,,,,
player,201710050tam,tam,SmitRy00,def_int_long,0,,,,,
player,201710050tam,tam,SmitRy00,pass_defended,0,,,,,
player,201710050tam,tam,SmitRy00,sacks,0.0,,,,,
player,201710050tam,tam,SmitRy00,tackles_combined,1,,,,,
player,201710050tam,tam,SmitRy00,tackles_solo,1,,,,,
player,201710050tam,tam,SmitRy00,tackles_assists,0,,,,,
player,201710050tam,tam,SmitRy00,tackles_loss,0,,,,,
player,201710050tam,tam,SmitRy00,qb_hits,0,,,,,
player,201710050tam,tam,SmitRy00,fumbles_rec,0,,,,,
player,201710050tam,tam,SmitRy00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,SmitRy00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,SmitRy00,fumbles_forced,0,,,,,
player,201710050tam,tam,ClarWi00,def_int,0,,,,,
player,201710050tam,tam,ClarWi00,def_int_yds,0,,,,,
player,201710050tam,tam,ClarWi00,def_int_td,0,,,,,
player,201710050tam,tam,ClarWi00,def_int_long,0,,,,,
player,201710050tam,tam,ClarWi00,pass_defended,0,,,,,
player,201710050tam,tam,ClarWi00,sacks,0.0,,,,,
player,201710050tam,tam,ClarWi00,tackles_combined,0,,,,,
player,201710050tam,tam,ClarWi00,tackles_solo,0,,,,,
player,201710050tam,tam,ClarWi00,tackles_assists,0,,,,,
player,201710050tam,tam,ClarWi00,tackles_loss,0,,,,,
player,201710050tam,tam,ClarWi00,qb_hits,0,,,,,
player,201710050tam,tam,ClarWi00,fumbles_rec,1,,,,,
player,201710050tam,tam,ClarWi00,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,ClarWi00,fumbles_rec_td,0,,,,,
player,201710050tam,tam,ClarWi00,fumbles_forced,0,,,,,
player,201710050tam,tam,ReedBe01,def_int,0,,,,,
player,201710050tam,tam,ReedBe01,def_int_yds,0,,,,,
player,201710050tam,tam,ReedBe01,def_int_td,0,,,,,
player,201710050tam,tam,ReedBe01,def_int_long,0,,,,,
player,201710050tam,tam,ReedBe01,pass_defended,0,,,,,
player,201710050tam,tam,ReedBe01,sacks,0.0,,,,,
player,201710050tam,tam,ReedBe01,tackles_combined,0,,,,,
player,201710050tam,tam,ReedBe01,tackles_solo,0,,,,,
player,201710050tam,tam,ReedBe01,tackles_assists,0,,,,,
player,201710050tam,tam,ReedBe01,tackles_loss,,,,,,
player,201710050tam,tam,ReedBe01,qb_hits,,,,,,
player,201710050tam,tam,ReedBe01,fumbles_rec,1,,,,,
player,201710050tam,tam,ReedBe01,fumbles_rec_yds,0,,,,,
player,201710050tam,tam,ReedBe01,fumbles_rec_td,0,,,,,
player,201710050tam,tam,ReedBe01,fumbles_forced,0,,,,,
player,201710050tam,nwe,AmenDa00,kick_ret,0,,,,,
player,201710050tam,nwe,AmenDa00,kick_ret_yds,0,,,,,
player,201710050tam,nwe,AmenDa00,kick_ret_yds_per_ret,,,,,,
player,201710050tam,nwe,AmenDa00,kick_ret_td,0,,,,,
player,201710050tam,nwe,AmenDa00,kick_ret_long,0,,,,,
player,201710050tam,nwe,AmenDa00,punt_ret,3,,,,,
player,201710050tam,nwe,AmenDa00,punt_ret_yds,51,,,,,
player,201710050tam,nwe,AmenDa00,punt_ret_yds_per_ret,17.0,,,,,
player,201710050tam,nwe,AmenDa00,punt_ret_td,0,,,,,
player,201710050tam,nwe,AmenDa00,punt_ret_long,40,,,,,
player,201710050tam,nwe,LewiDi00,kick_ret,1,,,,,
player,201710050tam,nwe,LewiDi00,kick_ret_yds,23,,,,,
player,201710050tam,nwe,LewiDi00,kick_ret_yds_per_ret,23.0,,,,,
player,201710050tam,nwe,LewiDi00,kick_ret_td,0,,,,,
player,201710050tam,nwe,LewiDi00,kick_ret_long,23,,,,,
player,201710050tam,nwe,LewiDi00,punt_ret,0,,,,,
player,201710050tam,nwe,LewiDi00,punt_ret_yds,0,,,,,
player,201710050tam,nwe,LewiDi00,punt_ret_yds_per_ret,,,,,,
player,201710050tam,nwe,LewiDi00,punt_ret_td,0,,,,,
player,201710050tam,nwe,LewiDi00,punt_ret_long,0,,,,,
player,201710050tam,tam,ReedBe01,kick_ret,1,,,,,
player,201710050tam,tam,ReedBe01,kick_ret_yds,16,,,,,
player,201710050tam,tam,ReedBe01,kick_ret_yds_per_ret,16.0,,,,,
player,201710050tam,tam,ReedBe01,kick_ret_td,0,,,,,
player,201710050tam,tam,ReedBe01,kick_ret_long,16,,,,,
player,201710050tam,tam,ReedBe01,punt_ret,3,,,,,
player,201710050tam,tam,ReedBe01,punt_ret_yds,29,,,,,
player,201710050tam,tam,ReedBe01,punt_ret_yds_per_ret,9.7,,,,,
player,201710050tam,tam,ReedBe01,punt_ret_td,0,,,,,
player,201710050tam,tam,ReedBe01,punt_ret_long,14,,,,,
player,201710050tam,nwe,GostSt20,xpm,1,,,,,
player,201710050tam,nwe,GostSt20,xpa,1,,,,,
player,201710050tam,nwe,GostSt20,fgm,4,,,,,
player,201710050tam,nwe,GostSt20,fga,4,,,,,
player,201710050tam,nwe,GostSt20,punt,0,,,,,
player,201710050tam,nwe,GostSt20,punt_yds,0,,,,,
player,201710050tam,nwe,GostSt20,punt_yds_per_punt,,,,,,
player,201710050tam,nwe,GostSt20,punt_long,0,,,,,
player,201710050tam,nwe,AlleRy01,xpm,,,,,,
player,201710050tam,nwe,AlleRy01,xpa,,,,,,
player,201710050tam,nwe,AlleRy01,fgm,,,,,,
player,201710050tam,nwe,AlleRy01,fga,,,,,,
player,201710050tam,nwe,AlleRy01,punt,4,,,,,
player,201710050tam,nwe,AlleRy01,punt_yds,188,,,,,
player,201710050tam,nwe,AlleRy01,punt_yds_per_punt,47.0,,,,,
player,201710050tam,nwe,AlleRy01,punt_long,55,,,,,
player,201710050tam,tam,FolkNi20,xpm,2,,,,,
player,201710050tam,tam,FolkNi20,xpa,2,,,,,
player,201710050tam,tam,FolkNi20,fgm,,,,,,
player,201710050tam,tam,FolkNi20,fga,3,,,,,
player,201710050tam,tam,FolkNi20,punt,0,,,,,
player,201710050tam,tam,FolkNi20,punt_yds,0,,,,,
player,201710050tam,tam,FolkNi20,punt_yds_per_punt,,,,,,
player,201710050tam,tam,FolkNi20,punt_long,0,,,,,
player,201710050tam,tam,AngeBr00,xpm,,,,,,
player,201710050tam,tam,AngeBr00,xpa,,,,,,
player,201710050tam,tam,AngeBr00,fgm,,,,,,
player,201710050tam,tam,AngeBr00,fga,,,,,,
player,201710050tam,tam,AngeBr00,punt,6,,,,,
player,201710050tam,tam,AngeBr00,punt_yds,271,,,,,
player,201710050tam,tam,AngeBr00,punt_yds_per_punt,45.2,,,,,
player,201710050tam,tam,AngeBr00,punt_long,57,,,,,
player,201710050tam,tam,SweeJ.00,pos,G,,,,,
player,201710050tam,tam,SweeJ.00,offense,72,,,,,
player,201710050tam,tam,SweeJ.00,off_pct,100%,,,,,
player,201710050tam,tam,SweeJ.00,defense,0,,,,,
player,201710050tam,tam,SweeJ.00,def_pct,0%,,,,,
player,201710050tam,tam,SweeJ.00,special_teams,5,,,,,
player,201710050tam,tam,SweeJ.00,st_pct,17%,,,,,
player,201710050tam,tam,DotsDe00,pos,T,,,,,
player,201710050tam,tam,DotsDe00,offense,72,,,,,
player,201710050tam,tam,DotsDe00,off_pct,100%,,,,,
player,201710050tam,tam,DotsDe00,defense,0,,,,,
player,201710050tam,tam,DotsDe00,def_pct,0%,,,,,
player,201710050tam,tam,DotsDe00,special_teams,5,,,,,
player,201710050tam,tam,DotsDe00,st_pct,17%,,,,,
player,201710050tam,tam,SmitDo02,pos,T,,,,,
player,201710050tam,tam,SmitDo02,offense,72,,,,,
player,201710050tam,tam,SmitDo02,off_pct,100%,,,,,
player,201710050tam,tam,SmitDo02,defense,0,,,,,
player,201710050tam,tam,SmitDo02,def_pct,0%,,,,,
player,201710050tam,tam,SmitDo02,special_teams,5,,,,,
player,201710050tam,tam,SmitDo02,st_pct,17%,,,,,
player,201710050tam,tam,MarpAl00,pos,C,,,,,
player,201710050tam,tam,MarpAl00,offense,72,,,,,
player,201710050tam,tam,MarpAl00,off_pct,100%,,,,,
player,201710050tam,tam,MarpAl00,defense,0,,,,,
player,201710050tam,tam,MarpAl00,def_pct,0%,,,,,
player,201710050tam,tam,MarpAl00,special_teams,0,,,,,
player,201710050tam,tam,MarpAl00,st_pct,0%,,,,,
player,201710050tam,tam,WinsJa00,pos,QB,,,,,
player,201710050tam,tam,WinsJa00,offense,72,,,,,
player,201710050tam,tam,WinsJa00,off_pct,100%,,,,,
player,201710050tam,tam,WinsJa00,defense,0,,,,,
player,201710050tam,tam,WinsJa00,def_pct,0%,,,,,
player,201710050tam,tam,WinsJa00,special_teams,0,,,,,
player,201710050tam,tam,WinsJa00,st_pct,0%,,,,,
player,201710050tam,tam,EvanMi00,pos,WR,,,,,
player,201710050tam,tam,EvanMi00,offense,68,,,,,
player,201710050tam,tam,EvanMi00,off_pct,94%,,,,,
player,201710050tam,tam,EvanMi00,defense,0,,,,,
player,201710050tam,tam,EvanMi00,def_pct,0%,,,,,
player,201710050tam,tam,EvanMi00,special_teams,0,,,,,
player,201710050tam,tam,EvanMi00,st_pct,0%,,,,,
player,201710050tam,tam,JackDe00,pos,WR,,,,,
player,201710050tam,tam,JackDe00,offense,52,,,,,
player,201710050tam,tam,JackDe00,off_pct,72%,,,,,
player,201710050tam,tam,JackDe00,defense,0,,,,,
player,201710050tam,tam,JackDe00,def_pct,0%,,,,,
player,201710050tam,tam,JackDe00,special_teams,0,,,,,
player,201710050tam,tam,JackDe00,st_pct,0%,,,,,
player,201710050tam,tam,HumpAd00,pos,WR,,,,,
player,201710050tam,tam,HumpAd00,offense,52,,,,,
player,201710050tam,tam,HumpAd00,off_pct,72%,,,,,
player,201710050tam,tam,HumpAd00,defense,0,,,,,
player,201710050tam,tam,HumpAd00,def_pct,0%,,,,,
player,201710050tam,tam,HumpAd00,special_teams,0,,,,,
player,201710050tam,tam,HumpAd00,st_pct,0%,,,,,
player,201710050tam,tam,BratCa00,pos,TE,,,,,
player,201710050tam,tam,BratCa00,offense,49,,,,,
player,201710050tam,tam,BratCa00,off_pct,68%,,,,,
player,201710050tam,tam,BratCa00,defense,0,,,,,
player,201710050tam,tam,BratCa00,def_pct,0%,,,,,
player,201710050tam,tam,BratCa00,special_teams,1,,,,,
player,201710050tam,tam,BratCa00,st_pct,3%,,,,,
player,201710050tam,tam,HowaO.00,pos,TE,,,,,
player,201710050tam,tam,HowaO.00,offense,41,,,,,
player,201710050tam,tam,HowaO.00,off_pct,57%,,,,,
player,201710050tam,tam,HowaO.00,defense,0,,,,,
player,201710050tam,tam,HowaO.00,def_pct,0%,,,,,
player,201710050tam,tam,HowaO.00,special_teams,0,,,,,
player,201710050tam,tam,HowaO.00,st_pct,0%,,,,,
player,201710050tam,tam,PampKe00,pos,G,,,,,
player,201710050tam,tam,PampKe00,offense,39,,,,,
player,201710050tam,tam,PampKe00,off_pct,54%,,,,,
player,201710050tam,tam,PampKe00,defense,0,,,,,
player,201710050tam,tam,PampKe00,def_pct,0%,,,,,
player,201710050tam,tam,PampKe00,special_teams,5,,,,,
player,201710050tam,tam,PampKe00,st_pct,17%,,,,,
player,201710050tam,tam,DietEv00,pos,G,,,,,
player,201710050tam,tam,DietEv00,offense,33,,,,,
player,201710050tam,tam,DietEv00,off_pct,46%,,,,,
player,201710050tam,tam,DietEv00,defense,0,,,,,
player,201710050tam,tam,DietEv00,def_pct,0%,,,,,
player,201710050tam,tam,DietEv00,special_teams,5,,,,,
player,201710050tam,tam,DietEv00,st_pct,17%,,,,,
player,201710050tam,tam,SimsCh00,pos,RB,,,,,
player,201710050tam,tam,SimsCh00,offense,32,,,,,
player,201710050tam,tam,SimsCh00,off_pct,44%,,,,,
player,201710050tam,tam,SimsCh00,defense,0,,,,,
player,201710050tam,tam,SimsCh00,def_pct,0%,,,,,
player,201710050tam,tam,SimsCh00,special_teams,0,,,,,
player,201710050tam,tam,SimsCh00,st_pct,0%,,,,,
player,201710050tam,tam,MartDo00,pos,RB,,,,,
player,201710050tam,tam,MartDo00,offense,26,,,,,
player,201710050tam,tam,MartDo00,off_pct,36%,,,,,
player,201710050tam,tam,MartDo00,defense,0,,,,,
player,201710050tam,tam,MartDo00,def_pct,0%,,,,,
player,201710050tam,tam,MartDo00,special_teams,0,,,,,
player,201710050tam,tam,MartDo00,st_pct,0%,,,,,
player,201710050tam,tam,GodwCh00,pos,WR,,,,,
player,201710050tam,tam,GodwCh00,offense,17,,,,,
player,201710050tam,tam,GodwCh00,off_pct,24%,,,,,
player,201710050tam,tam,GodwCh00,defense,0,,,,,
