game,2017,4,20171001,201710010mia,nor,"New Orleans Saints",20,mia,"Miami Dolphins",0
team,201710010mia,nor,First Downs,22,,,,,,
team,201710010mia,mia,First Downs,11,,,,,,
team,201710010mia,nor,Rush-Yds-TDs,28-86-0,,,,,,
team,201710010mia,mia,Rush-Yds-TDs,15-58-0,,,,,,
team,201710010mia,nor,Cmp-Att-Yd-TD-INT,29-41-268-2-0,,,,,,
team,201710010mia,mia,Cmp-Att-Yd-TD-INT,20-28-164-0-1,,,,,,
team,201710010mia,nor,Sacked-Yards,1-7,,,,,,
team,201710010mia,mia,Sacked-Yards,4-36,,,,,,
team,201710010mia,nor,Net Pass Yards,261,,,,,,
team,201710010mia,mia,Net Pass Yards,128,,,,,,
team,201710010mia,nor,Total Yards,347,,,,,,
team,201710010mia,mia,Total Yards,186,,,,,,
team,201710010mia,nor,Fumbles-Lost,2-0,,,,,,
team,201710010mia,mia,Fumbles-Lost,2-0,,,,,,
team,201710010mia,nor,Turnovers,0,,,,,,
team,201710010mia,mia,Turnovers,1,,,,,,
team,201710010mia,nor,Penalties-Yards,8-71,,,,,,
team,201710010mia,mia,Penalties-Yards,11-90,,,,,,
team,201710010mia,nor,Third Down Conv.,6-13,,,,,,
team,201710010mia,mia,Third Down Conv.,1-8,,,,,,
team,201710010mia,nor,Fourth Down Conv.,1-2,,,,,,
team,201710010mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201710010mia,nor,Time of Possession,34:28,,,,,,
team,201710010mia,mia,Time of Possession,25:32,,,,,,
player,201710010mia,nor,BreeDr00,pass_cmp,29,,,,,
player,201710010mia,nor,BreeDr00,pass_att,41,,,,,
player,201710010mia,nor,BreeDr00,pass_yds,268,,,,,
player,201710010mia,nor,BreeDr00,pass_td,2,,,,,
player,201710010mia,nor,BreeDr00,pass_int,0,,,,,
player,201710010mia,nor,BreeDr00,pass_sacked,1,,,,,
player,201710010mia,nor,BreeDr00,pass_sacked_yds,7,,,,,
player,201710010mia,nor,BreeDr00,pass_long,31,,,,,
player,201710010mia,nor,BreeDr00,pass_rating,104.5,,,,,
player,201710010mia,nor,BreeDr00,rush_att,4,,,,,
player,201710010mia,nor,BreeDr00,rush_yds,3,,,,,
player,201710010mia,nor,BreeDr00,rush_td,0,,,,,
player,201710010mia,nor,BreeDr00,rush_long,2,,,,,
player,201710010mia,nor,BreeDr00,targets,0,,,,,
player,201710010mia,nor,BreeDr00,rec,0,,,,,
player,201710010mia,nor,BreeDr00,rec_yds,0,,,,,
player,201710010mia,nor,BreeDr00,rec_td,0,,,,,
player,201710010mia,nor,BreeDr00,rec_long,0,,,,,
player,201710010mia,nor,BreeDr00,fumbles,1,,,,,
player,201710010mia,nor,BreeDr00,fumbles_lost,0,,,,,
player,201710010mia,nor,IngrMa01,pass_cmp,0,,,,,
player,201710010mia,nor,IngrMa01,pass_att,0,,,,,
player,201710010mia,nor,IngrMa01,pass_yds,0,,,,,
player,201710010mia,nor,IngrMa01,pass_td,0,,,,,
player,201710010mia,nor,IngrMa01,pass_int,0,,,,,
player,201710010mia,nor,IngrMa01,pass_sacked,0,,,,,
player,201710010mia,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201710010mia,nor,IngrMa01,pass_long,0,,,,,
player,201710010mia,nor,IngrMa01,pass_rating,,,,,,
player,201710010mia,nor,IngrMa01,rush_att,14,,,,,
player,201710010mia,nor,IngrMa01,rush_yds,45,,,,,
player,201710010mia,nor,IngrMa01,rush_td,0,,,,,
