game,2017,4,20171001,201710010sdg,phi,"Philadelphia Eagles",26,sdg,"Los Angeles Chargers",24
team,201710010sdg,phi,First Downs,26,,,,,,
team,201710010sdg,sdg,First Downs,18,,,,,,
team,201710010sdg,phi,Rush-Yds-TDs,42-214-1,,,,,,
team,201710010sdg,sdg,Rush-Yds-TDs,13-58-1,,,,,,
team,201710010sdg,phi,Cmp-Att-Yd-TD-INT,17-31-242-1-0,,,,,,
team,201710010sdg,sdg,Cmp-Att-Yd-TD-INT,22-38-347-2-0,,,,,,
team,201710010sdg,phi,Sacked-Yards,1-2,,,,,,
team,201710010sdg,sdg,Sacked-Yards,2-5,,,,,,
team,201710010sdg,phi,Net Pass Yards,240,,,,,,
team,201710010sdg,sdg,Net Pass Yards,342,,,,,,
team,201710010sdg,phi,Total Yards,454,,,,,,
team,201710010sdg,sdg,Total Yards,400,,,,,,
team,201710010sdg,phi,Fumbles-Lost,1-0,,,,,,
team,201710010sdg,sdg,Fumbles-Lost,2-1,,,,,,
team,201710010sdg,phi,Turnovers,0,,,,,,
team,201710010sdg,sdg,Turnovers,1,,,,,,
team,201710010sdg,phi,Penalties-Yards,9-58,,,,,,
team,201710010sdg,sdg,Penalties-Yards,9-39,,,,,,
team,201710010sdg,phi,Third Down Conv.,9-16,,,,,,
team,201710010sdg,sdg,Third Down Conv.,5-10,,,,,,
team,201710010sdg,phi,Fourth Down Conv.,1-1,,,,,,
team,201710010sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201710010sdg,phi,Time of Possession,39:18,,,,,,
team,201710010sdg,sdg,Time of Possession,20:42,,,,,,
player,201710010sdg,phi,WentCa00,pass_cmp,17,,,,,
player,201710010sdg,phi,WentCa00,pass_att,31,,,,,
player,201710010sdg,phi,WentCa00,pass_yds,242,,,,,
player,201710010sdg,phi,WentCa00,pass_td,1,,,,,
player,201710010sdg,phi,WentCa00,pass_int,0,,,,,
player,201710010sdg,phi,WentCa00,pass_sacked,1,,,,,
player,201710010sdg,phi,WentCa00,pass_sacked_yds,2,,,,,
player,201710010sdg,phi,WentCa00,pass_long,38,,,,,
player,201710010sdg,phi,WentCa00,pass_rating,91.1,,,,,
player,201710010sdg,phi,WentCa00,rush_att,6,,,,,
player,201710010sdg,phi,WentCa00,rush_yds,14,,,,,
player,201710010sdg,phi,WentCa00,rush_td,0,,,,,
player,201710010sdg,phi,WentCa00,rush_long,12,,,,,
player,201710010sdg,phi,WentCa00,targets,0,,,,,
player,201710010sdg,phi,WentCa00,rec,0,,,,,
player,201710010sdg,phi,WentCa00,rec_yds,0,,,,,
player,201710010sdg,phi,WentCa00,rec_td,0,,,,,
player,201710010sdg,phi,WentCa00,rec_long,0,,,,,
player,201710010sdg,phi,WentCa00,fumbles,1,,,,,
player,201710010sdg,phi,WentCa00,fumbles_lost,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_cmp,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_att,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_yds,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_td,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_int,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_sacked,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_sacked_yds,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_long,0,,,,,
player,201710010sdg,phi,BlouLe00,pass_rating,,,,,,
player,201710010sdg,phi,BlouLe00,rush_att,16,,,,,
player,201710010sdg,phi,BlouLe00,rush_yds,136,,,,,
player,201710010sdg,phi,BlouLe00,rush_td,0,,,,,
player,201710010sdg,phi,BlouLe00,rush_long,68,,,,,
player,201710010sdg,phi,BlouLe00,targets,1,,,,,
player,201710010sdg,phi,BlouLe00,rec,1,,,,,
player,201710010sdg,phi,BlouLe00,rec_yds,20,,,,,
player,201710010sdg,phi,BlouLe00,rec_td,0,,,,,
player,201710010sdg,phi,BlouLe00,rec_long,20,,,,,
player,201710010sdg,phi,BlouLe00,fumbles,0,,,,,
player,201710010sdg,phi,BlouLe00,fumbles_lost,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_cmp,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_att,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_yds,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_td,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_int,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_sacked,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_long,0,,,,,
player,201710010sdg,phi,SmalWe00,pass_rating,,,,,,
player,201710010sdg,phi,SmalWe00,rush_att,10,,,,,
player,201710010sdg,phi,SmalWe00,rush_yds,34,,,,,
player,201710010sdg,phi,SmalWe00,rush_td,1,,,,,
player,201710010sdg,phi,SmalWe00,rush_long,11,,,,,
player,201710010sdg,phi,SmalWe00,targets,6,,,,,
player,201710010sdg,phi,SmalWe00,rec,4,,,,,
player,201710010sdg,phi,SmalWe00,rec_yds,45,,,,,
player,201710010sdg,phi,SmalWe00,rec_td,0,,,,,
player,201710010sdg,phi,SmalWe00,rec_long,24,,,,,
player,201710010sdg,phi,SmalWe00,fumbles,0,,,,,
player,201710010sdg,phi,SmalWe00,fumbles_lost,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_cmp,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_att,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_yds,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_td,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_int,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_sacked,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_sacked_yds,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_long,0,,,,,
player,201710010sdg,phi,ClemCo00,pass_rating,,,,,,
player,201710010sdg,phi,ClemCo00,rush_att,10,,,,,
player,201710010sdg,phi,ClemCo00,rush_yds,30,,,,,
player,201710010sdg,phi,ClemCo00,rush_td,0,,,,,
player,201710010sdg,phi,ClemCo00,rush_long,10,,,,,
player,201710010sdg,phi,ClemCo00,targets,0,,,,,
player,201710010sdg,phi,ClemCo00,rec,0,,,,,
player,201710010sdg,phi,ClemCo00,rec_yds,0,,,,,
player,201710010sdg,phi,ClemCo00,rec_td,0,,,,,
player,201710010sdg,phi,ClemCo00,rec_long,0,,,,,
player,201710010sdg,phi,ClemCo00,fumbles,0,,,,,
player,201710010sdg,phi,ClemCo00,fumbles_lost,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_cmp,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_att,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_yds,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_td,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_int,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_sacked,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_long,0,,,,,
player,201710010sdg,phi,ErtzZa00,pass_rating,,,,,,
player,201710010sdg,phi,ErtzZa00,rush_att,0,,,,,
player,201710010sdg,phi,ErtzZa00,rush_yds,0,,,,,
player,201710010sdg,phi,ErtzZa00,rush_td,0,,,,,
player,201710010sdg,phi,ErtzZa00,rush_long,0,,,,,
player,201710010sdg,phi,ErtzZa00,targets,8,,,,,
player,201710010sdg,phi,ErtzZa00,rec,5,,,,,
player,201710010sdg,phi,ErtzZa00,rec_yds,81,,,,,
player,201710010sdg,phi,ErtzZa00,rec_td,0,,,,,
player,201710010sdg,phi,ErtzZa00,rec_long,38,,,,,
player,201710010sdg,phi,ErtzZa00,fumbles,0,,,,,
player,201710010sdg,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_cmp,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_att,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_yds,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_td,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_int,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_sacked,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_long,0,,,,,
player,201710010sdg,phi,AghoNe00,pass_rating,,,,,,
player,201710010sdg,phi,AghoNe00,rush_att,0,,,,,
player,201710010sdg,phi,AghoNe00,rush_yds,0,,,,,
player,201710010sdg,phi,AghoNe00,rush_td,0,,,,,
player,201710010sdg,phi,AghoNe00,rush_long,0,,,,,
player,201710010sdg,phi,AghoNe00,targets,4,,,,,
player,201710010sdg,phi,AghoNe00,rec,3,,,,,
player,201710010sdg,phi,AghoNe00,rec_yds,58,,,,,
player,201710010sdg,phi,AghoNe00,rec_td,0,,,,,
player,201710010sdg,phi,AghoNe00,rec_long,36,,,,,
player,201710010sdg,phi,AghoNe00,fumbles,0,,,,,
player,201710010sdg,phi,AghoNe00,fumbles_lost,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_cmp,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_att,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_yds,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_td,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_int,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_sacked,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_long,0,,,,,
player,201710010sdg,phi,JeffAl00,pass_rating,,,,,,
player,201710010sdg,phi,JeffAl00,rush_att,0,,,,,
player,201710010sdg,phi,JeffAl00,rush_yds,0,,,,,
player,201710010sdg,phi,JeffAl00,rush_td,0,,,,,
player,201710010sdg,phi,JeffAl00,rush_long,0,,,,,
player,201710010sdg,phi,JeffAl00,targets,6,,,,,
