game,2017,3,20170924,201709240det,atl,"Atlanta Falcons",30,det,"Detroit Lions",26
team,201709240det,atl,First Downs,26,,,,,,
team,201709240det,det,First Downs,21,,,,,,
team,201709240det,atl,Rush-Yds-TDs,28-151-1,,,,,,
team,201709240det,det,Rush-Yds-TDs,19-71-0,,,,,,
team,201709240det,atl,Cmp-Att-Yd-TD-INT,24-35-294-2-3,,,,,,
team,201709240det,det,Cmp-Att-Yd-TD-INT,25-45-264-1-0,,,,,,
team,201709240det,atl,Sacked-Yards,2-17,,,,,,
team,201709240det,det,Sacked-Yards,2-11,,,,,,
team,201709240det,atl,Net Pass Yards,277,,,,,,
team,201709240det,det,Net Pass Yards,253,,,,,,
team,201709240det,atl,Total Yards,428,,,,,,
team,201709240det,det,Total Yards,324,,,,,,
team,201709240det,atl,Fumbles-Lost,0-0,,,,,,
team,201709240det,det,Fumbles-Lost,0-0,,,,,,
team,201709240det,atl,Turnovers,3,,,,,,
team,201709240det,det,Turnovers,0,,,,,,
team,201709240det,atl,Penalties-Yards,8-68,,,,,,
team,201709240det,det,Penalties-Yards,9-98,,,,,,
team,201709240det,atl,Third Down Conv.,4-9,,,,,,
team,201709240det,det,Third Down Conv.,3-13,,,,,,
team,201709240det,atl,Fourth Down Conv.,0-0,,,,,,
team,201709240det,det,Fourth Down Conv.,0-0,,,,,,
team,201709240det,atl,Time of Possession,32:35,,,,,,
team,201709240det,det,Time of Possession,27:25,,,,,,
player,201709240det,atl,RyanMa00,pass_cmp,24,,,,,
player,201709240det,atl,RyanMa00,pass_att,35,,,,,
player,201709240det,atl,RyanMa00,pass_yds,294,,,,,
player,201709240det,atl,RyanMa00,pass_td,2,,,,,
player,201709240det,atl,RyanMa00,pass_int,3,,,,,
player,201709240det,atl,RyanMa00,pass_sacked,2,,,,,
player,201709240det,atl,RyanMa00,pass_sacked_yds,17,,,,,
player,201709240det,atl,RyanMa00,pass_long,40,,,,,
player,201709240det,atl,RyanMa00,pass_rating,77.6,,,,,
player,201709240det,atl,RyanMa00,rush_att,1,,,,,
player,201709240det,atl,RyanMa00,rush_yds,-1,,,,,
player,201709240det,atl,RyanMa00,rush_td,0,,,,,
player,201709240det,atl,RyanMa00,rush_long,-1,,,,,
player,201709240det,atl,RyanMa00,targets,0,,,,,
player,201709240det,atl,RyanMa00,rec,0,,,,,
player,201709240det,atl,RyanMa00,rec_yds,0,,,,,
player,201709240det,atl,RyanMa00,rec_td,0,,,,,
player,201709240det,atl,RyanMa00,rec_long,0,,,,,
player,201709240det,atl,RyanMa00,fumbles,0,,,,,
player,201709240det,atl,RyanMa00,fumbles_lost,0,,,,,
player,201709240det,atl,FreeDe00,pass_cmp,0,,,,,
player,201709240det,atl,FreeDe00,pass_att,0,,,,,
player,201709240det,atl,FreeDe00,pass_yds,0,,,,,
player,201709240det,atl,FreeDe00,pass_td,0,,,,,
player,201709240det,atl,FreeDe00,pass_int,0,,,,,
player,201709240det,atl,FreeDe00,pass_sacked,0,,,,,
player,201709240det,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201709240det,atl,FreeDe00,pass_long,0,,,,,
player,201709240det,atl,FreeDe00,pass_rating,,,,,,
player,201709240det,atl,FreeDe00,rush_att,21,,,,,
player,201709240det,atl,FreeDe00,rush_yds,106,,,,,
player,201709240det,atl,FreeDe00,rush_td,1,,,,,
