game,2017,11,20171119,201711190rai,nwe,"New England Patriots",33,rai,"Oakland Raiders",8
team,201711190rai,nwe,First Downs,25,,,,,,
team,201711190rai,rai,First Downs,21,,,,,,
team,201711190rai,nwe,Rush-Yds-TDs,20-89-0,,,,,,
team,201711190rai,rai,Rush-Yds-TDs,21-109-0,,,,,,
team,201711190rai,nwe,Cmp-Att-Yd-TD-INT,30-37-340-3-0,,,,,,
team,201711190rai,rai,Cmp-Att-Yd-TD-INT,28-49-237-1-1,,,,,,
team,201711190rai,nwe,Sacked-Yards,1-8,,,,,,
team,201711190rai,rai,Sacked-Yards,1-2,,,,,,
team,201711190rai,nwe,Net Pass Yards,332,,,,,,
team,201711190rai,rai,Net Pass Yards,235,,,,,,
team,201711190rai,nwe,Total Yards,421,,,,,,
team,201711190rai,rai,Total Yards,344,,,,,,
team,201711190rai,nwe,Fumbles-Lost,1-0,,,,,,
team,201711190rai,rai,Fumbles-Lost,1-1,,,,,,
team,201711190rai,nwe,Turnovers,0,,,,,,
team,201711190rai,rai,Turnovers,2,,,,,,
team,201711190rai,nwe,Penalties-Yards,2-10,,,,,,
team,201711190rai,rai,Penalties-Yards,8-66,,,,,,
team,201711190rai,nwe,Third Down Conv.,5-10,,,,,,
team,201711190rai,rai,Third Down Conv.,7-15,,,,,,
team,201711190rai,nwe,Fourth Down Conv.,0-0,,,,,,
team,201711190rai,rai,Fourth Down Conv.,2-4,,,,,,
team,201711190rai,nwe,Time of Possession,27:37,,,,,,
team,201711190rai,rai,Time of Possession,32:23,,,,,,
player,201711190rai,nwe,BradTo00,pass_cmp,30,,,,,
player,201711190rai,nwe,BradTo00,pass_att,37,,,,,
player,201711190rai,nwe,BradTo00,pass_yds,340,,,,,
player,201711190rai,nwe,BradTo00,pass_td,3,,,,,
player,201711190rai,nwe,BradTo00,pass_int,0,,,,,
player,201711190rai,nwe,BradTo00,pass_sacked,1,,,,,
player,201711190rai,nwe,BradTo00,pass_sacked_yds,8,,,,,
player,201711190rai,nwe,BradTo00,pass_long,64,,,,,
player,201711190rai,nwe,BradTo00,pass_rating,132.0,,,,,
player,201711190rai,nwe,BradTo00,rush_att,0,,,,,
player,201711190rai,nwe,BradTo00,rush_yds,0,,,,,
player,201711190rai,nwe,BradTo00,rush_td,0,,,,,
player,201711190rai,nwe,BradTo00,rush_long,0,,,,,
player,201711190rai,nwe,BradTo00,targets,0,,,,,
player,201711190rai,nwe,BradTo00,rec,0,,,,,
player,201711190rai,nwe,BradTo00,rec_yds,0,,,,,
player,201711190rai,nwe,BradTo00,rec_td,0,,,,,
player,201711190rai,nwe,BradTo00,rec_long,0,,,,,
player,201711190rai,nwe,BradTo00,fumbles,0,,,,,
player,201711190rai,nwe,BradTo00,fumbles_lost,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_cmp,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_att,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_yds,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_td,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_int,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_sacked,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_long,0,,,,,
player,201711190rai,nwe,LewiDi00,pass_rating,,,,,,
player,201711190rai,nwe,LewiDi00,rush_att,10,,,,,
player,201711190rai,nwe,LewiDi00,rush_yds,60,,,,,
player,201711190rai,nwe,LewiDi00,rush_td,0,,,,,
player,201711190rai,nwe,LewiDi00,rush_long,20,,,,,
