game,2017,10,20171112,201711120det,cle,"Cleveland Browns",24,det,"Detroit Lions",38
player,201711120det,cle,DevaSe00,pass_td,0,,,,,
player,201711120det,cle,DevaSe00,pass_int,0,,,,,
player,201711120det,cle,DevaSe00,pass_sacked,0,,,,,
player,201711120det,cle,DevaSe00,pass_sacked_yds,0,,,,,
player,201711120det,cle,DevaSe00,pass_long,0,,,,,
player,201711120det,cle,DevaSe00,pass_rating,,,,,,
player,201711120det,cle,DevaSe00,rush_att,0,,,,,
player,201711120det,cle,DevaSe00,rush_yds,0,,,,,
player,201711120det,cle,DevaSe00,rush_td,0,,,,,
player,201711120det,cle,DevaSe00,rush_long,0,,,,,
player,201711120det,cle,DevaSe00,targets,6,,,,,
player,201711120det,cle,DevaSe00,rec,4,,,,,
player,201711120det,cle,DevaSe00,rec_yds,70,,,,,
player,201711120det,cle,DevaSe00,rec_td,0,,,,,
player,201711120det,cle,DevaSe00,rec_long,35,,,,,
player,201711120det,cle,DevaSe00,fumbles,1,,,,,
player,201711120det,cle,DevaSe00,fumbles_lost,1,,,,,
player,201711120det,cle,CoatSa00,pass_cmp,0,,,,,
player,201711120det,cle,CoatSa00,pass_att,0,,,,,
player,201711120det,cle,CoatSa00,pass_yds,0,,,,,
player,201711120det,cle,CoatSa00,pass_td,0,,,,,
player,201711120det,cle,CoatSa00,pass_int,0,,,,,
player,201711120det,cle,CoatSa00,pass_sacked,0,,,,,
player,201711120det,cle,CoatSa00,pass_sacked_yds,0,,,,,
player,201711120det,cle,CoatSa00,pass_long,0,,,,,
player,201711120det,cle,CoatSa00,pass_rating,,,,,,
player,201711120det,cle,CoatSa00,rush_att,0,,,,,
player,201711120det,cle,CoatSa00,rush_yds,0,,,,,
player,201711120det,cle,CoatSa00,rush_td,0,,,,,
player,201711120det,cle,CoatSa00,rush_long,0,,,,,
player,201711120det,cle,CoatSa00,targets,2,,,,,
player,201711120det,cle,CoatSa00,rec,2,,,,,
player,201711120det,cle,CoatSa00,rec_yds,38,,,,,
player,201711120det,cle,CoatSa00,rec_td,0,,,,,
player,201711120det,cle,CoatSa00,rec_long,38,,,,,
player,201711120det,cle,CoatSa00,fumbles,0,,,,,
player,201711120det,cle,CoatSa00,fumbles_lost,0,,,,,
player,201711120det,cle,BritKe00,pass_cmp,0,,,,,
player,201711120det,cle,BritKe00,pass_att,0,,,,,
player,201711120det,cle,BritKe00,pass_yds,0,,,,,
player,201711120det,cle,BritKe00,pass_td,0,,,,,
player,201711120det,cle,BritKe00,pass_int,0,,,,,
player,201711120det,cle,BritKe00,pass_sacked,0,,,,,
player,201711120det,cle,BritKe00,pass_sacked_yds,0,,,,,
player,201711120det,cle,BritKe00,pass_long,0,,,,,
player,201711120det,cle,BritKe00,pass_rating,,,,,,
player,201711120det,cle,BritKe00,rush_att,0,,,,,
player,201711120det,cle,BritKe00,rush_yds,0,,,,,
player,201711120det,cle,BritKe00,rush_td,0,,,,,
player,201711120det,cle,BritKe00,rush_long,0,,,,,
player,201711120det,cle,BritKe00,targets,3,,,,,
player,201711120det,cle,BritKe00,rec,2,,,,,
player,201711120det,cle,BritKe00,rec_yds,38,,,,,
