game,2017,8,20171029,201710290sea,htx,"Houston Texans",38,sea,"Seattle Seahawks",41
player,201710290sea,htx,MillLa01,rec_yds,19,,,,,
player,201710290sea,htx,MillLa01,rec_td,1,,,,,
player,201710290sea,htx,MillLa01,rec_long,9,,,,,
player,201710290sea,htx,MillLa01,fumbles,0,,,,,
player,201710290sea,htx,MillLa01,fumbles_lost,0,,,,,
player,201710290sea,htx,BlueAl00,pass_cmp,0,,,,,
player,201710290sea,htx,BlueAl00,pass_att,0,,,,,
player,201710290sea,htx,BlueAl00,pass_yds,0,,,,,
player,201710290sea,htx,BlueAl00,pass_td,0,,,,,
player,201710290sea,htx,BlueAl00,pass_int,0,,,,,
player,201710290sea,htx,BlueAl00,pass_sacked,0,,,,,
player,201710290sea,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201710290sea,htx,BlueAl00,pass_long,0,,,,,
player,201710290sea,htx,BlueAl00,pass_rating,,,,,,
player,201710290sea,htx,BlueAl00,rush_att,5,,,,,
player,201710290sea,htx,BlueAl00,rush_yds,21,,,,,
player,201710290sea,htx,BlueAl00,rush_td,0,,,,,
player,201710290sea,htx,BlueAl00,rush_long,7,,,,,
player,201710290sea,htx,BlueAl00,targets,0,,,,,
player,201710290sea,htx,BlueAl00,rec,0,,,,,
player,201710290sea,htx,BlueAl00,rec_yds,0,,,,,
player,201710290sea,htx,BlueAl00,rec_td,0,,,,,
player,201710290sea,htx,BlueAl00,rec_long,0,,,,,
player,201710290sea,htx,BlueAl00,fumbles,0,,,,,
player,201710290sea,htx,BlueAl00,fumbles_lost,0,,,,,
player,201710290sea,htx,HopkDe00,pass_cmp,0,,,,,
player,201710290sea,htx,HopkDe00,pass_att,0,,,,,
player,201710290sea,htx,HopkDe00,pass_yds,0,,,,,
player,201710290sea,htx,HopkDe00,pass_td,0,,,,,
player,201710290sea,htx,HopkDe00,pass_int,0,,,,,
player,201710290sea,htx,HopkDe00,pass_sacked,0,,,,,
player,201710290sea,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201710290sea,htx,HopkDe00,pass_long,0,,,,,
player,201710290sea,htx,HopkDe00,pass_rating,,,,,,
player,201710290sea,htx,HopkDe00,rush_att,0,,,,,
player,201710290sea,htx,HopkDe00,rush_yds,0,,,,,
player,201710290sea,htx,HopkDe00,rush_td,0,,,,,
player,201710290sea,htx,HopkDe00,rush_long,0,,,,,
player,201710290sea,htx,HopkDe00,targets,11,,,,,
player,201710290sea,htx,HopkDe00,rec,8,,,,,
player,201710290sea,htx,HopkDe00,rec_yds,224,,,,,
player,201710290sea,htx,HopkDe00,rec_td,1,,,,,
player,201710290sea,htx,HopkDe00,rec_long,72,,,,,
player,201710290sea,htx,HopkDe00,fumbles,0,,,,,
player,201710290sea,htx,HopkDe00,fumbles_lost,0,,,,,
player,201710290sea,htx,FullWi01,pass_cmp,0,,,,,
player,201710290sea,htx,FullWi01,pass_att,0,,,,,
player,201710290sea,htx,FullWi01,pass_yds,0,,,,,
player,201710290sea,htx,FullWi01,pass_td,0,,,,,
player,201710290sea,htx,FullWi01,pass_int,0,,,,,
player,201710290sea,htx,FullWi01,pass_sacked,0,,,,,
player,201710290sea,htx,FullWi01,pass_sacked_yds,0,,,,,
player,201710290sea,htx,FullWi01,pass_long,0,,,,,
player,201710290sea,htx,FullWi01,pass_rating,,,,,,
player,201710290sea,htx,FullWi01,rush_att,0,,,,,
player,201710290sea,htx,FullWi01,rush_yds,0,,,,,
player,201710290sea,htx,FullWi01,rush_td,0,,,,,
player,201710290sea,htx,FullWi01,rush_long,0,,,,,
player,201710290sea,htx,FullWi01,targets,8,,,,,
player,201710290sea,htx,FullWi01,rec,5,,,,,
player,201710290sea,htx,FullWi01,rec_yds,125,,,,,
player,201710290sea,htx,FullWi01,rec_td,2,,,,,
player,201710290sea,htx,FullWi01,rec_long,59,,,,,
player,201710290sea,htx,FullWi01,fumbles,0,,,,,
player,201710290sea,htx,FullWi01,fumbles_lost,0,,,,,
player,201710290sea,htx,ElliBr00,pass_cmp,0,,,,,
player,201710290sea,htx,ElliBr00,pass_att,0,,,,,
player,201710290sea,htx,ElliBr00,pass_yds,0,,,,,
player,201710290sea,htx,ElliBr00,pass_td,0,,,,,
player,201710290sea,htx,ElliBr00,pass_int,0,,,,,
player,201710290sea,htx,ElliBr00,pass_sacked,0,,,,,
player,201710290sea,htx,ElliBr00,pass_sacked_yds,0,,,,,
player,201710290sea,htx,ElliBr00,pass_long,0,,,,,
player,201710290sea,htx,ElliBr00,pass_rating,,,,,,
player,201710290sea,htx,ElliBr00,rush_att,0,,,,,
player,201710290sea,htx,ElliBr00,rush_yds,0,,,,,
player,201710290sea,htx,ElliBr00,rush_td,0,,,,,
player,201710290sea,htx,ElliBr00,rush_long,0,,,,,
player,201710290sea,htx,ElliBr00,targets,4,,,,,
player,201710290sea,htx,ElliBr00,rec,1,,,,,
player,201710290sea,htx,ElliBr00,rec_yds,13,,,,,
player,201710290sea,htx,ElliBr00,rec_td,0,,,,,
player,201710290sea,htx,ElliBr00,rec_long,13,,,,,
player,201710290sea,htx,ElliBr00,fumbles,0,,,,,
player,201710290sea,htx,ElliBr00,fumbles_lost,0,,,,,
player,201710290sea,htx,AndeSt01,pass_cmp,0,,,,,
player,201710290sea,htx,AndeSt01,pass_att,0,,,,,
player,201710290sea,htx,AndeSt01,pass_yds,0,,,,,
player,201710290sea,htx,AndeSt01,pass_td,0,,,,,
player,201710290sea,htx,AndeSt01,pass_int,0,,,,,
player,201710290sea,htx,AndeSt01,pass_sacked,0,,,,,
player,201710290sea,htx,AndeSt01,pass_sacked_yds,0,,,,,
player,201710290sea,htx,AndeSt01,pass_long,0,,,,,
player,201710290sea,htx,AndeSt01,pass_rating,,,,,,
player,201710290sea,htx,AndeSt01,rush_att,0,,,,,
player,201710290sea,htx,AndeSt01,rush_yds,0,,,,,
player,201710290sea,htx,AndeSt01,rush_td,0,,,,,
player,201710290sea,htx,AndeSt01,rush_long,0,,,,,
player,201710290sea,htx,AndeSt01,targets,2,,,,,
player,201710290sea,htx,AndeSt01,rec,1,,,,,
player,201710290sea,htx,AndeSt01,rec_yds,11,,,,,
player,201710290sea,htx,AndeSt01,rec_td,0,,,,,
player,201710290sea,htx,AndeSt01,rec_long,11,,,,,
