game,2017,8,20171029,201710290sea,htx,"Houston Texans",38,sea,"Seattle Seahawks",41
player,201710290sea,htx,ClowJa00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,ClowJa00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,ClowJa00,fumbles_forced,1,,,,,
player,201710290sea,htx,KamaUf00,def_int,0,,,,,
player,201710290sea,htx,KamaUf00,def_int_yds,0,,,,,
player,201710290sea,htx,KamaUf00,def_int_td,0,,,,,
player,201710290sea,htx,KamaUf00,def_int_long,0,,,,,
player,201710290sea,htx,KamaUf00,pass_defended,0,,,,,
player,201710290sea,htx,KamaUf00,sacks,1.0,,,,,
player,201710290sea,htx,KamaUf00,tackles_combined,2,,,,,
player,201710290sea,htx,KamaUf00,tackles_solo,1,,,,,
player,201710290sea,htx,KamaUf00,tackles_assists,1,,,,,
player,201710290sea,htx,KamaUf00,tackles_loss,1,,,,,
player,201710290sea,htx,KamaUf00,qb_hits,1,,,,,
player,201710290sea,htx,KamaUf00,fumbles_rec,0,,,,,
player,201710290sea,htx,KamaUf00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,KamaUf00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,KamaUf00,fumbles_forced,0,,,,,
player,201710290sea,htx,ReadD.00,def_int,0,,,,,
player,201710290sea,htx,ReadD.00,def_int_yds,0,,,,,
player,201710290sea,htx,ReadD.00,def_int_td,0,,,,,
player,201710290sea,htx,ReadD.00,def_int_long,0,,,,,
player,201710290sea,htx,ReadD.00,pass_defended,0,,,,,
player,201710290sea,htx,ReadD.00,sacks,0.0,,,,,
player,201710290sea,htx,ReadD.00,tackles_combined,6,,,,,
player,201710290sea,htx,ReadD.00,tackles_solo,2,,,,,
player,201710290sea,htx,ReadD.00,tackles_assists,4,,,,,
player,201710290sea,htx,ReadD.00,tackles_loss,1,,,,,
player,201710290sea,htx,ReadD.00,qb_hits,2,,,,,
player,201710290sea,htx,ReadD.00,fumbles_rec,0,,,,,
player,201710290sea,htx,ReadD.00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,ReadD.00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,ReadD.00,fumbles_forced,0,,,,,
player,201710290sea,htx,HalxAn00,def_int,0,,,,,
player,201710290sea,htx,HalxAn00,def_int_yds,0,,,,,
player,201710290sea,htx,HalxAn00,def_int_td,0,,,,,
player,201710290sea,htx,HalxAn00,def_int_long,0,,,,,
player,201710290sea,htx,HalxAn00,pass_defended,0,,,,,
player,201710290sea,htx,HalxAn00,sacks,0.0,,,,,
player,201710290sea,htx,HalxAn00,tackles_combined,5,,,,,
player,201710290sea,htx,HalxAn00,tackles_solo,3,,,,,
player,201710290sea,htx,HalxAn00,tackles_assists,2,,,,,
player,201710290sea,htx,HalxAn00,tackles_loss,0,,,,,
player,201710290sea,htx,HalxAn00,qb_hits,0,,,,,
player,201710290sea,htx,HalxAn00,fumbles_rec,0,,,,,
player,201710290sea,htx,HalxAn00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,HalxAn00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,HalxAn00,fumbles_forced,0,,,,,
player,201710290sea,htx,JackKa99,def_int,0,,,,,
player,201710290sea,htx,JackKa99,def_int_yds,0,,,,,
player,201710290sea,htx,JackKa99,def_int_td,0,,,,,
player,201710290sea,htx,JackKa99,def_int_long,0,,,,,
player,201710290sea,htx,JackKa99,pass_defended,0,,,,,
player,201710290sea,htx,JackKa99,sacks,0.0,,,,,
player,201710290sea,htx,JackKa99,tackles_combined,5,,,,,
player,201710290sea,htx,JackKa99,tackles_solo,4,,,,,
player,201710290sea,htx,JackKa99,tackles_assists,1,,,,,
player,201710290sea,htx,JackKa99,tackles_loss,1,,,,,
player,201710290sea,htx,JackKa99,qb_hits,0,,,,,
player,201710290sea,htx,JackKa99,fumbles_rec,0,,,,,
player,201710290sea,htx,JackKa99,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,JackKa99,fumbles_rec_td,0,,,,,
player,201710290sea,htx,JackKa99,fumbles_forced,0,,,,,
player,201710290sea,htx,JohnKe04,def_int,0,,,,,
player,201710290sea,htx,JohnKe04,def_int_yds,0,,,,,
player,201710290sea,htx,JohnKe04,def_int_td,0,,,,,
player,201710290sea,htx,JohnKe04,def_int_long,0,,,,,
player,201710290sea,htx,JohnKe04,pass_defended,1,,,,,
player,201710290sea,htx,JohnKe04,sacks,0.0,,,,,
player,201710290sea,htx,JohnKe04,tackles_combined,5,,,,,
player,201710290sea,htx,JohnKe04,tackles_solo,3,,,,,
player,201710290sea,htx,JohnKe04,tackles_assists,2,,,,,
player,201710290sea,htx,JohnKe04,tackles_loss,0,,,,,
player,201710290sea,htx,JohnKe04,qb_hits,0,,,,,
player,201710290sea,htx,JohnKe04,fumbles_rec,0,,,,,
player,201710290sea,htx,JohnKe04,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,JohnKe04,fumbles_rec_td,0,,,,,
player,201710290sea,htx,JohnKe04,fumbles_forced,0,,,,,
player,201710290sea,htx,McKiBe00,def_int,0,,,,,
player,201710290sea,htx,McKiBe00,def_int_yds,0,,,,,
player,201710290sea,htx,McKiBe00,def_int_td,0,,,,,
player,201710290sea,htx,McKiBe00,def_int_long,0,,,,,
player,201710290sea,htx,McKiBe00,pass_defended,0,,,,,
player,201710290sea,htx,McKiBe00,sacks,0.0,,,,,
player,201710290sea,htx,McKiBe00,tackles_combined,5,,,,,
player,201710290sea,htx,McKiBe00,tackles_solo,3,,,,,
player,201710290sea,htx,McKiBe00,tackles_assists,2,,,,,
player,201710290sea,htx,McKiBe00,tackles_loss,0,,,,,
player,201710290sea,htx,McKiBe00,qb_hits,0,,,,,
player,201710290sea,htx,McKiBe00,fumbles_rec,0,,,,,
player,201710290sea,htx,McKiBe00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,McKiBe00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,McKiBe00,fumbles_forced,0,,,,,
player,201710290sea,htx,JoseJo20,def_int,0,,,,,
player,201710290sea,htx,JoseJo20,def_int_yds,0,,,,,
player,201710290sea,htx,JoseJo20,def_int_td,0,,,,,
player,201710290sea,htx,JoseJo20,def_int_long,0,,,,,
player,201710290sea,htx,JoseJo20,pass_defended,0,,,,,
player,201710290sea,htx,JoseJo20,sacks,0.0,,,,,
player,201710290sea,htx,JoseJo20,tackles_combined,4,,,,,
player,201710290sea,htx,JoseJo20,tackles_solo,3,,,,,
player,201710290sea,htx,JoseJo20,tackles_assists,1,,,,,
player,201710290sea,htx,JoseJo20,tackles_loss,0,,,,,
player,201710290sea,htx,JoseJo20,qb_hits,0,,,,,
player,201710290sea,htx,JoseJo20,fumbles_rec,0,,,,,
player,201710290sea,htx,JoseJo20,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,JoseJo20,fumbles_rec_td,0,,,,,
player,201710290sea,htx,JoseJo20,fumbles_forced,0,,,,,
player,201710290sea,htx,GilcMa00,def_int,0,,,,,
player,201710290sea,htx,GilcMa00,def_int_yds,0,,,,,
player,201710290sea,htx,GilcMa00,def_int_td,0,,,,,
player,201710290sea,htx,GilcMa00,def_int_long,0,,,,,
player,201710290sea,htx,GilcMa00,pass_defended,1,,,,,
player,201710290sea,htx,GilcMa00,sacks,0.0,,,,,
player,201710290sea,htx,GilcMa00,tackles_combined,3,,,,,
player,201710290sea,htx,GilcMa00,tackles_solo,3,,,,,
player,201710290sea,htx,GilcMa00,tackles_assists,0,,,,,
player,201710290sea,htx,GilcMa00,tackles_loss,0,,,,,
player,201710290sea,htx,GilcMa00,qb_hits,0,,,,,
player,201710290sea,htx,GilcMa00,fumbles_rec,0,,,,,
player,201710290sea,htx,GilcMa00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,GilcMa00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,GilcMa00,fumbles_forced,0,,,,,
player,201710290sea,htx,HousLa99,def_int,0,,,,,
player,201710290sea,htx,HousLa99,def_int_yds,0,,,,,
player,201710290sea,htx,HousLa99,def_int_td,0,,,,,
player,201710290sea,htx,HousLa99,def_int_long,0,,,,,
player,201710290sea,htx,HousLa99,pass_defended,0,,,,,
player,201710290sea,htx,HousLa99,sacks,0.0,,,,,
player,201710290sea,htx,HousLa99,tackles_combined,3,,,,,
player,201710290sea,htx,HousLa99,tackles_solo,2,,,,,
player,201710290sea,htx,HousLa99,tackles_assists,1,,,,,
player,201710290sea,htx,HousLa99,tackles_loss,2,,,,,
player,201710290sea,htx,HousLa99,qb_hits,1,,,,,
player,201710290sea,htx,HousLa99,fumbles_rec,0,,,,,
player,201710290sea,htx,HousLa99,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,HousLa99,fumbles_rec_td,0,,,,,
player,201710290sea,htx,HousLa99,fumbles_forced,0,,,,,
player,201710290sea,htx,MoorCo00,def_int,0,,,,,
player,201710290sea,htx,MoorCo00,def_int_yds,0,,,,,
player,201710290sea,htx,MoorCo00,def_int_td,0,,,,,
player,201710290sea,htx,MoorCo00,def_int_long,0,,,,,
player,201710290sea,htx,MoorCo00,pass_defended,0,,,,,
player,201710290sea,htx,MoorCo00,sacks,0.0,,,,,
player,201710290sea,htx,MoorCo00,tackles_combined,2,,,,,
player,201710290sea,htx,MoorCo00,tackles_solo,2,,,,,
player,201710290sea,htx,MoorCo00,tackles_assists,0,,,,,
player,201710290sea,htx,MoorCo00,tackles_loss,0,,,,,
player,201710290sea,htx,MoorCo00,qb_hits,0,,,,,
player,201710290sea,htx,MoorCo00,fumbles_rec,0,,,,,
player,201710290sea,htx,MoorCo00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,MoorCo00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,MoorCo00,fumbles_forced,0,,,,,
player,201710290sea,htx,PleaEd00,def_int,0,,,,,
player,201710290sea,htx,PleaEd00,def_int_yds,0,,,,,
player,201710290sea,htx,PleaEd00,def_int_td,0,,,,,
player,201710290sea,htx,PleaEd00,def_int_long,0,,,,,
player,201710290sea,htx,PleaEd00,pass_defended,0,,,,,
player,201710290sea,htx,PleaEd00,sacks,0.0,,,,,
player,201710290sea,htx,PleaEd00,tackles_combined,2,,,,,
player,201710290sea,htx,PleaEd00,tackles_solo,2,,,,,
player,201710290sea,htx,PleaEd00,tackles_assists,0,,,,,
player,201710290sea,htx,PleaEd00,tackles_loss,0,,,,,
player,201710290sea,htx,PleaEd00,qb_hits,0,,,,,
player,201710290sea,htx,PleaEd00,fumbles_rec,0,,,,,
player,201710290sea,htx,PleaEd00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,PleaEd00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,PleaEd00,fumbles_forced,0,,,,,
player,201710290sea,htx,TodmJo00,def_int,0,,,,,
player,201710290sea,htx,TodmJo00,def_int_yds,0,,,,,
player,201710290sea,htx,TodmJo00,def_int_td,0,,,,,
player,201710290sea,htx,TodmJo00,def_int_long,0,,,,,
player,201710290sea,htx,TodmJo00,pass_defended,0,,,,,
player,201710290sea,htx,TodmJo00,sacks,0.0,,,,,
player,201710290sea,htx,TodmJo00,tackles_combined,2,,,,,
player,201710290sea,htx,TodmJo00,tackles_solo,2,,,,,
player,201710290sea,htx,TodmJo00,tackles_assists,0,,,,,
player,201710290sea,htx,TodmJo00,tackles_loss,0,,,,,
player,201710290sea,htx,TodmJo00,qb_hits,0,,,,,
player,201710290sea,htx,TodmJo00,fumbles_rec,0,,,,,
player,201710290sea,htx,TodmJo00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,TodmJo00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,TodmJo00,fumbles_forced,0,,,,,
player,201710290sea,htx,CoviCh00,def_int,0,,,,,
player,201710290sea,htx,CoviCh00,def_int_yds,0,,,,,
player,201710290sea,htx,CoviCh00,def_int_td,0,,,,,
player,201710290sea,htx,CoviCh00,def_int_long,0,,,,,
player,201710290sea,htx,CoviCh00,pass_defended,0,,,,,
player,201710290sea,htx,CoviCh00,sacks,0.0,,,,,
player,201710290sea,htx,CoviCh00,tackles_combined,1,,,,,
player,201710290sea,htx,CoviCh00,tackles_solo,1,,,,,
player,201710290sea,htx,CoviCh00,tackles_assists,0,,,,,
player,201710290sea,htx,CoviCh00,tackles_loss,0,,,,,
player,201710290sea,htx,CoviCh00,qb_hits,1,,,,,
player,201710290sea,htx,CoviCh00,fumbles_rec,0,,,,,
player,201710290sea,htx,CoviCh00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,CoviCh00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,CoviCh00,fumbles_forced,0,,,,,
player,201710290sea,htx,CunnZa00,def_int,0,,,,,
player,201710290sea,htx,CunnZa00,def_int_yds,0,,,,,
player,201710290sea,htx,CunnZa00,def_int_td,0,,,,,
player,201710290sea,htx,CunnZa00,def_int_long,0,,,,,
player,201710290sea,htx,CunnZa00,pass_defended,0,,,,,
player,201710290sea,htx,CunnZa00,sacks,0.0,,,,,
player,201710290sea,htx,CunnZa00,tackles_combined,1,,,,,
player,201710290sea,htx,CunnZa00,tackles_solo,0,,,,,
player,201710290sea,htx,CunnZa00,tackles_assists,1,,,,,
player,201710290sea,htx,CunnZa00,tackles_loss,0,,,,,
player,201710290sea,htx,CunnZa00,qb_hits,0,,,,,
player,201710290sea,htx,CunnZa00,fumbles_rec,0,,,,,
player,201710290sea,htx,CunnZa00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,CunnZa00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,CunnZa00,fumbles_forced,0,,,,,
player,201710290sea,htx,DrumKu01,def_int,0,,,,,
player,201710290sea,htx,DrumKu01,def_int_yds,0,,,,,
player,201710290sea,htx,DrumKu01,def_int_td,0,,,,,
player,201710290sea,htx,DrumKu01,def_int_long,0,,,,,
player,201710290sea,htx,DrumKu01,pass_defended,0,,,,,
player,201710290sea,htx,DrumKu01,sacks,0.0,,,,,
player,201710290sea,htx,DrumKu01,tackles_combined,1,,,,,
player,201710290sea,htx,DrumKu01,tackles_solo,0,,,,,
player,201710290sea,htx,DrumKu01,tackles_assists,1,,,,,
player,201710290sea,htx,DrumKu01,tackles_loss,0,,,,,
player,201710290sea,htx,DrumKu01,qb_hits,0,,,,,
player,201710290sea,htx,DrumKu01,fumbles_rec,0,,,,,
player,201710290sea,htx,DrumKu01,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,DrumKu01,fumbles_rec_td,0,,,,,
player,201710290sea,htx,DrumKu01,fumbles_forced,0,,,,,
player,201710290sea,htx,HeenBe00,def_int,0,,,,,
player,201710290sea,htx,HeenBe00,def_int_yds,0,,,,,
player,201710290sea,htx,HeenBe00,def_int_td,0,,,,,
player,201710290sea,htx,HeenBe00,def_int_long,0,,,,,
player,201710290sea,htx,HeenBe00,pass_defended,0,,,,,
player,201710290sea,htx,HeenBe00,sacks,0.0,,,,,
player,201710290sea,htx,HeenBe00,tackles_combined,1,,,,,
player,201710290sea,htx,HeenBe00,tackles_solo,0,,,,,
player,201710290sea,htx,HeenBe00,tackles_assists,1,,,,,
player,201710290sea,htx,HeenBe00,tackles_loss,0,,,,,
player,201710290sea,htx,HeenBe00,qb_hits,0,,,,,
player,201710290sea,htx,HeenBe00,fumbles_rec,0,,,,,
player,201710290sea,htx,HeenBe00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,HeenBe00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,HeenBe00,fumbles_forced,0,,,,,
player,201710290sea,htx,ScarBr00,def_int,0,,,,,
player,201710290sea,htx,ScarBr00,def_int_yds,0,,,,,
player,201710290sea,htx,ScarBr00,def_int_td,0,,,,,
player,201710290sea,htx,ScarBr00,def_int_long,0,,,,,
player,201710290sea,htx,ScarBr00,pass_defended,1,,,,,
player,201710290sea,htx,ScarBr00,sacks,0.0,,,,,
player,201710290sea,htx,ScarBr00,tackles_combined,1,,,,,
player,201710290sea,htx,ScarBr00,tackles_solo,0,,,,,
player,201710290sea,htx,ScarBr00,tackles_assists,1,,,,,
player,201710290sea,htx,ScarBr00,tackles_loss,0,,,,,
player,201710290sea,htx,ScarBr00,qb_hits,0,,,,,
player,201710290sea,htx,ScarBr00,fumbles_rec,0,,,,,
player,201710290sea,htx,ScarBr00,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,ScarBr00,fumbles_rec_td,0,,,,,
player,201710290sea,htx,ScarBr00,fumbles_forced,0,,,,,
player,201710290sea,htx,ThomCh05,def_int,0,,,,,
player,201710290sea,htx,ThomCh05,def_int_yds,0,,,,,
player,201710290sea,htx,ThomCh05,def_int_td,0,,,,,
player,201710290sea,htx,ThomCh05,def_int_long,0,,,,,
player,201710290sea,htx,ThomCh05,pass_defended,0,,,,,
player,201710290sea,htx,ThomCh05,sacks,0.0,,,,,
player,201710290sea,htx,ThomCh05,tackles_combined,0,,,,,
player,201710290sea,htx,ThomCh05,tackles_solo,0,,,,,
player,201710290sea,htx,ThomCh05,tackles_assists,0,,,,,
player,201710290sea,htx,ThomCh05,tackles_loss,0,,,,,
player,201710290sea,htx,ThomCh05,qb_hits,0,,,,,
player,201710290sea,htx,ThomCh05,fumbles_rec,1,,,,,
player,201710290sea,htx,ThomCh05,fumbles_rec_yds,0,,,,,
player,201710290sea,htx,ThomCh05,fumbles_rec_td,0,,,,,
player,201710290sea,htx,ThomCh05,fumbles_forced,0,,,,,
player,201710290sea,sea,SherRi00,def_int,2,,,,,
player,201710290sea,sea,SherRi00,def_int_yds,20,,,,,
player,201710290sea,sea,SherRi00,def_int_td,0,,,,,
player,201710290sea,sea,SherRi00,def_int_long,19,,,,,
player,201710290sea,sea,SherRi00,pass_defended,2,,,,,
player,201710290sea,sea,SherRi00,sacks,0.0,,,,,
player,201710290sea,sea,SherRi00,tackles_combined,4,,,,,
player,201710290sea,sea,SherRi00,tackles_solo,1,,,,,
player,201710290sea,sea,SherRi00,tackles_assists,3,,,,,
player,201710290sea,sea,SherRi00,tackles_loss,0,,,,,
player,201710290sea,sea,SherRi00,qb_hits,0,,,,,
player,201710290sea,sea,SherRi00,fumbles_rec,0,,,,,
player,201710290sea,sea,SherRi00,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,SherRi00,fumbles_rec_td,0,,,,,
player,201710290sea,sea,SherRi00,fumbles_forced,0,,,,,
player,201710290sea,sea,ThomEa99,def_int,1,,,,,
player,201710290sea,sea,ThomEa99,def_int_yds,78,,,,,
player,201710290sea,sea,ThomEa99,def_int_td,1,,,,,
player,201710290sea,sea,ThomEa99,def_int_long,78,,,,,
player,201710290sea,sea,ThomEa99,pass_defended,1,,,,,
player,201710290sea,sea,ThomEa99,sacks,0.0,,,,,
player,201710290sea,sea,ThomEa99,tackles_combined,5,,,,,
player,201710290sea,sea,ThomEa99,tackles_solo,3,,,,,
player,201710290sea,sea,ThomEa99,tackles_assists,2,,,,,
player,201710290sea,sea,ThomEa99,tackles_loss,0,,,,,
player,201710290sea,sea,ThomEa99,qb_hits,0,,,,,
player,201710290sea,sea,ThomEa99,fumbles_rec,0,,,,,
player,201710290sea,sea,ThomEa99,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,ThomEa99,fumbles_rec_td,0,,,,,
player,201710290sea,sea,ThomEa99,fumbles_forced,0,,,,,
player,201710290sea,sea,ClarFr01,def_int,0,,,,,
player,201710290sea,sea,ClarFr01,def_int_yds,0,,,,,
player,201710290sea,sea,ClarFr01,def_int_td,0,,,,,
player,201710290sea,sea,ClarFr01,def_int_long,0,,,,,
player,201710290sea,sea,ClarFr01,pass_defended,0,,,,,
player,201710290sea,sea,ClarFr01,sacks,2.0,,,,,
player,201710290sea,sea,ClarFr01,tackles_combined,4,,,,,
player,201710290sea,sea,ClarFr01,tackles_solo,3,,,,,
player,201710290sea,sea,ClarFr01,tackles_assists,1,,,,,
player,201710290sea,sea,ClarFr01,tackles_loss,2,,,,,
player,201710290sea,sea,ClarFr01,qb_hits,2,,,,,
player,201710290sea,sea,ClarFr01,fumbles_rec,0,,,,,
player,201710290sea,sea,ClarFr01,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,ClarFr01,fumbles_rec_td,0,,,,,
player,201710290sea,sea,ClarFr01,fumbles_forced,0,,,,,
player,201710290sea,sea,BennMi99,def_int,0,,,,,
player,201710290sea,sea,BennMi99,def_int_yds,0,,,,,
player,201710290sea,sea,BennMi99,def_int_td,0,,,,,
player,201710290sea,sea,BennMi99,def_int_long,0,,,,,
player,201710290sea,sea,BennMi99,pass_defended,0,,,,,
player,201710290sea,sea,BennMi99,sacks,1.5,,,,,
player,201710290sea,sea,BennMi99,tackles_combined,6,,,,,
player,201710290sea,sea,BennMi99,tackles_solo,4,,,,,
player,201710290sea,sea,BennMi99,tackles_assists,2,,,,,
player,201710290sea,sea,BennMi99,tackles_loss,2,,,,,
player,201710290sea,sea,BennMi99,qb_hits,2,,,,,
player,201710290sea,sea,BennMi99,fumbles_rec,0,,,,,
player,201710290sea,sea,BennMi99,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,BennMi99,fumbles_rec_td,0,,,,,
player,201710290sea,sea,BennMi99,fumbles_forced,0,,,,,
player,201710290sea,sea,FreeDw00,def_int,0,,,,,
player,201710290sea,sea,FreeDw00,def_int_yds,0,,,,,
player,201710290sea,sea,FreeDw00,def_int_td,0,,,,,
player,201710290sea,sea,FreeDw00,def_int_long,0,,,,,
player,201710290sea,sea,FreeDw00,pass_defended,0,,,,,
player,201710290sea,sea,FreeDw00,sacks,1.0,,,,,
player,201710290sea,sea,FreeDw00,tackles_combined,1,,,,,
player,201710290sea,sea,FreeDw00,tackles_solo,1,,,,,
player,201710290sea,sea,FreeDw00,tackles_assists,0,,,,,
player,201710290sea,sea,FreeDw00,tackles_loss,1,,,,,
player,201710290sea,sea,FreeDw00,qb_hits,1,,,,,
player,201710290sea,sea,FreeDw00,fumbles_rec,0,,,,,
player,201710290sea,sea,FreeDw00,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,FreeDw00,fumbles_rec_td,0,,,,,
player,201710290sea,sea,FreeDw00,fumbles_forced,0,,,,,
player,201710290sea,sea,ColeJu01,def_int,0,,,,,
player,201710290sea,sea,ColeJu01,def_int_yds,0,,,,,
player,201710290sea,sea,ColeJu01,def_int_td,0,,,,,
player,201710290sea,sea,ColeJu01,def_int_long,0,,,,,
player,201710290sea,sea,ColeJu01,pass_defended,0,,,,,
player,201710290sea,sea,ColeJu01,sacks,0.5,,,,,
player,201710290sea,sea,ColeJu01,tackles_combined,1,,,,,
player,201710290sea,sea,ColeJu01,tackles_solo,0,,,,,
player,201710290sea,sea,ColeJu01,tackles_assists,1,,,,,
player,201710290sea,sea,ColeJu01,tackles_loss,0,,,,,
player,201710290sea,sea,ColeJu01,qb_hits,1,,,,,
player,201710290sea,sea,ColeJu01,fumbles_rec,0,,,,,
player,201710290sea,sea,ColeJu01,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,ColeJu01,fumbles_rec_td,0,,,,,
player,201710290sea,sea,ColeJu01,fumbles_forced,0,,,,,
player,201710290sea,sea,WrigK.00,def_int,0,,,,,
player,201710290sea,sea,WrigK.00,def_int_yds,0,,,,,
player,201710290sea,sea,WrigK.00,def_int_td,0,,,,,
player,201710290sea,sea,WrigK.00,def_int_long,0,,,,,
player,201710290sea,sea,WrigK.00,pass_defended,0,,,,,
player,201710290sea,sea,WrigK.00,sacks,0.0,,,,,
player,201710290sea,sea,WrigK.00,tackles_combined,15,,,,,
player,201710290sea,sea,WrigK.00,tackles_solo,9,,,,,
player,201710290sea,sea,WrigK.00,tackles_assists,6,,,,,
player,201710290sea,sea,WrigK.00,tackles_loss,1,,,,,
player,201710290sea,sea,WrigK.00,qb_hits,0,,,,,
player,201710290sea,sea,WrigK.00,fumbles_rec,0,,,,,
player,201710290sea,sea,WrigK.00,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,WrigK.00,fumbles_rec_td,0,,,,,
player,201710290sea,sea,WrigK.00,fumbles_forced,0,,,,,
player,201710290sea,sea,WagnBo00,def_int,0,,,,,
player,201710290sea,sea,WagnBo00,def_int_yds,0,,,,,
player,201710290sea,sea,WagnBo00,def_int_td,0,,,,,
player,201710290sea,sea,WagnBo00,def_int_long,0,,,,,
player,201710290sea,sea,WagnBo00,pass_defended,0,,,,,
player,201710290sea,sea,WagnBo00,sacks,0.0,,,,,
player,201710290sea,sea,WagnBo00,tackles_combined,11,,,,,
player,201710290sea,sea,WagnBo00,tackles_solo,8,,,,,
player,201710290sea,sea,WagnBo00,tackles_assists,3,,,,,
player,201710290sea,sea,WagnBo00,tackles_loss,0,,,,,
player,201710290sea,sea,WagnBo00,qb_hits,0,,,,,
player,201710290sea,sea,WagnBo00,fumbles_rec,0,,,,,
player,201710290sea,sea,WagnBo00,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,WagnBo00,fumbles_rec_td,0,,,,,
player,201710290sea,sea,WagnBo00,fumbles_forced,0,,,,,
player,201710290sea,sea,ReedJa02,def_int,0,,,,,
player,201710290sea,sea,ReedJa02,def_int_yds,0,,,,,
player,201710290sea,sea,ReedJa02,def_int_td,0,,,,,
player,201710290sea,sea,ReedJa02,def_int_long,0,,,,,
player,201710290sea,sea,ReedJa02,pass_defended,0,,,,,
player,201710290sea,sea,ReedJa02,sacks,0.0,,,,,
player,201710290sea,sea,ReedJa02,tackles_combined,5,,,,,
player,201710290sea,sea,ReedJa02,tackles_solo,3,,,,,
player,201710290sea,sea,ReedJa02,tackles_assists,2,,,,,
player,201710290sea,sea,ReedJa02,tackles_loss,0,,,,,
player,201710290sea,sea,ReedJa02,qb_hits,1,,,,,
player,201710290sea,sea,ReedJa02,fumbles_rec,0,,,,,
player,201710290sea,sea,ReedJa02,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,ReedJa02,fumbles_rec_td,0,,,,,
player,201710290sea,sea,ReedJa02,fumbles_forced,0,,,,,
player,201710290sea,sea,ChanKa99,def_int,0,,,,,
player,201710290sea,sea,ChanKa99,def_int_yds,0,,,,,
player,201710290sea,sea,ChanKa99,def_int_td,0,,,,,
player,201710290sea,sea,ChanKa99,def_int_long,0,,,,,
player,201710290sea,sea,ChanKa99,pass_defended,0,,,,,
player,201710290sea,sea,ChanKa99,sacks,0.0,,,,,
player,201710290sea,sea,ChanKa99,tackles_combined,4,,,,,
player,201710290sea,sea,ChanKa99,tackles_solo,3,,,,,
player,201710290sea,sea,ChanKa99,tackles_assists,1,,,,,
player,201710290sea,sea,ChanKa99,tackles_loss,0,,,,,
player,201710290sea,sea,ChanKa99,qb_hits,0,,,,,
player,201710290sea,sea,ChanKa99,fumbles_rec,0,,,,,
player,201710290sea,sea,ChanKa99,fumbles_rec_yds,0,,,,,
player,201710290sea,sea,ChanKa99,fumbles_rec_td,0,,,,,
player,201710290sea,sea,ChanKa99,fumbles_forced,0,,,,,
player,201710290sea,sea,GrifSh00,def_int,0,,,,,
player,201710290sea,sea,GrifSh00,def_int_yds,0,,,,,
player,201710290sea,sea,GrifSh00,def_int_td,0,,,,,
player,201710290sea,sea,GrifSh00,def_int_long,0,,,,,
player,201710290sea,sea,GrifSh00,pass_defended,2,,,,,
player,201710290sea,sea,GrifSh00,sacks,0.0,,,,,
player,201710290sea,sea,GrifSh00,tackles_combined,3,,,,,
player,201710290sea,sea,GrifSh00,tackles_solo,3,,,,,
player,201710290sea,sea,GrifSh00,tackles_assists,0,,,,,
player,201710290sea,sea,GrifSh00,tackles_loss,0,,,,,
player,201710290sea,sea,GrifSh00,qb_hits,0,,,,,
player,201710290sea,sea,GrifSh00,fumbles_rec,0,,,,,
player,201710290sea,sea,GrifSh00,fumbles_rec_yds,0,,,,,
