game,2017,13,20171203,201712030chi,sfo,"San Francisco 49ers",15,chi,"Chicago Bears",14
team,201712030chi,sfo,First Downs,23,,,,,,
team,201712030chi,chi,First Downs,8,,,,,,
team,201712030chi,sfo,Rush-Yds-TDs,34-110-0,,,,,,
team,201712030chi,chi,Rush-Yds-TDs,19-62-0,,,,,,
team,201712030chi,sfo,Cmp-Att-Yd-TD-INT,26-37-293-0-1,,,,,,
team,201712030chi,chi,Cmp-Att-Yd-TD-INT,12-15-102-1-0,,,,,,
team,201712030chi,sfo,Sacked-Yards,2-15,,,,,,
team,201712030chi,chi,Sacked-Yards,2-17,,,,,,
team,201712030chi,sfo,Net Pass Yards,278,,,,,,
team,201712030chi,chi,Net Pass Yards,85,,,,,,
team,201712030chi,sfo,Total Yards,388,,,,,,
team,201712030chi,chi,Total Yards,147,,,,,,
team,201712030chi,sfo,Fumbles-Lost,1-0,,,,,,
team,201712030chi,chi,Fumbles-Lost,2-0,,,,,,
team,201712030chi,sfo,Turnovers,1,,,,,,
team,201712030chi,chi,Turnovers,0,,,,,,
team,201712030chi,sfo,Penalties-Yards,8-53,,,,,,
team,201712030chi,chi,Penalties-Yards,4-29,,,,,,
team,201712030chi,sfo,Third Down Conv.,10-18,,,,,,
team,201712030chi,chi,Third Down Conv.,5-10,,,,,,
team,201712030chi,sfo,Fourth Down Conv.,0-0,,,,,,
team,201712030chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201712030chi,sfo,Time of Possession,38:47,,,,,,
team,201712030chi,chi,Time of Possession,21:13,,,,,,
player,201712030chi,sfo,GaroJi00,pass_cmp,26,,,,,
player,201712030chi,sfo,GaroJi00,pass_att,37,,,,,
player,201712030chi,sfo,GaroJi00,pass_yds,293,,,,,
player,201712030chi,sfo,GaroJi00,pass_td,0,,,,,
player,201712030chi,sfo,GaroJi00,pass_int,1,,,,,
player,201712030chi,sfo,GaroJi00,pass_sacked,2,,,,,
player,201712030chi,sfo,GaroJi00,pass_sacked_yds,15,,,,,
player,201712030chi,sfo,GaroJi00,pass_long,33,,,,,
player,201712030chi,sfo,GaroJi00,pass_rating,82.4,,,,,
player,201712030chi,sfo,GaroJi00,rush_att,4,,,,,
