game,2017,5,20171008,201710080mia,oti,"Tennessee Titans",10,mia,"Miami Dolphins",16
team,201710080mia,oti,First Downs,14,,,,,,
team,201710080mia,mia,First Downs,12,,,,,,
team,201710080mia,oti,Rush-Yds-TDs,20-69-0,,,,,,
team,201710080mia,mia,Rush-Yds-TDs,31-100-0,,,,,,
team,201710080mia,oti,Cmp-Att-Yd-TD-INT,21-32-141-1-0,,,,,,
team,201710080mia,mia,Cmp-Att-Yd-TD-INT,12-27-92-1-1,,,,,,
team,201710080mia,oti,Sacked-Yards,6-22,,,,,,
team,201710080mia,mia,Sacked-Yards,1-14,,,,,,
team,201710080mia,oti,Net Pass Yards,119,,,,,,
team,201710080mia,mia,Net Pass Yards,78,,,,,,
team,201710080mia,oti,Total Yards,188,,,,,,
team,201710080mia,mia,Total Yards,178,,,,,,
team,201710080mia,oti,Fumbles-Lost,2-2,,,,,,
team,201710080mia,mia,Fumbles-Lost,1-1,,,,,,
team,201710080mia,oti,Turnovers,2,,,,,,
team,201710080mia,mia,Turnovers,2,,,,,,
team,201710080mia,oti,Penalties-Yards,11-77,,,,,,
team,201710080mia,mia,Penalties-Yards,5-23,,,,,,
team,201710080mia,oti,Third Down Conv.,2-13,,,,,,
team,201710080mia,mia,Third Down Conv.,5-15,,,,,,
team,201710080mia,oti,Fourth Down Conv.,0-0,,,,,,
team,201710080mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201710080mia,oti,Time of Possession,30:15,,,,,,
team,201710080mia,mia,Time of Possession,29:45,,,,,,
player,201710080mia,oti,CassMa00,pass_cmp,21,,,,,
player,201710080mia,oti,CassMa00,pass_att,32,,,,,
player,201710080mia,oti,CassMa00,pass_yds,141,,,,,
player,201710080mia,oti,CassMa00,pass_td,1,,,,,
player,201710080mia,oti,CassMa00,pass_int,0,,,,,
player,201710080mia,oti,CassMa00,pass_sacked,6,,,,,
player,201710080mia,oti,CassMa00,pass_sacked_yds,22,,,,,
player,201710080mia,oti,CassMa00,pass_long,17,,,,,
player,201710080mia,oti,CassMa00,pass_rating,85.5,,,,,
player,201710080mia,oti,CassMa00,rush_att,0,,,,,
player,201710080mia,oti,CassMa00,rush_yds,0,,,,,
player,201710080mia,oti,CassMa00,rush_td,0,,,,,
player,201710080mia,oti,CassMa00,rush_long,0,,,,,
