game,2017,1,20170907,201709070nwe,kan,"Kansas City Chiefs",42,nwe,"New England Patriots",27
team,201709070nwe,kan,First Downs,26,,,,,,
team,201709070nwe,nwe,First Downs,25,,,,,,
team,201709070nwe,kan,Rush-Yds-TDs,27-185-2,,,,,,
team,201709070nwe,nwe,Rush-Yds-TDs,35-124-3,,,,,,
team,201709070nwe,kan,Cmp-Att-Yd-TD-INT,28-35-368-4-0,,,,,,
team,201709070nwe,nwe,Cmp-Att-Yd-TD-INT,16-36-267-0-0,,,,,,
team,201709070nwe,kan,Sacked-Yards,3-16,,,,,,
team,201709070nwe,nwe,Sacked-Yards,3-20,,,,,,
team,201709070nwe,kan,Net Pass Yards,352,,,,,,
team,201709070nwe,nwe,Net Pass Yards,247,,,,,,
team,201709070nwe,kan,Total Yards,537,,,,,,
team,201709070nwe,nwe,Total Yards,371,,,,,,
team,201709070nwe,kan,Fumbles-Lost,2-1,,,,,,
team,201709070nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201709070nwe,kan,Turnovers,1,,,,,,
team,201709070nwe,nwe,Turnovers,0,,,,,,
team,201709070nwe,kan,Penalties-Yards,15-139,,,,,,
team,201709070nwe,nwe,Penalties-Yards,6-55,,,,,,
team,201709070nwe,kan,Third Down Conv.,4-11,,,,,,
team,201709070nwe,nwe,Third Down Conv.,5-15,,,,,,
team,201709070nwe,kan,Fourth Down Conv.,0-0,,,,,,
team,201709070nwe,nwe,Fourth Down Conv.,0-2,,,,,,
team,201709070nwe,kan,Time of Possession,30:14,,,,,,
team,201709070nwe,nwe,Time of Possession,29:46,,,,,,
player,201709070nwe,kan,SmitAl03,pass_cmp,28,,,,,
player,201709070nwe,kan,SmitAl03,pass_att,35,,,,,
player,201709070nwe,kan,SmitAl03,pass_yds,368,,,,,
player,201709070nwe,kan,SmitAl03,pass_td,4,,,,,
player,201709070nwe,kan,SmitAl03,pass_int,0,,,,,
player,201709070nwe,kan,SmitAl03,pass_sacked,3,,,,,
player,201709070nwe,kan,SmitAl03,pass_sacked_yds,16,,,,,
player,201709070nwe,kan,SmitAl03,pass_long,78,,,,,
player,201709070nwe,kan,SmitAl03,pass_rating,148.6,,,,,
player,201709070nwe,kan,SmitAl03,rush_att,5,,,,,
player,201709070nwe,kan,SmitAl03,rush_yds,3,,,,,
player,201709070nwe,kan,SmitAl03,rush_td,0,,,,,
player,201709070nwe,kan,SmitAl03,rush_long,7,,,,,
player,201709070nwe,kan,SmitAl03,targets,0,,,,,
player,201709070nwe,kan,SmitAl03,rec,0,,,,,
player,201709070nwe,kan,SmitAl03,rec_yds,0,,,,,
player,201709070nwe,kan,SmitAl03,rec_td,0,,,,,
player,201709070nwe,kan,SmitAl03,rec_long,0,,,,,
player,201709070nwe,kan,SmitAl03,fumbles,0,,,,,
player,201709070nwe,kan,SmitAl03,fumbles_lost,0,,,,,
