game,2017,12,20171126,201711260sfo,sea,"Seattle Seahawks",24,sfo,"San Francisco 49ers",13
team,201711260sfo,sea,First Downs,20,,,,,,
team,201711260sfo,sfo,First Downs,16,,,,,,
team,201711260sfo,sea,Rush-Yds-TDs,30-90-1,,,,,,
team,201711260sfo,sfo,Rush-Yds-TDs,24-84-0,,,,,,
team,201711260sfo,sea,Cmp-Att-Yd-TD-INT,20-34-228-2-1,,,,,,
team,201711260sfo,sfo,Cmp-Att-Yd-TD-INT,24-40-219-1-1,,,,,,
team,201711260sfo,sea,Sacked-Yards,0-0,,,,,,
team,201711260sfo,sfo,Sacked-Yards,3-23,,,,,,
team,201711260sfo,sea,Net Pass Yards,228,,,,,,
team,201711260sfo,sfo,Net Pass Yards,196,,,,,,
team,201711260sfo,sea,Total Yards,318,,,,,,
team,201711260sfo,sfo,Total Yards,280,,,,,,
team,201711260sfo,sea,Fumbles-Lost,1-0,,,,,,
team,201711260sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201711260sfo,sea,Turnovers,1,,,,,,
team,201711260sfo,sfo,Turnovers,1,,,,,,
team,201711260sfo,sea,Penalties-Yards,6-35,,,,,,
team,201711260sfo,sfo,Penalties-Yards,7-74,,,,,,
team,201711260sfo,sea,Third Down Conv.,5-13,,,,,,
team,201711260sfo,sfo,Third Down Conv.,5-16,,,,,,
team,201711260sfo,sea,Fourth Down Conv.,0-0,,,,,,
team,201711260sfo,sfo,Fourth Down Conv.,1-1,,,,,,
team,201711260sfo,sea,Time of Possession,29:31,,,,,,
team,201711260sfo,sfo,Time of Possession,30:29,,,,,,
player,201711260sfo,sea,WilsRu00,pass_cmp,20,,,,,
player,201711260sfo,sea,WilsRu00,pass_att,34,,,,,
player,201711260sfo,sea,WilsRu00,pass_yds,228,,,,,
player,201711260sfo,sea,WilsRu00,pass_td,2,,,,,
player,201711260sfo,sea,WilsRu00,pass_int,1,,,,,
player,201711260sfo,sea,WilsRu00,pass_sacked,0,,,,,
player,201711260sfo,sea,WilsRu00,pass_sacked_yds,0,,,,,
player,201711260sfo,sea,WilsRu00,pass_long,26,,,,,
player,201711260sfo,sea,WilsRu00,pass_rating,86.4,,,,,
player,201711260sfo,sea,WilsRu00,rush_att,7,,,,,
player,201711260sfo,sea,WilsRu00,rush_yds,25,,,,,
player,201711260sfo,sea,WilsRu00,rush_td,1,,,,,
player,201711260sfo,sea,WilsRu00,rush_long,11,,,,,
player,201711260sfo,sea,WilsRu00,targets,0,,,,,
player,201711260sfo,sea,WilsRu00,rec,0,,,,,
player,201711260sfo,sea,WilsRu00,rec_yds,0,,,,,
player,201711260sfo,sea,WilsRu00,rec_td,0,,,,,
player,201711260sfo,sea,WilsRu00,rec_long,0,,,,,
player,201711260sfo,sea,WilsRu00,fumbles,1,,,,,
player,201711260sfo,sea,WilsRu00,fumbles_lost,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_cmp,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_att,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_yds,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_td,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_int,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_sacked,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_sacked_yds,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_long,0,,,,,
player,201711260sfo,sea,LacyEd00,pass_rating,,,,,,
player,201711260sfo,sea,LacyEd00,rush_att,17,,,,,
player,201711260sfo,sea,LacyEd00,rush_yds,46,,,,,
player,201711260sfo,sea,LacyEd00,rush_td,0,,,,,
player,201711260sfo,sea,LacyEd00,rush_long,11,,,,,
player,201711260sfo,sea,LacyEd00,targets,3,,,,,
player,201711260sfo,sea,LacyEd00,rec,3,,,,,
player,201711260sfo,sea,LacyEd00,rec_yds,15,,,,,
player,201711260sfo,sea,LacyEd00,rec_td,0,,,,,
player,201711260sfo,sea,LacyEd00,rec_long,6,,,,,
player,201711260sfo,sea,LacyEd00,fumbles,0,,,,,
player,201711260sfo,sea,LacyEd00,fumbles_lost,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_cmp,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_att,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_yds,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_td,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_int,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_sacked,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_sacked_yds,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_long,0,,,,,
player,201711260sfo,sea,McKiJ.00,pass_rating,,,,,,
player,201711260sfo,sea,McKiJ.00,rush_att,4,,,,,
player,201711260sfo,sea,McKiJ.00,rush_yds,22,,,,,
player,201711260sfo,sea,McKiJ.00,rush_td,0,,,,,
player,201711260sfo,sea,McKiJ.00,rush_long,14,,,,,
player,201711260sfo,sea,McKiJ.00,targets,7,,,,,
player,201711260sfo,sea,McKiJ.00,rec,4,,,,,
player,201711260sfo,sea,McKiJ.00,rec_yds,24,,,,,
player,201711260sfo,sea,McKiJ.00,rec_td,0,,,,,
player,201711260sfo,sea,McKiJ.00,rec_long,12,,,,,
player,201711260sfo,sea,McKiJ.00,fumbles,0,,,,,
player,201711260sfo,sea,McKiJ.00,fumbles_lost,0,,,,,
player,201711260sfo,sea,LockTy00,pass_cmp,0,,,,,
