game,2017,6,20171015,201710150htx,cle,"Cleveland Browns",17,htx,"Houston Texans",33
team,201710150htx,cle,First Downs,16,,,,,,
team,201710150htx,htx,First Downs,18,,,,,,
team,201710150htx,cle,Rush-Yds-TDs,22-134-0,,,,,,
team,201710150htx,htx,Rush-Yds-TDs,33-123-0,,,,,,
team,201710150htx,cle,Cmp-Att-Yd-TD-INT,20-37-140-1-3,,,,,,
team,201710150htx,htx,Cmp-Att-Yd-TD-INT,17-29-225-3-1,,,,,,
team,201710150htx,cle,Sacked-Yards,4-27,,,,,,
team,201710150htx,htx,Sacked-Yards,1-8,,,,,,
team,201710150htx,cle,Net Pass Yards,113,,,,,,
team,201710150htx,htx,Net Pass Yards,217,,,,,,
team,201710150htx,cle,Total Yards,247,,,,,,
team,201710150htx,htx,Total Yards,340,,,,,,
team,201710150htx,cle,Fumbles-Lost,1-0,,,,,,
team,201710150htx,htx,Fumbles-Lost,0-0,,,,,,
team,201710150htx,cle,Turnovers,3,,,,,,
team,201710150htx,htx,Turnovers,1,,,,,,
team,201710150htx,cle,Penalties-Yards,11-72,,,,,,
team,201710150htx,htx,Penalties-Yards,4-44,,,,,,
team,201710150htx,cle,Third Down Conv.,3-14,,,,,,
team,201710150htx,htx,Third Down Conv.,5-13,,,,,,
team,201710150htx,cle,Fourth Down Conv.,0-0,,,,,,
team,201710150htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201710150htx,cle,Time of Possession,30:56,,,,,,
team,201710150htx,htx,Time of Possession,29:04,,,,,,
player,201710150htx,cle,HogaKe00,pass_cmp,20,,,,,
player,201710150htx,cle,HogaKe00,pass_att,37,,,,,
player,201710150htx,cle,HogaKe00,pass_yds,140,,,,,
player,201710150htx,cle,HogaKe00,pass_td,1,,,,,
player,201710150htx,cle,HogaKe00,pass_int,3,,,,,
player,201710150htx,cle,HogaKe00,pass_sacked,4,,,,,
player,201710150htx,cle,HogaKe00,pass_sacked_yds,27,,,,,
player,201710150htx,cle,HogaKe00,pass_long,20,,,,,
player,201710150htx,cle,HogaKe00,pass_rating,38.1,,,,,
player,201710150htx,cle,HogaKe00,rush_att,5,,,,,
player,201710150htx,cle,HogaKe00,rush_yds,36,,,,,
player,201710150htx,cle,HogaKe00,rush_td,0,,,,,
player,201710150htx,cle,HogaKe00,rush_long,11,,,,,
player,201710150htx,cle,HogaKe00,targets,0,,,,,
player,201710150htx,cle,HogaKe00,rec,0,,,,,
player,201710150htx,cle,HogaKe00,rec_yds,0,,,,,
player,201710150htx,cle,HogaKe00,rec_td,0,,,,,
player,201710150htx,cle,HogaKe00,rec_long,0,,,,,
player,201710150htx,cle,HogaKe00,fumbles,1,,,,,
player,201710150htx,cle,HogaKe00,fumbles_lost,0,,,,,
player,201710150htx,cle,CrowIs00,pass_cmp,0,,,,,
player,201710150htx,cle,CrowIs00,pass_att,0,,,,,
player,201710150htx,cle,CrowIs00,pass_yds,0,,,,,
player,201710150htx,cle,CrowIs00,pass_td,0,,,,,
player,201710150htx,cle,CrowIs00,pass_int,0,,,,,
player,201710150htx,cle,CrowIs00,pass_sacked,0,,,,,
player,201710150htx,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,CrowIs00,pass_long,0,,,,,
player,201710150htx,cle,CrowIs00,pass_rating,,,,,,
player,201710150htx,cle,CrowIs00,rush_att,12,,,,,
player,201710150htx,cle,CrowIs00,rush_yds,58,,,,,
player,201710150htx,cle,CrowIs00,rush_td,0,,,,,
player,201710150htx,cle,CrowIs00,rush_long,14,,,,,
player,201710150htx,cle,CrowIs00,targets,2,,,,,
player,201710150htx,cle,CrowIs00,rec,2,,,,,
player,201710150htx,cle,CrowIs00,rec_yds,15,,,,,
player,201710150htx,cle,CrowIs00,rec_td,0,,,,,
player,201710150htx,cle,CrowIs00,rec_long,9,,,,,
player,201710150htx,cle,CrowIs00,fumbles,0,,,,,
player,201710150htx,cle,CrowIs00,fumbles_lost,0,,,,,
player,201710150htx,cle,JohnDu00,pass_cmp,0,,,,,
player,201710150htx,cle,JohnDu00,pass_att,0,,,,,
player,201710150htx,cle,JohnDu00,pass_yds,0,,,,,
player,201710150htx,cle,JohnDu00,pass_td,0,,,,,
player,201710150htx,cle,JohnDu00,pass_int,0,,,,,
player,201710150htx,cle,JohnDu00,pass_sacked,0,,,,,
player,201710150htx,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,JohnDu00,pass_long,0,,,,,
player,201710150htx,cle,JohnDu00,pass_rating,,,,,,
player,201710150htx,cle,JohnDu00,rush_att,5,,,,,
player,201710150htx,cle,JohnDu00,rush_yds,40,,,,,
player,201710150htx,cle,JohnDu00,rush_td,0,,,,,
player,201710150htx,cle,JohnDu00,rush_long,15,,,,,
player,201710150htx,cle,JohnDu00,targets,5,,,,,
player,201710150htx,cle,JohnDu00,rec,3,,,,,
player,201710150htx,cle,JohnDu00,rec_yds,-1,,,,,
player,201710150htx,cle,JohnDu00,rec_td,0,,,,,
player,201710150htx,cle,JohnDu00,rec_long,9,,,,,
player,201710150htx,cle,JohnDu00,fumbles,0,,,,,
player,201710150htx,cle,JohnDu00,fumbles_lost,0,,,,,
player,201710150htx,cle,WillKa02,pass_cmp,0,,,,,
player,201710150htx,cle,WillKa02,pass_att,0,,,,,
player,201710150htx,cle,WillKa02,pass_yds,0,,,,,
player,201710150htx,cle,WillKa02,pass_td,0,,,,,
player,201710150htx,cle,WillKa02,pass_int,0,,,,,
player,201710150htx,cle,WillKa02,pass_sacked,0,,,,,
player,201710150htx,cle,WillKa02,pass_sacked_yds,0,,,,,
player,201710150htx,cle,WillKa02,pass_long,0,,,,,
player,201710150htx,cle,WillKa02,pass_rating,,,,,,
player,201710150htx,cle,WillKa02,rush_att,0,,,,,
player,201710150htx,cle,WillKa02,rush_yds,0,,,,,
player,201710150htx,cle,WillKa02,rush_td,0,,,,,
player,201710150htx,cle,WillKa02,rush_long,0,,,,,
player,201710150htx,cle,WillKa02,targets,6,,,,,
player,201710150htx,cle,WillKa02,rec,4,,,,,
player,201710150htx,cle,WillKa02,rec_yds,41,,,,,
player,201710150htx,cle,WillKa02,rec_td,0,,,,,
player,201710150htx,cle,WillKa02,rec_long,14,,,,,
player,201710150htx,cle,WillKa02,fumbles,0,,,,,
player,201710150htx,cle,WillKa02,fumbles_lost,0,,,,,
player,201710150htx,cle,LouiRi00,pass_cmp,0,,,,,
player,201710150htx,cle,LouiRi00,pass_att,0,,,,,
player,201710150htx,cle,LouiRi00,pass_yds,0,,,,,
player,201710150htx,cle,LouiRi00,pass_td,0,,,,,
player,201710150htx,cle,LouiRi00,pass_int,0,,,,,
player,201710150htx,cle,LouiRi00,pass_sacked,0,,,,,
player,201710150htx,cle,LouiRi00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,LouiRi00,pass_long,0,,,,,
player,201710150htx,cle,LouiRi00,pass_rating,,,,,,
player,201710150htx,cle,LouiRi00,rush_att,0,,,,,
player,201710150htx,cle,LouiRi00,rush_yds,0,,,,,
player,201710150htx,cle,LouiRi00,rush_td,0,,,,,
player,201710150htx,cle,LouiRi00,rush_long,0,,,,,
player,201710150htx,cle,LouiRi00,targets,7,,,,,
player,201710150htx,cle,LouiRi00,rec,3,,,,,
player,201710150htx,cle,LouiRi00,rec_yds,25,,,,,
player,201710150htx,cle,LouiRi00,rec_td,0,,,,,
player,201710150htx,cle,LouiRi00,rec_long,13,,,,,
player,201710150htx,cle,LouiRi00,fumbles,0,,,,,
player,201710150htx,cle,LouiRi00,fumbles_lost,0,,,,,
player,201710150htx,cle,TregBr00,pass_cmp,0,,,,,
player,201710150htx,cle,TregBr00,pass_att,0,,,,,
player,201710150htx,cle,TregBr00,pass_yds,0,,,,,
player,201710150htx,cle,TregBr00,pass_td,0,,,,,
player,201710150htx,cle,TregBr00,pass_int,0,,,,,
player,201710150htx,cle,TregBr00,pass_sacked,0,,,,,
player,201710150htx,cle,TregBr00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,TregBr00,pass_long,0,,,,,
player,201710150htx,cle,TregBr00,pass_rating,,,,,,
player,201710150htx,cle,TregBr00,rush_att,0,,,,,
player,201710150htx,cle,TregBr00,rush_yds,0,,,,,
player,201710150htx,cle,TregBr00,rush_td,0,,,,,
player,201710150htx,cle,TregBr00,rush_long,0,,,,,
player,201710150htx,cle,TregBr00,targets,3,,,,,
player,201710150htx,cle,TregBr00,rec,1,,,,,
player,201710150htx,cle,TregBr00,rec_yds,20,,,,,
player,201710150htx,cle,TregBr00,rec_td,0,,,,,
player,201710150htx,cle,TregBr00,rec_long,20,,,,,
player,201710150htx,cle,TregBr00,fumbles,0,,,,,
player,201710150htx,cle,TregBr00,fumbles_lost,0,,,,,
player,201710150htx,cle,HiggRa00,pass_cmp,0,,,,,
player,201710150htx,cle,HiggRa00,pass_att,0,,,,,
player,201710150htx,cle,HiggRa00,pass_yds,0,,,,,
player,201710150htx,cle,HiggRa00,pass_td,0,,,,,
player,201710150htx,cle,HiggRa00,pass_int,0,,,,,
player,201710150htx,cle,HiggRa00,pass_sacked,0,,,,,
player,201710150htx,cle,HiggRa00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,HiggRa00,pass_long,0,,,,,
player,201710150htx,cle,HiggRa00,pass_rating,,,,,,
player,201710150htx,cle,HiggRa00,rush_att,0,,,,,
player,201710150htx,cle,HiggRa00,rush_yds,0,,,,,
player,201710150htx,cle,HiggRa00,rush_td,0,,,,,
player,201710150htx,cle,HiggRa00,rush_long,0,,,,,
player,201710150htx,cle,HiggRa00,targets,2,,,,,
player,201710150htx,cle,HiggRa00,rec,1,,,,,
player,201710150htx,cle,HiggRa00,rec_yds,13,,,,,
player,201710150htx,cle,HiggRa00,rec_td,0,,,,,
player,201710150htx,cle,HiggRa00,rec_long,13,,,,,
player,201710150htx,cle,HiggRa00,fumbles,0,,,,,
player,201710150htx,cle,HiggRa00,fumbles_lost,0,,,,,
player,201710150htx,cle,CoatSa00,pass_cmp,0,,,,,
player,201710150htx,cle,CoatSa00,pass_att,0,,,,,
player,201710150htx,cle,CoatSa00,pass_yds,0,,,,,
player,201710150htx,cle,CoatSa00,pass_td,0,,,,,
player,201710150htx,cle,CoatSa00,pass_int,0,,,,,
player,201710150htx,cle,CoatSa00,pass_sacked,0,,,,,
player,201710150htx,cle,CoatSa00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,CoatSa00,pass_long,0,,,,,
player,201710150htx,cle,CoatSa00,pass_rating,,,,,,
player,201710150htx,cle,CoatSa00,rush_att,0,,,,,
player,201710150htx,cle,CoatSa00,rush_yds,0,,,,,
player,201710150htx,cle,CoatSa00,rush_td,0,,,,,
player,201710150htx,cle,CoatSa00,rush_long,0,,,,,
player,201710150htx,cle,CoatSa00,targets,2,,,,,
player,201710150htx,cle,CoatSa00,rec,1,,,,,
player,201710150htx,cle,CoatSa00,rec_yds,11,,,,,
player,201710150htx,cle,CoatSa00,rec_td,0,,,,,
player,201710150htx,cle,CoatSa00,rec_long,11,,,,,
player,201710150htx,cle,CoatSa00,fumbles,0,,,,,
player,201710150htx,cle,CoatSa00,fumbles_lost,0,,,,,
player,201710150htx,cle,DevaSe00,pass_cmp,0,,,,,
player,201710150htx,cle,DevaSe00,pass_att,0,,,,,
player,201710150htx,cle,DevaSe00,pass_yds,0,,,,,
player,201710150htx,cle,DevaSe00,pass_td,0,,,,,
player,201710150htx,cle,DevaSe00,pass_int,0,,,,,
player,201710150htx,cle,DevaSe00,pass_sacked,0,,,,,
player,201710150htx,cle,DevaSe00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,DevaSe00,pass_long,0,,,,,
player,201710150htx,cle,DevaSe00,pass_rating,,,,,,
player,201710150htx,cle,DevaSe00,rush_att,0,,,,,
player,201710150htx,cle,DevaSe00,rush_yds,0,,,,,
player,201710150htx,cle,DevaSe00,rush_td,0,,,,,
player,201710150htx,cle,DevaSe00,rush_long,0,,,,,
player,201710150htx,cle,DevaSe00,targets,3,,,,,
player,201710150htx,cle,DevaSe00,rec,2,,,,,
player,201710150htx,cle,DevaSe00,rec_yds,9,,,,,
player,201710150htx,cle,DevaSe00,rec_td,1,,,,,
player,201710150htx,cle,DevaSe00,rec_long,6,,,,,
player,201710150htx,cle,DevaSe00,fumbles,0,,,,,
player,201710150htx,cle,DevaSe00,fumbles_lost,0,,,,,
player,201710150htx,cle,VitaDa00,pass_cmp,0,,,,,
player,201710150htx,cle,VitaDa00,pass_att,0,,,,,
player,201710150htx,cle,VitaDa00,pass_yds,0,,,,,
player,201710150htx,cle,VitaDa00,pass_td,0,,,,,
player,201710150htx,cle,VitaDa00,pass_int,0,,,,,
player,201710150htx,cle,VitaDa00,pass_sacked,0,,,,,
player,201710150htx,cle,VitaDa00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,VitaDa00,pass_long,0,,,,,
player,201710150htx,cle,VitaDa00,pass_rating,,,,,,
player,201710150htx,cle,VitaDa00,rush_att,0,,,,,
player,201710150htx,cle,VitaDa00,rush_yds,0,,,,,
player,201710150htx,cle,VitaDa00,rush_td,0,,,,,
player,201710150htx,cle,VitaDa00,rush_long,0,,,,,
player,201710150htx,cle,VitaDa00,targets,1,,,,,
player,201710150htx,cle,VitaDa00,rec,1,,,,,
player,201710150htx,cle,VitaDa00,rec_yds,7,,,,,
player,201710150htx,cle,VitaDa00,rec_td,0,,,,,
player,201710150htx,cle,VitaDa00,rec_long,7,,,,,
player,201710150htx,cle,VitaDa00,fumbles,0,,,,,
player,201710150htx,cle,VitaDa00,fumbles_lost,0,,,,,
player,201710150htx,cle,NjokDa00,pass_cmp,0,,,,,
player,201710150htx,cle,NjokDa00,pass_att,0,,,,,
player,201710150htx,cle,NjokDa00,pass_yds,0,,,,,
player,201710150htx,cle,NjokDa00,pass_td,0,,,,,
player,201710150htx,cle,NjokDa00,pass_int,0,,,,,
player,201710150htx,cle,NjokDa00,pass_sacked,0,,,,,
player,201710150htx,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201710150htx,cle,NjokDa00,pass_long,0,,,,,
player,201710150htx,cle,NjokDa00,pass_rating,,,,,,
player,201710150htx,cle,NjokDa00,rush_att,0,,,,,
player,201710150htx,cle,NjokDa00,rush_yds,0,,,,,
player,201710150htx,cle,NjokDa00,rush_td,0,,,,,
player,201710150htx,cle,NjokDa00,rush_long,0,,,,,
player,201710150htx,cle,NjokDa00,targets,5,,,,,
player,201710150htx,cle,NjokDa00,rec,2,,,,,
player,201710150htx,cle,NjokDa00,rec_yds,0,,,,,
player,201710150htx,cle,NjokDa00,rec_td,0,,,,,
player,201710150htx,cle,NjokDa00,rec_long,3,,,,,
player,201710150htx,cle,NjokDa00,fumbles,0,,,,,
player,201710150htx,cle,NjokDa00,fumbles_lost,0,,,,,
player,201710150htx,htx,WatsDe00,pass_cmp,17,,,,,
player,201710150htx,htx,WatsDe00,pass_att,29,,,,,
player,201710150htx,htx,WatsDe00,pass_yds,225,,,,,
player,201710150htx,htx,WatsDe00,pass_td,3,,,,,
player,201710150htx,htx,WatsDe00,pass_int,1,,,,,
player,201710150htx,htx,WatsDe00,pass_sacked,1,,,,,
player,201710150htx,htx,WatsDe00,pass_sacked_yds,8,,,,,
player,201710150htx,htx,WatsDe00,pass_long,39,,,,,
player,201710150htx,htx,WatsDe00,pass_rating,103.4,,,,,
player,201710150htx,htx,WatsDe00,rush_att,6,,,,,
player,201710150htx,htx,WatsDe00,rush_yds,23,,,,,
player,201710150htx,htx,WatsDe00,rush_td,0,,,,,
player,201710150htx,htx,WatsDe00,rush_long,9,,,,,
player,201710150htx,htx,WatsDe00,targets,0,,,,,
player,201710150htx,htx,WatsDe00,rec,0,,,,,
player,201710150htx,htx,WatsDe00,rec_yds,0,,,,,
player,201710150htx,htx,WatsDe00,rec_td,0,,,,,
player,201710150htx,htx,WatsDe00,rec_long,0,,,,,
player,201710150htx,htx,WatsDe00,fumbles,0,,,,,
player,201710150htx,htx,WatsDe00,fumbles_lost,0,,,,,
player,201710150htx,htx,ForeDO00,pass_cmp,0,,,,,
player,201710150htx,htx,ForeDO00,pass_att,0,,,,,
player,201710150htx,htx,ForeDO00,pass_yds,0,,,,,
player,201710150htx,htx,ForeDO00,pass_td,0,,,,,
player,201710150htx,htx,ForeDO00,pass_int,0,,,,,
player,201710150htx,htx,ForeDO00,pass_sacked,0,,,,,
player,201710150htx,htx,ForeDO00,pass_sacked_yds,0,,,,,
player,201710150htx,htx,ForeDO00,pass_long,0,,,,,
player,201710150htx,htx,ForeDO00,pass_rating,,,,,,
player,201710150htx,htx,ForeDO00,rush_att,12,,,,,
player,201710150htx,htx,ForeDO00,rush_yds,59,,,,,
player,201710150htx,htx,ForeDO00,rush_td,0,,,,,
player,201710150htx,htx,ForeDO00,rush_long,39,,,,,
player,201710150htx,htx,ForeDO00,targets,0,,,,,
player,201710150htx,htx,ForeDO00,rec,0,,,,,
player,201710150htx,htx,ForeDO00,rec_yds,0,,,,,
player,201710150htx,htx,ForeDO00,rec_td,0,,,,,
player,201710150htx,htx,ForeDO00,rec_long,0,,,,,
player,201710150htx,htx,ForeDO00,fumbles,0,,,,,
player,201710150htx,htx,ForeDO00,fumbles_lost,0,,,,,
player,201710150htx,htx,MillLa01,pass_cmp,0,,,,,
player,201710150htx,htx,MillLa01,pass_att,0,,,,,
player,201710150htx,htx,MillLa01,pass_yds,0,,,,,
player,201710150htx,htx,MillLa01,pass_td,0,,,,,
player,201710150htx,htx,MillLa01,pass_int,0,,,,,
player,201710150htx,htx,MillLa01,pass_sacked,0,,,,,
player,201710150htx,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201710150htx,htx,MillLa01,pass_long,0,,,,,
player,201710150htx,htx,MillLa01,pass_rating,,,,,,
player,201710150htx,htx,MillLa01,rush_att,15,,,,,
player,201710150htx,htx,MillLa01,rush_yds,41,,,,,
player,201710150htx,htx,MillLa01,rush_td,0,,,,,
player,201710150htx,htx,MillLa01,rush_long,14,,,,,
player,201710150htx,htx,MillLa01,targets,4,,,,,
player,201710150htx,htx,MillLa01,rec,3,,,,,
player,201710150htx,htx,MillLa01,rec_yds,40,,,,,
player,201710150htx,htx,MillLa01,rec_td,0,,,,,
player,201710150htx,htx,MillLa01,rec_long,26,,,,,
player,201710150htx,htx,MillLa01,fumbles,0,,,,,
player,201710150htx,htx,MillLa01,fumbles_lost,0,,,,,
player,201710150htx,htx,FullWi01,pass_cmp,0,,,,,
