game,2017,12,20171126,201711260clt,oti,"Tennessee Titans",20,clt,"Indianapolis Colts",16
team,201711260clt,oti,First Downs,19,,,,,,
team,201711260clt,clt,First Downs,15,,,,,,
team,201711260clt,oti,Rush-Yds-TDs,28-92-1,,,,,,
team,201711260clt,clt,Rush-Yds-TDs,24-89-1,,,,,,
team,201711260clt,oti,Cmp-Att-Yd-TD-INT,17-25-184-1-2,,,,,,
team,201711260clt,clt,Cmp-Att-Yd-TD-INT,17-29-196-0-0,,,,,,
team,201711260clt,oti,Sacked-Yards,0-0,,,,,,
team,201711260clt,clt,Sacked-Yards,8-31,,,,,,
team,201711260clt,oti,Net Pass Yards,184,,,,,,
team,201711260clt,clt,Net Pass Yards,165,,,,,,
team,201711260clt,oti,Total Yards,276,,,,,,
team,201711260clt,clt,Total Yards,254,,,,,,
team,201711260clt,oti,Fumbles-Lost,0-0,,,,,,
team,201711260clt,clt,Fumbles-Lost,2-1,,,,,,
team,201711260clt,oti,Turnovers,2,,,,,,
team,201711260clt,clt,Turnovers,1,,,,,,
team,201711260clt,oti,Penalties-Yards,2-15,,,,,,
team,201711260clt,clt,Penalties-Yards,9-67,,,,,,
team,201711260clt,oti,Third Down Conv.,3-8,,,,,,
team,201711260clt,clt,Third Down Conv.,6-14,,,,,,
team,201711260clt,oti,Fourth Down Conv.,0-0,,,,,,
team,201711260clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201711260clt,oti,Time of Possession,28:38,,,,,,
team,201711260clt,clt,Time of Possession,31:22,,,,,,
player,201711260clt,oti,MariMa01,pass_cmp,17,,,,,
player,201711260clt,oti,MariMa01,pass_att,25,,,,,
player,201711260clt,oti,MariMa01,pass_yds,184,,,,,
player,201711260clt,oti,MariMa01,pass_td,1,,,,,
player,201711260clt,oti,MariMa01,pass_int,2,,,,,
player,201711260clt,oti,MariMa01,pass_sacked,0,,,,,
player,201711260clt,oti,MariMa01,pass_sacked_yds,0,,,,,
player,201711260clt,oti,MariMa01,pass_long,37,,,,,
player,201711260clt,oti,MariMa01,pass_rating,69.4,,,,,
player,201711260clt,oti,MariMa01,rush_att,3,,,,,
player,201711260clt,oti,MariMa01,rush_yds,4,,,,,
player,201711260clt,oti,MariMa01,rush_td,0,,,,,
