game,2017,3,20170924,201709240sdg,kan,"Kansas City Chiefs",24,sdg,"Los Angeles Chargers",10
team,201709240sdg,kan,First Downs,16,,,,,,
team,201709240sdg,sdg,First Downs,24,,,,,,
team,201709240sdg,kan,Rush-Yds-TDs,25-189-1,,,,,,
team,201709240sdg,sdg,Rush-Yds-TDs,26-104-1,,,,,,
team,201709240sdg,kan,Cmp-Att-Yd-TD-INT,16-21-155-2-0,,,,,,
team,201709240sdg,sdg,Cmp-Att-Yd-TD-INT,20-40-237-0-3,,,,,,
team,201709240sdg,kan,Sacked-Yards,5-33,,,,,,
team,201709240sdg,sdg,Sacked-Yards,2-11,,,,,,
team,201709240sdg,kan,Net Pass Yards,122,,,,,,
team,201709240sdg,sdg,Net Pass Yards,226,,,,,,
team,201709240sdg,kan,Total Yards,311,,,,,,
team,201709240sdg,sdg,Total Yards,330,,,,,,
team,201709240sdg,kan,Fumbles-Lost,2-0,,,,,,
team,201709240sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201709240sdg,kan,Turnovers,0,,,,,,
team,201709240sdg,sdg,Turnovers,3,,,,,,
team,201709240sdg,kan,Penalties-Yards,13-122,,,,,,
team,201709240sdg,sdg,Penalties-Yards,8-61,,,,,,
team,201709240sdg,kan,Third Down Conv.,4-12,,,,,,
team,201709240sdg,sdg,Third Down Conv.,5-13,,,,,,
team,201709240sdg,kan,Fourth Down Conv.,0-1,,,,,,
team,201709240sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201709240sdg,kan,Time of Possession,30:26,,,,,,
team,201709240sdg,sdg,Time of Possession,29:34,,,,,,
player,201709240sdg,kan,SmitAl03,pass_cmp,16,,,,,
player,201709240sdg,kan,SmitAl03,pass_att,21,,,,,
player,201709240sdg,kan,SmitAl03,pass_yds,155,,,,,
player,201709240sdg,kan,SmitAl03,pass_td,2,,,,,
player,201709240sdg,kan,SmitAl03,pass_int,0,,,,,
player,201709240sdg,kan,SmitAl03,pass_sacked,5,,,,,
player,201709240sdg,kan,SmitAl03,pass_sacked_yds,33,,,,,
player,201709240sdg,kan,SmitAl03,pass_long,30,,,,,
player,201709240sdg,kan,SmitAl03,pass_rating,128.1,,,,,
player,201709240sdg,kan,SmitAl03,rush_att,2,,,,,
player,201709240sdg,kan,SmitAl03,rush_yds,9,,,,,
player,201709240sdg,kan,SmitAl03,rush_td,0,,,,,
player,201709240sdg,kan,SmitAl03,rush_long,5,,,,,
player,201709240sdg,kan,SmitAl03,targets,0,,,,,
player,201709240sdg,kan,SmitAl03,rec,0,,,,,
player,201709240sdg,kan,SmitAl03,rec_yds,0,,,,,
player,201709240sdg,kan,SmitAl03,rec_td,0,,,,,
player,201709240sdg,kan,SmitAl03,rec_long,0,,,,,
player,201709240sdg,kan,SmitAl03,fumbles,0,,,,,
player,201709240sdg,kan,SmitAl03,fumbles_lost,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_cmp,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_att,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_yds,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_td,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_int,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_sacked,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_long,0,,,,,
player,201709240sdg,kan,HuntKa00,pass_rating,,,,,,
player,201709240sdg,kan,HuntKa00,rush_att,17,,,,,
player,201709240sdg,kan,HuntKa00,rush_yds,172,,,,,
player,201709240sdg,kan,HuntKa00,rush_td,1,,,,,
player,201709240sdg,kan,HuntKa00,rush_long,69,,,,,
player,201709240sdg,kan,HuntKa00,targets,1,,,,,
player,201709240sdg,kan,HuntKa00,rec,1,,,,,
player,201709240sdg,kan,HuntKa00,rec_yds,11,,,,,
player,201709240sdg,kan,HuntKa00,rec_td,0,,,,,
player,201709240sdg,kan,HuntKa00,rec_long,11,,,,,
player,201709240sdg,kan,HuntKa00,fumbles,0,,,,,
player,201709240sdg,kan,HuntKa00,fumbles_lost,0,,,,,
player,201709240sdg,kan,HillTy00,pass_cmp,0,,,,,
player,201709240sdg,kan,HillTy00,pass_att,0,,,,,
player,201709240sdg,kan,HillTy00,pass_yds,0,,,,,
player,201709240sdg,kan,HillTy00,pass_td,0,,,,,
player,201709240sdg,kan,HillTy00,pass_int,0,,,,,
player,201709240sdg,kan,HillTy00,pass_sacked,0,,,,,
player,201709240sdg,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201709240sdg,kan,HillTy00,pass_long,0,,,,,
player,201709240sdg,kan,HillTy00,pass_rating,,,,,,
player,201709240sdg,kan,HillTy00,rush_att,3,,,,,
player,201709240sdg,kan,HillTy00,rush_yds,13,,,,,
player,201709240sdg,kan,HillTy00,rush_td,0,,,,,
player,201709240sdg,kan,HillTy00,rush_long,9,,,,,
player,201709240sdg,kan,HillTy00,targets,8,,,,,
player,201709240sdg,kan,HillTy00,rec,5,,,,,
player,201709240sdg,kan,HillTy00,rec_yds,77,,,,,
player,201709240sdg,kan,HillTy00,rec_td,1,,,,,
player,201709240sdg,kan,HillTy00,rec_long,30,,,,,
player,201709240sdg,kan,HillTy00,fumbles,0,,,,,
player,201709240sdg,kan,HillTy00,fumbles_lost,0,,,,,
player,201709240sdg,kan,ThomDe05,pass_cmp,0,,,,,
player,201709240sdg,kan,ThomDe05,pass_att,0,,,,,
