game,2017,8,20171029,201710290nor,chi,"Chicago Bears",12,nor,"New Orleans Saints",20
team,201710290nor,chi,First Downs,17,,,,,,
team,201710290nor,nor,First Downs,19,,,,,,
team,201710290nor,chi,Rush-Yds-TDs,31-157-1,,,,,,
team,201710290nor,nor,Rush-Yds-TDs,30-101-2,,,,,,
team,201710290nor,chi,Cmp-Att-Yd-TD-INT,14-32-164-0-1,,,,,,
team,201710290nor,nor,Cmp-Att-Yd-TD-INT,23-28-299-0-0,,,,,,
team,201710290nor,chi,Sacked-Yards,2-14,,,,,,
team,201710290nor,nor,Sacked-Yards,2-13,,,,,,
team,201710290nor,chi,Net Pass Yards,150,,,,,,
team,201710290nor,nor,Net Pass Yards,286,,,,,,
team,201710290nor,chi,Total Yards,307,,,,,,
team,201710290nor,nor,Total Yards,387,,,,,,
team,201710290nor,chi,Fumbles-Lost,0-0,,,,,,
team,201710290nor,nor,Fumbles-Lost,2-2,,,,,,
team,201710290nor,chi,Turnovers,1,,,,,,
team,201710290nor,nor,Turnovers,2,,,,,,
team,201710290nor,chi,Penalties-Yards,4-31,,,,,,
team,201710290nor,nor,Penalties-Yards,7-51,,,,,,
team,201710290nor,chi,Third Down Conv.,8-17,,,,,,
team,201710290nor,nor,Third Down Conv.,2-9,,,,,,
team,201710290nor,chi,Fourth Down Conv.,0-1,,,,,,
team,201710290nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201710290nor,chi,Time of Possession,28:37,,,,,,
team,201710290nor,nor,Time of Possession,31:23,,,,,,
player,201710290nor,chi,TrubMi00,pass_cmp,14,,,,,
player,201710290nor,chi,TrubMi00,pass_att,32,,,,,
player,201710290nor,chi,TrubMi00,pass_yds,164,,,,,
player,201710290nor,chi,TrubMi00,pass_td,0,,,,,
player,201710290nor,chi,TrubMi00,pass_int,1,,,,,
player,201710290nor,chi,TrubMi00,pass_sacked,2,,,,,
player,201710290nor,chi,TrubMi00,pass_sacked_yds,14,,,,,
player,201710290nor,chi,TrubMi00,pass_long,45,,,,,
player,201710290nor,chi,TrubMi00,pass_rating,46.9,,,,,
player,201710290nor,chi,TrubMi00,rush_att,3,,,,,
player,201710290nor,chi,TrubMi00,rush_yds,53,,,,,
player,201710290nor,chi,TrubMi00,rush_td,0,,,,,
player,201710290nor,chi,TrubMi00,rush_long,46,,,,,
player,201710290nor,chi,TrubMi00,targets,0,,,,,
player,201710290nor,chi,TrubMi00,rec,0,,,,,
player,201710290nor,chi,TrubMi00,rec_yds,0,,,,,
player,201710290nor,chi,TrubMi00,rec_td,0,,,,,
player,201710290nor,chi,TrubMi00,rec_long,0,,,,,
player,201710290nor,chi,TrubMi00,fumbles,0,,,,,
