game,2017,7,20171022,201710220min,rav,"Baltimore Ravens",16,min,"Minnesota Vikings",24
team,201710220min,rav,First Downs,16,,,,,,
team,201710220min,min,First Downs,17,,,,,,
team,201710220min,rav,Rush-Yds-TDs,20-64-0,,,,,,
team,201710220min,min,Rush-Yds-TDs,33-169-1,,,,,,
team,201710220min,rav,Cmp-Att-Yd-TD-INT,27-39-186-1-0,,,,,,
team,201710220min,min,Cmp-Att-Yd-TD-INT,20-31-188-0-1,,,,,,
team,201710220min,rav,Sacked-Yards,5-42,,,,,,
team,201710220min,min,Sacked-Yards,0-0,,,,,,
team,201710220min,rav,Net Pass Yards,144,,,,,,
team,201710220min,min,Net Pass Yards,188,,,,,,
team,201710220min,rav,Total Yards,208,,,,,,
team,201710220min,min,Total Yards,357,,,,,,
team,201710220min,rav,Fumbles-Lost,3-0,,,,,,
team,201710220min,min,Fumbles-Lost,0-0,,,,,,
team,201710220min,rav,Turnovers,0,,,,,,
team,201710220min,min,Turnovers,1,,,,,,
team,201710220min,rav,Penalties-Yards,3-15,,,,,,
team,201710220min,min,Penalties-Yards,4-47,,,,,,
team,201710220min,rav,Third Down Conv.,6-16,,,,,,
team,201710220min,min,Third Down Conv.,7-15,,,,,,
team,201710220min,rav,Fourth Down Conv.,1-1,,,,,,
team,201710220min,min,Fourth Down Conv.,0-0,,,,,,
team,201710220min,rav,Time of Possession,27:59,,,,,,
team,201710220min,min,Time of Possession,32:01,,,,,,
player,201710220min,rav,FlacJo00,pass_cmp,27,,,,,
player,201710220min,rav,FlacJo00,pass_att,39,,,,,
player,201710220min,rav,FlacJo00,pass_yds,186,,,,,
player,201710220min,rav,FlacJo00,pass_td,1,,,,,
player,201710220min,rav,FlacJo00,pass_int,0,,,,,
player,201710220min,rav,FlacJo00,pass_sacked,5,,,,,
player,201710220min,rav,FlacJo00,pass_sacked_yds,42,,,,,
player,201710220min,rav,FlacJo00,pass_long,23,,,,,
player,201710220min,rav,FlacJo00,pass_rating,88.2,,,,,
player,201710220min,rav,FlacJo00,rush_att,1,,,,,
player,201710220min,rav,FlacJo00,rush_yds,0,,,,,
player,201710220min,rav,FlacJo00,rush_td,0,,,,,
player,201710220min,rav,FlacJo00,rush_long,0,,,,,
player,201710220min,rav,FlacJo00,targets,0,,,,,
player,201710220min,rav,FlacJo00,rec,0,,,,,
player,201710220min,rav,FlacJo00,rec_yds,0,,,,,
player,201710220min,rav,FlacJo00,rec_td,0,,,,,
player,201710220min,rav,FlacJo00,rec_long,0,,,,,
player,201710220min,rav,FlacJo00,fumbles,3,,,,,
player,201710220min,rav,FlacJo00,fumbles_lost,0,,,,,
player,201710220min,rav,CollAl00,pass_cmp,0,,,,,
player,201710220min,rav,CollAl00,pass_att,0,,,,,
player,201710220min,rav,CollAl00,pass_yds,0,,,,,
player,201710220min,rav,CollAl00,pass_td,0,,,,,
player,201710220min,rav,CollAl00,pass_int,0,,,,,
player,201710220min,rav,CollAl00,pass_sacked,0,,,,,
player,201710220min,rav,CollAl00,pass_sacked_yds,0,,,,,
player,201710220min,rav,CollAl00,pass_long,0,,,,,
player,201710220min,rav,CollAl00,pass_rating,,,,,,
player,201710220min,rav,CollAl00,rush_att,10,,,,,
player,201710220min,rav,CollAl00,rush_yds,30,,,,,
player,201710220min,rav,CollAl00,rush_td,0,,,,,
player,201710220min,rav,CollAl00,rush_long,8,,,,,
player,201710220min,rav,CollAl00,targets,0,,,,,
player,201710220min,rav,CollAl00,rec,0,,,,,
player,201710220min,rav,CollAl00,rec_yds,0,,,,,
player,201710220min,rav,CollAl00,rec_td,0,,,,,
player,201710220min,rav,CollAl00,rec_long,0,,,,,
player,201710220min,rav,CollAl00,fumbles,0,,,,,
player,201710220min,rav,CollAl00,fumbles_lost,0,,,,,
player,201710220min,rav,AlleJa01,pass_cmp,0,,,,,
player,201710220min,rav,AlleJa01,pass_att,0,,,,,
player,201710220min,rav,AlleJa01,pass_yds,0,,,,,
player,201710220min,rav,AlleJa01,pass_td,0,,,,,
player,201710220min,rav,AlleJa01,pass_int,0,,,,,
player,201710220min,rav,AlleJa01,pass_sacked,0,,,,,
player,201710220min,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201710220min,rav,AlleJa01,pass_long,0,,,,,
player,201710220min,rav,AlleJa01,pass_rating,,,,,,
player,201710220min,rav,AlleJa01,rush_att,6,,,,,
player,201710220min,rav,AlleJa01,rush_yds,20,,,,,
player,201710220min,rav,AlleJa01,rush_td,0,,,,,
player,201710220min,rav,AlleJa01,rush_long,7,,,,,
player,201710220min,rav,AlleJa01,targets,11,,,,,
player,201710220min,rav,AlleJa01,rec,8,,,,,
player,201710220min,rav,AlleJa01,rec_yds,29,,,,,
player,201710220min,rav,AlleJa01,rec_td,0,,,,,
player,201710220min,rav,AlleJa01,rec_long,12,,,,,
player,201710220min,rav,AlleJa01,fumbles,0,,,,,
player,201710220min,rav,AlleJa01,fumbles_lost,0,,,,,
player,201710220min,rav,CampMi02,pass_cmp,0,,,,,
player,201710220min,rav,CampMi02,pass_att,0,,,,,
player,201710220min,rav,CampMi02,pass_yds,0,,,,,
player,201710220min,rav,CampMi02,pass_td,0,,,,,
player,201710220min,rav,CampMi02,pass_int,0,,,,,
player,201710220min,rav,CampMi02,pass_sacked,0,,,,,
player,201710220min,rav,CampMi02,pass_sacked_yds,0,,,,,
player,201710220min,rav,CampMi02,pass_long,0,,,,,
player,201710220min,rav,CampMi02,pass_rating,,,,,,
player,201710220min,rav,CampMi02,rush_att,1,,,,,
player,201710220min,rav,CampMi02,rush_yds,19,,,,,
player,201710220min,rav,CampMi02,rush_td,0,,,,,
player,201710220min,rav,CampMi02,rush_long,19,,,,,
player,201710220min,rav,CampMi02,targets,3,,,,,
player,201710220min,rav,CampMi02,rec,3,,,,,
player,201710220min,rav,CampMi02,rec_yds,31,,,,,
player,201710220min,rav,CampMi02,rec_td,0,,,,,
player,201710220min,rav,CampMi02,rec_long,18,,,,,
player,201710220min,rav,CampMi02,fumbles,0,,,,,
player,201710220min,rav,CampMi02,fumbles_lost,0,,,,,
player,201710220min,rav,WatsBe00,pass_cmp,0,,,,,
player,201710220min,rav,WatsBe00,pass_att,0,,,,,
player,201710220min,rav,WatsBe00,pass_yds,0,,,,,
player,201710220min,rav,WatsBe00,pass_td,0,,,,,
player,201710220min,rav,WatsBe00,pass_int,0,,,,,
player,201710220min,rav,WatsBe00,pass_sacked,0,,,,,
player,201710220min,rav,WatsBe00,pass_sacked_yds,0,,,,,
player,201710220min,rav,WatsBe00,pass_long,0,,,,,
player,201710220min,rav,WatsBe00,pass_rating,,,,,,
player,201710220min,rav,WatsBe00,rush_att,0,,,,,
player,201710220min,rav,WatsBe00,rush_yds,0,,,,,
player,201710220min,rav,WatsBe00,rush_td,0,,,,,
player,201710220min,rav,WatsBe00,rush_long,0,,,,,
player,201710220min,rav,WatsBe00,targets,5,,,,,
player,201710220min,rav,WatsBe00,rec,5,,,,,
player,201710220min,rav,WatsBe00,rec_yds,38,,,,,
player,201710220min,rav,WatsBe00,rec_td,0,,,,,
player,201710220min,rav,WatsBe00,rec_long,20,,,,,
player,201710220min,rav,WatsBe00,fumbles,0,,,,,
player,201710220min,rav,WatsBe00,fumbles_lost,0,,,,,
player,201710220min,rav,WhalGr00,pass_cmp,0,,,,,
player,201710220min,rav,WhalGr00,pass_att,0,,,,,
player,201710220min,rav,WhalGr00,pass_yds,0,,,,,
player,201710220min,rav,WhalGr00,pass_td,0,,,,,
player,201710220min,rav,WhalGr00,pass_int,0,,,,,
player,201710220min,rav,WhalGr00,pass_sacked,0,,,,,
player,201710220min,rav,WhalGr00,pass_sacked_yds,0,,,,,
player,201710220min,rav,WhalGr00,pass_long,0,,,,,
player,201710220min,rav,WhalGr00,pass_rating,,,,,,
player,201710220min,rav,WhalGr00,rush_att,0,,,,,
