game,2017,10,20171112,201711120den,nwe,"New England Patriots",41,den,"Denver Broncos",16
team,201711120den,nwe,First Downs,28,,,,,,
team,201711120den,den,First Downs,17,,,,,,
team,201711120den,nwe,Rush-Yds-TDs,29-99-1,,,,,,
team,201711120den,den,Rush-Yds-TDs,28-118-0,,,,,,
team,201711120den,nwe,Cmp-Att-Yd-TD-INT,28-37-303-3-0,,,,,,
team,201711120den,den,Cmp-Att-Yd-TD-INT,18-33-221-1-1,,,,,,
team,201711120den,nwe,Sacked-Yards,1-6,,,,,,
team,201711120den,den,Sacked-Yards,0-0,,,,,,
team,201711120den,nwe,Net Pass Yards,297,,,,,,
team,201711120den,den,Net Pass Yards,221,,,,,,
team,201711120den,nwe,Total Yards,396,,,,,,
team,201711120den,den,Total Yards,339,,,,,,
team,201711120den,nwe,Fumbles-Lost,0-0,,,,,,
team,201711120den,den,Fumbles-Lost,1-1,,,,,,
team,201711120den,nwe,Turnovers,0,,,,,,
team,201711120den,den,Turnovers,2,,,,,,
team,201711120den,nwe,Penalties-Yards,1-5,,,,,,
team,201711120den,den,Penalties-Yards,5-28,,,,,,
team,201711120den,nwe,Third Down Conv.,4-11,,,,,,
team,201711120den,den,Third Down Conv.,8-15,,,,,,
team,201711120den,nwe,Fourth Down Conv.,1-3,,,,,,
team,201711120den,den,Fourth Down Conv.,0-0,,,,,,
team,201711120den,nwe,Time of Possession,29:43,,,,,,
team,201711120den,den,Time of Possession,30:17,,,,,,
player,201711120den,nwe,BradTo00,pass_cmp,25,,,,,
player,201711120den,nwe,BradTo00,pass_att,34,,,,,
player,201711120den,nwe,BradTo00,pass_yds,266,,,,,
player,201711120den,nwe,BradTo00,pass_td,3,,,,,
player,201711120den,nwe,BradTo00,pass_int,0,,,,,
player,201711120den,nwe,BradTo00,pass_sacked,1,,,,,
player,201711120den,nwe,BradTo00,pass_sacked_yds,6,,,,,
player,201711120den,nwe,BradTo00,pass_long,27,,,,,
player,201711120den,nwe,BradTo00,pass_rating,125.4,,,,,
player,201711120den,nwe,BradTo00,rush_att,1,,,,,
player,201711120den,nwe,BradTo00,rush_yds,0,,,,,
player,201711120den,nwe,BradTo00,rush_td,0,,,,,
player,201711120den,nwe,BradTo00,rush_long,0,,,,,
player,201711120den,nwe,BradTo00,targets,0,,,,,
player,201711120den,nwe,BradTo00,rec,0,,,,,
player,201711120den,nwe,BradTo00,rec_yds,0,,,,,
player,201711120den,nwe,BradTo00,rec_td,0,,,,,
player,201711120den,nwe,BradTo00,rec_long,0,,,,,
player,201711120den,nwe,BradTo00,fumbles,0,,,,,
player,201711120den,nwe,BradTo00,fumbles_lost,0,,,,,
player,201711120den,nwe,HoyeBr00,pass_cmp,3,,,,,
player,201711120den,nwe,HoyeBr00,pass_att,3,,,,,
