game,2017,14,20171210,201712100htx,sfo,"San Francisco 49ers",26,htx,"Houston Texans",16
player,201712100htx,sfo,BourKe00,pass_rating,,,,,,
player,201712100htx,sfo,BourKe00,rush_att,0,,,,,
player,201712100htx,sfo,BourKe00,rush_yds,0,,,,,
player,201712100htx,sfo,BourKe00,rush_td,0,,,,,
player,201712100htx,sfo,BourKe00,rush_long,0,,,,,
player,201712100htx,sfo,BourKe00,targets,2,,,,,
player,201712100htx,sfo,BourKe00,rec,2,,,,,
player,201712100htx,sfo,BourKe00,rec_yds,29,,,,,
player,201712100htx,sfo,BourKe00,rec_td,0,,,,,
player,201712100htx,sfo,BourKe00,rec_long,18,,,,,
player,201712100htx,sfo,BourKe00,fumbles,0,,,,,
player,201712100htx,sfo,BourKe00,fumbles_lost,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_cmp,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_att,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_yds,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_td,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_int,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_sacked,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_sacked_yds,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_long,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_rating,,,,,,
player,201712100htx,sfo,RobiAl00,rush_att,0,,,,,
player,201712100htx,sfo,RobiAl00,rush_yds,0,,,,,
player,201712100htx,sfo,RobiAl00,rush_td,0,,,,,
player,201712100htx,sfo,RobiAl00,rush_long,0,,,,,
player,201712100htx,sfo,RobiAl00,targets,2,,,,,
player,201712100htx,sfo,RobiAl00,rec,2,,,,,
player,201712100htx,sfo,RobiAl00,rec_yds,27,,,,,
player,201712100htx,sfo,RobiAl00,rec_td,0,,,,,
player,201712100htx,sfo,RobiAl00,rec_long,18,,,,,
player,201712100htx,sfo,RobiAl00,fumbles,0,,,,,
player,201712100htx,sfo,RobiAl00,fumbles_lost,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_cmp,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_att,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_yds,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_td,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_int,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_sacked,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_sacked_yds,0,,,,,
player,201712100htx,sfo,MurpLo00,pass_long,0,,,,,
