game,2017,14,20171210,201712100htx,sfo,"San Francisco 49ers",26,htx,"Houston Texans",16
player,201712100htx,sfo,WillKW00,pass_defended,0,,,,,
player,201712100htx,sfo,WillKW00,sacks,1.0,,,,,
player,201712100htx,sfo,WillKW00,tackles_combined,2,,,,,
player,201712100htx,sfo,WillKW00,tackles_solo,1,,,,,
player,201712100htx,sfo,WillKW00,tackles_assists,1,,,,,
player,201712100htx,sfo,WillKW00,tackles_loss,1,,,,,
player,201712100htx,sfo,WillKW00,qb_hits,1,,,,,
player,201712100htx,sfo,WillKW00,fumbles_rec,0,,,,,
player,201712100htx,sfo,WillKW00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,WillKW00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,WillKW00,fumbles_forced,0,,,,,
player,201712100htx,sfo,FostRe00,def_int,0,,,,,
player,201712100htx,sfo,FostRe00,def_int_yds,0,,,,,
player,201712100htx,sfo,FostRe00,def_int_td,0,,,,,
player,201712100htx,sfo,FostRe00,def_int_long,0,,,,,
player,201712100htx,sfo,FostRe00,pass_defended,0,,,,,
player,201712100htx,sfo,FostRe00,sacks,0.0,,,,,
player,201712100htx,sfo,FostRe00,tackles_combined,8,,,,,
player,201712100htx,sfo,FostRe00,tackles_solo,7,,,,,
player,201712100htx,sfo,FostRe00,tackles_assists,1,,,,,
player,201712100htx,sfo,FostRe00,tackles_loss,1,,,,,
player,201712100htx,sfo,FostRe00,qb_hits,0,,,,,
player,201712100htx,sfo,FostRe00,fumbles_rec,0,,,,,
player,201712100htx,sfo,FostRe00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,FostRe00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,FostRe00,fumbles_forced,0,,,,,
player,201712100htx,sfo,JohnDo02,def_int,0,,,,,
player,201712100htx,sfo,JohnDo02,def_int_yds,0,,,,,
player,201712100htx,sfo,JohnDo02,def_int_td,0,,,,,
player,201712100htx,sfo,JohnDo02,def_int_long,0,,,,,
player,201712100htx,sfo,JohnDo02,pass_defended,0,,,,,
player,201712100htx,sfo,JohnDo02,sacks,0.0,,,,,
player,201712100htx,sfo,JohnDo02,tackles_combined,7,,,,,
player,201712100htx,sfo,JohnDo02,tackles_solo,7,,,,,
player,201712100htx,sfo,JohnDo02,tackles_assists,0,,,,,
player,201712100htx,sfo,JohnDo02,tackles_loss,0,,,,,
player,201712100htx,sfo,JohnDo02,qb_hits,0,,,,,
player,201712100htx,sfo,JohnDo02,fumbles_rec,0,,,,,
player,201712100htx,sfo,JohnDo02,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,JohnDo02,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,JohnDo02,fumbles_forced,0,,,,,
player,201712100htx,sfo,CoylBr00,def_int,0,,,,,
player,201712100htx,sfo,CoylBr00,def_int_yds,0,,,,,
player,201712100htx,sfo,CoylBr00,def_int_td,0,,,,,
player,201712100htx,sfo,CoylBr00,def_int_long,0,,,,,
player,201712100htx,sfo,CoylBr00,pass_defended,0,,,,,
player,201712100htx,sfo,CoylBr00,sacks,0.0,,,,,
player,201712100htx,sfo,CoylBr00,tackles_combined,4,,,,,
player,201712100htx,sfo,CoylBr00,tackles_solo,2,,,,,
player,201712100htx,sfo,CoylBr00,tackles_assists,2,,,,,
player,201712100htx,sfo,CoylBr00,tackles_loss,0,,,,,
player,201712100htx,sfo,CoylBr00,qb_hits,0,,,,,
player,201712100htx,sfo,CoylBr00,fumbles_rec,0,,,,,
player,201712100htx,sfo,CoylBr00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,CoylBr00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,CoylBr00,fumbles_forced,0,,,,,
player,201712100htx,sfo,LyncAa00,def_int,0,,,,,
player,201712100htx,sfo,LyncAa00,def_int_yds,0,,,,,
player,201712100htx,sfo,LyncAa00,def_int_td,0,,,,,
player,201712100htx,sfo,LyncAa00,def_int_long,0,,,,,
player,201712100htx,sfo,LyncAa00,pass_defended,0,,,,,
player,201712100htx,sfo,LyncAa00,sacks,0.0,,,,,
player,201712100htx,sfo,LyncAa00,tackles_combined,4,,,,,
player,201712100htx,sfo,LyncAa00,tackles_solo,2,,,,,
player,201712100htx,sfo,LyncAa00,tackles_assists,2,,,,,
player,201712100htx,sfo,LyncAa00,tackles_loss,0,,,,,
player,201712100htx,sfo,LyncAa00,qb_hits,0,,,,,
player,201712100htx,sfo,LyncAa00,fumbles_rec,1,,,,,
player,201712100htx,sfo,LyncAa00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,LyncAa00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,LyncAa00,fumbles_forced,0,,,,,
player,201712100htx,sfo,ReidEr00,def_int,0,,,,,
player,201712100htx,sfo,ReidEr00,def_int_yds,0,,,,,
player,201712100htx,sfo,ReidEr00,def_int_td,0,,,,,
player,201712100htx,sfo,ReidEr00,def_int_long,0,,,,,
player,201712100htx,sfo,ReidEr00,pass_defended,0,,,,,
player,201712100htx,sfo,ReidEr00,sacks,0.0,,,,,
player,201712100htx,sfo,ReidEr00,tackles_combined,4,,,,,
player,201712100htx,sfo,ReidEr00,tackles_solo,1,,,,,
player,201712100htx,sfo,ReidEr00,tackles_assists,3,,,,,
player,201712100htx,sfo,ReidEr00,tackles_loss,1,,,,,
player,201712100htx,sfo,ReidEr00,qb_hits,0,,,,,
player,201712100htx,sfo,ReidEr00,fumbles_rec,0,,,,,
player,201712100htx,sfo,ReidEr00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,ReidEr00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,ReidEr00,fumbles_forced,0,,,,,
player,201712100htx,sfo,ColbAd00,def_int,0,,,,,
player,201712100htx,sfo,ColbAd00,def_int_yds,0,,,,,
player,201712100htx,sfo,ColbAd00,def_int_td,0,,,,,
player,201712100htx,sfo,ColbAd00,def_int_long,0,,,,,
player,201712100htx,sfo,ColbAd00,pass_defended,1,,,,,
player,201712100htx,sfo,ColbAd00,sacks,0.0,,,,,
player,201712100htx,sfo,ColbAd00,tackles_combined,3,,,,,
player,201712100htx,sfo,ColbAd00,tackles_solo,3,,,,,
player,201712100htx,sfo,ColbAd00,tackles_assists,0,,,,,
player,201712100htx,sfo,ColbAd00,tackles_loss,0,,,,,
player,201712100htx,sfo,ColbAd00,qb_hits,0,,,,,
player,201712100htx,sfo,ColbAd00,fumbles_rec,0,,,,,
player,201712100htx,sfo,ColbAd00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,ColbAd00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,ColbAd00,fumbles_forced,1,,,,,
player,201712100htx,sfo,WithAh00,def_int,0,,,,,
player,201712100htx,sfo,WithAh00,def_int_yds,0,,,,,
player,201712100htx,sfo,WithAh00,def_int_td,0,,,,,
player,201712100htx,sfo,WithAh00,def_int_long,0,,,,,
player,201712100htx,sfo,WithAh00,pass_defended,0,,,,,
player,201712100htx,sfo,WithAh00,sacks,0.0,,,,,
player,201712100htx,sfo,WithAh00,tackles_combined,3,,,,,
player,201712100htx,sfo,WithAh00,tackles_solo,2,,,,,
player,201712100htx,sfo,WithAh00,tackles_assists,1,,,,,
player,201712100htx,sfo,WithAh00,tackles_loss,0,,,,,
player,201712100htx,sfo,WithAh00,qb_hits,0,,,,,
player,201712100htx,sfo,WithAh00,fumbles_rec,0,,,,,
player,201712100htx,sfo,WithAh00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,WithAh00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,WithAh00,fumbles_forced,0,,,,,
player,201712100htx,sfo,CarrCo00,def_int,0,,,,,
player,201712100htx,sfo,CarrCo00,def_int_yds,0,,,,,
player,201712100htx,sfo,CarrCo00,def_int_td,0,,,,,
player,201712100htx,sfo,CarrCo00,def_int_long,0,,,,,
player,201712100htx,sfo,CarrCo00,pass_defended,0,,,,,
player,201712100htx,sfo,CarrCo00,sacks,0.0,,,,,
player,201712100htx,sfo,CarrCo00,tackles_combined,2,,,,,
player,201712100htx,sfo,CarrCo00,tackles_solo,1,,,,,
player,201712100htx,sfo,CarrCo00,tackles_assists,1,,,,,
player,201712100htx,sfo,CarrCo00,tackles_loss,,,,,,
player,201712100htx,sfo,CarrCo00,qb_hits,,,,,,
player,201712100htx,sfo,CarrCo00,fumbles_rec,0,,,,,
player,201712100htx,sfo,CarrCo00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,CarrCo00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,CarrCo00,fumbles_forced,0,,,,,
player,201712100htx,sfo,DayxSh00,def_int,0,,,,,
player,201712100htx,sfo,DayxSh00,def_int_yds,0,,,,,
player,201712100htx,sfo,DayxSh00,def_int_td,0,,,,,
player,201712100htx,sfo,DayxSh00,def_int_long,0,,,,,
player,201712100htx,sfo,DayxSh00,pass_defended,0,,,,,
player,201712100htx,sfo,DayxSh00,sacks,0.0,,,,,
player,201712100htx,sfo,DayxSh00,tackles_combined,2,,,,,
player,201712100htx,sfo,DayxSh00,tackles_solo,0,,,,,
player,201712100htx,sfo,DayxSh00,tackles_assists,2,,,,,
player,201712100htx,sfo,DayxSh00,tackles_loss,0,,,,,
player,201712100htx,sfo,DayxSh00,qb_hits,0,,,,,
player,201712100htx,sfo,DayxSh00,fumbles_rec,0,,,,,
player,201712100htx,sfo,DayxSh00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,DayxSh00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,DayxSh00,fumbles_forced,0,,,,,
player,201712100htx,sfo,HallLe98,def_int,0,,,,,
player,201712100htx,sfo,HallLe98,def_int_yds,0,,,,,
player,201712100htx,sfo,HallLe98,def_int_td,0,,,,,
player,201712100htx,sfo,HallLe98,def_int_long,0,,,,,
player,201712100htx,sfo,HallLe98,pass_defended,0,,,,,
player,201712100htx,sfo,HallLe98,sacks,0.0,,,,,
player,201712100htx,sfo,HallLe98,tackles_combined,2,,,,,
player,201712100htx,sfo,HallLe98,tackles_solo,2,,,,,
player,201712100htx,sfo,HallLe98,tackles_assists,0,,,,,
player,201712100htx,sfo,HallLe98,tackles_loss,0,,,,,
player,201712100htx,sfo,HallLe98,qb_hits,0,,,,,
player,201712100htx,sfo,HallLe98,fumbles_rec,0,,,,,
player,201712100htx,sfo,HallLe98,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,HallLe98,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,HallLe98,fumbles_forced,0,,,,,
player,201712100htx,sfo,MarsCa00,def_int,0,,,,,
player,201712100htx,sfo,MarsCa00,def_int_yds,0,,,,,
player,201712100htx,sfo,MarsCa00,def_int_td,0,,,,,
player,201712100htx,sfo,MarsCa00,def_int_long,0,,,,,
player,201712100htx,sfo,MarsCa00,pass_defended,0,,,,,
player,201712100htx,sfo,MarsCa00,sacks,0.0,,,,,
player,201712100htx,sfo,MarsCa00,tackles_combined,2,,,,,
player,201712100htx,sfo,MarsCa00,tackles_solo,1,,,,,
player,201712100htx,sfo,MarsCa00,tackles_assists,1,,,,,
player,201712100htx,sfo,MarsCa00,tackles_loss,0,,,,,
player,201712100htx,sfo,MarsCa00,qb_hits,0,,,,,
player,201712100htx,sfo,MarsCa00,fumbles_rec,0,,,,,
player,201712100htx,sfo,MarsCa00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,MarsCa00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,MarsCa00,fumbles_forced,0,,,,,
player,201712100htx,sfo,MitcEa99,def_int,0,,,,,
player,201712100htx,sfo,MitcEa99,def_int_yds,0,,,,,
player,201712100htx,sfo,MitcEa99,def_int_td,0,,,,,
player,201712100htx,sfo,MitcEa99,def_int_long,0,,,,,
player,201712100htx,sfo,MitcEa99,pass_defended,0,,,,,
player,201712100htx,sfo,MitcEa99,sacks,0.0,,,,,
player,201712100htx,sfo,MitcEa99,tackles_combined,2,,,,,
player,201712100htx,sfo,MitcEa99,tackles_solo,1,,,,,
player,201712100htx,sfo,MitcEa99,tackles_assists,1,,,,,
player,201712100htx,sfo,MitcEa99,tackles_loss,1,,,,,
player,201712100htx,sfo,MitcEa99,qb_hits,0,,,,,
player,201712100htx,sfo,MitcEa99,fumbles_rec,0,,,,,
player,201712100htx,sfo,MitcEa99,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,MitcEa99,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,MitcEa99,fumbles_forced,0,,,,,
player,201712100htx,sfo,RobiAl00,def_int,0,,,,,
player,201712100htx,sfo,RobiAl00,def_int_yds,0,,,,,
player,201712100htx,sfo,RobiAl00,def_int_td,0,,,,,
player,201712100htx,sfo,RobiAl00,def_int_long,0,,,,,
player,201712100htx,sfo,RobiAl00,pass_defended,0,,,,,
player,201712100htx,sfo,RobiAl00,sacks,0.0,,,,,
player,201712100htx,sfo,RobiAl00,tackles_combined,2,,,,,
player,201712100htx,sfo,RobiAl00,tackles_solo,2,,,,,
player,201712100htx,sfo,RobiAl00,tackles_assists,0,,,,,
player,201712100htx,sfo,RobiAl00,tackles_loss,0,,,,,
player,201712100htx,sfo,RobiAl00,qb_hits,0,,,,,
player,201712100htx,sfo,RobiAl00,fumbles_rec,0,,,,,
player,201712100htx,sfo,RobiAl00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,RobiAl00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,RobiAl00,fumbles_forced,0,,,,,
player,201712100htx,sfo,ThomSo00,def_int,0,,,,,
player,201712100htx,sfo,ThomSo00,def_int_yds,0,,,,,
player,201712100htx,sfo,ThomSo00,def_int_td,0,,,,,
player,201712100htx,sfo,ThomSo00,def_int_long,0,,,,,
player,201712100htx,sfo,ThomSo00,pass_defended,0,,,,,
player,201712100htx,sfo,ThomSo00,sacks,0.0,,,,,
player,201712100htx,sfo,ThomSo00,tackles_combined,2,,,,,
player,201712100htx,sfo,ThomSo00,tackles_solo,1,,,,,
player,201712100htx,sfo,ThomSo00,tackles_assists,1,,,,,
player,201712100htx,sfo,ThomSo00,tackles_loss,0,,,,,
player,201712100htx,sfo,ThomSo00,qb_hits,0,,,,,
player,201712100htx,sfo,ThomSo00,fumbles_rec,0,,,,,
player,201712100htx,sfo,ThomSo00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,ThomSo00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,ThomSo00,fumbles_forced,0,,,,,
player,201712100htx,sfo,McCoDe00,def_int,0,,,,,
player,201712100htx,sfo,McCoDe00,def_int_yds,0,,,,,
player,201712100htx,sfo,McCoDe00,def_int_td,0,,,,,
player,201712100htx,sfo,McCoDe00,def_int_long,0,,,,,
player,201712100htx,sfo,McCoDe00,pass_defended,0,,,,,
player,201712100htx,sfo,McCoDe00,sacks,0.0,,,,,
player,201712100htx,sfo,McCoDe00,tackles_combined,1,,,,,
player,201712100htx,sfo,McCoDe00,tackles_solo,1,,,,,
player,201712100htx,sfo,McCoDe00,tackles_assists,0,,,,,
player,201712100htx,sfo,McCoDe00,tackles_loss,0,,,,,
player,201712100htx,sfo,McCoDe00,qb_hits,0,,,,,
player,201712100htx,sfo,McCoDe00,fumbles_rec,0,,,,,
player,201712100htx,sfo,McCoDe00,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,McCoDe00,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,McCoDe00,fumbles_forced,0,,,,,
player,201712100htx,sfo,DumeEl20,def_int,0,,,,,
player,201712100htx,sfo,DumeEl20,def_int_yds,0,,,,,
player,201712100htx,sfo,DumeEl20,def_int_td,0,,,,,
player,201712100htx,sfo,DumeEl20,def_int_long,0,,,,,
player,201712100htx,sfo,DumeEl20,pass_defended,0,,,,,
player,201712100htx,sfo,DumeEl20,sacks,0.0,,,,,
player,201712100htx,sfo,DumeEl20,tackles_combined,0,,,,,
player,201712100htx,sfo,DumeEl20,tackles_solo,0,,,,,
player,201712100htx,sfo,DumeEl20,tackles_assists,0,,,,,
player,201712100htx,sfo,DumeEl20,tackles_loss,0,,,,,
player,201712100htx,sfo,DumeEl20,qb_hits,3,,,,,
player,201712100htx,sfo,DumeEl20,fumbles_rec,0,,,,,
player,201712100htx,sfo,DumeEl20,fumbles_rec_yds,0,,,,,
player,201712100htx,sfo,DumeEl20,fumbles_rec_td,0,,,,,
player,201712100htx,sfo,DumeEl20,fumbles_forced,0,,,,,
player,201712100htx,htx,JackKa99,def_int,1,,,,,
player,201712100htx,htx,JackKa99,def_int_yds,2,,,,,
player,201712100htx,htx,JackKa99,def_int_td,0,,,,,
player,201712100htx,htx,JackKa99,def_int_long,2,,,,,
player,201712100htx,htx,JackKa99,pass_defended,1,,,,,
player,201712100htx,htx,JackKa99,sacks,0.0,,,,,
player,201712100htx,htx,JackKa99,tackles_combined,3,,,,,
player,201712100htx,htx,JackKa99,tackles_solo,3,,,,,
player,201712100htx,htx,JackKa99,tackles_assists,0,,,,,
player,201712100htx,htx,JackKa99,tackles_loss,0,,,,,
player,201712100htx,htx,JackKa99,qb_hits,0,,,,,
player,201712100htx,htx,JackKa99,fumbles_rec,0,,,,,
player,201712100htx,htx,JackKa99,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,JackKa99,fumbles_rec_td,0,,,,,
player,201712100htx,htx,JackKa99,fumbles_forced,0,,,,,
player,201712100htx,htx,LewiLa01,def_int,0,,,,,
player,201712100htx,htx,LewiLa01,def_int_yds,0,,,,,
player,201712100htx,htx,LewiLa01,def_int_td,0,,,,,
player,201712100htx,htx,LewiLa01,def_int_long,0,,,,,
player,201712100htx,htx,LewiLa01,pass_defended,0,,,,,
player,201712100htx,htx,LewiLa01,sacks,1.0,,,,,
player,201712100htx,htx,LewiLa01,tackles_combined,1,,,,,
player,201712100htx,htx,LewiLa01,tackles_solo,1,,,,,
player,201712100htx,htx,LewiLa01,tackles_assists,0,,,,,
player,201712100htx,htx,LewiLa01,tackles_loss,1,,,,,
player,201712100htx,htx,LewiLa01,qb_hits,1,,,,,
player,201712100htx,htx,LewiLa01,fumbles_rec,0,,,,,
player,201712100htx,htx,LewiLa01,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,LewiLa01,fumbles_rec_td,0,,,,,
player,201712100htx,htx,LewiLa01,fumbles_forced,0,,,,,
player,201712100htx,htx,CunnZa00,def_int,0,,,,,
player,201712100htx,htx,CunnZa00,def_int_yds,0,,,,,
player,201712100htx,htx,CunnZa00,def_int_td,0,,,,,
player,201712100htx,htx,CunnZa00,def_int_long,0,,,,,
player,201712100htx,htx,CunnZa00,pass_defended,1,,,,,
player,201712100htx,htx,CunnZa00,sacks,0.5,,,,,
player,201712100htx,htx,CunnZa00,tackles_combined,9,,,,,
player,201712100htx,htx,CunnZa00,tackles_solo,6,,,,,
player,201712100htx,htx,CunnZa00,tackles_assists,3,,,,,
player,201712100htx,htx,CunnZa00,tackles_loss,1,,,,,
player,201712100htx,htx,CunnZa00,qb_hits,1,,,,,
player,201712100htx,htx,CunnZa00,fumbles_rec,0,,,,,
player,201712100htx,htx,CunnZa00,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,CunnZa00,fumbles_rec_td,0,,,,,
player,201712100htx,htx,CunnZa00,fumbles_forced,0,,,,,
player,201712100htx,htx,CushBr99,def_int,0,,,,,
player,201712100htx,htx,CushBr99,def_int_yds,0,,,,,
player,201712100htx,htx,CushBr99,def_int_td,0,,,,,
player,201712100htx,htx,CushBr99,def_int_long,0,,,,,
player,201712100htx,htx,CushBr99,pass_defended,0,,,,,
player,201712100htx,htx,CushBr99,sacks,0.5,,,,,
player,201712100htx,htx,CushBr99,tackles_combined,5,,,,,
player,201712100htx,htx,CushBr99,tackles_solo,2,,,,,
player,201712100htx,htx,CushBr99,tackles_assists,3,,,,,
player,201712100htx,htx,CushBr99,tackles_loss,0,,,,,
player,201712100htx,htx,CushBr99,qb_hits,1,,,,,
player,201712100htx,htx,CushBr99,fumbles_rec,0,,,,,
player,201712100htx,htx,CushBr99,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,CushBr99,fumbles_rec_td,0,,,,,
player,201712100htx,htx,CushBr99,fumbles_forced,0,,,,,
player,201712100htx,htx,ClowJa00,def_int,0,,,,,
player,201712100htx,htx,ClowJa00,def_int_yds,0,,,,,
player,201712100htx,htx,ClowJa00,def_int_td,0,,,,,
player,201712100htx,htx,ClowJa00,def_int_long,0,,,,,
player,201712100htx,htx,ClowJa00,pass_defended,0,,,,,
player,201712100htx,htx,ClowJa00,sacks,0.0,,,,,
player,201712100htx,htx,ClowJa00,tackles_combined,6,,,,,
player,201712100htx,htx,ClowJa00,tackles_solo,3,,,,,
player,201712100htx,htx,ClowJa00,tackles_assists,3,,,,,
player,201712100htx,htx,ClowJa00,tackles_loss,2,,,,,
player,201712100htx,htx,ClowJa00,qb_hits,4,,,,,
player,201712100htx,htx,ClowJa00,fumbles_rec,0,,,,,
player,201712100htx,htx,ClowJa00,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,ClowJa00,fumbles_rec_td,0,,,,,
player,201712100htx,htx,ClowJa00,fumbles_forced,0,,,,,
player,201712100htx,htx,GilcMa00,def_int,0,,,,,
player,201712100htx,htx,GilcMa00,def_int_yds,0,,,,,
player,201712100htx,htx,GilcMa00,def_int_td,0,,,,,
player,201712100htx,htx,GilcMa00,def_int_long,0,,,,,
player,201712100htx,htx,GilcMa00,pass_defended,1,,,,,
player,201712100htx,htx,GilcMa00,sacks,0.0,,,,,
player,201712100htx,htx,GilcMa00,tackles_combined,6,,,,,
player,201712100htx,htx,GilcMa00,tackles_solo,6,,,,,
player,201712100htx,htx,GilcMa00,tackles_assists,0,,,,,
player,201712100htx,htx,GilcMa00,tackles_loss,0,,,,,
player,201712100htx,htx,GilcMa00,qb_hits,0,,,,,
player,201712100htx,htx,GilcMa00,fumbles_rec,0,,,,,
player,201712100htx,htx,GilcMa00,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,GilcMa00,fumbles_rec_td,0,,,,,
player,201712100htx,htx,GilcMa00,fumbles_forced,0,,,,,
player,201712100htx,htx,JohnKe04,def_int,0,,,,,
player,201712100htx,htx,JohnKe04,def_int_yds,0,,,,,
player,201712100htx,htx,JohnKe04,def_int_td,0,,,,,
player,201712100htx,htx,JohnKe04,def_int_long,0,,,,,
player,201712100htx,htx,JohnKe04,pass_defended,0,,,,,
player,201712100htx,htx,JohnKe04,sacks,0.0,,,,,
player,201712100htx,htx,JohnKe04,tackles_combined,5,,,,,
player,201712100htx,htx,JohnKe04,tackles_solo,4,,,,,
player,201712100htx,htx,JohnKe04,tackles_assists,1,,,,,
player,201712100htx,htx,JohnKe04,tackles_loss,0,,,,,
player,201712100htx,htx,JohnKe04,qb_hits,0,,,,,
player,201712100htx,htx,JohnKe04,fumbles_rec,0,,,,,
player,201712100htx,htx,JohnKe04,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,JohnKe04,fumbles_rec_td,0,,,,,
player,201712100htx,htx,JohnKe04,fumbles_forced,0,,,,,
player,201712100htx,htx,McKiBe00,def_int,0,,,,,
player,201712100htx,htx,McKiBe00,def_int_yds,0,,,,,
player,201712100htx,htx,McKiBe00,def_int_td,0,,,,,
player,201712100htx,htx,McKiBe00,def_int_long,0,,,,,
player,201712100htx,htx,McKiBe00,pass_defended,0,,,,,
player,201712100htx,htx,McKiBe00,sacks,0.0,,,,,
player,201712100htx,htx,McKiBe00,tackles_combined,4,,,,,
player,201712100htx,htx,McKiBe00,tackles_solo,3,,,,,
player,201712100htx,htx,McKiBe00,tackles_assists,1,,,,,
player,201712100htx,htx,McKiBe00,tackles_loss,0,,,,,
player,201712100htx,htx,McKiBe00,qb_hits,1,,,,,
player,201712100htx,htx,McKiBe00,fumbles_rec,0,,,,,
player,201712100htx,htx,McKiBe00,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,McKiBe00,fumbles_rec_td,0,,,,,
player,201712100htx,htx,McKiBe00,fumbles_forced,0,,,,,
player,201712100htx,htx,HalxAn00,def_int,0,,,,,
player,201712100htx,htx,HalxAn00,def_int_yds,0,,,,,
player,201712100htx,htx,HalxAn00,def_int_td,0,,,,,
player,201712100htx,htx,HalxAn00,def_int_long,0,,,,,
player,201712100htx,htx,HalxAn00,pass_defended,0,,,,,
player,201712100htx,htx,HalxAn00,sacks,0.0,,,,,
player,201712100htx,htx,HalxAn00,tackles_combined,3,,,,,
player,201712100htx,htx,HalxAn00,tackles_solo,3,,,,,
player,201712100htx,htx,HalxAn00,tackles_assists,0,,,,,
player,201712100htx,htx,HalxAn00,tackles_loss,0,,,,,
player,201712100htx,htx,HalxAn00,qb_hits,1,,,,,
player,201712100htx,htx,HalxAn00,fumbles_rec,0,,,,,
player,201712100htx,htx,HalxAn00,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,HalxAn00,fumbles_rec_td,0,,,,,
player,201712100htx,htx,HalxAn00,fumbles_forced,0,,,,,
player,201712100htx,htx,HeatJo00,def_int,0,,,,,
player,201712100htx,htx,HeatJo00,def_int_yds,0,,,,,
player,201712100htx,htx,HeatJo00,def_int_td,0,,,,,
player,201712100htx,htx,HeatJo00,def_int_long,0,,,,,
player,201712100htx,htx,HeatJo00,pass_defended,0,,,,,
player,201712100htx,htx,HeatJo00,sacks,0.0,,,,,
player,201712100htx,htx,HeatJo00,tackles_combined,3,,,,,
player,201712100htx,htx,HeatJo00,tackles_solo,1,,,,,
player,201712100htx,htx,HeatJo00,tackles_assists,2,,,,,
player,201712100htx,htx,HeatJo00,tackles_loss,0,,,,,
player,201712100htx,htx,HeatJo00,qb_hits,0,,,,,
player,201712100htx,htx,HeatJo00,fumbles_rec,0,,,,,
player,201712100htx,htx,HeatJo00,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,HeatJo00,fumbles_rec_td,0,,,,,
player,201712100htx,htx,HeatJo00,fumbles_forced,0,,,,,
player,201712100htx,htx,ReadD.00,def_int,0,,,,,
player,201712100htx,htx,ReadD.00,def_int_yds,0,,,,,
player,201712100htx,htx,ReadD.00,def_int_td,0,,,,,
player,201712100htx,htx,ReadD.00,def_int_long,0,,,,,
player,201712100htx,htx,ReadD.00,pass_defended,0,,,,,
player,201712100htx,htx,ReadD.00,sacks,0.0,,,,,
player,201712100htx,htx,ReadD.00,tackles_combined,3,,,,,
player,201712100htx,htx,ReadD.00,tackles_solo,1,,,,,
player,201712100htx,htx,ReadD.00,tackles_assists,2,,,,,
player,201712100htx,htx,ReadD.00,tackles_loss,0,,,,,
player,201712100htx,htx,ReadD.00,qb_hits,0,,,,,
player,201712100htx,htx,ReadD.00,fumbles_rec,0,,,,,
player,201712100htx,htx,ReadD.00,fumbles_rec_yds,0,,,,,
player,201712100htx,htx,ReadD.00,fumbles_rec_td,0,,,,,
player,201712100htx,htx,ReadD.00,fumbles_forced,0,,,,,
player,201712100htx,htx,BlacAn00,def_int,0,,,,,
player,201712100htx,htx,BlacAn00,def_int_yds,0,,,,,
player,201712100htx,htx,BlacAn00,def_int_td,0,,,,,
player,201712100htx,htx,BlacAn00,def_int_long,0,,,,,
player,201712100htx,htx,BlacAn00,pass_defended,0,,,,,
player,201712100htx,htx,BlacAn00,sacks,0.0,,,,,
player,201712100htx,htx,BlacAn00,tackles_combined,2,,,,,
player,201712100htx,htx,BlacAn00,tackles_solo,2,,,,,
player,201712100htx,htx,BlacAn00,tackles_assists,0,,,,,
player,201712100htx,htx,BlacAn00,tackles_loss,0,,,,,
player,201712100htx,htx,BlacAn00,qb_hits,0,,,,,
player,201712100htx,htx,BlacAn00,fumbles_rec,0,,,,,
player,201712100htx,htx,BlacAn00,fumbles_rec_yds,0,,,,,
