game,2017,11,20171119,201711190nyg,kan,"Kansas City Chiefs",9,nyg,"New York Giants",12
team,201711190nyg,kan,First Downs,22,,,,,,
team,201711190nyg,nyg,First Downs,20,,,,,,
team,201711190nyg,kan,Rush-Yds-TDs,29-134-0,,,,,,
team,201711190nyg,nyg,Rush-Yds-TDs,32-112-1,,,,,,
team,201711190nyg,kan,Cmp-Att-Yd-TD-INT,27-41-230-0-3,,,,,,
team,201711190nyg,nyg,Cmp-Att-Yd-TD-INT,19-36-205-0-1,,,,,,
team,201711190nyg,kan,Sacked-Yards,1-1,,,,,,
team,201711190nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201711190nyg,kan,Net Pass Yards,229,,,,,,
team,201711190nyg,nyg,Net Pass Yards,205,,,,,,
team,201711190nyg,kan,Total Yards,363,,,,,,
team,201711190nyg,nyg,Total Yards,317,,,,,,
team,201711190nyg,kan,Fumbles-Lost,1-0,,,,,,
team,201711190nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201711190nyg,kan,Turnovers,3,,,,,,
team,201711190nyg,nyg,Turnovers,1,,,,,,
team,201711190nyg,kan,Penalties-Yards,9-87,,,,,,
team,201711190nyg,nyg,Penalties-Yards,5-48,,,,,,
team,201711190nyg,kan,Third Down Conv.,3-11,,,,,,
team,201711190nyg,nyg,Third Down Conv.,3-13,,,,,,
team,201711190nyg,kan,Fourth Down Conv.,1-1,,,,,,
team,201711190nyg,nyg,Fourth Down Conv.,2-3,,,,,,
team,201711190nyg,kan,Time of Possession,37:16,,,,,,
team,201711190nyg,nyg,Time of Possession,30:50,,,,,,
player,201711190nyg,kan,SmitAl03,pass_cmp,27,,,,,
player,201711190nyg,kan,SmitAl03,pass_att,40,,,,,
player,201711190nyg,kan,SmitAl03,pass_yds,230,,,,,
player,201711190nyg,kan,SmitAl03,pass_td,0,,,,,
player,201711190nyg,kan,SmitAl03,pass_int,2,,,,,
player,201711190nyg,kan,SmitAl03,pass_sacked,1,,,,,
player,201711190nyg,kan,SmitAl03,pass_sacked_yds,1,,,,,
player,201711190nyg,kan,SmitAl03,pass_long,38,,,,,
player,201711190nyg,kan,SmitAl03,pass_rating,61.5,,,,,
player,201711190nyg,kan,SmitAl03,rush_att,5,,,,,
player,201711190nyg,kan,SmitAl03,rush_yds,27,,,,,
player,201711190nyg,kan,SmitAl03,rush_td,0,,,,,
player,201711190nyg,kan,SmitAl03,rush_long,7,,,,,
player,201711190nyg,kan,SmitAl03,targets,0,,,,,
player,201711190nyg,kan,SmitAl03,rec,0,,,,,
player,201711190nyg,kan,SmitAl03,rec_yds,0,,,,,
player,201711190nyg,kan,SmitAl03,rec_td,0,,,,,
player,201711190nyg,kan,SmitAl03,rec_long,0,,,,,
player,201711190nyg,kan,SmitAl03,fumbles,0,,,,,
player,201711190nyg,kan,SmitAl03,fumbles_lost,0,,,,,
player,201711190nyg,kan,KelcTr00,pass_cmp,0,,,,,
player,201711190nyg,kan,KelcTr00,pass_att,1,,,,,
player,201711190nyg,kan,KelcTr00,pass_yds,0,,,,,
player,201711190nyg,kan,KelcTr00,pass_td,0,,,,,
player,201711190nyg,kan,KelcTr00,pass_int,1,,,,,
player,201711190nyg,kan,KelcTr00,pass_sacked,0,,,,,
player,201711190nyg,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201711190nyg,kan,KelcTr00,pass_long,0,,,,,
player,201711190nyg,kan,KelcTr00,pass_rating,0.0,,,,,
player,201711190nyg,kan,KelcTr00,rush_att,0,,,,,
player,201711190nyg,kan,KelcTr00,rush_yds,0,,,,,
player,201711190nyg,kan,KelcTr00,rush_td,0,,,,,
player,201711190nyg,kan,KelcTr00,rush_long,0,,,,,
player,201711190nyg,kan,KelcTr00,targets,14,,,,,
player,201711190nyg,kan,KelcTr00,rec,8,,,,,
player,201711190nyg,kan,KelcTr00,rec_yds,109,,,,,
player,201711190nyg,kan,KelcTr00,rec_td,0,,,,,
player,201711190nyg,kan,KelcTr00,rec_long,32,,,,,
player,201711190nyg,kan,KelcTr00,fumbles,0,,,,,
player,201711190nyg,kan,KelcTr00,fumbles_lost,0,,,,,
