game,2017,17,20171231,201712310nyg,was,"Washington Redskins",10,nyg,"New York Giants",18
team,201712310nyg,was,First Downs,10,,,,,,
team,201712310nyg,nyg,First Downs,17,,,,,,
team,201712310nyg,was,Rush-Yds-TDs,16-61-1,,,,,,
team,201712310nyg,nyg,Rush-Yds-TDs,44-260-1,,,,,,
team,201712310nyg,was,Cmp-Att-Yd-TD-INT,20-37-158-0-3,,,,,,
team,201712310nyg,nyg,Cmp-Att-Yd-TD-INT,10-28-132-1-1,,,,,,
team,201712310nyg,was,Sacked-Yards,3-22,,,,,,
team,201712310nyg,nyg,Sacked-Yards,2-11,,,,,,
team,201712310nyg,was,Net Pass Yards,136,,,,,,
team,201712310nyg,nyg,Net Pass Yards,121,,,,,,
team,201712310nyg,was,Total Yards,197,,,,,,
team,201712310nyg,nyg,Total Yards,381,,,,,,
team,201712310nyg,was,Fumbles-Lost,0-0,,,,,,
team,201712310nyg,nyg,Fumbles-Lost,3-0,,,,,,
team,201712310nyg,was,Turnovers,3,,,,,,
team,201712310nyg,nyg,Turnovers,1,,,,,,
team,201712310nyg,was,Penalties-Yards,4-35,,,,,,
team,201712310nyg,nyg,Penalties-Yards,3-25,,,,,,
team,201712310nyg,was,Third Down Conv.,1-13,,,,,,
team,201712310nyg,nyg,Third Down Conv.,4-16,,,,,,
team,201712310nyg,was,Fourth Down Conv.,1-1,,,,,,
team,201712310nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201712310nyg,was,Time of Possession,28:07,,,,,,
team,201712310nyg,nyg,Time of Possession,31:53,,,,,,
player,201712310nyg,was,CousKi00,pass_cmp,20,,,,,
player,201712310nyg,was,CousKi00,pass_att,37,,,,,
player,201712310nyg,was,CousKi00,pass_yds,158,,,,,
player,201712310nyg,was,CousKi00,pass_td,0,,,,,
player,201712310nyg,was,CousKi00,pass_int,3,,,,,
player,201712310nyg,was,CousKi00,pass_sacked,3,,,,,
player,201712310nyg,was,CousKi00,pass_sacked_yds,22,,,,,
player,201712310nyg,was,CousKi00,pass_long,20,,,,,
player,201712310nyg,was,CousKi00,pass_rating,31.1,,,,,
player,201712310nyg,was,CousKi00,rush_att,1,,,,,
player,201712310nyg,was,CousKi00,rush_yds,12,,,,,
player,201712310nyg,was,CousKi00,rush_td,1,,,,,
player,201712310nyg,was,CousKi00,rush_long,12,,,,,
player,201712310nyg,was,CousKi00,targets,0,,,,,
player,201712310nyg,was,CousKi00,rec,0,,,,,
player,201712310nyg,was,CousKi00,rec_yds,0,,,,,
player,201712310nyg,was,CousKi00,rec_td,0,,,,,
player,201712310nyg,was,CousKi00,rec_long,0,,,,,
player,201712310nyg,was,CousKi00,fumbles,0,,,,,
player,201712310nyg,was,CousKi00,fumbles_lost,0,,,,,
player,201712310nyg,was,BibbKa00,pass_cmp,0,,,,,
player,201712310nyg,was,BibbKa00,pass_att,0,,,,,
player,201712310nyg,was,BibbKa00,pass_yds,0,,,,,
player,201712310nyg,was,BibbKa00,pass_td,0,,,,,
player,201712310nyg,was,BibbKa00,pass_int,0,,,,,
player,201712310nyg,was,BibbKa00,pass_sacked,0,,,,,
player,201712310nyg,was,BibbKa00,pass_sacked_yds,0,,,,,
player,201712310nyg,was,BibbKa00,pass_long,0,,,,,
player,201712310nyg,was,BibbKa00,pass_rating,,,,,,
player,201712310nyg,was,BibbKa00,rush_att,12,,,,,
player,201712310nyg,was,BibbKa00,rush_yds,47,,,,,
player,201712310nyg,was,BibbKa00,rush_td,0,,,,,
player,201712310nyg,was,BibbKa00,rush_long,16,,,,,
player,201712310nyg,was,BibbKa00,targets,9,,,,,
player,201712310nyg,was,BibbKa00,rec,8,,,,,
player,201712310nyg,was,BibbKa00,rec_yds,53,,,,,
player,201712310nyg,was,BibbKa00,rec_td,0,,,,,
player,201712310nyg,was,BibbKa00,rec_long,14,,,,,
player,201712310nyg,was,BibbKa00,fumbles,0,,,,,
player,201712310nyg,was,BibbKa00,fumbles_lost,0,,,,,
player,201712310nyg,was,PeriSa00,pass_cmp,0,,,,,
