game,2017,7,20171022,201710220sdg,den,"Denver Broncos",0,sdg,"Los Angeles Chargers",21
team,201710220sdg,den,First Downs,12,,,,,,
team,201710220sdg,sdg,First Downs,14,,,,,,
team,201710220sdg,den,Rush-Yds-TDs,19-69-0,,,,,,
team,201710220sdg,sdg,Rush-Yds-TDs,26-80-0,,,,,,
team,201710220sdg,den,Cmp-Att-Yd-TD-INT,25-35-207-0-1,,,,,,
team,201710220sdg,sdg,Cmp-Att-Yd-TD-INT,15-26-183-2-0,,,,,,
team,201710220sdg,den,Sacked-Yards,5-25,,,,,,
team,201710220sdg,sdg,Sacked-Yards,3-21,,,,,,
team,201710220sdg,den,Net Pass Yards,182,,,,,,
team,201710220sdg,sdg,Net Pass Yards,162,,,,,,
team,201710220sdg,den,Total Yards,251,,,,,,
team,201710220sdg,sdg,Total Yards,242,,,,,,
team,201710220sdg,den,Fumbles-Lost,3-2,,,,,,
team,201710220sdg,sdg,Fumbles-Lost,0-0,,,,,,
team,201710220sdg,den,Turnovers,3,,,,,,
team,201710220sdg,sdg,Turnovers,0,,,,,,
team,201710220sdg,den,Penalties-Yards,10-68,,,,,,
team,201710220sdg,sdg,Penalties-Yards,9-81,,,,,,
team,201710220sdg,den,Third Down Conv.,3-14,,,,,,
team,201710220sdg,sdg,Third Down Conv.,3-12,,,,,,
team,201710220sdg,den,Fourth Down Conv.,0-2,,,,,,
team,201710220sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201710220sdg,den,Time of Possession,31:04,,,,,,
team,201710220sdg,sdg,Time of Possession,28:56,,,,,,
player,201710220sdg,den,SiemTr00,pass_cmp,25,,,,,
player,201710220sdg,den,SiemTr00,pass_att,35,,,,,
player,201710220sdg,den,SiemTr00,pass_yds,207,,,,,
player,201710220sdg,den,SiemTr00,pass_td,0,,,,,
player,201710220sdg,den,SiemTr00,pass_int,1,,,,,
player,201710220sdg,den,SiemTr00,pass_sacked,5,,,,,
player,201710220sdg,den,SiemTr00,pass_sacked_yds,25,,,,,
player,201710220sdg,den,SiemTr00,pass_long,23,,,,,
player,201710220sdg,den,SiemTr00,pass_rating,74.3,,,,,
player,201710220sdg,den,SiemTr00,rush_att,2,,,,,
player,201710220sdg,den,SiemTr00,rush_yds,14,,,,,
player,201710220sdg,den,SiemTr00,rush_td,0,,,,,
player,201710220sdg,den,SiemTr00,rush_long,8,,,,,
player,201710220sdg,den,SiemTr00,targets,0,,,,,
player,201710220sdg,den,SiemTr00,rec,0,,,,,
player,201710220sdg,den,SiemTr00,rec_yds,0,,,,,
player,201710220sdg,den,SiemTr00,rec_td,0,,,,,
player,201710220sdg,den,SiemTr00,rec_long,0,,,,,
player,201710220sdg,den,SiemTr00,fumbles,2,,,,,
player,201710220sdg,den,SiemTr00,fumbles_lost,1,,,,,
player,201710220sdg,den,AndeC.00,pass_cmp,0,,,,,
player,201710220sdg,den,AndeC.00,pass_att,0,,,,,
player,201710220sdg,den,AndeC.00,pass_yds,0,,,,,
player,201710220sdg,den,AndeC.00,pass_td,0,,,,,
player,201710220sdg,den,AndeC.00,pass_int,0,,,,,
player,201710220sdg,den,AndeC.00,pass_sacked,0,,,,,
player,201710220sdg,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201710220sdg,den,AndeC.00,pass_long,0,,,,,
player,201710220sdg,den,AndeC.00,pass_rating,,,,,,
player,201710220sdg,den,AndeC.00,rush_att,10,,,,,
player,201710220sdg,den,AndeC.00,rush_yds,44,,,,,
player,201710220sdg,den,AndeC.00,rush_td,0,,,,,
player,201710220sdg,den,AndeC.00,rush_long,11,,,,,
player,201710220sdg,den,AndeC.00,targets,2,,,,,
player,201710220sdg,den,AndeC.00,rec,1,,,,,
player,201710220sdg,den,AndeC.00,rec_yds,17,,,,,
player,201710220sdg,den,AndeC.00,rec_td,0,,,,,
player,201710220sdg,den,AndeC.00,rec_long,17,,,,,
player,201710220sdg,den,AndeC.00,fumbles,0,,,,,
player,201710220sdg,den,AndeC.00,fumbles_lost,0,,,,,
player,201710220sdg,den,BookDe00,pass_cmp,0,,,,,
player,201710220sdg,den,BookDe00,pass_att,0,,,,,
player,201710220sdg,den,BookDe00,pass_yds,0,,,,,
player,201710220sdg,den,BookDe00,pass_td,0,,,,,
player,201710220sdg,den,BookDe00,pass_int,0,,,,,
player,201710220sdg,den,BookDe00,pass_sacked,0,,,,,
player,201710220sdg,den,BookDe00,pass_sacked_yds,0,,,,,
player,201710220sdg,den,BookDe00,pass_long,0,,,,,
player,201710220sdg,den,BookDe00,pass_rating,,,,,,
player,201710220sdg,den,BookDe00,rush_att,2,,,,,
player,201710220sdg,den,BookDe00,rush_yds,6,,,,,
player,201710220sdg,den,BookDe00,rush_td,0,,,,,
player,201710220sdg,den,BookDe00,rush_long,6,,,,,
player,201710220sdg,den,BookDe00,targets,4,,,,,
player,201710220sdg,den,BookDe00,rec,3,,,,,
player,201710220sdg,den,BookDe00,rec_yds,22,,,,,
player,201710220sdg,den,BookDe00,rec_td,0,,,,,
player,201710220sdg,den,BookDe00,rec_long,15,,,,,
player,201710220sdg,den,BookDe00,fumbles,0,,,,,
player,201710220sdg,den,BookDe00,fumbles_lost,0,,,,,
player,201710220sdg,den,JanoAn00,pass_cmp,0,,,,,
player,201710220sdg,den,JanoAn00,pass_att,0,,,,,
player,201710220sdg,den,JanoAn00,pass_yds,0,,,,,
player,201710220sdg,den,JanoAn00,pass_td,0,,,,,
player,201710220sdg,den,JanoAn00,pass_int,0,,,,,
player,201710220sdg,den,JanoAn00,pass_sacked,0,,,,,
player,201710220sdg,den,JanoAn00,pass_sacked_yds,0,,,,,
player,201710220sdg,den,JanoAn00,pass_long,0,,,,,
player,201710220sdg,den,JanoAn00,pass_rating,,,,,,
player,201710220sdg,den,JanoAn00,rush_att,1,,,,,
player,201710220sdg,den,JanoAn00,rush_yds,3,,,,,
player,201710220sdg,den,JanoAn00,rush_td,0,,,,,
player,201710220sdg,den,JanoAn00,rush_long,3,,,,,
player,201710220sdg,den,JanoAn00,targets,2,,,,,
player,201710220sdg,den,JanoAn00,rec,2,,,,,
