game,2017,3,20170924,201709240min,tam,"Tampa Bay Buccaneers",17,min,"Minnesota Vikings",34
player,201709240min,tam,ReedBe01,rush_att,1,,,,,
player,201709240min,tam,ReedBe01,rush_yds,3,,,,,
player,201709240min,tam,ReedBe01,rush_td,0,,,,,
player,201709240min,tam,ReedBe01,rush_long,3,,,,,
player,201709240min,tam,ReedBe01,targets,1,,,,,
player,201709240min,tam,ReedBe01,rec,1,,,,,
player,201709240min,tam,ReedBe01,rec_yds,6,,,,,
player,201709240min,tam,ReedBe01,rec_td,0,,,,,
player,201709240min,tam,ReedBe01,rec_long,6,,,,,
player,201709240min,tam,ReedBe01,fumbles,0,,,,,
player,201709240min,tam,ReedBe01,fumbles_lost,0,,,,,
player,201709240min,tam,JackDe00,pass_cmp,0,,,,,
player,201709240min,tam,JackDe00,pass_att,0,,,,,
player,201709240min,tam,JackDe00,pass_yds,0,,,,,
player,201709240min,tam,JackDe00,pass_td,0,,,,,
player,201709240min,tam,JackDe00,pass_int,0,,,,,
player,201709240min,tam,JackDe00,pass_sacked,0,,,,,
player,201709240min,tam,JackDe00,pass_sacked_yds,0,,,,,
player,201709240min,tam,JackDe00,pass_long,0,,,,,
player,201709240min,tam,JackDe00,pass_rating,,,,,,
player,201709240min,tam,JackDe00,rush_att,0,,,,,
player,201709240min,tam,JackDe00,rush_yds,0,,,,,
player,201709240min,tam,JackDe00,rush_td,0,,,,,
player,201709240min,tam,JackDe00,rush_long,0,,,,,
player,201709240min,tam,JackDe00,targets,7,,,,,
player,201709240min,tam,JackDe00,rec,4,,,,,
player,201709240min,tam,JackDe00,rec_yds,84,,,,,
player,201709240min,tam,JackDe00,rec_td,1,,,,,
player,201709240min,tam,JackDe00,rec_long,32,,,,,
player,201709240min,tam,JackDe00,fumbles,0,,,,,
player,201709240min,tam,JackDe00,fumbles_lost,0,,,,,
player,201709240min,tam,HumpAd00,pass_cmp,0,,,,,
player,201709240min,tam,HumpAd00,pass_att,0,,,,,
player,201709240min,tam,HumpAd00,pass_yds,0,,,,,
player,201709240min,tam,HumpAd00,pass_td,0,,,,,
player,201709240min,tam,HumpAd00,pass_int,0,,,,,
player,201709240min,tam,HumpAd00,pass_sacked,0,,,,,
player,201709240min,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201709240min,tam,HumpAd00,pass_long,0,,,,,
player,201709240min,tam,HumpAd00,pass_rating,,,,,,
player,201709240min,tam,HumpAd00,rush_att,0,,,,,
player,201709240min,tam,HumpAd00,rush_yds,0,,,,,
player,201709240min,tam,HumpAd00,rush_td,0,,,,,
player,201709240min,tam,HumpAd00,rush_long,0,,,,,
player,201709240min,tam,HumpAd00,targets,10,,,,,
player,201709240min,tam,HumpAd00,rec,6,,,,,
player,201709240min,tam,HumpAd00,rec_yds,68,,,,,
player,201709240min,tam,HumpAd00,rec_td,0,,,,,
player,201709240min,tam,HumpAd00,rec_long,17,,,,,
player,201709240min,tam,HumpAd00,fumbles,0,,,,,
player,201709240min,tam,HumpAd00,fumbles_lost,0,,,,,
player,201709240min,tam,EvanMi00,pass_cmp,0,,,,,
player,201709240min,tam,EvanMi00,pass_att,0,,,,,
player,201709240min,tam,EvanMi00,pass_yds,0,,,,,
player,201709240min,tam,EvanMi00,pass_td,0,,,,,
player,201709240min,tam,EvanMi00,pass_int,0,,,,,
player,201709240min,tam,EvanMi00,pass_sacked,0,,,,,
player,201709240min,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201709240min,tam,EvanMi00,pass_long,0,,,,,
player,201709240min,tam,EvanMi00,pass_rating,,,,,,
player,201709240min,tam,EvanMi00,rush_att,0,,,,,
player,201709240min,tam,EvanMi00,rush_yds,0,,,,,
player,201709240min,tam,EvanMi00,rush_td,0,,,,,
player,201709240min,tam,EvanMi00,rush_long,0,,,,,
player,201709240min,tam,EvanMi00,targets,12,,,,,
player,201709240min,tam,EvanMi00,rec,7,,,,,
player,201709240min,tam,EvanMi00,rec_yds,67,,,,,
player,201709240min,tam,EvanMi00,rec_td,0,,,,,
player,201709240min,tam,EvanMi00,rec_long,17,,,,,
player,201709240min,tam,EvanMi00,fumbles,0,,,,,
player,201709240min,tam,EvanMi00,fumbles_lost,0,,,,,
player,201709240min,tam,GodwCh00,pass_cmp,0,,,,,
