game,2017,13,20171203,201712030sdg,cle,"Cleveland Browns",10,sdg,"Los Angeles Chargers",19
player,201712030sdg,cle,KizeDe00,targets,0,,,,,
player,201712030sdg,cle,KizeDe00,rec,0,,,,,
player,201712030sdg,cle,KizeDe00,rec_yds,0,,,,,
player,201712030sdg,cle,KizeDe00,rec_td,0,,,,,
player,201712030sdg,cle,KizeDe00,rec_long,0,,,,,
player,201712030sdg,cle,KizeDe00,fumbles,1,,,,,
player,201712030sdg,cle,KizeDe00,fumbles_lost,1,,,,,
player,201712030sdg,cle,CrowIs00,pass_cmp,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_att,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_yds,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_td,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_int,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_sacked,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_long,0,,,,,
player,201712030sdg,cle,CrowIs00,pass_rating,,,,,,
player,201712030sdg,cle,CrowIs00,rush_att,10,,,,,
player,201712030sdg,cle,CrowIs00,rush_yds,41,,,,,
player,201712030sdg,cle,CrowIs00,rush_td,0,,,,,
player,201712030sdg,cle,CrowIs00,rush_long,16,,,,,
player,201712030sdg,cle,CrowIs00,targets,1,,,,,
player,201712030sdg,cle,CrowIs00,rec,1,,,,,
player,201712030sdg,cle,CrowIs00,rec_yds,3,,,,,
player,201712030sdg,cle,CrowIs00,rec_td,0,,,,,
player,201712030sdg,cle,CrowIs00,rec_long,3,,,,,
player,201712030sdg,cle,CrowIs00,fumbles,0,,,,,
player,201712030sdg,cle,CrowIs00,fumbles_lost,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_cmp,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_att,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_yds,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_td,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_int,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_sacked,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_long,0,,,,,
player,201712030sdg,cle,JohnDu00,pass_rating,,,,,,
player,201712030sdg,cle,JohnDu00,rush_att,7,,,,,
player,201712030sdg,cle,JohnDu00,rush_yds,2,,,,,
player,201712030sdg,cle,JohnDu00,rush_td,0,,,,,
player,201712030sdg,cle,JohnDu00,rush_long,4,,,,,
player,201712030sdg,cle,JohnDu00,targets,4,,,,,
player,201712030sdg,cle,JohnDu00,rec,2,,,,,
player,201712030sdg,cle,JohnDu00,rec_yds,10,,,,,
player,201712030sdg,cle,JohnDu00,rec_td,0,,,,,
player,201712030sdg,cle,JohnDu00,rec_long,11,,,,,
player,201712030sdg,cle,JohnDu00,fumbles,0,,,,,
player,201712030sdg,cle,JohnDu00,fumbles_lost,0,,,,,
player,201712030sdg,cle,GordJo02,pass_cmp,0,,,,,
player,201712030sdg,cle,GordJo02,pass_att,0,,,,,
player,201712030sdg,cle,GordJo02,pass_yds,0,,,,,
player,201712030sdg,cle,GordJo02,pass_td,0,,,,,
player,201712030sdg,cle,GordJo02,pass_int,0,,,,,
player,201712030sdg,cle,GordJo02,pass_sacked,0,,,,,
player,201712030sdg,cle,GordJo02,pass_sacked_yds,0,,,,,
player,201712030sdg,cle,GordJo02,pass_long,0,,,,,
player,201712030sdg,cle,GordJo02,pass_rating,,,,,,
player,201712030sdg,cle,GordJo02,rush_att,0,,,,,
player,201712030sdg,cle,GordJo02,rush_yds,0,,,,,
player,201712030sdg,cle,GordJo02,rush_td,0,,,,,
player,201712030sdg,cle,GordJo02,rush_long,0,,,,,
player,201712030sdg,cle,GordJo02,targets,11,,,,,
player,201712030sdg,cle,GordJo02,rec,4,,,,,
player,201712030sdg,cle,GordJo02,rec_yds,85,,,,,
player,201712030sdg,cle,GordJo02,rec_td,0,,,,,
player,201712030sdg,cle,GordJo02,rec_long,39,,,,,
player,201712030sdg,cle,GordJo02,fumbles,0,,,,,
player,201712030sdg,cle,GordJo02,fumbles_lost,0,,,,,
