game,2017,16,20171224,201712240chi,cle,"Cleveland Browns",3,chi,"Chicago Bears",20
team,201712240chi,cle,First Downs,12,,,,,,
team,201712240chi,chi,First Downs,16,,,,,,
team,201712240chi,cle,Rush-Yds-TDs,20-76-0,,,,,,
team,201712240chi,chi,Rush-Yds-TDs,31-97-3,,,,,,
team,201712240chi,cle,Cmp-Att-Yd-TD-INT,18-36-182-0-2,,,,,,
team,201712240chi,chi,Cmp-Att-Yd-TD-INT,14-23-193-0-0,,,,,,
team,201712240chi,cle,Sacked-Yards,1-4,,,,,,
team,201712240chi,chi,Sacked-Yards,5-32,,,,,,
team,201712240chi,cle,Net Pass Yards,178,,,,,,
team,201712240chi,chi,Net Pass Yards,161,,,,,,
team,201712240chi,cle,Total Yards,254,,,,,,
team,201712240chi,chi,Total Yards,258,,,,,,
team,201712240chi,cle,Fumbles-Lost,2-1,,,,,,
team,201712240chi,chi,Fumbles-Lost,1-0,,,,,,
team,201712240chi,cle,Turnovers,3,,,,,,
team,201712240chi,chi,Turnovers,0,,,,,,
team,201712240chi,cle,Penalties-Yards,8-60,,,,,,
team,201712240chi,chi,Penalties-Yards,4-25,,,,,,
team,201712240chi,cle,Third Down Conv.,4-13,,,,,,
team,201712240chi,chi,Third Down Conv.,7-16,,,,,,
team,201712240chi,cle,Fourth Down Conv.,0-1,,,,,,
team,201712240chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201712240chi,cle,Time of Possession,26:46,,,,,,
team,201712240chi,chi,Time of Possession,33:14,,,,,,
player,201712240chi,cle,KizeDe00,pass_cmp,18,,,,,
player,201712240chi,cle,KizeDe00,pass_att,36,,,,,
player,201712240chi,cle,KizeDe00,pass_yds,182,,,,,
player,201712240chi,cle,KizeDe00,pass_td,0,,,,,
player,201712240chi,cle,KizeDe00,pass_int,2,,,,,
player,201712240chi,cle,KizeDe00,pass_sacked,1,,,,,
player,201712240chi,cle,KizeDe00,pass_sacked_yds,4,,,,,
player,201712240chi,cle,KizeDe00,pass_long,35,,,,,
player,201712240chi,cle,KizeDe00,pass_rating,41.7,,,,,
player,201712240chi,cle,KizeDe00,rush_att,3,,,,,
player,201712240chi,cle,KizeDe00,rush_yds,8,,,,,
player,201712240chi,cle,KizeDe00,rush_td,0,,,,,
player,201712240chi,cle,KizeDe00,rush_long,4,,,,,
player,201712240chi,cle,KizeDe00,targets,0,,,,,
player,201712240chi,cle,KizeDe00,rec,0,,,,,
player,201712240chi,cle,KizeDe00,rec_yds,0,,,,,
player,201712240chi,cle,KizeDe00,rec_td,0,,,,,
player,201712240chi,cle,KizeDe00,rec_long,0,,,,,
player,201712240chi,cle,KizeDe00,fumbles,0,,,,,
player,201712240chi,cle,KizeDe00,fumbles_lost,0,,,,,
player,201712240chi,cle,CrowIs00,pass_cmp,0,,,,,
player,201712240chi,cle,CrowIs00,pass_att,0,,,,,
player,201712240chi,cle,CrowIs00,pass_yds,0,,,,,
player,201712240chi,cle,CrowIs00,pass_td,0,,,,,
player,201712240chi,cle,CrowIs00,pass_int,0,,,,,
player,201712240chi,cle,CrowIs00,pass_sacked,0,,,,,
player,201712240chi,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201712240chi,cle,CrowIs00,pass_long,0,,,,,
player,201712240chi,cle,CrowIs00,pass_rating,,,,,,
player,201712240chi,cle,CrowIs00,rush_att,12,,,,,
player,201712240chi,cle,CrowIs00,rush_yds,44,,,,,
player,201712240chi,cle,CrowIs00,rush_td,0,,,,,
player,201712240chi,cle,CrowIs00,rush_long,8,,,,,
player,201712240chi,cle,CrowIs00,targets,4,,,,,
player,201712240chi,cle,CrowIs00,rec,1,,,,,
player,201712240chi,cle,CrowIs00,rec_yds,-1,,,,,
player,201712240chi,cle,CrowIs00,rec_td,0,,,,,
player,201712240chi,cle,CrowIs00,rec_long,-1,,,,,
player,201712240chi,cle,CrowIs00,fumbles,0,,,,,
player,201712240chi,cle,CrowIs00,fumbles_lost,0,,,,,
player,201712240chi,cle,JohnDu00,pass_cmp,0,,,,,
player,201712240chi,cle,JohnDu00,pass_att,0,,,,,
player,201712240chi,cle,JohnDu00,pass_yds,0,,,,,
player,201712240chi,cle,JohnDu00,pass_td,0,,,,,
