game,2017,13,20171130,201711300dal,was,"Washington Redskins",14,dal,"Dallas Cowboys",38
team,201711300dal,was,First Downs,15,,,,,,
team,201711300dal,dal,First Downs,21,,,,,,
team,201711300dal,was,Rush-Yds-TDs,19-56-0,,,,,,
team,201711300dal,dal,Rush-Yds-TDs,42-182-2,,,,,,
team,201711300dal,was,Cmp-Att-Yd-TD-INT,26-37-251-2-2,,,,,,
team,201711300dal,dal,Cmp-Att-Yd-TD-INT,11-22-102-2-0,,,,,,
team,201711300dal,was,Sacked-Yards,4-27,,,,,,
team,201711300dal,dal,Sacked-Yards,1-9,,,,,,
team,201711300dal,was,Net Pass Yards,224,,,,,,
team,201711300dal,dal,Net Pass Yards,93,,,,,,
team,201711300dal,was,Total Yards,280,,,,,,
team,201711300dal,dal,Total Yards,275,,,,,,
team,201711300dal,was,Fumbles-Lost,3-2,,,,,,
team,201711300dal,dal,Fumbles-Lost,0-0,,,,,,
team,201711300dal,was,Turnovers,4,,,,,,
team,201711300dal,dal,Turnovers,0,,,,,,
team,201711300dal,was,Penalties-Yards,7-43,,,,,,
team,201711300dal,dal,Penalties-Yards,3-25,,,,,,
team,201711300dal,was,Third Down Conv.,6-14,,,,,,
team,201711300dal,dal,Third Down Conv.,7-14,,,,,,
team,201711300dal,was,Fourth Down Conv.,0-1,,,,,,
team,201711300dal,dal,Fourth Down Conv.,0-1,,,,,,
team,201711300dal,was,Time of Possession,27:32,,,,,,
team,201711300dal,dal,Time of Possession,32:28,,,,,,
player,201711300dal,was,CousKi00,pass_cmp,26,,,,,
player,201711300dal,was,CousKi00,pass_att,37,,,,,
player,201711300dal,was,CousKi00,pass_yds,251,,,,,
player,201711300dal,was,CousKi00,pass_td,2,,,,,
player,201711300dal,was,CousKi00,pass_int,2,,,,,
player,201711300dal,was,CousKi00,pass_sacked,4,,,,,
player,201711300dal,was,CousKi00,pass_sacked_yds,27,,,,,
player,201711300dal,was,CousKi00,pass_long,33,,,,,
player,201711300dal,was,CousKi00,pass_rating,84.4,,,,,
player,201711300dal,was,CousKi00,rush_att,3,,,,,
player,201711300dal,was,CousKi00,rush_yds,6,,,,,
player,201711300dal,was,CousKi00,rush_td,0,,,,,
player,201711300dal,was,CousKi00,rush_long,6,,,,,
player,201711300dal,was,CousKi00,targets,0,,,,,
player,201711300dal,was,CousKi00,rec,0,,,,,
player,201711300dal,was,CousKi00,rec_yds,0,,,,,
player,201711300dal,was,CousKi00,rec_td,0,,,,,
player,201711300dal,was,CousKi00,rec_long,0,,,,,
player,201711300dal,was,CousKi00,fumbles,2,,,,,
player,201711300dal,was,CousKi00,fumbles_lost,1,,,,,
player,201711300dal,was,PeriSa00,pass_cmp,0,,,,,
player,201711300dal,was,PeriSa00,pass_att,0,,,,,
player,201711300dal,was,PeriSa00,pass_yds,0,,,,,
player,201711300dal,was,PeriSa00,pass_td,0,,,,,
player,201711300dal,was,PeriSa00,pass_int,0,,,,,
player,201711300dal,was,PeriSa00,pass_sacked,0,,,,,
player,201711300dal,was,PeriSa00,pass_sacked_yds,0,,,,,
player,201711300dal,was,PeriSa00,pass_long,0,,,,,
player,201711300dal,was,PeriSa00,pass_rating,,,,,,
player,201711300dal,was,PeriSa00,rush_att,12,,,,,
player,201711300dal,was,PeriSa00,rush_yds,38,,,,,
player,201711300dal,was,PeriSa00,rush_td,0,,,,,
player,201711300dal,was,PeriSa00,rush_long,15,,,,,
player,201711300dal,was,PeriSa00,targets,3,,,,,
player,201711300dal,was,PeriSa00,rec,3,,,,,
player,201711300dal,was,PeriSa00,rec_yds,31,,,,,
player,201711300dal,was,PeriSa00,rec_td,0,,,,,
player,201711300dal,was,PeriSa00,rec_long,17,,,,,
player,201711300dal,was,PeriSa00,fumbles,0,,,,,
player,201711300dal,was,PeriSa00,fumbles_lost,0,,,,,
player,201711300dal,was,MarsBy01,pass_cmp,0,,,,,
player,201711300dal,was,MarsBy01,pass_att,0,,,,,
player,201711300dal,was,MarsBy01,pass_yds,0,,,,,
player,201711300dal,was,MarsBy01,pass_td,0,,,,,
player,201711300dal,was,MarsBy01,pass_int,0,,,,,
player,201711300dal,was,MarsBy01,pass_sacked,0,,,,,
player,201711300dal,was,MarsBy01,pass_sacked_yds,0,,,,,
player,201711300dal,was,MarsBy01,pass_long,0,,,,,
