game,2017,15,20171217,201712170rai,dal,"Dallas Cowboys",20,rai,"Oakland Raiders",17
team,201712170rai,dal,First Downs,21,,,,,,
team,201712170rai,rai,First Downs,19,,,,,,
team,201712170rai,dal,Rush-Yds-TDs,31-126-2,,,,,,
team,201712170rai,rai,Rush-Yds-TDs,23-122-0,,,,,,
team,201712170rai,dal,Cmp-Att-Yd-TD-INT,18-27-212-0-2,,,,,,
team,201712170rai,rai,Cmp-Att-Yd-TD-INT,21-38-171-2-0,,,,,,
team,201712170rai,dal,Sacked-Yards,2-8,,,,,,
team,201712170rai,rai,Sacked-Yards,0-0,,,,,,
team,201712170rai,dal,Net Pass Yards,204,,,,,,
team,201712170rai,rai,Net Pass Yards,171,,,,,,
team,201712170rai,dal,Total Yards,330,,,,,,
team,201712170rai,rai,Total Yards,293,,,,,,
team,201712170rai,dal,Fumbles-Lost,0-0,,,,,,
team,201712170rai,rai,Fumbles-Lost,4-1,,,,,,
team,201712170rai,dal,Turnovers,2,,,,,,
team,201712170rai,rai,Turnovers,1,,,,,,
team,201712170rai,dal,Penalties-Yards,7-100,,,,,,
team,201712170rai,rai,Penalties-Yards,14-105,,,,,,
team,201712170rai,dal,Third Down Conv.,2-10,,,,,,
team,201712170rai,rai,Third Down Conv.,8-15,,,,,,
team,201712170rai,dal,Fourth Down Conv.,2-2,,,,,,
team,201712170rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201712170rai,dal,Time of Possession,32:20,,,,,,
team,201712170rai,rai,Time of Possession,27:40,,,,,,
player,201712170rai,dal,PresDa01,pass_cmp,18,,,,,
player,201712170rai,dal,PresDa01,pass_att,27,,,,,
player,201712170rai,dal,PresDa01,pass_yds,212,,,,,
player,201712170rai,dal,PresDa01,pass_td,0,,,,,
player,201712170rai,dal,PresDa01,pass_int,2,,,,,
player,201712170rai,dal,PresDa01,pass_sacked,2,,,,,
player,201712170rai,dal,PresDa01,pass_sacked_yds,8,,,,,
player,201712170rai,dal,PresDa01,pass_long,40,,,,,
player,201712170rai,dal,PresDa01,pass_rating,59.5,,,,,
