game,2017,16,20171224,201712240was,den,"Denver Broncos",11,was,"Washington Redskins",27
player,201712240was,den,JanoAn00,pass_cmp,0,,,,,
player,201712240was,den,JanoAn00,pass_att,0,,,,,
player,201712240was,den,JanoAn00,pass_yds,0,,,,,
player,201712240was,den,JanoAn00,pass_td,0,,,,,
player,201712240was,den,JanoAn00,pass_int,0,,,,,
player,201712240was,den,JanoAn00,pass_sacked,0,,,,,
player,201712240was,den,JanoAn00,pass_sacked_yds,0,,,,,
player,201712240was,den,JanoAn00,pass_long,0,,,,,
player,201712240was,den,JanoAn00,pass_rating,,,,,,
player,201712240was,den,JanoAn00,rush_att,0,,,,,
player,201712240was,den,JanoAn00,rush_yds,0,,,,,
player,201712240was,den,JanoAn00,rush_td,0,,,,,
player,201712240was,den,JanoAn00,rush_long,0,,,,,
player,201712240was,den,JanoAn00,targets,2,,,,,
player,201712240was,den,JanoAn00,rec,2,,,,,
player,201712240was,den,JanoAn00,rec_yds,21,,,,,
player,201712240was,den,JanoAn00,rec_td,0,,,,,
player,201712240was,den,JanoAn00,rec_long,16,,,,,
player,201712240was,den,JanoAn00,fumbles,0,,,,,
player,201712240was,den,JanoAn00,fumbles_lost,0,,,,,
player,201712240was,den,TrayAu00,pass_cmp,0,,,,,
player,201712240was,den,TrayAu00,pass_att,0,,,,,
player,201712240was,den,TrayAu00,pass_yds,0,,,,,
player,201712240was,den,TrayAu00,pass_td,0,,,,,
player,201712240was,den,TrayAu00,pass_int,0,,,,,
player,201712240was,den,TrayAu00,pass_sacked,0,,,,,
player,201712240was,den,TrayAu00,pass_sacked_yds,0,,,,,
player,201712240was,den,TrayAu00,pass_long,0,,,,,
player,201712240was,den,TrayAu00,pass_rating,,,,,,
player,201712240was,den,TrayAu00,rush_att,0,,,,,
player,201712240was,den,TrayAu00,rush_yds,0,,,,,
player,201712240was,den,TrayAu00,rush_td,0,,,,,
player,201712240was,den,TrayAu00,rush_long,0,,,,,
player,201712240was,den,TrayAu00,targets,2,,,,,
player,201712240was,den,TrayAu00,rec,1,,,,,
player,201712240was,den,TrayAu00,rec_yds,14,,,,,
player,201712240was,den,TrayAu00,rec_td,0,,,,,
player,201712240was,den,TrayAu00,rec_long,14,,,,,
player,201712240was,den,TrayAu00,fumbles,0,,,,,
player,201712240was,den,TrayAu00,fumbles_lost,0,,,,,
player,201712240was,den,McKeIs00,pass_cmp,0,,,,,
player,201712240was,den,McKeIs00,pass_att,0,,,,,
player,201712240was,den,McKeIs00,pass_yds,0,,,,,
player,201712240was,den,McKeIs00,pass_td,0,,,,,
player,201712240was,den,McKeIs00,pass_int,0,,,,,
player,201712240was,den,McKeIs00,pass_sacked,0,,,,,
player,201712240was,den,McKeIs00,pass_sacked_yds,0,,,,,
player,201712240was,den,McKeIs00,pass_long,0,,,,,
player,201712240was,den,McKeIs00,pass_rating,,,,,,
player,201712240was,den,McKeIs00,rush_att,0,,,,,
player,201712240was,den,McKeIs00,rush_yds,0,,,,,
player,201712240was,den,McKeIs00,rush_td,0,,,,,
player,201712240was,den,McKeIs00,rush_long,0,,,,,
player,201712240was,den,McKeIs00,targets,2,,,,,
player,201712240was,den,McKeIs00,rec,1,,,,,
player,201712240was,den,McKeIs00,rec_yds,8,,,,,
player,201712240was,den,McKeIs00,rec_td,0,,,,,
player,201712240was,den,McKeIs00,rec_long,8,,,,,
player,201712240was,den,McKeIs00,fumbles,0,,,,,
player,201712240was,den,McKeIs00,fumbles_lost,0,,,,,
player,201712240was,den,FowlBe00,pass_cmp,0,,,,,
player,201712240was,den,FowlBe00,pass_att,0,,,,,
player,201712240was,den,FowlBe00,pass_yds,0,,,,,
player,201712240was,den,FowlBe00,pass_td,0,,,,,
player,201712240was,den,FowlBe00,pass_int,0,,,,,
player,201712240was,den,FowlBe00,pass_sacked,0,,,,,
player,201712240was,den,FowlBe00,pass_sacked_yds,0,,,,,
player,201712240was,den,FowlBe00,pass_long,0,,,,,
player,201712240was,den,FowlBe00,pass_rating,,,,,,
player,201712240was,den,FowlBe00,rush_att,0,,,,,
player,201712240was,den,FowlBe00,rush_yds,0,,,,,
player,201712240was,den,FowlBe00,rush_td,0,,,,,
