game,2017,1,20170910,201709100sfo,car,"Carolina Panthers",23,sfo,"San Francisco 49ers",3
team,201709100sfo,car,First Downs,20,,,,,,
team,201709100sfo,sfo,First Downs,13,,,,,,
team,201709100sfo,car,Rush-Yds-TDs,38-116-0,,,,,,
team,201709100sfo,sfo,Rush-Yds-TDs,15-51-0,,,,,,
team,201709100sfo,car,Cmp-Att-Yd-TD-INT,14-25-171-2-1,,,,,,
team,201709100sfo,sfo,Cmp-Att-Yd-TD-INT,24-35-193-0-1,,,,,,
team,201709100sfo,car,Sacked-Yards,0-0,,,,,,
team,201709100sfo,sfo,Sacked-Yards,4-27,,,,,,
team,201709100sfo,car,Net Pass Yards,171,,,,,,
team,201709100sfo,sfo,Net Pass Yards,166,,,,,,
team,201709100sfo,car,Total Yards,287,,,,,,
team,201709100sfo,sfo,Total Yards,217,,,,,,
team,201709100sfo,car,Fumbles-Lost,2-1,,,,,,
team,201709100sfo,sfo,Fumbles-Lost,1-1,,,,,,
team,201709100sfo,car,Turnovers,2,,,,,,
team,201709100sfo,sfo,Turnovers,2,,,,,,
team,201709100sfo,car,Penalties-Yards,5-40,,,,,,
team,201709100sfo,sfo,Penalties-Yards,10-74,,,,,,
team,201709100sfo,car,Third Down Conv.,7-13,,,,,,
team,201709100sfo,sfo,Third Down Conv.,2-11,,,,,,
team,201709100sfo,car,Fourth Down Conv.,0-0,,,,,,
team,201709100sfo,sfo,Fourth Down Conv.,1-4,,,,,,
team,201709100sfo,car,Time of Possession,34:21,,,,,,
team,201709100sfo,sfo,Time of Possession,25:39,,,,,,
player,201709100sfo,car,NewtCa00,pass_cmp,14,,,,,
player,201709100sfo,car,NewtCa00,pass_att,25,,,,,
player,201709100sfo,car,NewtCa00,pass_yds,171,,,,,
player,201709100sfo,car,NewtCa00,pass_td,2,,,,,
player,201709100sfo,car,NewtCa00,pass_int,1,,,,,
player,201709100sfo,car,NewtCa00,pass_sacked,0,,,,,
player,201709100sfo,car,NewtCa00,pass_sacked_yds,0,,,,,
player,201709100sfo,car,NewtCa00,pass_long,40,,,,,
player,201709100sfo,car,NewtCa00,pass_rating,87.2,,,,,
player,201709100sfo,car,NewtCa00,rush_att,6,,,,,
player,201709100sfo,car,NewtCa00,rush_yds,3,,,,,
player,201709100sfo,car,NewtCa00,rush_td,0,,,,,
player,201709100sfo,car,NewtCa00,rush_long,5,,,,,
player,201709100sfo,car,NewtCa00,targets,0,,,,,
player,201709100sfo,car,NewtCa00,rec,0,,,,,
player,201709100sfo,car,NewtCa00,rec_yds,0,,,,,
player,201709100sfo,car,NewtCa00,rec_td,0,,,,,
player,201709100sfo,car,NewtCa00,rec_long,0,,,,,
player,201709100sfo,car,NewtCa00,fumbles,1,,,,,
player,201709100sfo,car,NewtCa00,fumbles_lost,0,,,,,
player,201709100sfo,car,StewJo00,pass_cmp,0,,,,,
player,201709100sfo,car,StewJo00,pass_att,0,,,,,
player,201709100sfo,car,StewJo00,pass_yds,0,,,,,
player,201709100sfo,car,StewJo00,pass_td,0,,,,,
player,201709100sfo,car,StewJo00,pass_int,0,,,,,
player,201709100sfo,car,StewJo00,pass_sacked,0,,,,,
player,201709100sfo,car,StewJo00,pass_sacked_yds,0,,,,,
player,201709100sfo,car,StewJo00,pass_long,0,,,,,
player,201709100sfo,car,StewJo00,pass_rating,,,,,,
player,201709100sfo,car,StewJo00,rush_att,18,,,,,
player,201709100sfo,car,StewJo00,rush_yds,65,,,,,
player,201709100sfo,car,StewJo00,rush_td,0,,,,,
player,201709100sfo,car,StewJo00,rush_long,10,,,,,
player,201709100sfo,car,StewJo00,targets,2,,,,,
player,201709100sfo,car,StewJo00,rec,2,,,,,
player,201709100sfo,car,StewJo00,rec_yds,17,,,,,
player,201709100sfo,car,StewJo00,rec_td,1,,,,,
player,201709100sfo,car,StewJo00,rec_long,9,,,,,
player,201709100sfo,car,StewJo00,fumbles,0,,,,,
player,201709100sfo,car,StewJo00,fumbles_lost,0,,,,,
player,201709100sfo,car,McCaCh01,pass_cmp,0,,,,,
player,201709100sfo,car,McCaCh01,pass_att,0,,,,,
player,201709100sfo,car,McCaCh01,pass_yds,0,,,,,
player,201709100sfo,car,McCaCh01,pass_td,0,,,,,
player,201709100sfo,car,McCaCh01,pass_int,0,,,,,
player,201709100sfo,car,McCaCh01,pass_sacked,0,,,,,
player,201709100sfo,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201709100sfo,car,McCaCh01,pass_long,0,,,,,
