game,2017,9,20171105,201711050phi,den,"Denver Broncos",23,phi,"Philadelphia Eagles",51
player,201711050phi,den,AndeC.00,rush_yds,13,,,,,
player,201711050phi,den,AndeC.00,rush_td,0,,,,,
player,201711050phi,den,AndeC.00,rush_long,4,,,,,
player,201711050phi,den,AndeC.00,targets,1,,,,,
player,201711050phi,den,AndeC.00,rec,0,,,,,
player,201711050phi,den,AndeC.00,rec_yds,0,,,,,
player,201711050phi,den,AndeC.00,rec_td,0,,,,,
player,201711050phi,den,AndeC.00,rec_long,0,,,,,
player,201711050phi,den,AndeC.00,fumbles,0,,,,,
player,201711050phi,den,AndeC.00,fumbles_lost,0,,,,,
player,201711050phi,den,CharJa00,pass_cmp,0,,,,,
player,201711050phi,den,CharJa00,pass_att,0,,,,,
player,201711050phi,den,CharJa00,pass_yds,0,,,,,
player,201711050phi,den,CharJa00,pass_td,0,,,,,
player,201711050phi,den,CharJa00,pass_int,0,,,,,
player,201711050phi,den,CharJa00,pass_sacked,0,,,,,
player,201711050phi,den,CharJa00,pass_sacked_yds,0,,,,,
player,201711050phi,den,CharJa00,pass_long,0,,,,,
player,201711050phi,den,CharJa00,pass_rating,,,,,,
player,201711050phi,den,CharJa00,rush_att,4,,,,,
player,201711050phi,den,CharJa00,rush_yds,1,,,,,
player,201711050phi,den,CharJa00,rush_td,0,,,,,
player,201711050phi,den,CharJa00,rush_long,1,,,,,
player,201711050phi,den,CharJa00,targets,4,,,,,
player,201711050phi,den,CharJa00,rec,4,,,,,
player,201711050phi,den,CharJa00,rec_yds,23,,,,,
player,201711050phi,den,CharJa00,rec_td,0,,,,,
player,201711050phi,den,CharJa00,rec_long,11,,,,,
player,201711050phi,den,CharJa00,fumbles,0,,,,,
player,201711050phi,den,CharJa00,fumbles_lost,0,,,,,
player,201711050phi,den,ThomDe03,pass_cmp,0,,,,,
player,201711050phi,den,ThomDe03,pass_att,0,,,,,
player,201711050phi,den,ThomDe03,pass_yds,0,,,,,
player,201711050phi,den,ThomDe03,pass_td,0,,,,,
player,201711050phi,den,ThomDe03,pass_int,0,,,,,
player,201711050phi,den,ThomDe03,pass_sacked,0,,,,,
player,201711050phi,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201711050phi,den,ThomDe03,pass_long,0,,,,,
player,201711050phi,den,ThomDe03,pass_rating,,,,,,
player,201711050phi,den,ThomDe03,rush_att,0,,,,,
player,201711050phi,den,ThomDe03,rush_yds,0,,,,,
player,201711050phi,den,ThomDe03,rush_td,0,,,,,
player,201711050phi,den,ThomDe03,rush_long,0,,,,,
player,201711050phi,den,ThomDe03,targets,12,,,,,
player,201711050phi,den,ThomDe03,rec,8,,,,,
player,201711050phi,den,ThomDe03,rec_yds,70,,,,,
player,201711050phi,den,ThomDe03,rec_td,1,,,,,
player,201711050phi,den,ThomDe03,rec_long,14,,,,,
player,201711050phi,den,ThomDe03,fumbles,0,,,,,
player,201711050phi,den,ThomDe03,fumbles_lost,0,,,,,
player,201711050phi,den,LatiCo00,pass_cmp,0,,,,,
player,201711050phi,den,LatiCo00,pass_att,0,,,,,
player,201711050phi,den,LatiCo00,pass_yds,0,,,,,
player,201711050phi,den,LatiCo00,pass_td,0,,,,,
player,201711050phi,den,LatiCo00,pass_int,0,,,,,
player,201711050phi,den,LatiCo00,pass_sacked,0,,,,,
player,201711050phi,den,LatiCo00,pass_sacked_yds,0,,,,,
player,201711050phi,den,LatiCo00,pass_long,0,,,,,
player,201711050phi,den,LatiCo00,pass_rating,,,,,,
player,201711050phi,den,LatiCo00,rush_att,0,,,,,
player,201711050phi,den,LatiCo00,rush_yds,0,,,,,
player,201711050phi,den,LatiCo00,rush_td,0,,,,,
player,201711050phi,den,LatiCo00,rush_long,0,,,,,
player,201711050phi,den,LatiCo00,targets,3,,,,,
player,201711050phi,den,LatiCo00,rec,2,,,,,
player,201711050phi,den,LatiCo00,rec_yds,51,,,,,
player,201711050phi,den,LatiCo00,rec_td,0,,,,,
player,201711050phi,den,LatiCo00,rec_long,32,,,,,
player,201711050phi,den,LatiCo00,fumbles,0,,,,,
player,201711050phi,den,LatiCo00,fumbles_lost,0,,,,,
player,201711050phi,den,SandEm00,pass_cmp,0,,,,,
player,201711050phi,den,SandEm00,pass_att,0,,,,,
player,201711050phi,den,SandEm00,pass_yds,0,,,,,
player,201711050phi,den,SandEm00,pass_td,0,,,,,
player,201711050phi,den,SandEm00,pass_int,0,,,,,
player,201711050phi,den,SandEm00,pass_sacked,0,,,,,
player,201711050phi,den,SandEm00,pass_sacked_yds,0,,,,,
player,201711050phi,den,SandEm00,pass_long,0,,,,,
player,201711050phi,den,SandEm00,pass_rating,,,,,,
player,201711050phi,den,SandEm00,rush_att,0,,,,,
player,201711050phi,den,SandEm00,rush_yds,0,,,,,
player,201711050phi,den,SandEm00,rush_td,0,,,,,
player,201711050phi,den,SandEm00,rush_long,0,,,,,
player,201711050phi,den,SandEm00,targets,5,,,,,
player,201711050phi,den,SandEm00,rec,1,,,,,
player,201711050phi,den,SandEm00,rec_yds,30,,,,,
player,201711050phi,den,SandEm00,rec_td,0,,,,,
player,201711050phi,den,SandEm00,rec_long,30,,,,,
player,201711050phi,den,SandEm00,fumbles,0,,,,,
player,201711050phi,den,SandEm00,fumbles_lost,0,,,,,
player,201711050phi,den,McKeIs00,pass_cmp,0,,,,,
player,201711050phi,den,McKeIs00,pass_att,0,,,,,
player,201711050phi,den,McKeIs00,pass_yds,0,,,,,
player,201711050phi,den,McKeIs00,pass_td,0,,,,,
player,201711050phi,den,McKeIs00,pass_int,0,,,,,
player,201711050phi,den,McKeIs00,pass_sacked,0,,,,,
player,201711050phi,den,McKeIs00,pass_sacked_yds,0,,,,,
player,201711050phi,den,McKeIs00,pass_long,0,,,,,
player,201711050phi,den,McKeIs00,pass_rating,,,,,,
player,201711050phi,den,McKeIs00,rush_att,0,,,,,
player,201711050phi,den,McKeIs00,rush_yds,0,,,,,
player,201711050phi,den,McKeIs00,rush_td,0,,,,,
player,201711050phi,den,McKeIs00,rush_long,0,,,,,
player,201711050phi,den,McKeIs00,targets,3,,,,,
player,201711050phi,den,McKeIs00,rec,1,,,,,
player,201711050phi,den,McKeIs00,rec_yds,14,,,,,
player,201711050phi,den,McKeIs00,rec_td,0,,,,,
player,201711050phi,den,McKeIs00,rec_long,14,,,,,
player,201711050phi,den,McKeIs00,fumbles,0,,,,,
player,201711050phi,den,McKeIs00,fumbles_lost,0,,,,,
player,201711050phi,den,DerbA.00,pass_cmp,0,,,,,
player,201711050phi,den,DerbA.00,pass_att,0,,,,,
player,201711050phi,den,DerbA.00,pass_yds,0,,,,,
player,201711050phi,den,DerbA.00,pass_td,0,,,,,
player,201711050phi,den,DerbA.00,pass_int,0,,,,,
player,201711050phi,den,DerbA.00,pass_sacked,0,,,,,
player,201711050phi,den,DerbA.00,pass_sacked_yds,0,,,,,
player,201711050phi,den,DerbA.00,pass_long,0,,,,,
player,201711050phi,den,DerbA.00,pass_rating,,,,,,
player,201711050phi,den,DerbA.00,rush_att,0,,,,,
player,201711050phi,den,DerbA.00,rush_yds,0,,,,,
player,201711050phi,den,DerbA.00,rush_td,0,,,,,
player,201711050phi,den,DerbA.00,rush_long,0,,,,,
player,201711050phi,den,DerbA.00,targets,3,,,,,
player,201711050phi,den,DerbA.00,rec,1,,,,,
player,201711050phi,den,DerbA.00,rec_yds,11,,,,,
player,201711050phi,den,DerbA.00,rec_td,0,,,,,
player,201711050phi,den,DerbA.00,rec_long,11,,,,,
player,201711050phi,den,DerbA.00,fumbles,0,,,,,
player,201711050phi,den,DerbA.00,fumbles_lost,0,,,,,
player,201711050phi,den,HeueJe00,pass_cmp,0,,,,,
player,201711050phi,den,HeueJe00,pass_att,0,,,,,
player,201711050phi,den,HeueJe00,pass_yds,0,,,,,
player,201711050phi,den,HeueJe00,pass_td,0,,,,,
player,201711050phi,den,HeueJe00,pass_int,0,,,,,
player,201711050phi,den,HeueJe00,pass_sacked,0,,,,,
player,201711050phi,den,HeueJe00,pass_sacked_yds,0,,,,,
player,201711050phi,den,HeueJe00,pass_long,0,,,,,
player,201711050phi,den,HeueJe00,pass_rating,,,,,,
player,201711050phi,den,HeueJe00,rush_att,0,,,,,
player,201711050phi,den,HeueJe00,rush_yds,0,,,,,
player,201711050phi,den,HeueJe00,rush_td,0,,,,,
player,201711050phi,den,HeueJe00,rush_long,0,,,,,
player,201711050phi,den,HeueJe00,targets,1,,,,,
player,201711050phi,den,HeueJe00,rec,0,,,,,
player,201711050phi,den,HeueJe00,rec_yds,0,,,,,
player,201711050phi,den,HeueJe00,rec_td,0,,,,,
player,201711050phi,den,HeueJe00,rec_long,0,,,,,
player,201711050phi,den,HeueJe00,fumbles,0,,,,,
player,201711050phi,den,HeueJe00,fumbles_lost,0,,,,,
player,201711050phi,den,FowlBe00,pass_cmp,0,,,,,
player,201711050phi,den,FowlBe00,pass_att,0,,,,,
player,201711050phi,den,FowlBe00,pass_yds,0,,,,,
player,201711050phi,den,FowlBe00,pass_td,0,,,,,
player,201711050phi,den,FowlBe00,pass_int,0,,,,,
player,201711050phi,den,FowlBe00,pass_sacked,0,,,,,
player,201711050phi,den,FowlBe00,pass_sacked_yds,0,,,,,
player,201711050phi,den,FowlBe00,pass_long,0,,,,,
player,201711050phi,den,FowlBe00,pass_rating,,,,,,
player,201711050phi,den,FowlBe00,rush_att,0,,,,,
player,201711050phi,den,FowlBe00,rush_yds,0,,,,,
player,201711050phi,den,FowlBe00,rush_td,0,,,,,
player,201711050phi,den,FowlBe00,rush_long,0,,,,,
player,201711050phi,den,FowlBe00,targets,2,,,,,
player,201711050phi,den,FowlBe00,rec,0,,,,,
player,201711050phi,den,FowlBe00,rec_yds,0,,,,,
player,201711050phi,den,FowlBe00,rec_td,0,,,,,
player,201711050phi,den,FowlBe00,rec_long,0,,,,,
player,201711050phi,den,FowlBe00,fumbles,0,,,,,
player,201711050phi,den,FowlBe00,fumbles_lost,0,,,,,
player,201711050phi,phi,WentCa00,pass_cmp,15,,,,,
player,201711050phi,phi,WentCa00,pass_att,27,,,,,
player,201711050phi,phi,WentCa00,pass_yds,199,,,,,
player,201711050phi,phi,WentCa00,pass_td,4,,,,,
player,201711050phi,phi,WentCa00,pass_int,0,,,,,
player,201711050phi,phi,WentCa00,pass_sacked,1,,,,,
player,201711050phi,phi,WentCa00,pass_sacked_yds,4,,,,,
player,201711050phi,phi,WentCa00,pass_long,32,,,,,
player,201711050phi,phi,WentCa00,pass_rating,118.7,,,,,
player,201711050phi,phi,WentCa00,rush_att,2,,,,,
player,201711050phi,phi,WentCa00,rush_yds,8,,,,,
player,201711050phi,phi,WentCa00,rush_td,0,,,,,
player,201711050phi,phi,WentCa00,rush_long,7,,,,,
player,201711050phi,phi,WentCa00,targets,0,,,,,
player,201711050phi,phi,WentCa00,rec,0,,,,,
player,201711050phi,phi,WentCa00,rec_yds,0,,,,,
player,201711050phi,phi,WentCa00,rec_td,0,,,,,
player,201711050phi,phi,WentCa00,rec_long,0,,,,,
player,201711050phi,phi,WentCa00,fumbles,0,,,,,
player,201711050phi,phi,WentCa00,fumbles_lost,0,,,,,
player,201711050phi,phi,FoleNi00,pass_cmp,1,,,,,
player,201711050phi,phi,FoleNi00,pass_att,1,,,,,
player,201711050phi,phi,FoleNi00,pass_yds,35,,,,,
player,201711050phi,phi,FoleNi00,pass_td,0,,,,,
player,201711050phi,phi,FoleNi00,pass_int,0,,,,,
player,201711050phi,phi,FoleNi00,pass_sacked,1,,,,,
player,201711050phi,phi,FoleNi00,pass_sacked_yds,8,,,,,
player,201711050phi,phi,FoleNi00,pass_long,35,,,,,
player,201711050phi,phi,FoleNi00,pass_rating,118.7,,,,,
player,201711050phi,phi,FoleNi00,rush_att,1,,,,,
player,201711050phi,phi,FoleNi00,rush_yds,-1,,,,,
player,201711050phi,phi,FoleNi00,rush_td,0,,,,,
player,201711050phi,phi,FoleNi00,rush_long,-1,,,,,
player,201711050phi,phi,FoleNi00,targets,0,,,,,
player,201711050phi,phi,FoleNi00,rec,0,,,,,
player,201711050phi,phi,FoleNi00,rec_yds,0,,,,,
player,201711050phi,phi,FoleNi00,rec_td,0,,,,,
player,201711050phi,phi,FoleNi00,rec_long,0,,,,,
player,201711050phi,phi,FoleNi00,fumbles,1,,,,,
player,201711050phi,phi,FoleNi00,fumbles_lost,1,,,,,
player,201711050phi,phi,AjayJa00,pass_cmp,0,,,,,
player,201711050phi,phi,AjayJa00,pass_att,0,,,,,
player,201711050phi,phi,AjayJa00,pass_yds,0,,,,,
player,201711050phi,phi,AjayJa00,pass_td,0,,,,,
player,201711050phi,phi,AjayJa00,pass_int,0,,,,,
player,201711050phi,phi,AjayJa00,pass_sacked,0,,,,,
player,201711050phi,phi,AjayJa00,pass_sacked_yds,0,,,,,
player,201711050phi,phi,AjayJa00,pass_long,0,,,,,
player,201711050phi,phi,AjayJa00,pass_rating,,,,,,
player,201711050phi,phi,AjayJa00,rush_att,8,,,,,
player,201711050phi,phi,AjayJa00,rush_yds,77,,,,,
player,201711050phi,phi,AjayJa00,rush_td,1,,,,,
player,201711050phi,phi,AjayJa00,rush_long,46,,,,,
player,201711050phi,phi,AjayJa00,targets,0,,,,,
player,201711050phi,phi,AjayJa00,rec,0,,,,,
player,201711050phi,phi,AjayJa00,rec_yds,0,,,,,
player,201711050phi,phi,AjayJa00,rec_td,0,,,,,
player,201711050phi,phi,AjayJa00,rec_long,0,,,,,
player,201711050phi,phi,AjayJa00,fumbles,0,,,,,
player,201711050phi,phi,AjayJa00,fumbles_lost,0,,,,,
player,201711050phi,phi,ClemCo00,pass_cmp,0,,,,,
player,201711050phi,phi,ClemCo00,pass_att,0,,,,,
player,201711050phi,phi,ClemCo00,pass_yds,0,,,,,
player,201711050phi,phi,ClemCo00,pass_td,0,,,,,
player,201711050phi,phi,ClemCo00,pass_int,0,,,,,
