game,2017,16,20171224,201712240oti,ram,"Los Angeles Rams",27,oti,"Tennessee Titans",23
team,201712240oti,ram,First Downs,20,,,,,,
team,201712240oti,oti,First Downs,19,,,,,,
team,201712240oti,ram,Rush-Yds-TDs,26-116-0,,,,,,
team,201712240oti,oti,Rush-Yds-TDs,26-97-1,,,,,,
team,201712240oti,ram,Cmp-Att-Yd-TD-INT,22-39-301-4-0,,,,,,
team,201712240oti,oti,Cmp-Att-Yd-TD-INT,22-39-275-0-1,,,,,,
team,201712240oti,ram,Sacked-Yards,1-15,,,,,,
team,201712240oti,oti,Sacked-Yards,1-6,,,,,,
team,201712240oti,ram,Net Pass Yards,286,,,,,,
team,201712240oti,oti,Net Pass Yards,269,,,,,,
team,201712240oti,ram,Total Yards,402,,,,,,
team,201712240oti,oti,Total Yards,366,,,,,,
team,201712240oti,ram,Fumbles-Lost,2-1,,,,,,
team,201712240oti,oti,Fumbles-Lost,1-0,,,,,,
team,201712240oti,ram,Turnovers,1,,,,,,
team,201712240oti,oti,Turnovers,1,,,,,,
team,201712240oti,ram,Penalties-Yards,5-44,,,,,,
team,201712240oti,oti,Penalties-Yards,5-54,,,,,,
team,201712240oti,ram,Third Down Conv.,6-14,,,,,,
team,201712240oti,oti,Third Down Conv.,3-12,,,,,,
team,201712240oti,ram,Fourth Down Conv.,1-2,,,,,,
team,201712240oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201712240oti,ram,Time of Possession,30:04,,,,,,
team,201712240oti,oti,Time of Possession,29:56,,,,,,
player,201712240oti,ram,GoffJa00,pass_cmp,22,,,,,
player,201712240oti,ram,GoffJa00,pass_att,38,,,,,
player,201712240oti,ram,GoffJa00,pass_yds,301,,,,,
player,201712240oti,ram,GoffJa00,pass_td,4,,,,,
player,201712240oti,ram,GoffJa00,pass_int,0,,,,,
player,201712240oti,ram,GoffJa00,pass_sacked,1,,,,,
player,201712240oti,ram,GoffJa00,pass_sacked_yds,15,,,,,
player,201712240oti,ram,GoffJa00,pass_long,80,,,,,
player,201712240oti,ram,GoffJa00,pass_rating,118.4,,,,,
player,201712240oti,ram,GoffJa00,rush_att,3,,,,,
player,201712240oti,ram,GoffJa00,rush_yds,-6,,,,,
player,201712240oti,ram,GoffJa00,rush_td,0,,,,,
player,201712240oti,ram,GoffJa00,rush_long,2,,,,,
player,201712240oti,ram,GoffJa00,targets,0,,,,,
player,201712240oti,ram,GoffJa00,rec,0,,,,,
player,201712240oti,ram,GoffJa00,rec_yds,0,,,,,
player,201712240oti,ram,GoffJa00,rec_td,0,,,,,
player,201712240oti,ram,GoffJa00,rec_long,0,,,,,
player,201712240oti,ram,GoffJa00,fumbles,2,,,,,
player,201712240oti,ram,GoffJa00,fumbles_lost,1,,,,,
player,201712240oti,ram,HekkJo00,pass_cmp,0,,,,,
player,201712240oti,ram,HekkJo00,pass_att,1,,,,,
player,201712240oti,ram,HekkJo00,pass_yds,0,,,,,
player,201712240oti,ram,HekkJo00,pass_td,0,,,,,
player,201712240oti,ram,HekkJo00,pass_int,0,,,,,
player,201712240oti,ram,HekkJo00,pass_sacked,0,,,,,
player,201712240oti,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201712240oti,ram,HekkJo00,pass_long,0,,,,,
player,201712240oti,ram,HekkJo00,pass_rating,39.6,,,,,
player,201712240oti,ram,HekkJo00,rush_att,0,,,,,
player,201712240oti,ram,HekkJo00,rush_yds,0,,,,,
player,201712240oti,ram,HekkJo00,rush_td,0,,,,,
player,201712240oti,ram,HekkJo00,rush_long,0,,,,,
