game,2017,9,20171105,201711050nyg,ram,"Los Angeles Rams",51,nyg,"New York Giants",17
team,201711050nyg,ram,First Downs,20,,,,,,
team,201711050nyg,nyg,First Downs,17,,,,,,
team,201711050nyg,ram,Rush-Yds-TDs,39-162-2,,,,,,
team,201711050nyg,nyg,Rush-Yds-TDs,26-111-0,,,,,,
team,201711050nyg,ram,Cmp-Att-Yd-TD-INT,14-22-311-4-0,,,,,,
team,201711050nyg,nyg,Cmp-Att-Yd-TD-INT,20-38-220-2-1,,,,,,
team,201711050nyg,ram,Sacked-Yards,0-0,,,,,,
team,201711050nyg,nyg,Sacked-Yards,2-12,,,,,,
team,201711050nyg,ram,Net Pass Yards,311,,,,,,
team,201711050nyg,nyg,Net Pass Yards,208,,,,,,
team,201711050nyg,ram,Total Yards,473,,,,,,
team,201711050nyg,nyg,Total Yards,319,,,,,,
team,201711050nyg,ram,Fumbles-Lost,1-0,,,,,,
team,201711050nyg,nyg,Fumbles-Lost,2-2,,,,,,
team,201711050nyg,ram,Turnovers,0,,,,,,
team,201711050nyg,nyg,Turnovers,3,,,,,,
team,201711050nyg,ram,Penalties-Yards,6-55,,,,,,
team,201711050nyg,nyg,Penalties-Yards,4-52,,,,,,
team,201711050nyg,ram,Third Down Conv.,6-12,,,,,,
team,201711050nyg,nyg,Third Down Conv.,8-16,,,,,,
team,201711050nyg,ram,Fourth Down Conv.,0-1,,,,,,
team,201711050nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201711050nyg,ram,Time of Possession,30:30,,,,,,
team,201711050nyg,nyg,Time of Possession,29:30,,,,,,
player,201711050nyg,ram,GoffJa00,pass_cmp,14,,,,,
player,201711050nyg,ram,GoffJa00,pass_att,22,,,,,
player,201711050nyg,ram,GoffJa00,pass_yds,311,,,,,
player,201711050nyg,ram,GoffJa00,pass_td,4,,,,,
player,201711050nyg,ram,GoffJa00,pass_int,0,,,,,
player,201711050nyg,ram,GoffJa00,pass_sacked,0,,,,,
player,201711050nyg,ram,GoffJa00,pass_sacked_yds,0,,,,,
player,201711050nyg,ram,GoffJa00,pass_long,67,,,,,
player,201711050nyg,ram,GoffJa00,pass_rating,146.8,,,,,
player,201711050nyg,ram,GoffJa00,rush_att,0,,,,,
player,201711050nyg,ram,GoffJa00,rush_yds,0,,,,,
player,201711050nyg,ram,GoffJa00,rush_td,0,,,,,
player,201711050nyg,ram,GoffJa00,rush_long,0,,,,,
player,201711050nyg,ram,GoffJa00,targets,0,,,,,
player,201711050nyg,ram,GoffJa00,rec,0,,,,,
player,201711050nyg,ram,GoffJa00,rec_yds,0,,,,,
player,201711050nyg,ram,GoffJa00,rec_td,0,,,,,
