game,2017,8,20171029,201710290phi,sfo,"San Francisco 49ers",10,phi,"Philadelphia Eagles",33
team,201710290phi,sfo,First Downs,14,,,,,,
team,201710290phi,phi,First Downs,19,,,,,,
team,201710290phi,sfo,Rush-Yds-TDs,24-94-0,,,,,,
team,201710290phi,phi,Rush-Yds-TDs,31-112-1,,,,,,
team,201710290phi,sfo,Cmp-Att-Yd-TD-INT,17-36-167-1-2,,,,,,
team,201710290phi,phi,Cmp-Att-Yd-TD-INT,18-32-211-2-1,,,,,,
team,201710290phi,sfo,Sacked-Yards,4-23,,,,,,
team,201710290phi,phi,Sacked-Yards,3-19,,,,,,
team,201710290phi,sfo,Net Pass Yards,144,,,,,,
team,201710290phi,phi,Net Pass Yards,192,,,,,,
team,201710290phi,sfo,Total Yards,238,,,,,,
team,201710290phi,phi,Total Yards,304,,,,,,
team,201710290phi,sfo,Fumbles-Lost,0-0,,,,,,
team,201710290phi,phi,Fumbles-Lost,0-0,,,,,,
team,201710290phi,sfo,Turnovers,2,,,,,,
team,201710290phi,phi,Turnovers,1,,,,,,
team,201710290phi,sfo,Penalties-Yards,6-69,,,,,,
team,201710290phi,phi,Penalties-Yards,4-35,,,,,,
team,201710290phi,sfo,Third Down Conv.,3-15,,,,,,
team,201710290phi,phi,Third Down Conv.,4-14,,,,,,
team,201710290phi,sfo,Fourth Down Conv.,0-0,,,,,,
team,201710290phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201710290phi,sfo,Time of Possession,27:03,,,,,,
team,201710290phi,phi,Time of Possession,32:57,,,,,,
player,201710290phi,sfo,BeatC.00,pass_cmp,17,,,,,
player,201710290phi,sfo,BeatC.00,pass_att,36,,,,,
player,201710290phi,sfo,BeatC.00,pass_yds,167,,,,,
player,201710290phi,sfo,BeatC.00,pass_td,1,,,,,
player,201710290phi,sfo,BeatC.00,pass_int,2,,,,,
player,201710290phi,sfo,BeatC.00,pass_sacked,4,,,,,
player,201710290phi,sfo,BeatC.00,pass_sacked_yds,23,,,,,
player,201710290phi,sfo,BeatC.00,pass_long,24,,,,,
player,201710290phi,sfo,BeatC.00,pass_rating,46.9,,,,,
player,201710290phi,sfo,BeatC.00,rush_att,6,,,,,
player,201710290phi,sfo,BeatC.00,rush_yds,40,,,,,
player,201710290phi,sfo,BeatC.00,rush_td,0,,,,,
player,201710290phi,sfo,BeatC.00,rush_long,9,,,,,
player,201710290phi,sfo,BeatC.00,targets,0,,,,,
player,201710290phi,sfo,BeatC.00,rec,0,,,,,
player,201710290phi,sfo,BeatC.00,rec_yds,0,,,,,
player,201710290phi,sfo,BeatC.00,rec_td,0,,,,,
player,201710290phi,sfo,BeatC.00,rec_long,0,,,,,
player,201710290phi,sfo,BeatC.00,fumbles,0,,,,,
player,201710290phi,sfo,BeatC.00,fumbles_lost,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_cmp,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_att,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_yds,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_td,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_int,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_sacked,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_long,0,,,,,
player,201710290phi,sfo,HydeCa00,pass_rating,,,,,,
player,201710290phi,sfo,HydeCa00,rush_att,12,,,,,
player,201710290phi,sfo,HydeCa00,rush_yds,25,,,,,
player,201710290phi,sfo,HydeCa00,rush_td,0,,,,,
player,201710290phi,sfo,HydeCa00,rush_long,12,,,,,
player,201710290phi,sfo,HydeCa00,targets,9,,,,,
player,201710290phi,sfo,HydeCa00,rec,4,,,,,
player,201710290phi,sfo,HydeCa00,rec_yds,22,,,,,
player,201710290phi,sfo,HydeCa00,rec_td,0,,,,,
player,201710290phi,sfo,HydeCa00,rec_long,7,,,,,
player,201710290phi,sfo,HydeCa00,fumbles,0,,,,,
player,201710290phi,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_cmp,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_att,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_yds,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_td,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_int,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_sacked,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_long,0,,,,,
player,201710290phi,sfo,BreiMa00,pass_rating,,,,,,
player,201710290phi,sfo,BreiMa00,rush_att,5,,,,,
player,201710290phi,sfo,BreiMa00,rush_yds,17,,,,,
player,201710290phi,sfo,BreiMa00,rush_td,0,,,,,
player,201710290phi,sfo,BreiMa00,rush_long,9,,,,,
player,201710290phi,sfo,BreiMa00,targets,6,,,,,
player,201710290phi,sfo,BreiMa00,rec,4,,,,,
player,201710290phi,sfo,BreiMa00,rec_yds,39,,,,,
player,201710290phi,sfo,BreiMa00,rec_td,1,,,,,
player,201710290phi,sfo,BreiMa00,rec_long,21,,,,,
player,201710290phi,sfo,BreiMa00,fumbles,0,,,,,
player,201710290phi,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_cmp,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_att,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_yds,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_td,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_int,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_sacked,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_long,0,,,,,
player,201710290phi,sfo,JuszKy00,pass_rating,,,,,,
player,201710290phi,sfo,JuszKy00,rush_att,1,,,,,
player,201710290phi,sfo,JuszKy00,rush_yds,12,,,,,
player,201710290phi,sfo,JuszKy00,rush_td,0,,,,,
player,201710290phi,sfo,JuszKy00,rush_long,12,,,,,
player,201710290phi,sfo,JuszKy00,targets,0,,,,,
player,201710290phi,sfo,JuszKy00,rec,0,,,,,
player,201710290phi,sfo,JuszKy00,rec_yds,0,,,,,
player,201710290phi,sfo,JuszKy00,rec_td,0,,,,,
player,201710290phi,sfo,JuszKy00,rec_long,0,,,,,
player,201710290phi,sfo,JuszKy00,fumbles,0,,,,,
player,201710290phi,sfo,JuszKy00,fumbles_lost,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_cmp,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_att,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_yds,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_td,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_int,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_sacked,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_long,0,,,,,
player,201710290phi,sfo,TaylTr02,pass_rating,,,,,,
player,201710290phi,sfo,TaylTr02,rush_att,0,,,,,
player,201710290phi,sfo,TaylTr02,rush_yds,0,,,,,
player,201710290phi,sfo,TaylTr02,rush_td,0,,,,,
player,201710290phi,sfo,TaylTr02,rush_long,0,,,,,
player,201710290phi,sfo,TaylTr02,targets,3,,,,,
player,201710290phi,sfo,TaylTr02,rec,3,,,,,
player,201710290phi,sfo,TaylTr02,rec_yds,33,,,,,
player,201710290phi,sfo,TaylTr02,rec_td,0,,,,,
player,201710290phi,sfo,TaylTr02,rec_long,13,,,,,
player,201710290phi,sfo,TaylTr02,fumbles,0,,,,,
player,201710290phi,sfo,TaylTr02,fumbles_lost,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_cmp,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_att,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_yds,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_td,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_int,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_sacked,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_long,0,,,,,
player,201710290phi,sfo,CeleGa00,pass_rating,,,,,,
player,201710290phi,sfo,CeleGa00,rush_att,0,,,,,
player,201710290phi,sfo,CeleGa00,rush_yds,0,,,,,
player,201710290phi,sfo,CeleGa00,rush_td,0,,,,,
player,201710290phi,sfo,CeleGa00,rush_long,0,,,,,
player,201710290phi,sfo,CeleGa00,targets,2,,,,,
player,201710290phi,sfo,CeleGa00,rec,1,,,,,
player,201710290phi,sfo,CeleGa00,rec_yds,24,,,,,
player,201710290phi,sfo,CeleGa00,rec_td,0,,,,,
player,201710290phi,sfo,CeleGa00,rec_long,24,,,,,
player,201710290phi,sfo,CeleGa00,fumbles,0,,,,,
player,201710290phi,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201710290phi,sfo,KittGe00,pass_cmp,0,,,,,
player,201710290phi,sfo,KittGe00,pass_att,0,,,,,
player,201710290phi,sfo,KittGe00,pass_yds,0,,,,,
player,201710290phi,sfo,KittGe00,pass_td,0,,,,,
player,201710290phi,sfo,KittGe00,pass_int,0,,,,,
player,201710290phi,sfo,KittGe00,pass_sacked,0,,,,,
player,201710290phi,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,KittGe00,pass_long,0,,,,,
player,201710290phi,sfo,KittGe00,pass_rating,,,,,,
player,201710290phi,sfo,KittGe00,rush_att,0,,,,,
player,201710290phi,sfo,KittGe00,rush_yds,0,,,,,
player,201710290phi,sfo,KittGe00,rush_td,0,,,,,
player,201710290phi,sfo,KittGe00,rush_long,0,,,,,
player,201710290phi,sfo,KittGe00,targets,4,,,,,
player,201710290phi,sfo,KittGe00,rec,2,,,,,
player,201710290phi,sfo,KittGe00,rec_yds,22,,,,,
player,201710290phi,sfo,KittGe00,rec_td,0,,,,,
player,201710290phi,sfo,KittGe00,rec_long,22,,,,,
player,201710290phi,sfo,KittGe00,fumbles,0,,,,,
player,201710290phi,sfo,KittGe00,fumbles_lost,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_cmp,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_att,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_yds,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_td,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_int,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_sacked,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_long,0,,,,,
player,201710290phi,sfo,GarcPi00,pass_rating,,,,,,
player,201710290phi,sfo,GarcPi00,rush_att,0,,,,,
player,201710290phi,sfo,GarcPi00,rush_yds,0,,,,,
player,201710290phi,sfo,GarcPi00,rush_td,0,,,,,
player,201710290phi,sfo,GarcPi00,rush_long,0,,,,,
player,201710290phi,sfo,GarcPi00,targets,4,,,,,
player,201710290phi,sfo,GarcPi00,rec,2,,,,,
player,201710290phi,sfo,GarcPi00,rec_yds,17,,,,,
player,201710290phi,sfo,GarcPi00,rec_td,0,,,,,
player,201710290phi,sfo,GarcPi00,rec_long,13,,,,,
player,201710290phi,sfo,GarcPi00,fumbles,0,,,,,
player,201710290phi,sfo,GarcPi00,fumbles_lost,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_cmp,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_att,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_yds,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_td,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_int,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_sacked,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_long,0,,,,,
player,201710290phi,sfo,HikuCo00,pass_rating,,,,,,
player,201710290phi,sfo,HikuCo00,rush_att,0,,,,,
player,201710290phi,sfo,HikuCo00,rush_yds,0,,,,,
player,201710290phi,sfo,HikuCo00,rush_td,0,,,,,
player,201710290phi,sfo,HikuCo00,rush_long,0,,,,,
player,201710290phi,sfo,HikuCo00,targets,1,,,,,
player,201710290phi,sfo,HikuCo00,rec,1,,,,,
player,201710290phi,sfo,HikuCo00,rec_yds,10,,,,,
player,201710290phi,sfo,HikuCo00,rec_td,0,,,,,
player,201710290phi,sfo,HikuCo00,rec_long,10,,,,,
player,201710290phi,sfo,HikuCo00,fumbles,0,,,,,
player,201710290phi,sfo,HikuCo00,fumbles_lost,0,,,,,
player,201710290phi,sfo,BourKe00,pass_cmp,0,,,,,
player,201710290phi,sfo,BourKe00,pass_att,0,,,,,
player,201710290phi,sfo,BourKe00,pass_yds,0,,,,,
player,201710290phi,sfo,BourKe00,pass_td,0,,,,,
player,201710290phi,sfo,BourKe00,pass_int,0,,,,,
player,201710290phi,sfo,BourKe00,pass_sacked,0,,,,,
player,201710290phi,sfo,BourKe00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,BourKe00,pass_long,0,,,,,
player,201710290phi,sfo,BourKe00,pass_rating,,,,,,
player,201710290phi,sfo,BourKe00,rush_att,0,,,,,
player,201710290phi,sfo,BourKe00,rush_yds,0,,,,,
player,201710290phi,sfo,BourKe00,rush_td,0,,,,,
player,201710290phi,sfo,BourKe00,rush_long,0,,,,,
player,201710290phi,sfo,BourKe00,targets,2,,,,,
player,201710290phi,sfo,BourKe00,rec,0,,,,,
player,201710290phi,sfo,BourKe00,rec_yds,0,,,,,
player,201710290phi,sfo,BourKe00,rec_td,0,,,,,
player,201710290phi,sfo,BourKe00,rec_long,0,,,,,
player,201710290phi,sfo,BourKe00,fumbles,0,,,,,
player,201710290phi,sfo,BourKe00,fumbles_lost,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_cmp,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_att,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_yds,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_td,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_int,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_sacked,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_sacked_yds,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_long,0,,,,,
player,201710290phi,sfo,RobiAl00,pass_rating,,,,,,
player,201710290phi,sfo,RobiAl00,rush_att,0,,,,,
player,201710290phi,sfo,RobiAl00,rush_yds,0,,,,,
player,201710290phi,sfo,RobiAl00,rush_td,0,,,,,
