game,2017,6,20171012,201710120car,phi,"Philadelphia Eagles",28,car,"Carolina Panthers",23
team,201710120car,phi,First Downs,15,,,,,,
team,201710120car,car,First Downs,23,,,,,,
team,201710120car,phi,Rush-Yds-TDs,27-101-0,,,,,,
team,201710120car,car,Rush-Yds-TDs,25-80-1,,,,,,
team,201710120car,phi,Cmp-Att-Yd-TD-INT,16-30-222-3-0,,,,,,
team,201710120car,car,Cmp-Att-Yd-TD-INT,28-52-239-1-3,,,,,,
team,201710120car,phi,Sacked-Yards,3-13,,,,,,
team,201710120car,car,Sacked-Yards,2-14,,,,,,
team,201710120car,phi,Net Pass Yards,209,,,,,,
team,201710120car,car,Net Pass Yards,225,,,,,,
team,201710120car,phi,Total Yards,310,,,,,,
team,201710120car,car,Total Yards,305,,,,,,
team,201710120car,phi,Fumbles-Lost,2-1,,,,,,
team,201710120car,car,Fumbles-Lost,1-0,,,,,,
team,201710120car,phi,Turnovers,1,,,,,,
team,201710120car,car,Turnovers,3,,,,,,
team,201710120car,phi,Penalties-Yards,10-126,,,,,,
team,201710120car,car,Penalties-Yards,1-1,,,,,,
team,201710120car,phi,Third Down Conv.,5-14,,,,,,
team,201710120car,car,Third Down Conv.,4-16,,,,,,
team,201710120car,phi,Fourth Down Conv.,1-1,,,,,,
team,201710120car,car,Fourth Down Conv.,1-3,,,,,,
team,201710120car,phi,Time of Possession,28:34,,,,,,
team,201710120car,car,Time of Possession,31:26,,,,,,
player,201710120car,phi,WentCa00,pass_cmp,16,,,,,
player,201710120car,phi,WentCa00,pass_att,30,,,,,
player,201710120car,phi,WentCa00,pass_yds,222,,,,,
player,201710120car,phi,WentCa00,pass_td,3,,,,,
player,201710120car,phi,WentCa00,pass_int,0,,,,,
player,201710120car,phi,WentCa00,pass_sacked,3,,,,,
player,201710120car,phi,WentCa00,pass_sacked_yds,13,,,,,
player,201710120car,phi,WentCa00,pass_long,37,,,,,
player,201710120car,phi,WentCa00,pass_rating,110.7,,,,,
player,201710120car,phi,WentCa00,rush_att,6,,,,,
player,201710120car,phi,WentCa00,rush_yds,25,,,,,
player,201710120car,phi,WentCa00,rush_td,0,,,,,
player,201710120car,phi,WentCa00,rush_long,21,,,,,
player,201710120car,phi,WentCa00,targets,0,,,,,
player,201710120car,phi,WentCa00,rec,0,,,,,
player,201710120car,phi,WentCa00,rec_yds,0,,,,,
player,201710120car,phi,WentCa00,rec_td,0,,,,,
player,201710120car,phi,WentCa00,rec_long,0,,,,,
player,201710120car,phi,WentCa00,fumbles,1,,,,,
player,201710120car,phi,WentCa00,fumbles_lost,1,,,,,
player,201710120car,phi,BlouLe00,pass_cmp,0,,,,,
player,201710120car,phi,BlouLe00,pass_att,0,,,,,
player,201710120car,phi,BlouLe00,pass_yds,0,,,,,
player,201710120car,phi,BlouLe00,pass_td,0,,,,,
player,201710120car,phi,BlouLe00,pass_int,0,,,,,
player,201710120car,phi,BlouLe00,pass_sacked,0,,,,,
