game,2017,9,20171105,201711050oti,rav,"Baltimore Ravens",20,oti,"Tennessee Titans",23
team,201711050oti,rav,First Downs,24,,,,,,
team,201711050oti,oti,First Downs,14,,,,,,
team,201711050oti,rav,Rush-Yds-TDs,22-73-0,,,,,,
team,201711050oti,oti,Rush-Yds-TDs,21-71-1,,,,,,
team,201711050oti,rav,Cmp-Att-Yd-TD-INT,35-53-277-2-2,,,,,,
team,201711050oti,oti,Cmp-Att-Yd-TD-INT,19-28-218-2-1,,,,,,
team,201711050oti,rav,Sacked-Yards,2-9,,,,,,
team,201711050oti,oti,Sacked-Yards,3-32,,,,,,
team,201711050oti,rav,Net Pass Yards,268,,,,,,
team,201711050oti,oti,Net Pass Yards,186,,,,,,
team,201711050oti,rav,Total Yards,341,,,,,,
team,201711050oti,oti,Total Yards,257,,,,,,
team,201711050oti,rav,Fumbles-Lost,1-0,,,,,,
team,201711050oti,oti,Fumbles-Lost,0-0,,,,,,
team,201711050oti,rav,Turnovers,2,,,,,,
team,201711050oti,oti,Turnovers,1,,,,,,
team,201711050oti,rav,Penalties-Yards,6-39,,,,,,
team,201711050oti,oti,Penalties-Yards,3-39,,,,,,
team,201711050oti,rav,Third Down Conv.,6-16,,,,,,
team,201711050oti,oti,Third Down Conv.,3-11,,,,,,
team,201711050oti,rav,Fourth Down Conv.,3-4,,,,,,
team,201711050oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201711050oti,rav,Time of Possession,32:22,,,,,,
team,201711050oti,oti,Time of Possession,27:38,,,,,,
player,201711050oti,rav,FlacJo00,pass_cmp,34,,,,,
player,201711050oti,rav,FlacJo00,pass_att,52,,,,,
player,201711050oti,rav,FlacJo00,pass_yds,261,,,,,
player,201711050oti,rav,FlacJo00,pass_td,2,,,,,
player,201711050oti,rav,FlacJo00,pass_int,2,,,,,
player,201711050oti,rav,FlacJo00,pass_sacked,2,,,,,
player,201711050oti,rav,FlacJo00,pass_sacked_yds,9,,,,,
player,201711050oti,rav,FlacJo00,pass_long,19,,,,,
player,201711050oti,rav,FlacJo00,pass_rating,74.3,,,,,
player,201711050oti,rav,FlacJo00,rush_att,1,,,,,
player,201711050oti,rav,FlacJo00,rush_yds,7,,,,,
player,201711050oti,rav,FlacJo00,rush_td,0,,,,,
player,201711050oti,rav,FlacJo00,rush_long,7,,,,,
player,201711050oti,rav,FlacJo00,targets,0,,,,,
player,201711050oti,rav,FlacJo00,rec,0,,,,,
player,201711050oti,rav,FlacJo00,rec_yds,0,,,,,
player,201711050oti,rav,FlacJo00,rec_td,0,,,,,
player,201711050oti,rav,FlacJo00,rec_long,0,,,,,
player,201711050oti,rav,FlacJo00,fumbles,1,,,,,
player,201711050oti,rav,FlacJo00,fumbles_lost,0,,,,,
player,201711050oti,rav,KochSa20,pass_cmp,1,,,,,
player,201711050oti,rav,KochSa20,pass_att,1,,,,,
player,201711050oti,rav,KochSa20,pass_yds,16,,,,,
player,201711050oti,rav,KochSa20,pass_td,0,,,,,
player,201711050oti,rav,KochSa20,pass_int,0,,,,,
player,201711050oti,rav,KochSa20,pass_sacked,0,,,,,
player,201711050oti,rav,KochSa20,pass_sacked_yds,0,,,,,
player,201711050oti,rav,KochSa20,pass_long,16,,,,,
player,201711050oti,rav,KochSa20,pass_rating,118.7,,,,,
player,201711050oti,rav,KochSa20,rush_att,0,,,,,
player,201711050oti,rav,KochSa20,rush_yds,0,,,,,
player,201711050oti,rav,KochSa20,rush_td,0,,,,,
player,201711050oti,rav,KochSa20,rush_long,0,,,,,
player,201711050oti,rav,KochSa20,targets,0,,,,,
player,201711050oti,rav,KochSa20,rec,0,,,,,
player,201711050oti,rav,KochSa20,rec_yds,0,,,,,
player,201711050oti,rav,KochSa20,rec_td,0,,,,,
player,201711050oti,rav,KochSa20,rec_long,0,,,,,
player,201711050oti,rav,KochSa20,fumbles,0,,,,,
player,201711050oti,rav,KochSa20,fumbles_lost,0,,,,,
player,201711050oti,rav,CollAl00,pass_cmp,0,,,,,
player,201711050oti,rav,CollAl00,pass_att,0,,,,,
player,201711050oti,rav,CollAl00,pass_yds,0,,,,,
player,201711050oti,rav,CollAl00,pass_td,0,,,,,
player,201711050oti,rav,CollAl00,pass_int,0,,,,,
player,201711050oti,rav,CollAl00,pass_sacked,0,,,,,
player,201711050oti,rav,CollAl00,pass_sacked_yds,0,,,,,
player,201711050oti,rav,CollAl00,pass_long,0,,,,,
player,201711050oti,rav,CollAl00,pass_rating,,,,,,
player,201711050oti,rav,CollAl00,rush_att,13,,,,,
player,201711050oti,rav,CollAl00,rush_yds,43,,,,,
player,201711050oti,rav,CollAl00,rush_td,0,,,,,
player,201711050oti,rav,CollAl00,rush_long,14,,,,,
player,201711050oti,rav,CollAl00,targets,1,,,,,
player,201711050oti,rav,CollAl00,rec,1,,,,,
player,201711050oti,rav,CollAl00,rec_yds,3,,,,,
player,201711050oti,rav,CollAl00,rec_td,0,,,,,
player,201711050oti,rav,CollAl00,rec_long,3,,,,,
player,201711050oti,rav,CollAl00,fumbles,0,,,,,
player,201711050oti,rav,CollAl00,fumbles_lost,0,,,,,
player,201711050oti,rav,AlleJa01,pass_cmp,0,,,,,
player,201711050oti,rav,AlleJa01,pass_att,0,,,,,
player,201711050oti,rav,AlleJa01,pass_yds,0,,,,,
player,201711050oti,rav,AlleJa01,pass_td,0,,,,,
player,201711050oti,rav,AlleJa01,pass_int,0,,,,,
player,201711050oti,rav,AlleJa01,pass_sacked,0,,,,,
player,201711050oti,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201711050oti,rav,AlleJa01,pass_long,0,,,,,
player,201711050oti,rav,AlleJa01,pass_rating,,,,,,
player,201711050oti,rav,AlleJa01,rush_att,7,,,,,
player,201711050oti,rav,AlleJa01,rush_yds,21,,,,,
player,201711050oti,rav,AlleJa01,rush_td,0,,,,,
player,201711050oti,rav,AlleJa01,rush_long,7,,,,,
player,201711050oti,rav,AlleJa01,targets,8,,,,,
player,201711050oti,rav,AlleJa01,rec,7,,,,,
player,201711050oti,rav,AlleJa01,rec_yds,44,,,,,
player,201711050oti,rav,AlleJa01,rec_td,1,,,,,
player,201711050oti,rav,AlleJa01,rec_long,10,,,,,
player,201711050oti,rav,AlleJa01,fumbles,0,,,,,
player,201711050oti,rav,AlleJa01,fumbles_lost,0,,,,,
