game,2017,4,20171001,201710010sea,clt,"Indianapolis Colts",18,sea,"Seattle Seahawks",46
team,201710010sea,clt,First Downs,16,,,,,,
team,201710010sea,sea,First Downs,22,,,,,,
team,201710010sea,clt,Rush-Yds-TDs,25-98-1,,,,,,
team,201710010sea,sea,Rush-Yds-TDs,33-194-2,,,,,,
team,201710010sea,clt,Cmp-Att-Yd-TD-INT,16-29-157-1-1,,,,,,
team,201710010sea,sea,Cmp-Att-Yd-TD-INT,21-26-295-2-2,,,,,,
team,201710010sea,clt,Sacked-Yards,3-18,,,,,,
team,201710010sea,sea,Sacked-Yards,3-12,,,,,,
team,201710010sea,clt,Net Pass Yards,139,,,,,,
team,201710010sea,sea,Net Pass Yards,283,,,,,,
team,201710010sea,clt,Total Yards,237,,,,,,
team,201710010sea,sea,Total Yards,477,,,,,,
team,201710010sea,clt,Fumbles-Lost,2-1,,,,,,
team,201710010sea,sea,Fumbles-Lost,0-0,,,,,,
team,201710010sea,clt,Turnovers,2,,,,,,
team,201710010sea,sea,Turnovers,2,,,,,,
team,201710010sea,clt,Penalties-Yards,5-31,,,,,,
team,201710010sea,sea,Penalties-Yards,6-45,,,,,,
team,201710010sea,clt,Third Down Conv.,6-14,,,,,,
team,201710010sea,sea,Third Down Conv.,10-15,,,,,,
team,201710010sea,clt,Fourth Down Conv.,0-0,,,,,,
team,201710010sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201710010sea,clt,Time of Possession,27:48,,,,,,
team,201710010sea,sea,Time of Possession,32:12,,,,,,
player,201710010sea,clt,BrisJa00,pass_cmp,16,,,,,
player,201710010sea,clt,BrisJa00,pass_att,29,,,,,
player,201710010sea,clt,BrisJa00,pass_yds,157,,,,,
player,201710010sea,clt,BrisJa00,pass_td,1,,,,,
player,201710010sea,clt,BrisJa00,pass_int,1,,,,,
player,201710010sea,clt,BrisJa00,pass_sacked,3,,,,,
player,201710010sea,clt,BrisJa00,pass_sacked_yds,18,,,,,
player,201710010sea,clt,BrisJa00,pass_long,32,,,,,
player,201710010sea,clt,BrisJa00,pass_rating,67.7,,,,,
player,201710010sea,clt,BrisJa00,rush_att,3,,,,,
player,201710010sea,clt,BrisJa00,rush_yds,33,,,,,
player,201710010sea,clt,BrisJa00,rush_td,0,,,,,
player,201710010sea,clt,BrisJa00,rush_long,25,,,,,
player,201710010sea,clt,BrisJa00,targets,0,,,,,
player,201710010sea,clt,BrisJa00,rec,0,,,,,
