game,2017,1,20170910,201709100det,crd,"Arizona Cardinals",23,det,"Detroit Lions",35
player,201709100det,crd,JohnDa08,pass_yds,0,,,,,
player,201709100det,crd,JohnDa08,pass_td,0,,,,,
player,201709100det,crd,JohnDa08,pass_int,0,,,,,
player,201709100det,crd,JohnDa08,pass_sacked,0,,,,,
player,201709100det,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201709100det,crd,JohnDa08,pass_long,0,,,,,
player,201709100det,crd,JohnDa08,pass_rating,,,,,,
player,201709100det,crd,JohnDa08,rush_att,11,,,,,
player,201709100det,crd,JohnDa08,rush_yds,23,,,,,
player,201709100det,crd,JohnDa08,rush_td,0,,,,,
player,201709100det,crd,JohnDa08,rush_long,6,,,,,
player,201709100det,crd,JohnDa08,targets,9,,,,,
player,201709100det,crd,JohnDa08,rec,6,,,,,
player,201709100det,crd,JohnDa08,rec_yds,67,,,,,
player,201709100det,crd,JohnDa08,rec_td,0,,,,,
player,201709100det,crd,JohnDa08,rec_long,24,,,,,
player,201709100det,crd,JohnDa08,fumbles,2,,,,,
player,201709100det,crd,JohnDa08,fumbles_lost,1,,,,,
player,201709100det,crd,BrowJo02,pass_cmp,0,,,,,
player,201709100det,crd,BrowJo02,pass_att,0,,,,,
player,201709100det,crd,BrowJo02,pass_yds,0,,,,,
player,201709100det,crd,BrowJo02,pass_td,0,,,,,
player,201709100det,crd,BrowJo02,pass_int,0,,,,,
player,201709100det,crd,BrowJo02,pass_sacked,0,,,,,
player,201709100det,crd,BrowJo02,pass_sacked_yds,0,,,,,
player,201709100det,crd,BrowJo02,pass_long,0,,,,,
player,201709100det,crd,BrowJo02,pass_rating,,,,,,
player,201709100det,crd,BrowJo02,rush_att,1,,,,,
player,201709100det,crd,BrowJo02,rush_yds,10,,,,,
player,201709100det,crd,BrowJo02,rush_td,0,,,,,
player,201709100det,crd,BrowJo02,rush_long,10,,,,,
player,201709100det,crd,BrowJo02,targets,9,,,,,
player,201709100det,crd,BrowJo02,rec,4,,,,,
player,201709100det,crd,BrowJo02,rec_yds,32,,,,,
player,201709100det,crd,BrowJo02,rec_td,0,,,,,
player,201709100det,crd,BrowJo02,rec_long,12,,,,,
player,201709100det,crd,BrowJo02,fumbles,0,,,,,
player,201709100det,crd,BrowJo02,fumbles_lost,0,,,,,
player,201709100det,crd,WillKe05,pass_cmp,0,,,,,
player,201709100det,crd,WillKe05,pass_att,0,,,,,
player,201709100det,crd,WillKe05,pass_yds,0,,,,,
player,201709100det,crd,WillKe05,pass_td,0,,,,,
player,201709100det,crd,WillKe05,pass_int,0,,,,,
player,201709100det,crd,WillKe05,pass_sacked,0,,,,,
player,201709100det,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201709100det,crd,WillKe05,pass_long,0,,,,,
player,201709100det,crd,WillKe05,pass_rating,,,,,,
player,201709100det,crd,WillKe05,rush_att,5,,,,,
player,201709100det,crd,WillKe05,rush_yds,10,,,,,
player,201709100det,crd,WillKe05,rush_td,1,,,,,
player,201709100det,crd,WillKe05,rush_long,4,,,,,
player,201709100det,crd,WillKe05,targets,1,,,,,
player,201709100det,crd,WillKe05,rec,1,,,,,
player,201709100det,crd,WillKe05,rec_yds,2,,,,,
player,201709100det,crd,WillKe05,rec_td,0,,,,,
player,201709100det,crd,WillKe05,rec_long,2,,,,,
player,201709100det,crd,WillKe05,fumbles,0,,,,,
player,201709100det,crd,WillKe05,fumbles_lost,0,,,,,
player,201709100det,crd,FitzLa00,pass_cmp,0,,,,,
player,201709100det,crd,FitzLa00,pass_att,0,,,,,
player,201709100det,crd,FitzLa00,pass_yds,0,,,,,
player,201709100det,crd,FitzLa00,pass_td,0,,,,,
player,201709100det,crd,FitzLa00,pass_int,0,,,,,
player,201709100det,crd,FitzLa00,pass_sacked,0,,,,,
player,201709100det,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201709100det,crd,FitzLa00,pass_long,0,,,,,
player,201709100det,crd,FitzLa00,pass_rating,,,,,,
player,201709100det,crd,FitzLa00,rush_att,0,,,,,
player,201709100det,crd,FitzLa00,rush_yds,0,,,,,
player,201709100det,crd,FitzLa00,rush_td,0,,,,,
player,201709100det,crd,FitzLa00,rush_long,0,,,,,
player,201709100det,crd,FitzLa00,targets,13,,,,,
player,201709100det,crd,FitzLa00,rec,6,,,,,
player,201709100det,crd,FitzLa00,rec_yds,74,,,,,
player,201709100det,crd,FitzLa00,rec_td,0,,,,,
player,201709100det,crd,FitzLa00,rec_long,33,,,,,
player,201709100det,crd,FitzLa00,fumbles,0,,,,,
player,201709100det,crd,FitzLa00,fumbles_lost,0,,,,,
player,201709100det,crd,NelsJJ00,pass_cmp,0,,,,,
player,201709100det,crd,NelsJJ00,pass_att,0,,,,,
